VarVanillaIw,VarDiscRet,eRenyi2,IterType,AvgNormIw,VarNormIw,J,EpsThisIter,Bound,AvgDiscRet,VarJ,MinVanillaIw,MinNormIw,ESSClassic,AvgRet,AvgVanillaIw,VanillaAvgRet,ESSRenyi,AvgEpLen,MaxVanillaIw,MaxNormIw,VarRet,BatchSize
26514.559,156.01356785698047,4.917996,1,0.01,0.009022364,31.00982,100,23.134544,-4.452891458530062,13.954153,0.0055339914,3.2281703e-06,1.1071572903066562,-4.452891458530062,17.14281,-4.452891458530062,20.333485718385635,500.0,1629.1349,0.9503312,156.01356785698047,100
590.8282,202.2575718137529,31.252953,,0.01,0.00071758014,-5.7657037,100,-31.04418,-3.130302518572264,17.731165,0.0006138227,6.7646846e-07,12.339518294853892,-4.452891458530062,9.07393,-4.452891458530062,6.399395369626942,500.0,180.70142,0.19914351,156.01356785698047,200
62924.824,187.99014621080056,7.317756,1,0.005,0.004598945,37.541492,100,28.378601,-3.8845732888659428,21.320831,0.0010685052,2.888649e-07,1.0867320058995547,-3.8845732888659428,18.494896,-3.8845732888659428,27.330782167364212,500.0,3548.2595,0.95925367,187.99014621080056,200
,241.48310507936245,1.0,2,0.009999998,3.5044917e-18,1.5388919,100,-3.4037685,1.5388919357079993,15.461833,1.0,0.01,100.0,1.5388919357079993,1.0,1.5388919357079993,200.0,500.0,1.0,0.01,241.48310507936245,200
6992.8535,206.75599667585,36.71199,,0.005,0.0003993494,-1.4490156,100,-22.625298,1.3578125987650203,33.26468,0.0002818283,6.734943e-08,11.83844799262878,-3.8845732888659428,20.922842,-3.8845732888659428,8.171717117138835,500.0,935.88684,0.22365195,187.99014621080056,300
156403.4,185.0234739492516,8.029538,1,0.0033333336,0.0030635395,44.118683,100,36.281803,-4.034259080335287,31.646055,0.0014177111,1.9841585e-07,1.087746792015259,-4.034259080335287,23.81717,-4.034259080335287,37.36204925161953,500.0,6850.762,0.9587988,185.0234739492516,300
,175.12363233598117,1.0,2,0.009999998,3.5044917e-18,-0.55447286,100,-3.4816794,-0.5544727685876206,13.167095,1.0,0.01,100.0,-0.5544727685876206,1.0,-0.5544727685876206,300.0,500.0,1.0,0.01,175.12363233598117,300
,189.3091187599371,1.0,2,0.0049999994,2.179301e-19,-2.0599217,100,-5.2240205,-2.0599217173071933,13.7245245,1.0,0.005,200.00000010221265,-2.0599217173071933,1.0,-2.0599217173071933,300.0,500.0,1.0,0.005,189.3091187599371,300
2953.5212,199.3854709649327,25.730244,,0.0033333336,0.00015371187,-2.3698444,100,-15.474522,-2.09828441843429,26.948677,0.00014596916,3.3300037e-08,20.28678191024586,-4.034259080335287,14.61151,-4.034259080335287,15.545907956807895,500.0,705.3623,0.16091476,185.0234739492516,400
66355.1,178.43065785867483,12.553964,1,0.0025,0.0020476629,37.3308,100,28.844486,-4.198836126265437,33.12586,7.922106e-06,1.3916585e-09,1.2202305028390859,-4.198836126265437,14.231412,-4.198836126265437,31.862446857039977,500.0,5147.8687,0.90431446,178.43065785867483,400
,204.75348023452685,1.0,2,0.009999998,3.5044917e-18,2.7065666,100,-1.9584258,2.706566419816138,14.237484,1.0,0.01,100.0,2.706566419816138,1.0,2.706566419816138,400.0,500.0,1.0,0.01,204.75348023452685,400
,205.98051778496696,1.0,2,0.0049999994,2.179301e-19,2.3814354,100,-1.0013473,2.381435688624315,14.316096,1.0,0.005,200.00000010221265,2.381435688624315,1.0,2.381435688624315,400.0,500.0,1.0,0.005,205.98051778496696,400
,209.0498849730041,1.0,2,0.0033333336,5.4391416e-20,2.9165757,100,0.1545453,2.9165758282490217,14.43444,1.0,0.0033333334,299.999969473632,2.9165758282490217,1.0,2.9165758282490217,400.0,500.0,1.0,0.0033333334,209.0498849730041,400
39997850.0,212.6275851752163,501.9692,,0.0025,0.0016305791,14.127946,100,-40.46619,2.7567353049068792,42.843437,0.00019425515,1.2402954e-09,1.5311567793617982,-4.198836126265437,391.55017,-4.198836126265437,0.9960770347399497,500.0,126229.055,0.80595714,178.43065785867483,500
144387.83,163.69857861321563,13.595947,1,0.0019999996,0.0018197175,37.43904,100,29.539928,-4.280474873548508,35.67151,1.5008476e-05,1.6848968e-09,1.0988539500749515,-4.280474873548508,17.815306,-4.280474873548508,36.77566485302304,500.0,8497.436,0.9539477,163.69857861321563,500
,261.06394589950355,1.0,2,0.009999998,3.5044917e-18,5.2730675,100,0.45596838,5.27306760098282,16.076483,1.0,0.01,100.0,5.27306760098282,1.0,5.27306760098282,500.0,500.0,1.0,0.01,261.06394589950355,500
,251.8621878460325,1.0,2,0.0049999994,2.179301e-19,3.5098438,100,0.10364056,3.5098435740733107,15.8304405,1.0,0.005,200.00000010221265,3.5098435740733107,1.0,3.5098435740733107,500.0,500.0,1.0,0.005,251.8621878460325,500
