AvgEpLen,MinNormIw,IterType,EpsThisIter,AvgDiscRet,VarNormIw,MaxNormIw,AvgNormIw,ESSClassic,VarRet,VarDiscRet,AvgRet,Delta,Bound,eRenyi2,AvgVanillaIw,VanillaAvgRet,MinVanillaIw,ESSRenyi,MaxVanillaIw,J,BatchSize,VarJ,VarVanillaIw
38.29,0.000126272,1,100,-123.056239525,5.29344e-05,0.0350366,0.01,65.6145991665,2372.74114048,2372.74114048,-123.056239525,0.9,-132.808,1.45959,0.894615,-123.056239525,0.0112964,68.5125770843,3.13443,-113.238,100,12.2113,0.423653
24.35,0.000358203,1,100,-114.362031784,2.161e-05,0.018716,0.01,82.3764889601,1522.19804146,1522.19804146,-114.362031784,0.9,-127.335,1.1972,0.98232,-114.362031784,0.035187,83.5282533156,1.83851,-109.444,100,7.74932,0.208526
18.63,0.00124299,1,100,-108.866056534,1.74702e-05,0.0219234,0.01,85.2547723126,35.0314955264,35.0314955264,-108.866056534,0.9,-113.013,1.16295,0.969442,-108.866056534,0.120501,85.9881374083,2.12535,-107.896,100,3.53353,0.164188
16.22,0.00525913,1,100,-107.838313414,3.1589e-06,0.0154331,0.01,96.967494584,9.52226623325,9.52226623325,-107.838313414,0.9,-111.61,1.0448,1.03339,-107.838313414,0.543472,95.7121705041,1.59484,-107.656,100,2.82611,0.0337335
16.88,0.00336338,1,100,-108.482032672,1.18087e-05,0.0234186,0.01,89.5330249645,69.3567378476,69.3567378476,-108.482032672,0.9,-114.287,1.10036,0.979744,-108.482032672,0.329525,90.879325921,2.29443,-107.809,100,4.4076,0.113352
16.97,0.00236679,1,100,-107.529138951,1.22416e-05,0.0193658,0.01,89.1908421131,14.2744741682,14.2744741682,-107.529138951,0.9,-111.542,1.13709,1.01405,-107.529138951,0.240004,87.943862586,1.96379,-107.124,100,5.01495,0.12588
16.62,0.00456424,1,100,-107.786675741,5.88157e-06,0.015922,0.01,94.4976511304,6.92257594427,6.92257594427,-107.786675741,0.9,-111.518,1.05715,0.999482,-107.786675741,0.456188,94.5940508849,1.59137,-107.575,100,2.46903,0.0587548
16.38,0.00594145,1,100,-107.410966321,1.79878e-06,0.0123205,0.01,98.2503938234,6.41791283004,6.41791283004,-107.410966321,0.9,-111.199,1.01694,0.982334,-107.410966321,0.583649,98.3341263497,1.21028,-107.336,100,2.36739,0.0173579
16.9,0.00601217,1,100,-107.088957117,4.16375e-06,0.0176562,0.01,96.0410658094,5.7829521737,5.7829521737,-107.088957117,0.9,-110.817,1.03621,0.986892,-107.088957117,0.593336,96.5055623003,1.74248,-106.954,100,2.46651,0.040553
17.3,0.00350161,1,100,-106.732768614,5.13721e-06,0.012647,0.01,95.160288168,6.00130370067,6.00130370067,-106.732768614,0.9,-110.546,1.05755,1.02708,-106.732768614,0.359644,94.5585861157,1.29896,-106.539,100,2.07233,0.0541924
16.27,0.000541477,1,100,-107.47477383,1.57682e-05,0.0167917,0.01,86.4973521384,7.28134661856,7.28134661856,-107.47477383,0.9,-111.508,1.15057,0.993143,-107.47477383,0.0537764,86.9132061303,1.66765,-107.182,100,2.34185,0.155527
16.33,0.00520451,1,100,-106.628129593,3.08443e-06,0.0156014,0.01,97.0368820057,4.17029479222,4.17029479222,-106.628129593,0.9,-110.282,1.02878,1.00815,-106.628129593,0.524694,97.2027948529,1.57285,-106.525,100,2.05494,0.0313492
16.54,0.0059003,1,100,-106.83389269,2.58257e-06,0.0142945,0.01,97.5070070247,4.4101785989,4.4101785989,-106.83389269,0.9,-110.535,1.0334,0.977886,-106.83389269,0.576982,96.7674872812,1.39784,-106.715,100,2.07828,0.0246962
16.22,0.0057715,1,100,-107.171181156,1.41472e-06,0.0128994,0.01,98.6187530043,4.07859000518,4.07859000518,-107.171181156,0.9,-110.892,1.01378,1.00589,-107.171181156,0.580547,98.6402901799,1.29753,-107.123,100,1.97492,0.0143142
