AvgEpLen,AvgDiscRet,ESSRenyi,MaxNormIw,J,VarDiscRet,EpsThisIter,IterType,AvgVanillaIw,VarJ,AvgNormIw,MinVanillaIw,BatchSize,VarRet,MaxVanillaIw,eRenyi2,MinNormIw,VarVanillaIw,Delta,ESSClassic,AvgRet,VarNormIw,Bound,VanillaAvgRet
200.0,-2179.6624859190065,38.92658397393426,0.043357294,-102.78163,5192346.909235419,100,1,0.8240427,263.0097,0.009999998,9.263433e-14,100,5192346.909235419,3.5728261,2.5689385,1.1241449e-15,1.2803854,0.4,34.88321985765524,-2179.6624859190065,0.00018855641,-1233.2914,-2179.6624859190065
200.0,-123.76651770509311,89.00269354746472,0.013603489,-21.346258,317805.2935450175,100,1,0.99770474,67.4848,0.01,0.070070885,100,317805.2935450175,1.3572266,1.1235615,0.00070232083,0.13253953,0.4,88.35340163817467,-123.76651770509311,1.3315003e-05,-408.79608,-123.76651770509311
200.0,-8.665353501068275,59.05407272853477,0.023085535,-6.8498063,56.936640460415006,100,1,0.98641753,8.009484,0.01,4.123228e-06,100,56.936640460415006,2.2771976,1.6933633,4.1800025e-08,0.59506756,0.4,62.287745535205985,-8.665353501068275,6.115679e-05,-11.259825,-8.665353501068275
200.0,-9.50614386646191,81.68225995354926,0.024347177,-8.841984,70.29339508486663,100,1,1.0227973,7.401668,0.010000002,0.22946298,100,70.29339508486663,2.4902227,1.224256,0.0022434844,0.20728914,0.4,83.6001446890799,-9.50614386646191,1.9815154e-05,-12.656422,-9.50614386646191
200.0,-9.080922731470785,97.30533181346338,0.014749313,-8.992255,65.0267520674087,100,1,0.9987292,7.9863563,0.01,0.5935221,100,65.0267520674087,1.473057,1.0276929,0.0059427726,0.023916507,0.4,97.68128909017577,-9.080922731470785,2.3977407e-06,-12.2310295,-9.080922731470785
200.0,-8.015199922814002,94.45815822644128,0.01906906,-7.834959,44.54415150381652,100,1,0.97417253,6.5482874,0.009999999,0.5065973,100,44.54415150381652,1.8576554,1.0586698,0.005200283,0.048040926,0.4,95.22761266776158,-8.015199922814002,5.0622025e-06,-11.153191,-8.015199922814002
200.0,-8.71124655290738,79.6858091266126,0.01772486,-7.891306,53.731983354074806,100,1,1.0496479,7.103325,0.01,0.1337789,100,53.731983354074806,1.8604864,1.2549286,0.001274512,0.23458974,0.4,82.59047498551537,-8.71124655290738,2.1292257e-05,-11.187896,-8.71124655290738
200.0,-7.276687827061828,99.6530216388669,0.012125404,-7.2653575,50.952282835591134,100,1,0.9931871,7.081922,0.01,0.95581746,100,50.952282835591134,1.2042794,1.0034819,0.00962374,0.0028469448,0.4,99.71509188606439,-7.276687827061828,2.8861368e-07,-10.051383,-7.276687827061828
200.0,-6.831040294304992,88.95671977525316,0.03291597,-6.4478984,40.8812668501678,100,1,1.036852,6.4813046,0.01,0.7919073,100,40.8812668501678,3.4128985,1.1241422,0.007637612,0.13478114,0.4,88.9587226944459,-6.831040294304992,1.2537055e-05,-9.568447,-6.831040294304992
200.0,-7.42573840373776,93.2481473720835,0.01200909,-7.2619705,45.079230125682564,100,1,1.0429312,6.8042326,0.01,0.17613122,100,45.079230125682564,1.2524655,1.0724074,0.0016888096,0.054976895,0.4,95.23460978455738,-7.42573840373776,5.0543917e-06,-10.2277355,-7.42573840373776
200.0,-8.84478887838176,93.57951395280088,0.012524379,-8.5203285,62.42936722702984,100,1,0.99248564,8.092195,0.01,0.118022956,100,62.42936722702984,1.2430267,1.06861,0.0011891654,0.07155623,0.4,93.29076544340695,-8.84478887838176,7.2643884e-06,-11.991623,-8.84478887838176
200.0,-8.277283857679928,86.91754673629514,0.014746359,-7.8554997,57.001598551655654,100,1,1.0403064,7.608128,0.01,0.12463337,100,57.001598551655654,1.5340732,1.1505157,0.0011980447,0.15002574,0.4,87.93224386563041,-8.277283857679928,1.3862553e-05,-11.055789,-8.277283857679928
200.0,-9.14752451820067,77.83798309197235,0.01652723,-7.5927534,59.62237746426419,100,1,0.99362636,7.302244,0.01,0.021108923,100,59.62237746426419,1.6421891,1.2847198,0.00021244328,0.36577594,0.4,73.16473402907425,-9.14752451820067,3.7048354e-05,-10.957577,-9.14752451820067
200.0,-7.013685793689178,98.6804156746502,0.014791441,-6.9698515,41.84104002207355,100,1,0.98193526,6.440691,0.01,0.9276078,100,41.84104002207355,1.4524238,1.0133723,0.00944673,0.007366355,0.4,99.24933586530562,-7.013685793689178,7.6398857e-07,-9.781357,-7.013685793689178
200.0,-9.414211102769052,93.06546150377915,0.015859505,-9.175343,51.245282746705726,100,1,1.0533061,7.21343,0.01,0.39120454,100,51.245282746705726,1.6704913,1.0745125,0.003714063,0.0832211,0.4,93.0872753109002,-9.414211102769052,7.5010885e-06,-12.117416,-9.414211102769052
200.0,-8.08765429852503,99.75225466802672,0.011191384,-8.081098,49.75690132758374,100,1,1.0017568,7.00172,0.01,0.8803477,100,49.75690132758374,1.1211045,1.0024836,0.008788038,0.002602968,0.4,99.74386386889837,-8.08765429852503,2.5938462e-07,-10.925966,-8.08765429852503
200.0,-7.859826685666801,99.65386216854989,0.011945429,-7.847955,45.690473340168104,100,1,0.99485826,6.679373,0.01,0.95700926,100,45.690473340168104,1.1884009,1.0034734,0.009619554,0.0020698826,0.4,99.79339277614004,-7.859826685666801,2.091334e-07,-10.836911,-7.859826685666801
200.0,-7.394328449815658,94.49055675437424,0.017692257,-7.217254,50.5071593556077,100,1,0.9979735,7.1060605,0.01,0.8679774,100,50.5071593556077,1.7656403,1.0583068,0.008697399,0.03926774,0.4,96.24331689687621,-7.394328449815658,3.942738e-06,-10.095037,-7.394328449815658
200.0,-8.251038589146935,72.31579193285636,0.01811785,-7.296757,53.77799597216629,100,1,0.9924152,7.8915496,0.01,0.004883362,100,53.77799597216629,1.798043,1.3828238,4.9206847e-05,0.41091552,0.4,70.7689895956529,-8.251038589146935,4.172207e-05,-10.757762,-8.251038589146935
200.0,-8.843520233011668,97.3579695672782,0.011343111,-8.768891,45.86616104083415,100,1,1.005434,6.76509,0.01,0.47236654,100,45.86616104083415,1.140475,1.0271373,0.0046981354,0.02245081,0.4,97.84862919270613,-8.843520233011668,2.220879e-06,-11.664259,-8.843520233011668
200.0,-7.689977743307634,97.1145366034372,0.011582213,-7.6094394,58.420553179701244,100,1,1.0001682,7.471517,0.01,0.4314497,100,58.420553179701244,1.1584162,1.029712,0.0043137716,0.03193804,0.4,96.9360529793722,-7.689977743307634,3.1927295e-06,-10.538499,-7.689977743307634
200.0,-9.272943448214258,95.62351233172342,0.012190835,-9.169409,39.264648652407445,100,1,0.98232096,6.305475,0.009999999,0.36796468,100,39.264648652407445,1.1975312,1.0457679,0.0037458704,0.044234667,0.4,95.65876343298137,-9.272943448214258,4.584119e-06,-12.098322,-9.272943448214258
200.0,-6.64909028827312,93.07758455210491,0.012468691,-6.446243,44.80756945463881,100,1,1.0081611,6.3948226,0.01,0.24217905,100,44.80756945463881,1.2570448,1.0743725,0.0024021862,0.0584173,0.4,94.61628174624224,-6.64909028827312,5.747535e-06,-9.440487,-6.64909028827312
200.0,-8.166341731865092,71.1433160830929,0.018917393,-7.477626,58.057630512223,100,1,0.9747304,8.290268,0.01,0.0010521779,100,58.057630512223,1.8439357,1.4056134,1.07945525e-05,0.39969552,0.4,70.59748478185442,-8.166341731865092,4.206881e-05,-10.886215,-8.166341731865092
200.0,-7.168221161404509,94.99346655839314,0.017410722,-7.007091,44.6003506496986,100,1,1.0253193,6.648647,0.01,0.87220573,100,44.6003506496986,1.7851549,1.052704,0.008506674,0.042837556,0.4,96.12236580495228,-7.168221161404509,4.074801e-06,-9.727435,-7.168221161404509
200.0,-8.368957496050614,99.27881323787257,0.014837305,-8.346594,49.013907128721485,100,1,1.0139744,7.0368047,0.010000002,0.9450442,100,49.013907128721485,1.5044649,1.0072643,0.009320198,0.013846677,0.4,98.68422972252279,-8.368957496050614,1.3467641e-06,-11.223669,-8.368957496050614
200.0,-6.720215287661122,92.00175742645384,0.029886022,-6.4879746,41.589120015142875,100,1,1.0226414,6.3572307,0.01,0.8288214,100,41.589120015142875,3.0562682,1.0869358,0.008104713,0.112226725,0.4,90.39635972566249,-6.720215287661122,1.0731233e-05,-9.4531975,-6.720215287661122
200.0,-8.717628912071914,98.10649935348901,0.014410425,-8.664925,50.31999733830603,100,1,1.0033708,7.1318808,0.01,0.80276006,100,50.31999733830603,1.4459,1.0193005,0.008000632,0.013743277,0.4,98.66656599649943,-8.717628912071914,1.365109e-06,-11.524151,-8.717628912071914
200.0,-8.010785916019916,77.27473210972732,0.016964223,-7.277421,57.92834875212724,100,1,0.9753876,8.125834,0.01,0.0023584552,100,57.92834875212724,1.6546692,1.2940841,2.4179673e-05,0.28532144,0.4,77.1067378297604,-8.010785916019916,2.9990246e-05,-10.5411415,-8.010785916019916
200.0,-7.904209161536935,76.68478793960405,0.018075634,-6.6147943,53.390468031193315,100,1,0.92638505,7.3893127,0.01,0.0011261641,100,53.390468031193315,1.6744996,1.3040396,1.21565445e-05,0.3536516,0.4,71.0242772477864,-7.904209161536935,4.120905e-05,-9.866893,-7.904209161536935
200.0,-6.8812211747632634,71.67067371360123,0.03691179,-5.969239,47.23498855350286,100,1,0.971708,7.5924244,0.01,0.119058594,100,47.23498855350286,3.5867481,1.3952708,0.0012252508,0.4695803,0.4,67.00843982425344,-6.8812211747632634,4.9732276e-05,-9.323881,-6.8812211747632634
200.0,-7.02819159422423,97.8130092600798,0.01122608,-6.971871,41.260876917768606,100,1,1.0019397,6.362247,0.01,0.5138659,100,41.260876917768606,1.1247854,1.0223589,0.005128711,0.020615729,0.4,98.00744375372956,-7.02819159422423,2.0535986e-06,-9.824638,-7.02819159422423
200.0,-7.09629391988608,86.0850626662659,0.035430916,-6.497656,44.10572496706669,100,1,1.0402076,6.538385,0.010000002,0.81410336,100,44.10572496706669,3.685551,1.1616417,0.007826354,0.16446313,0.4,86.92062680590946,-7.09629391988608,1.5199471e-05,-9.430194,-7.09629391988608
200.0,-8.154742147751577,99.42033894568746,0.013525935,-8.135979,45.62367491131415,100,1,1.0121448,6.724633,0.01,0.95015806,100,45.62367491131415,1.3690205,1.0058304,0.00938757,0.006698401,0.4,99.35682784271843,-8.154742147751577,6.5386166e-07,-10.951359,-8.154742147751577
200.0,-7.657394793331223,82.94405123253165,0.015641943,-7.281591,45.491292898553624,100,1,0.9949848,6.9269423,0.01,0.08298668,100,45.491292898553624,1.5563495,1.205632,0.0008340497,0.1967554,0.4,83.55918798064337,-7.657394793331223,1.987439e-05,-10.383253,-7.657394793331223
200.0,-7.784557972528064,93.4909785181372,0.012279106,-7.6124883,45.71112460425034,100,1,1.0137262,6.777332,0.01,0.1688247,100,45.71112460425034,1.2447653,1.0696219,0.0016653874,0.061569367,0.4,94.40070250013301,-7.784557972528064,5.991331e-06,-10.402196,-7.784557972528064
200.0,-7.803466570389216,99.39417550639605,0.011855995,-7.7865953,47.759218881219226,100,1,1.0074273,6.8807797,0.009999998,0.8224893,100,47.759218881219226,1.1944054,1.0060952,0.008164254,0.005082417,0.4,99.50669281747696,-7.803466570389216,5.007751e-07,-10.556725,-7.803466570389216
200.0,-8.426940520695394,98.03215988414625,0.013704469,-8.368785,43.723314632412816,100,1,0.99633193,6.6208644,0.01,0.9122078,100,43.723314632412816,1.3654201,1.0200734,0.009155662,0.010735471,0.4,98.94068576511825,-8.426940520695394,1.0814664e-06,-11.205303,-8.426940520695394
200.0,-7.774681652407906,90.29696592752956,0.012853744,-7.5092287,57.90338375761865,100,1,1.0352467,7.997974,0.01,0.1068352,100,57.90338375761865,1.3306797,1.1074569,0.0010319782,0.09814815,0.4,91.68736813645222,-7.774681652407906,9.157867e-06,-10.47707,-7.774681652407906
200.0,-8.655338429399176,83.04851907542057,0.01612794,-8.2380705,54.59855073505438,100,1,0.9309655,8.06069,0.009999999,0.00047221786,100,54.59855073505438,1.5014555,1.2041154,5.072345e-06,0.20423378,0.4,81.0839620629606,-8.655338429399176,2.3564615e-05,-11.36075,-8.655338429399176
200.0,-7.8284000171807415,84.68569931002511,0.03271358,-7.3327966,51.08851210647001,100,1,0.9910507,7.490426,0.01,0.6031229,100,51.08851210647001,3.2420816,1.1808369,0.0060856915,0.18194783,0.4,84.50255066456153,-7.8284000171807415,1.8524872e-05,-10.326859,-7.8284000171807415
200.0,-7.057312620951755,99.84323558141675,0.011402816,-7.0507793,40.369960030510335,100,1,1.000673,6.3108463,0.01,0.9731311,100,40.369960030510335,1.141049,1.0015701,0.009724766,0.0014888245,0.4,99.85302537256537,-7.057312620951755,1.4868223e-07,-9.6594515,-7.057312620951755
200.0,-8.17547087290034,92.36030415474536,0.020325184,-7.952067,47.94128578540137,100,1,1.0326413,7.1926303,0.01,0.610402,100,47.94128578540137,2.0988624,1.0827162,0.0059110746,0.09492917,0.4,91.90056523696855,-8.17547087290034,8.902269e-06,-10.813904,-8.17547087290034
200.0,-8.156017740090999,84.55675032084481,0.014415019,-7.7666636,50.72075079794677,100,1,1.0303372,7.371209,0.01,0.039803,100,50.72075079794677,1.4852331,1.1826377,0.0003863104,0.20514655,0.4,83.9411037942018,-8.156017740090999,1.9324374e-05,-10.867211,-8.156017740090999
