Bound,VarJ,AvgEpLen,VarDiscRet,VarVanillaIw,AvgNormIw,J,BatchSize,ESSClassic,VarNormIw,ESSRenyi,MaxNormIw,AvgVanillaIw,MaxVanillaIw,MinVanillaIw,AvgDiscRet,VarRet,MinNormIw,VanillaAvgRet,eRenyi2,AvgRet
38.79111,70.84828,4.41,256.62887337303863,23.451761,0.010000003,68.5112,100,2.610236119700204,0.0037687588,6.49076774553132,0.5881048,0.7888394,46.39202,8.658677e-22,34.07641874443197,256.62887337303863,1.0976476e-23,34.07641874443197,15.406498,34.07641874443197
147.33781,259.6328,6.39,1104.4596026982827,24.90993,0.01,163.32251,100,1.5193379176774793,0.006547289,99.99986886995345,0.7976057,0.616816,49.197594,,53.86624526172043,1104.4596026982827,,53.86624526172043,1.0000013,53.86624526172043
184.41313,318.3189,12.52,8050.96647461046,85.23981,0.01,281.738,100,3.669088174435688,0.0026519934,11.351100966164696,0.5077947,1.7928133,91.0381,5.7580357e-05,115.13763860498932,8050.96647461046,3.211732e-07,115.13763860498932,8.809718,115.13763860498932
2976.2844,1802.7218,80.84,1675527.2960465027,23.234266,0.01,4684.895,100,4.5510098776338115,0.0021185,6.065770281950814,0.3034354,1.0472499,31.777267,3.84849e-19,799.0715835212256,1675527.2960465027,3.6748537e-21,799.0715835212256,16.485952,799.0715835212256
3822.1702,754.329,232.3,4383938.338925566,2.463738,0.01,4790.7886,100,13.583268760202998,0.0006426262,18.874166046423305,0.14953293,0.61918163,9.258804,1.9057625e-15,2315.8955932343133,4383938.338925566,3.0778732e-17,2315.8955932343133,5.2982473,2315.8955932343133
4514.451,122.12531,480.17,675197.4171600181,0.17647994,0.010000002,4968.463,100,85.31019494183471,1.7393215e-05,85.90905790463249,0.016812699,1.0072975,1.6935389,0.0025532544,4800.783331434776,675197.4171600181,2.534757e-05,4800.783331434776,1.1640216,4800.783331434776
4539.722,119.17705,489.89,421156.46201049176,0.09773808,0.009999998,4979.8374,100,91.1955703891854,9.751978e-06,91.41976328487463,0.014148889,1.0011188,1.4164718,0.09681971,4898.5275680920795,421156.46201049176,0.00096711516,4898.5275680920795,1.0938554,4898.5275680920795
4541.902,182.31522,494.48,152781.73892184574,0.04454343,0.009999998,4974.195,100,96.04401569714105,4.1605535e-06,94.7582213856109,0.013929245,1.0347043,1.441265,0.40601426,4944.415998629112,152781.73892184574,0.003923964,4944.415998629112,1.0553174,4944.415998629112
4556.333,52.316414,492.1,223080.09276362037,0.102129005,0.01,4991.0337,100,90.43209052149399,1.0687082e-05,93.71134952324958,0.01333362,0.97756356,1.303446,0.09517049,4920.630222929904,223080.09276362037,0.00097354787,4920.630222929904,1.0671066,4920.630222929904
4579.1465,0.041261915,500.0,0.001721158133536995,4.254395e-07,0.009999999,4999.957,100,99.99995803754612,4.2545068e-11,99.99996423722592,0.010013612,0.999981,1.0013422,0.9981164,4999.956920174176,0.001721158133536995,0.009981354,4999.956920174176,1.0000004,4999.956920174176
4573.485,39.255512,499.16,7223.857293561956,0.009776314,0.010000002,4996.0054,100,99.0309735669422,9.883685e-07,99.19221201283398,0.011154189,0.9945535,1.1093438,0.45914522,4991.427666101514,7223.857293561956,0.0046165963,4991.427666101514,1.0081437,4991.427666101514
4579.137,0.05782771,500.0,0.0033781682524975623,,0.009999998,4999.9478,100,100.0,3.5044917e-18,100.0,0.01,1.0,1.0,1.0,4999.947705043964,0.0033781682524975623,0.01,4999.947705043964,1.0,4999.947705043964
4561.004,114.27266,497.3,66740.68455662907,0.028757315,0.010000002,4987.265,100,97.22709059661683,2.8807963e-06,97.45881884940938,0.012388688,0.99912065,1.2377794,0.38174462,4972.733323774794,66740.68455662907,0.003820806,4972.733323774794,1.0260744,4972.733323774794
4579.1274,0.11509701,500.0,0.013375942372444157,,0.009999998,4999.938,100,100.0,3.5044917e-18,100.0,0.01,1.0,1.0,1.0,4999.937603366867,0.013375942372444157,0.01,4999.937603366867,1.0,4999.937603366867
4579.139,0.050528474,500.0,0.0025781153880235705,,0.009999998,4999.9497,100,100.0,3.5044917e-18,100.0,0.01,1.0,1.0,1.0,4999.949584970679,0.0025781153880235705,0.01,4999.949584970679,1.0,4999.949584970679
4569.4976,65.56483,498.51,22536.14036545464,0.018634044,0.01,4993.409,100,98.16258702781359,1.8906876e-06,98.54228371048947,0.011648847,0.99275863,1.1564493,0.4332701,4984.949007845844,22536.14036545464,0.0043643047,4984.949007845844,1.0147928,4984.949007845844
4579.131,0.07913962,500.0,0.006325272625431789,2.8778295e-09,0.01,4999.9414,100,99.9999885559642,2.878051e-13,100.0,0.010000793,1.0000048,1.0000842,0.99981475,4999.940745766924,0.006325272625431789,0.0099981,4999.940745766924,1.0,4999.940745766924
4563.209,94.92429,496.95,93684.54275348167,0.037288465,0.01,4990.4795,100,96.36098145407323,3.814593e-06,96.99892867198689,0.012863998,0.9886968,1.2718594,0.30598438,4969.343802661592,93684.54275348167,0.0030948252,4969.343802661592,1.0309392,4969.343802661592
4579.1426,0.044576947,500.0,0.002007055994045323,,0.009999998,4999.953,100,100.0,3.5044917e-18,100.0,0.01,1.0,1.0,1.0,4999.953267499663,0.002007055994045323,0.01,4999.953267499663,1.0,4999.953267499663
4579.1367,0.108903624,500.0,0.011981608475150677,,0.009999998,4999.9473,100,100.0,3.5044917e-18,100.0,0.01,1.0,1.0,1.0,4999.9471977998255,0.011981608475150677,0.01,4999.9471977998255,1.0,4999.9471977998255
4579.1196,0.1448157,500.0,0.021426201932302713,2.1114436e-06,0.01,4999.9307,100,99.99980161525622,2.1118912e-10,99.99976158198933,0.010012147,0.9998953,1.0011098,0.9925721,4999.9297919534465,0.021426201932302713,0.0099267615,4999.9297919534465,1.0000024,4999.9297919534465
