AvgNormIw,ESSRenyi,BatchSize,ESSClassic,Bound,Delta,IterType,J,AvgDiscRet,AvgVanillaIw,VarDiscRet,MinNormIw,VarRet,EpsThisIter,AvgEpLen,VanillaAvgRet,VarNormIw,eRenyi2,MinVanillaIw,AvgRet,MaxNormIw,VarVanillaIw,MaxVanillaIw,VarJ
0.01,16.99446233,100,16.9046949886,-191.208,0.5,1,-90.021,-313.050702843,1.07096,22396.0299037,8.15263e-22,22396.0299037,100,385.49,-313.050702843,0.000496517,5.88427,8.73116e-20,-313.050702843,0.0901306,5.69485,9.65265,105.471
0.01,62.1598047725,100,63.6670521302,-151.045,0.5,1,-98.1364,-127.100015751,1.01062,15521.9888701,5.68751e-05,15521.9888701,100,168.02,-127.100015751,5.76436e-05,1.60876,0.00574792,-127.100015751,0.0285768,0.588745,2.88804,103.39
0.01,87.1357285751,100,88.1469060599,-118.35,0.5,1,-73.6643,-81.4288297516,1.01016,4010.14279903,0.000562281,4010.14279903,100,113.53,-81.4288297516,1.35828e-05,1.14763,0.0567992,-81.4288297516,0.0144667,0.138601,1.46137,47.0969
0.01,97.1449356913,100,97.5347990361,-121.316,0.5,1,-78.9936,-80.214081808,1.00988,3741.1598014,0.00733204,3741.1598014,100,112.62,-80.214081808,2.55307e-06,1.02939,0.740447,-80.214081808,0.0147762,0.0260376,1.49222,58.1752
0.01,84.8957021377,100,79.085971969,-120.972,0.5,1,-75.7011,-81.6130304985,0.907574,4848.59938378,0.00023013,4848.59938378,100,113.64,-81.6130304985,2.67117e-05,1.17792,0.020886,-81.6130304985,0.0186508,0.220022,1.69269,47.7032
0.01,78.7527031727,100,79.1456503833,-119.542,0.5,1,-72.5362,-84.5408087108,0.987376,6016.8328395,0.000419276,6016.8328395,100,117.24,-84.5408087108,2.66155e-05,1.2698,0.0413983,-84.5408087108,0.0195206,0.259477,1.92742,34.3453
0.01,85.1435566742,100,85.329671173,-132.603,0.5,1,-87.3957,-94.6913627921,1.03953,9245.31686491,0.00139964,9245.31686491,100,128.73,-94.6913627921,1.73662e-05,1.17449,0.145496,-94.6913627921,0.021615,0.187663,2.24694,76.9472
0.01,94.7435699496,100,80.9647068501,-116.004,0.5,1,-73.1595,-75.2233041596,1.04303,2553.88150632,0.00769228,2553.88150632,100,106.14,-75.2233041596,2.37481e-05,1.05548,0.80233,-75.2233041596,0.0544269,0.258359,5.67691,43.3393
0.01,81.189649941,100,81.9914086257,-124.595,0.5,1,-78.301,-89.4678647889,1.09885,8280.099754,0.000878216,8280.099754,100,121.72,-89.4678647889,2.21859e-05,1.23168,0.0965026,-89.4678647889,0.0313258,0.267887,3.44223,64.7897
0.01,96.1497057491,100,95.5413534963,-120.883,0.5,1,-78.3419,-80.0987550722,1.02009,4911.79836862,0.00797565,4911.79836862,100,111.88,-80.0987550722,4.71387e-06,1.04004,0.813588,-80.0987550722,0.0221242,0.0490518,2.25687,62.8522
0.01,72.6074682292,100,73.4341729302,-131.5,0.5,1,-82.5459,-94.3357688878,0.959813,9312.5614755,0.00105205,9312.5614755,100,128.27,-94.3357688878,3.65418e-05,1.37727,0.100977,-94.3357688878,0.023214,0.336637,2.22811,69.5632
0.01,93.6750161446,100,93.6842587169,-126.905,0.5,1,-83.806,-87.5732873593,1.0197,7159.97279329,0.00248401,7159.97279329,100,120.78,-87.5732873593,6.80961e-06,1.06752,0.253293,-87.5732873593,0.0183747,0.0708049,1.87367,73.4856
0.01,96.4694487828,100,94.7509927586,-113.011,0.5,1,-70.5409,-72.0537640817,1.00759,2599.19296104,0.00234632,2599.19296104,100,102.33,-72.0537640817,5.59577e-06,1.0366,0.236412,-72.0537640817,0.0255036,0.0568098,2.56971,46.4968
0.01,99.0862589203,100,99.2088699767,-118.429,0.5,1,-76.5279,-76.9322561882,0.98346,3736.81899537,0.0092847,3736.81899537,100,108.76,-76.9322561882,8.05529e-07,1.00922,0.913113,-76.9322561882,0.0150238,0.00779103,1.47753,58.3944
0.01,83.2979796044,100,83.9949865287,-116.658,0.5,1,-70.9536,-77.0540629941,1.01885,3741.66822389,0.000312232,3741.66822389,100,108.28,-77.0540629941,1.92472e-05,1.20051,0.0318119,-77.0540629941,0.0157614,0.199799,1.60586,33.2154
0.01,95.3545532989,100,94.8491118519,-117.674,0.5,1,-74.9557,-76.9013059431,0.995587,3769.38830406,0.00514295,3769.38830406,100,108.08,-76.9013059431,5.48545e-06,1.04872,0.512026,-76.9013059431,0.0152599,0.0543715,1.51925,51.3658
0.01,95.2874631893,100,95.1417840235,-125.576,0.5,1,-82.8427,-85.2836915182,1.01305,7215.38743949,0.00640511,7215.38743949,100,117.25,-85.2836915182,5.15787e-06,1.04946,0.648868,-85.2836915182,0.0186847,0.0529334,1.89285,74.3193
0.01,95.7258668309,100,96.6805913723,-113.091,0.5,1,-70.4565,-72.2304724181,1.0042,2594.16320579,0.00484447,2594.16320579,100,102.43,-72.2304724181,3.46805e-06,1.04465,0.486483,-72.2304724181,0.013208,0.0349726,1.32635,39.4262
