VarRet,BatchSize,J,AvgVanillaIw,MaxNormIw,EpsThisIter,IterType,MinNormIw,AvgDiscRet,AvgNormIw,VarVanillaIw,VanillaAvgRet,MinVanillaIw,MaxVanillaIw,AvgRet,Delta,Bound,VarJ,ESSClassic,eRenyi2,AvgEpLen,ESSRenyi,VarDiscRet,VarNormIw
153715.045746,100,-1017.17,1.12138,0.213236,100,1,4.56563e-17,-1485.85436731,0.01,7.82583,-1485.85436731,5.11979e-15,23.9118,-1485.85436731,0.6,-1347.79,809.025,13.9642348116,4.1096,500.0,24.3332708705,153715.045746,0.000622339
55035.0395322,100,-1019.41,1.0173,0.0627909,100,1,5.1218e-06,-1140.23856347,0.01,1.50479,-1140.23856347,0.000521042,6.38774,-1140.23856347,0.6,-1248.46,373.181,40.9921393633,2.0397,500.0,49.0269372623,55035.0395322,0.000145403
50476.1628532,100,-999.672,0.915899,0.0785578,100,1,3.92103e-06,-1131.23246474,0.01,1.4836,-1131.23246474,0.000359127,7.1951,-1131.23246474,0.6,-1242.18,460.384,36.3518826274,2.29675,500.0,43.5397967356,50476.1628532,0.000176857
90587.4681231,100,-888.811,1.0215,0.0635085,100,1,3.94605e-08,-1066.85116394,0.01,1.99768,-1066.85116394,4.03091e-06,6.48743,-1066.85116394,0.6,-1145.43,371.964,34.5385573034,2.5662,500.0,38.9681636269,90587.4681231,0.000191446
58521.5059542,100,-750.873,0.90091,0.0745686,100,1,5.21717e-05,-882.796499165,0.01,1.24932,-882.796499165,0.0047002,6.71796,-882.796499165,0.6,-979.336,223.675,39.6217183474,2.03574,500.0,49.1222349957,58521.5059542,0.000153926
54118.0468799,100,-697.094,1.02241,0.0257089,100,1,0.000892102,-759.095613036,0.01,0.438561,-759.095613036,0.0912093,2.6285,-759.095613036,0.6,-888.329,159.837,70.6537827671,1.42479,500.0,70.1857159495,54118.0468799,4.19548e-05
48582.7029941,100,-648.042,1.06641,0.0389329,100,1,0.000631909,-708.799569258,0.01,0.559563,-708.799569258,0.0673872,4.15183,-708.799569258,0.6,-836.335,123.156,67.2439236587,1.38061,500.0,72.4319268674,48582.7029941,4.92044e-05
23941.2991461,100,-634.756,0.992545,0.0201144,100,1,0.00219953,-659.251767758,0.01,0.160773,-659.251767758,0.218313,1.99645,-659.251767758,0.6,-807.042,106.034,86.0907587171,1.15817,500.0,86.342853655,23941.2991461,1.63197e-05
9870.54501292,100,-618.381,1.01546,0.0309412,100,1,0.00175675,-641.063604025,0.01,0.273175,-641.063604025,0.178391,3.14196,-641.063604025,0.6,-735.672,78.2027,79.2223213729,1.19866,500.0,83.4266411446,9870.54501292,2.6492e-05
5695.22227143,100,-574.555,1.12271,0.0443815,100,1,0.000781397,-604.023282606,0.01,0.579137,-604.023282606,0.0877282,4.98276,-604.023282606,0.6,-659.771,87.5232,68.7349943133,1.43365,500.0,69.751816114,5695.22227143,4.59458e-05
4335.79080641,100,-533.442,1.49831,0.497847,100,1,0.000181133,-592.048791771,0.01,54.8319,-592.048791771,0.0271392,74.5927,-592.048791771,0.6,-625.841,205.356,3.97130436383,2.20743,500.0,45.3015423225,4335.79080641,0.00244249
5015.87470743,100,-568.67,0.930055,0.0246188,100,1,0.000664058,-589.391851496,0.01,0.27904,-589.391851496,0.0617611,2.28968,-589.391851496,0.6,-646.798,56.048,75.7941485544,1.28041,500.0,78.1000386375,5015.87470743,3.22589e-05
11026.7496668,100,-543.081,1.00116,0.0236793,100,1,0.000646064,-578.200428597,0.01,0.325188,-578.200428597,0.0646812,2.37067,-578.200428597,0.6,-659.4,61.5576,75.6892197383,1.24389,500.0,80.3931041363,11026.7496668,3.24437e-05
5455.61664454,100,-550.849,0.976246,0.0166242,100,1,0.00160625,-560.434138671,0.01,0.0796999,-560.434138671,0.15681,1.62293,-560.434138671,0.6,-645.528,53.1567,92.3540429043,1.09948,500.0,90.9517977399,5455.61664454,8.36256e-06
4337.43243638,100,-519.559,1.04159,0.0309943,100,1,0.00117135,-543.532316246,0.01,0.502832,-543.532316246,0.122006,3.22833,-543.532316246,0.6,-588.987,76.6501,68.5474000898,1.47055,500.0,68.0018258967,4337.43243638,4.63479e-05
