InitialReturnMax,Inner Iteration,StdIW,Iteration,EmpiricalD2Harmonic,EmpiricalD2Arithmetic,ESSRenyiArithmetic,LearnableVariance,Penalization,InitialReturnStd,WReturnMean,MeanD2-0,Bound,ESSRenyiHarmonic,OptimizationReturnMin,StdWReturnMean,InitialReturnMin,EpThisIter,DivergenceHarmonic,MeanIW,TimestepsSoFar,OptimizationReturnMean,ReturnStepMax,MinBehavPdf,InitialReturnMean,ReturnMeanIW,VarianceInitializer,EpLenMean,MaxIW,MeanEntropy,OptimizationReturnMax,EpisodesSoFar,ReturnStepMaxmin,EpRewMean,MinTargetPdf,Epsilon,TimeElapsed,InitialBound,MinIW
11.248075,1,23996.146,1,1.0,1.0,100.0,,True,5.683796,196.18013,1.0,-686081360000000.0,100.0,,,-14.9665,100,9.8676817e+27,7823.3276,50000,12.801352,0.26489455,-878.8111,-2.1651495,1297819.5,-0.6,500.0,221105.78,1.6378663,26.214575,100,0.010586321,-2.1651491764932587,-878.8111,1.0,69.82106041908264,-203.08679,0.42146707
15.864311,1,926567.2,2,1.0,1.0,100.0,,True,5.9783316,318.0143,1.0,-1.7960272e+17,100.0,,,-13.884068,100,4.07763e+32,164371.28,100000,16.801006,0.38337052,-873.65466,2.9169407,28817994.0,-0.6,500.0,8477116.0,1.6378663,29.748379,200,0.1861157,2.9169406259267316,-873.65466,1.0,132.9620485305786,-326.90857,1.1075595e-05
21.992973,1,101381.22,3,1.0,1.0,100.0,,True,4.656477,176.8884,1.0,-4666585000.0,100.0,,,-2.4730659,100,6.0141994e+17,17107.648,150000,12.458156,0.22560535,-871.68726,9.985089,1080389.4,-0.6,500.0,949250.3,1.6378663,24.46604,300,0.028748944,9.985089409882162,-871.68726,1.0,190.8154239654541,-182.90442,0.011776486
25.93698,1,514362.84,4,1.0,1.0,100.0,,True,4.1326303,162.09256,1.0,-8786998000.0,100.0,,,1.6521378,100,2.1940555e+18,69204.41,200000,12.042172,0.23773116,-882.64636,13.69431,7357841.5,-0.6,500.0,4952511.0,1.6378663,24.284842,400,0.014994249,13.694311327182891,-882.64636,1.0,257.2480523586273,-168.0198,0.0021383837
27.08374,1,15168388.0,5,1.0,1.0,100.0,,True,5.193945,201.05444,1.0,-15676765000000.0,100.0,,,4.5534606,100,9.442044e+24,3039692.8,250000,13.19384,0.2636362,-875.5222,17.7473,285625400.0,-0.6,500.0,116894480.0,1.6378663,22.53028,500,0.010891825,17.747299666004256,-875.5222,1.0,323.6864244937897,-206.15614,0.03445704
30.875612,1,777327.44,6,1.0,1.0,100.0,,True,5.372339,192.83244,1.0,-61276240000.0,100.0,,,5.818814,100,9.422752e+19,114463.93,300000,12.805094,0.30289403,-885.8272,18.623907,23929376.0,-0.6,500.0,7694983.0,1.6378663,25.056799,600,0.052485824,18.623906951707642,-885.8272,1.0,385.08373188972473,-199.14249,0.013213211
34.18699,1,33697.395,7,1.0,1.0,100.0,,True,5.2841663,343.0569,1.0,-2494453300000.0,100.0,,,5.0327134,100,8.526587e+22,11424.457,350000,17.752028,0.2710456,-865.2898,22.784739,5099287.5,-0.6,500.0,174887.72,1.6378663,29.154276,700,0.05089183,22.784739781239008,-865.2898,1.0,451.1679992675781,-351.5994,0.049988028
37.870598,1,4610572.0,8,1.0,1.0,100.0,,True,4.6447926,196.38445,1.0,-7556916000000000.0,100.0,,,12.476347,100,1.3595114e+30,957786.75,400000,13.221587,0.24608159,-868.71625,25.697935,189379740.0,-0.6,500.0,43515296.0,1.6378663,25.39425,800,0.019308537,25.69793345887558,-868.71625,1.0,514.7614471912384,-202.86557,0.0038246657
40.59041,1,1101518200.0,9,1.0,1.0,100.0,,True,4.223224,200.626,1.0,-6.9063635e+18,100.0,,,15.877059,100,1.2659243e+36,248841780.0,450000,13.519999,0.23107512,-875.25433,29.397057,47120634000.0,-0.6,500.0,8645018000.0,1.6378663,24.713348,900,0.051036224,29.397058590416464,-875.25433,1.0,584.6225748062134,-206.7642,0.006147715
45.143166,1,9320915.0,10,1.0,1.0,100.0,,True,4.3412294,150.34618,1.0,-3013026700000000.0,100.0,,,23.78659,100,4.3203072e+29,1651221.5,500000,11.46734,0.27064243,-878.95026,35.25393,152096670.0,-0.6,500.0,86932250.0,1.6378663,21.356575,1000,0.027112946,35.25393167839625,-878.95026,1.0,661.8074746131897,-154.93013,0.013454096
51.009705,1,532.442,11,1.0,1.0,100.0,,True,4.8795238,210.3693,1.0,-198583.31,100.0,,,23.985596,100,529694980.0,175.95956,550000,13.65868,0.24349986,-883.4703,37.644276,29656.691,-0.6,500.0,3504.29,1.6378663,27.024109,1100,0.0356154,37.64427529295442,-883.4703,1.0,732.1934094429016,-217.709,0.012830155
50.111084,1,1138.3832,12,1.0,1.0,100.0,,True,5.1186514,197.9553,1.0,-531060.25,100.0,,,27.34771,100,9237467000.0,308.85782,600000,13.105522,0.32709432,-895.131,40.45323,30527.943,-0.6,500.0,7644.735,1.6378663,22.763374,1200,0.07187992,40.45323223605105,-895.131,1.0,808.8265273571014,-203.16304,0.01543273
53.389015,1,7755.274,13,1.0,1.0,100.0,,True,4.7607017,310.4532,1.0,-937586.4,100.0,,,26.186874,100,6394170400.0,1789.8672,650000,16.964342,0.21964766,-876.06934,43.151222,342910.1,-0.6,500.0,62472.42,1.6378663,27.20214,1300,0.034169406,43.151216973538595,-876.06934,1.0,876.4189176559448,-317.8899,0.052425392
57.12866,1,510.24643,14,1.0,1.0,100.0,,True,5.025443,289.32425,1.0,-243827.22,100.0,,,28.584597,100,621707900.0,174.81209,700000,16.250206,0.24258901,-870.8978,44.8348,39650.074,-0.6,500.0,3899.3093,1.6378663,28.544062,1400,0.031439513,44.8348017851732,-870.8978,1.0,943.7820382118225,-297.5128,0.0029790164
58.54262,1,268.9736,15,1.0,1.0,100.0,,True,4.7804923,235.10532,1.0,-515712.56,100.0,,,32.222248,100,4974745000.0,89.69779,750000,14.568878,0.20159084,-864.0686,46.791122,24632.977,-0.6,500.0,1978.246,1.6378663,26.320374,1500,0.027553812,46.79112670736847,-864.0686,1.0,1010.1314594745636,-242.06773,0.026277607
58.84842,1,271.55722,16,1.0,1.0,100.0,,True,4.816003,301.6557,1.0,-708234.25,100.0,,,31.238186,100,7776072700.0,86.30752,800000,16.687176,0.2810754,-879.12646,47.92536,32613.902,-0.6,500.0,1756.6984,1.6378663,27.610233,1600,0.055571243,47.92536116453282,-879.12646,1.0,1089.623923778534,-309.31723,0.01084636
55.859856,1,26319674.0,17,1.0,1.0,100.0,,True,4.7087593,146.55309,1.0,-8316010000000000.0,100.0,,,34.641277,100,3.377537e+30,4021615.2,850000,11.152609,0.22768834,-860.5415,45.793888,917099900.0,-0.6,500.0,256476820.0,1.6378663,21.218578,1700,0.01424329,45.79388557093879,-860.5415,1.0,1164.638146162033,-151.07799,0.12874433
53.311855,1,1398.2476,18,1.0,1.0,100.0,,True,3.906695,144.42993,1.0,-137211.95,100.0,,,32.745064,100,495015460.0,340.1654,900000,11.365195,0.29842743,-861.69116,44.11026,42626.387,-0.6,500.0,10248.261,1.6378663,20.566792,1800,0.050258502,44.11025953310034,-861.69116,1.0,1258.1078941822052,-148.68109,0.045392554
55.23696,1,956.0292,19,1.0,1.0,100.0,,True,4.640774,458.37845,1.0,-755242.06,100.0,,,25.31,100,5678029300.0,234.27596,950000,20.900757,0.25121802,-869.7154,46.21076,76966.055,-0.6,500.0,8328.727,1.6378663,29.926962,1900,0.013371915,46.210757661358194,-869.7154,1.0,1345.771740913391,-467.37964,0.07954009
59.403038,1,488.89258,20,1.0,1.0,100.0,,True,5.2838583,312.26587,1.0,-349263.94,100.0,,,30.850449,100,1309486700.0,153.50685,1000000,16.862583,0.2591487,-873.1884,47.71303,52764.473,-0.6,500.0,3669.3276,1.6378663,28.55259,2000,0.06873764,47.71303221484268,-873.1884,1.0,1456.2312676906586,-320.4593,0.0053831195
58.260147,1,1317.701,21,1.0,1.0,100.0,,True,4.732429,202.28311,1.0,-2231430.8,100.0,,,34.430927,100,145791610000.0,244.1414,1050000,13.412205,0.25222707,-895.17865,47.843124,52374.91,-0.6,500.0,13034.329,1.6378663,23.82922,2100,0.001973778,47.84313101976968,-895.17865,1.0,1563.5788171291351,-207.98993,0.0019897893
63.285934,1,759.78107,22,1.0,1.0,100.0,,True,4.951761,307.48337,1.0,-1332719.9,100.0,,,32.937782,100,19186665000.0,210.81126,1100000,16.821518,0.2659017,-882.9391,49.759296,50546.72,-0.6,500.0,5423.5767,1.6378663,30.348152,2200,0.008701205,49.75930021834851,-882.9391,1.0,1665.7041301727295,-316.7397,0.0378021
62.211754,1,1246213000.0,23,1.0,1.0,100.0,,True,5.007916,148.93095,1.0,-8.797925e+16,100.0,,,39.95652,100,3.123681e+32,155512260.0,1150000,11.128868,0.27485445,-914.366,51.085384,41556607000.0,-0.6,500.0,12377371000.0,1.6378663,22.255234,2300,0.07082015,51.085388828908,-914.366,1.0,1789.4067151546478,-153.90877,0.39352244
64.152145,1,7663.858,24,1.0,1.0,100.0,,True,5.199674,512.11426,1.0,-22330932.0,100.0,,,30.163454,100,3458984000000.0,1398.5281,1200000,22.02448,0.23035969,-892.23694,52.18793,737302.2,-0.6,500.0,64486.984,1.6378663,33.988693,2400,0.006748125,52.187932259947175,-892.23694,1.0,1901.7999572753906,-523.72455,0.035106633
65.57997,1,712.77386,25,1.0,1.0,100.0,,True,5.255909,376.83615,1.0,-221243.9,100.0,,,35.232193,100,376074780.0,149.83968,1250000,18.687202,0.2266488,-865.3793,53.9194,41740.23,-0.6,500.0,6893.808,1.6378663,30.347778,2500,0.007215664,53.91939629926742,-865.3793,1.0,1997.8541114330292,-386.09222,0.0036880362
63.80803,1,4393.0923,26,1.0,1.0,100.0,,True,5.1853175,160.4575,1.0,-21362812.0,100.0,,,40.94441,100,16172653000000.0,1067.256,1300000,11.557248,0.33437526,-861.933,52.50166,234585.61,-0.6,500.0,38277.3,1.6378663,22.86362,2600,0.090449646,52.501656841132736,-861.933,1.0,2101.46550655365,-165.71117,0.008911087
64.1826,1,811.1516,27,1.0,1.0,100.0,,True,4.9239187,179.72739,1.0,-1123198.4,100.0,,,40.447655,100,36672143000.0,261.93307,1350000,12.469259,0.3017139,-866.9368,52.916916,38954.258,-0.6,500.0,5583.4575,1.6378663,23.734947,2700,0.07753195,52.916913829547575,-866.9368,1.0,2201.859789133072,-185.38913,0.011706256
61.47005,1,2551.5781,28,1.0,1.0,100.0,,True,4.755104,181.42429,1.0,-413769.06,100.0,,,39.312706,100,5286503400.0,517.5621,1400000,12.602116,0.25560552,-867.5744,51.914818,55010.645,-0.6,500.0,24067.629,1.6378663,22.157345,2800,0.047974214,51.91482068048036,-867.5744,1.0,2291.2875928878784,-186.35838,0.050558753
66.69772,1,1611.292,29,1.0,1.0,100.0,,True,5.4704547,230.48212,1.0,-4583498.5,100.0,,,38.33084,100,312736740000.0,326.5654,1450000,14.161788,0.27979493,-871.09784,52.49263,60827.027,-0.6,500.0,15855.388,1.6378663,28.366882,2900,0.000936985,52.4926287262563,-871.09784,1.0,2396.4704320430756,-238.56926,0.01521017
