ESSRenyiArithmetic,ReturnMeanIW,EpLenMean,InitialReturnMax,Penalization,InitialReturnMin,MinTargetPdf,ESSRenyiHarmonic,WReturnMean,OptimizationReturnMin,OptimizationReturnMean,InitialBound,MaxIW,EmpiricalD2Harmonic,TimestepsSoFar,MeanD2-0,LearnableVariance,ReturnStepMax,InitialReturnStd,ReturnStepMaxmin,Epsilon,OptimizationReturnMax,MinBehavPdf,Bound,Iteration,StdWReturnMean,EpThisIter,EpRewMean,MeanIW,DivergenceHarmonic,StdIW,MinIW,EmpiricalD2Arithmetic,VarianceInitializer,EpisodesSoFar,InitialReturnMean,TimeElapsed,Inner Iteration,MeanEntropy
100.0,1547050900.0,500.0,13.234715,True,-14.750432,-894.84796,100.0,213.3705,,13.39988,-221.24164,2665056800.0,1.0,50000,1.0,,0.27296767,5.8149557,0.0720669,1.0,27.985147,-894.84796,-60093410000000.0,1,,100,-1.3505514454698986,26976446.0,5.828491e+25,265143970.0,0.08057598,1.0,-0.6,100,-1.3505515,32.646218061447144,1,1.6378663
100.0,17316730.0,500.0,17.21079,True,-10.998734,-900.3961,100.0,263.40027,,15.10083,-271.39813,3065339.5,1.0,100000,1.0,,0.28211254,5.9468627,0.05269392,1.0,28.209526,-900.3961,-47448556000.0,2,,100,4.102096310490574,38542.3,3.5170694e+19,307901.06,0.040407486,1.0,-0.6,200,4.1020966,83.9341459274292,1,1.6378663
100.0,385492000.0,500.0,22.181055,True,-8.22658,-873.53326,100.0,294.32587,,16.159752,-303.61868,157837280.0,1.0,150000,1.0,,0.28415924,5.7609267,0.020861149,1.0,30.407635,-873.53326,-12925380000000.0,3,,100,7.933173031751235,1686365.6,1.9344848e+24,15703083.0,0.0016066664,1.0,-0.6,300,7.9331727,148.13601064682007,1,1.6378663
100.0,2729735.2,500.0,25.006567,True,-2.9903202,-876.29333,100.0,253.29218,,14.764741,-261.16992,1179343.9,1.0,200000,1.0,,0.23149264,5.940929,0.018243298,1.0,27.996887,-876.29333,-4360905000.0,4,,100,11.774420757283444,25779.105,3.0605934e+17,132607.33,0.14807533,1.0,-0.6,400,11.77442,214.27103734016418,1,1.6378663
100.0,1815757.5,500.0,28.08059,True,-0.8118496,-879.4198,100.0,277.16873,,15.537289,-285.5585,393538.66,1.0,250000,1.0,,0.23330973,5.980083,0.023237005,1.0,28.892439,-879.4198,-4452542.5,5,,100,14.72543963857119,8016.916,98775190000.0,48669.14,0.06215039,1.0,-0.6,500,14.725439,279.73256850242615,1,1.6378663
100.0,1026072.8,500.0,31.616055,True,0.47955036,-886.2482,100.0,361.17157,,17.723167,-370.91522,207026.19,1.0,300000,1.0,,0.25393683,6.860101,0.032509595,1.0,31.136505,-886.2482,-13860936000.0,6,,100,18.202715890385743,4758.658,2.0233759e+18,21995.363,0.13696401,1.0,-0.6,600,18.202717,345.3688883781433,1,1.6378663
100.0,1221071.4,500.0,38.002686,True,7.8023987,-867.8394,100.0,352.0352,,17.84856,-361.2017,112558.19,1.0,350000,1.0,,0.2741816,5.7848206,0.011928678,1.0,30.200287,-867.8394,-190540090000.0,7,,100,25.650957524345422,3725.1973,4.320739e+20,13003.632,0.016729591,1.0,-0.6,700,25.650959,417.6554889678955,1,1.6378663
100.0,695918.25,500.0,36.239296,True,-0.37403297,-890.0793,100.0,638.0492,,24.223373,-651.52203,52051.316,1.0,400000,1.0,,0.25827578,7.160821,0.025970533,1.0,36.613327,-890.0793,-4151816000.0,8,,100,23.849340958946684,986.22485,9.4931215e+16,5462.923,0.21889459,1.0,-0.6,800,23.84934,484.7185597419739,1,1.6378663
100.0,701994430.0,500.0,37.214188,True,12.194895,-871.01685,100.0,225.98404,,13.900967,-232.2752,1185936800.0,1.0,450000,1.0,,0.249817,5.722515,0.005030319,1.0,25.019293,-871.01685,-124605410000000.0,9,,100,26.0958611078406,12780621.0,3.9228702e+26,118193544.0,0.14264622,1.0,-0.6,900,26.095861,558.8936393260956,1,1.6378663
100.0,3952029700.0,500.0,38.800964,True,10.0047,-872.9323,100.0,363.9836,,17.991457,-372.3176,1824078700.0,1.0,500000,1.0,,0.27337152,6.347529,0.049005225,1.0,28.796265,-872.9323,-333239160000000.0,10,,100,27.99615583468447,18799500.0,1.5987936e+27,181463410.0,0.74132484,1.0,-0.6,1000,27.996157,626.2586095333099,1,1.6378663
