TimestepsSoFar,MinTargetPdf,OptimizationReturnMax,ReturnMeanIW,EmpiricalD2Arithmetic,MinBehavPdf,ReturnStepMax,InitialReturnMean,EpisodesSoFar,TimeElapsed,VarianceInitializer,DivergenceHarmonic,EpLenMean,EmpiricalD2Harmonic,LearnableVariance,StdWReturnMean,ReturnStepMaxmin,MeanD2-0,EpRewMean,StdIW,WReturnMean,Bound,MeanIW,ESSRenyiHarmonic,Penalization,InitialReturnMax,InitialBound,Epsilon,OptimizationReturnMin,OptimizationReturnMean,Inner Iteration,EpThisIter,MeanEntropy,ESSRenyiArithmetic,InitialReturnMin,MaxIW,Iteration,InitialReturnStd,MinIW
50000,-877.9741,29.776287,9327228.0,1.0,-877.9741,0.253726,-2.0664077,100,51.7565438747406,-0.6,6.557589e+20,500.0,1.0,,,0.0015236139,1.0,-2.066407651710902,279116.84,234.12404,-228198760000.0,44837.105,100.0,True,13.490386,-243.03497,1.0,,14.219495,1,100,1.6378663,100.0,-16.285902,2679518.0,1,5.6506653,0.057739913
100000,-874.50073,26.241173,578398800.0,1.0,-874.50073,0.2583171,5.1493754,200,124.65948843955994,-0.6,3.089023e+24,500.0,1.0,,,0.053720444,1.0,5.149375579149191,31597424.0,265.5368,-12164103000000.0,3618742.5,100.0,True,15.81563,-272.4575,1.0,,15.57492,1,100,1.6378663,100.0,-10.425544,316783940.0,2,4.791523,0.25666454
150000,-865.9846,29.568258,13630975.0,1.0,-865.9846,0.29858652,10.356716,300,190.9106423854828,-0.6,3.9754774e+19,500.0,1.0,,,0.06016861,1.0,10.356716191022869,436593.9,285.19638,-55416025000.0,55400.07,100.0,True,23.985676,-293.98325,1.0,,15.939298,1,100,1.6378663,100.0,-5.5825825,4341860.5,3,5.5798893,0.12095887
200000,-883.7162,28.418716,1011563.94,1.0,-883.7162,0.28023535,15.27083,400,259.8921880722046,-0.6,4.909933e+19,500.0,1.0,,,0.078712866,1.0,15.27083111895953,20416.758,215.87242,-56877020000.0,5697.4663,100.0,True,29.98339,-223.98933,1.0,,13.706158,1,100,1.6378663,100.0,1.5646753,160016.5,4,5.292797,0.02237514
250000,-867.1778,23.484423,247300160.0,1.0,-867.1778,0.23869796,19.973814,500,329.0261073112488,-0.6,7.9716034e+23,500.0,1.0,,,0.024612337,1.0,19.973814532309184,22623942.0,186.32301,-4949220000000.0,2543576.2,100.0,True,31.003155,-191.86597,1.0,,12.455082,1,100,1.6378663,100.0,7.518732,227447870.0,5,5.5851536,0.156227
300000,-883.99677,30.28457,30393376.0,1.0,-883.99677,0.26489583,21.013927,600,399.90688920021057,-0.6,7.910901e+25,500.0,1.0,,,0.03047645,1.0,21.01392604455863,1171228.4,232.26218,-81985750000000.0,197744.8,100.0,True,37.157024,-241.47992,1.0,,14.141474,1,100,1.6378663,100.0,6.8724537,10583478.0,6,5.681632,0.087517805
350000,-868.58887,23.678135,1851833.2,1.0,-868.58887,0.3447557,23.628376,700,463.9135036468506,-0.6,2.2666494e+19,500.0,1.0,,,0.13201424,1.0,23.62837624905798,32899.867,206.90002,-26828694000.0,10775.727,100.0,True,33.801315,-212.53479,1.0,,13.505196,1,100,1.6378663,100.0,10.123181,221456.94,7,4.9507303,0.1258234
400000,-860.5369,22.653267,299326100.0,1.0,-860.5369,0.25557595,27.011703,800,524.607325553894,-0.6,4.178656e+28,500.0,1.0,,,0.0033941567,1.0,27.011703372102197,47612236.0,184.18219,-1054295760000000.0,5275768.5,100.0,True,36.8867,-189.33972,1.0,,12.778272,1,100,1.6378663,100.0,14.233432,478285220.0,8,4.571432,0.04106887
450000,-875.478,25.744823,1249652600.0,1.0,-875.478,0.32966682,30.673317,900,587.9603502750397,-0.6,8.3233084e+29,500.0,1.0,,,0.078811646,1.0,30.673317472358626,50130510.0,215.6643,-6077295000000000.0,11300675.0,100.0,True,42.80248,-222.32559,1.0,,13.615662,1,100,1.6378663,100.0,17.057655,386713000.0,9,5.5025516,0.020998983
500000,-902.0324,22.736614,118396680.0,1.0,-902.0324,0.24372159,32.777443,1000,650.7389230728149,-0.6,4.2416337e+27,500.0,1.0,,,0.08010024,1.0,32.77743999705988,5444318.0,172.94565,-338376920000000.0,1079556.9,100.0,True,43.15738,-178.14119,1.0,,12.356673,1,100,1.6378663,100.0,20.420765,52797924.0,10,4.500916,0.0027992101
