OptimizationReturnMin,TimestepsSoFar,MinIW,EpLenMean,MinTargetPdf,InitialBound,ReturnStepMax,OptimizationReturnMean,ESSRenyiArithmetic,Epsilon,InitialReturnMin,MeanD2-0,Bound,EpisodesSoFar,ReturnStepMaxmin,MeanIW,EmpiricalD2Harmonic,EpThisIter,DivergenceHarmonic,MinBehavPdf,TimeElapsed,Inner Iteration,StdWReturnMean,InitialReturnMax,LearnableVariance,InitialReturnStd,MaxIW,EpRewMean,ESSRenyiHarmonic,MeanEntropy,OptimizationReturnMax,Iteration,ReturnMeanIW,WReturnMean,Penalization,StdIW,VarianceInitializer,EmpiricalD2Arithmetic,InitialReturnMean
,50000,0.061089814,500.0,-872.4456,-194.57085,0.1780429,12.820813,100.0,1.0,-14.545989,1.0,-569782040000000.0,100,0.004687816,225965.77,1.0,100,8.337505e+27,-872.4456,17.29565978050232,1,,10.371491,,4.894641,8588566.0,-1.7251758812230131,100.0,1.6378663,24.91748,1,15186750.0,188.33076,True,1143757.9,-0.6,1.0,-1.7251757
,100000,0.027101822,500.0,-863.33386,-197.32428,0.24631275,12.878354,100.0,1.0,-10.176659,1.0,-128823.49,200,0.017210424,72.731804,1.0,100,400852740.0,-863.33386,41.58787202835083,1,,14.213557,,5.049107,2210.3977,2.7016951644716136,100.0,1.6378663,24.390217,2,9120.178,191.34549,True,253.61357,-0.6,1.0,2.7016952
,150000,0.009231066,500.0,-878.7947,-367.72983,0.28062546,17.84636,100.0,1.0,-12.21196,1.0,-733071000.0,300,0.05514215,21389.648,1.0,100,7219261000000000.0,-878.7947,68.36068940162659,1,,17.051323,,6.37423,1935410.6,5.634397947012789,100.0,1.6378663,29.263283,3,1805904.2,359.1233,True,192569.0,-0.6,1.0,5.634398
,200000,0.00081094564,500.0,-897.2291,-128.24828,0.21555242,10.120971,100.0,1.0,0.61626387,1.0,-6721762000000.0,400,0.006657243,1269225.4,1.0,100,2.5457155e+24,-897.2291,113.44618201255798,1,,21.089998,,4.647728,117897610.0,10.737235049549547,100.0,1.6378663,20.473734,4,26409722.0,124.03542,True,11730175.0,-0.6,1.0,10.737234
,250000,0.019056879,500.0,-875.6176,-178.4301,0.2560156,12.14372,100.0,1.0,2.990932,1.0,-1669379100000.0,500,0.034164265,469947.2,1.0,100,6.840917e+22,-875.6176,178.86855292320251,1,,28.19117,,4.957589,24069596.0,15.134651898152828,100.0,1.6378663,25.200237,5,23684028.0,172.04759,True,2742257.0,-0.6,1.0,15.134651
,300000,0.11491366,500.0,-865.50684,-197.54628,0.29475054,12.843849,100.0,1.0,5.908606,1.0,-73556270000.0,600,0.05300878,18785.863,1.0,100,1.2796332e+20,-865.50684,242.075510263443,1,,31.34425,,5.106817,811342.3,18.75245361571941,100.0,1.6378663,25.435644,6,1537667.5,191.04398,True,92159.49,-0.6,1.0,18.752453
,350000,0.007267693,500.0,-885.94556,-163.97113,0.23021573,11.6435995,100.0,1.0,9.209617,1.0,-198130400000000.0,700,0.013357848,137892030.0,1.0,100,1.5410189e+27,-885.94556,305.61594414711,1,,31.617987,,4.832296,13420757000.0,20.853217338096524,100.0,1.6378663,22.408371,7,20143518000.0,158.9245,True,1335377000.0,-0.6,1.0,20.853218
,400000,1.0456908,500.0,-890.47504,-164.1487,0.24813513,11.857979,100.0,1.0,11.931854,1.0,-4420411700000000.0,800,0.049167067,38037628.0,1.0,100,1.0364578e+30,-890.47504,375.4080059528351,1,,32.71695,,4.381221,1599167500.0,23.78983268502373,100.0,1.6378663,20.785095,8,4964494300.0,159.80675,True,206324640.0,-0.6,1.0,23.789833
,450000,0.17957486,500.0,-860.93945,-147.55522,0.28825793,11.065822,100.0,1.0,15.767622,1.0,-76223190000.0,900,0.0775899,166853.86,1.0,100,2.740926e+20,-860.93945,441.8243420124054,1,,37.169334,,4.5276318,7175140.0,26.83344361119211,100.0,1.6378663,21.401712,9,10358795.0,142.95184,True,856980.6,-0.6,1.0,26.833443
,500000,0.004670089,500.0,-878.8693,-217.99861,0.2446877,13.680161,100.0,1.0,13.779955,1.0,-4.6440578e+17,1000,0.030671328,55080084.0,1.0,100,5.0022817e+33,-878.8693,519.1673398017883,1,,39.340233,,4.9280496,3116527900.0,27.46011590169564,100.0,1.6378663,25.560278,10,8937941000.0,211.43246,True,321438880.0,-0.6,1.0,27.460117
