EpisodesSoFar,EpLenMean,DivergenceHarmonic,Penalization,ESSRenyiArithmetic,InitialReturnMean,TimeElapsed,Epsilon,StdIW,WReturnMean,InitialBound,EpThisIter,MinIW,InitialReturnStd,ReturnStepMax,LearnableVariance,OptimizationReturnMax,Inner Iteration,MinTargetPdf,ESSRenyiHarmonic,EmpiricalD2Arithmetic,EmpiricalD2Harmonic,OptimizationReturnMean,EpRewMean,MaxIW,ReturnStepMaxmin,MeanD2-0,Iteration,OptimizationReturnMin,VarianceInitializer,MeanIW,ReturnMeanIW,InitialReturnMin,TimestepsSoFar,Bound,InitialReturnMax,MeanEntropy,StdWReturnMean,MinBehavPdf
100,500.0,5.039416e+25,True,100.0,-1.6241875,12.297182083129883,1.0,38126012.0,445.1009,-455.48737,100,0.020817772,5.787808,0.36441255,,32.147163,1,-881.08765,100.0,1.0,1.0,20.287981,-1.6241874956788658,281375360.0,0.124332786,1.0,1,,-0.6,5557666.5,987164500.0,-21.912169,50000,-73733290000000.0,10.234995,1.6378663,,-881.08765
200,500.0,17680472000000.0,True,100.0,4.032101,24.67538094520569,1.0,2036.5675,210.8711,-219.09138,100,0.015031131,5.796076,0.29155716,,28.599096,1,-891.75476,100.0,1.0,1.0,13.314527,4.032101331985874,14712.247,0.08464545,1.0,2,,-0.6,679.3641,104720.04,-9.282425,100000,-34669510.0,19.316671,1.6378663,,-891.75476
300,500.0,1.0304397e+23,True,100.0,7.0436535,41.46932005882263,1.0,6683555.5,179.61795,-184.45192,100,0.018638166,5.1684685,0.2394229,,21.931122,1,-891.129,100.0,1.0,1.0,12.365473,7.04365410085828,67151440.0,4.6521425e-05,1.0,3,,-0.6,735439.6,67920376.0,-5.3218184,150000,-1551795100000.0,16.609303,1.6378663,,-891.129
400,500.0,119913980000000.0,True,100.0,10.484532,61.56588816642761,1.0,4733.4023,195.03891,-201.76283,100,0.028033897,5.250502,0.27033004,,25.86547,1,-865.8845,100.0,1.0,1.0,12.941063,10.484533167825566,44854.61,0.03463067,1.0,4,,-0.6,882.9211,109742.68,-2.4565306,200000,-73740296.0,23.40894,1.6378663,,-865.8845
500,500.0,1.3332086e+18,True,100.0,12.8015,87.1595311164856,1.0,350807.5,140.50409,-146.0105,100,0.006822367,5.0667706,0.23538546,,23.406841,1,-869.7584,100.0,1.0,1.0,10.715965,12.801499903202485,3470942.0,0.048917457,1.0,5,,-0.6,50931.414,1973923.1,2.085534,250000,-6359923700.0,25.492376,1.6378663,,-869.7584
600,500.0,2.884817e+17,True,100.0,17.065916,124.20684504508972,1.0,215480.95,199.84332,-205.86295,100,0.021345299,4.623248,0.24712442,,24.473368,1,-877.09393,100.0,1.0,1.0,13.359226,17.06591563281263,2154630.8,0.036448553,1.0,6,,-0.6,24711.81,3451618.2,3.7066894,300000,-3236625200.0,28.180058,1.6378663,,-877.09393
700,500.0,1.427159e+26,True,100.0,19.844955,176.2316119670868,1.0,1704865.6,295.01343,-303.25555,100,0.31443357,5.445784,0.3104592,,28.6371,1,-869.3349,100.0,1.0,1.0,16.289776,19.84495628601479,14792688.0,0.10930249,1.0,7,,-0.6,368737.16,130342170.0,3.55518,350000,-98463946000000.0,32.19228,1.6378663,,-869.3349
800,500.0,3.32775e+19,True,100.0,24.33415,244.93553400039673,1.0,43444.94,190.06065,-196.44925,100,0.030826824,5.098185,0.25590932,,25.212294,1,-878.8254,100.0,1.0,1.0,12.808948,24.33415008002025,296877.3,0.052302808,1.0,8,,-0.6,13486.192,2311399.2,11.525202,400000,-36856123000.0,36.737495,1.6378663,,-878.8254
900,500.0,2.9488318e+23,True,100.0,29.306643,315.42666959762573,1.0,2298268.5,319.14786,-327.6637,100,0.0655558,5.012364,0.20960009,,29.108759,1,-928.40454,100.0,1.0,1.0,17.14713,29.306643484189916,22603012.0,0.0066018403,1.0,9,,-0.6,319334.8,84576536.0,12.159513,450000,-4624477600000.0,41.268272,1.6378663,,-928.40454
1000,500.0,1.2940274e+34,True,100.0,30.488789,378.0936779975891,1.0,3734266.0,324.68887,-333.32034,100,0.0003990044,4.915734,0.39491156,,29.30575,1,-863.9257,100.0,1.0,1.0,17.33564,30.488787908771418,21811528.0,0.1630606,1.0,10,,-0.6,1345805.8,363155170.0,13.153147,500000,-9.818832e+17,42.458897,1.6378663,,-863.9257
1100,500.0,7.796945e+26,True,100.0,36.822853,438.5626380443573,1.0,13046501.0,219.7334,-224.86203,100,0.0030285157,5.1162567,0.2592912,,22.589722,1,-870.3835,100.0,1.0,1.0,13.912487,36.82285306376943,129358820.0,0.035803497,1.0,11,,-0.6,1792189.2,250093740.0,22.910366,550000,-143207970000000.0,45.500088,1.6378663,,-870.3835
1200,500.0,1.03492165e+26,True,100.0,39.193077,504.8090305328369,1.0,777322.25,440.41464,-452.0782,100,0.41190487,5.650351,0.24647503,,34.06638,1,-867.8323,100.0,1.0,1.0,20.21109,39.193080652600685,5573698.5,0.020137146,1.0,12,,-0.6,169789.19,73134570.0,18.98199,600000,-118655640000000.0,53.04837,1.6378663,,-867.8323
1300,500.0,9.723336e+35,True,100.0,40.472958,562.161214351654,1.0,36599016.0,620.8369,-634.1546,100,0.0011289142,5.550353,0.28558186,,36.402042,1,-867.49854,100.0,1.0,1.0,24.290545,40.47296012919382,367072300.0,0.06335737,1.0,13,,-0.6,4190384.0,3317423400.0,16.182415,650000,-1.3132322e+19,52.584457,1.6378663,,-867.49854
1400,500.0,1.7633224e+34,True,100.0,39.01213,630.7623252868652,1.0,200788080.0,185.50046,-190.79546,100,0.09195328,5.1072097,0.23722287,,22.9533,1,-878.52856,100.0,1.0,1.0,12.62604,39.01212563781666,1766447600.0,0.018506005,1.0,14,,-0.6,37250850.0,3392124000.0,26.386086,700000,-7.0313466e+17,49.339386,1.6378663,,-878.52856
1500,500.0,1882036600.0,True,100.0,43.66595,714.0455119609833,1.0,1126.2148,141.20169,-146.55452,100,0.026642593,4.2288513,0.2398379,,23.07837,1,-879.1894,100.0,1.0,1.0,11.104886,43.66595650062947,9390.566,0.0052386373,1.0,15,,-0.6,332.01944,37998.285,32.56107,750000,-270222.06,55.63944,1.6378663,,-879.1894
1600,500.0,3562472400.0,True,100.0,45.23434,792.0234143733978,1.0,5843.8145,205.80336,-210.33353,100,0.009375291,4.2521315,0.20506132,,21.231035,1,-861.11237,100.0,1.0,1.0,13.701195,45.23433527935808,56390.92,0.015809298,1.0,16,,-0.6,936.9216,129077.24,31.53314,800000,-399473.4,52.764175,1.6378663,,-861.11237
1700,500.0,13408693000.0,True,100.0,46.938343,868.7870635986328,1.0,14717.379,246.37279,-253.33348,100,0.046259597,4.586833,0.30481505,,26.317234,1,-874.8122,100.0,1.0,1.0,15.011121,46.93833987620544,145217.27,0.083047494,1.0,17,,-0.6,1923.197,471083.56,31.92722,850000,-1277122.8,58.244453,1.6378663,,-874.8122
1800,500.0,1795737300.0,True,100.0,49.50941,931.1444199085236,1.0,3071.2847,475.44827,-485.3013,100,0.05412258,5.009824,0.2586136,,31.311155,1,-869.6152,100.0,1.0,1.0,21.22145,49.509408778425794,27358.893,0.060923368,1.0,18,,-0.6,645.7251,204013.89,28.287958,900000,-621557.6,59.599113,1.6378663,,-869.6152
1900,500.0,997154400.0,True,100.0,50.80361,1002.0823013782501,1.0,1357.6985,150.86995,-155.56833,100,0.18911399,4.737977,0.22883314,,21.621624,1,-878.90137,100.0,1.0,1.0,11.332322,50.80361256290601,13281.676,0.007967159,1.0,19,,-0.6,288.5936,18878.09,39.47129,950000,-167246.1,61.092915,1.6378663,,-878.90137
2000,500.0,1484084400.0,True,100.0,53.84218,1065.9063103199005,1.0,1288.7505,326.0596,-334.21417,100,0.031782083,5.071315,0.25816754,,28.484928,1,-892.4872,100.0,1.0,1.0,17.330359,53.84218238715426,12890.339,0.008367345,1.0,20,,-0.6,212.16338,69156.85,36.51182,1000000,-383310.34,64.99675,1.6378663,,-892.4872
2100,500.0,5301280300.0,True,100.0,55.58799,1123.5973918437958,1.0,1693.7582,221.24971,-228.29958,100,0.049514327,4.4975758,0.2297888,,26.485397,1,-874.7127,100.0,1.0,1.0,14.178206,55.58799632445951,15609.573,0.010826856,1.0,21,,-0.6,398.46426,68211.48,41.40979,1050000,-581528.6,67.89519,1.6378663,,-874.7127
