OptimizationReturnMin,MeanD2-0,EpisodesSoFar,MinBehavPdf,TimestepsSoFar,MinIW,MinTargetPdf,EmpiricalD2Arithmetic,ReturnMeanIW,Epsilon,DivergenceHarmonic,ReturnStepMaxmin,LearnableVariance,InitialReturnMin,MaxIW,InitialReturnMean,StdWReturnMean,InitialReturnMax,ReturnStepMax,InitialReturnStd,EmpiricalD2Harmonic,TimeElapsed,MeanIW,EpRewMean,Iteration,OptimizationReturnMean,EpLenMean,OptimizationReturnMax,InitialBound,VarianceInitializer,ESSRenyiHarmonic,Bound,WReturnMean,Inner Iteration,MeanEntropy,Penalization,StdIW,EpThisIter,ESSRenyiArithmetic
,1.0,100,-871.3087,50000,0.17806868,-871.3087,1.0,22771028.0,1.0,1.464621e+24,0.054394975,,-18.26988,3115893.0,-2.0204394,,11.8161545,0.24812028,6.0395103,1.0,39.799351930618286,79400.69,-2.020439361914116,1,16.249441,500.0,30.086035,-309.6173,-0.6,100.0,-11009709000000.0,300.52002,1,1.6378663,True,347009.06,100,100.0
,1.0,200,-896.2706,100000,0.028775878,-896.2706,1.0,13874495.0,1.0,9.9523645e+26,0.15983763,,-9.314382,2051951.2,3.4786477,,16.796211,0.33544615,5.083261,1.0,110.02338910102844,126634.87,3.4786475218126207,2,12.793029,500.0,26.110592,-196.3531,-0.6,100.0,-216161810000000.0,189.50113,1,1.6378663,True,370608.3,100,100.0
,1.0,300,-886.5631,150000,0.05177036,-886.5631,1.0,9289.618,1.0,67254900000.0,0.018198028,,-5.3398337,12059.199,9.029234,,19.327145,0.23145832,5.0521173,1.0,175.0271315574646,181.29584,9.029234231222288,3,14.369068,500.0,24.666979,-238.10927,-0.6,100.0,-1595191.4,231.99402,1,1.6378663,True,1219.5767,100,100.0
,1.0,400,-882.5572,200000,0.06873544,-882.5572,1.0,87932776.0,1.0,2.400352e+22,0.014224812,,-4.1965494,137550540.0,8.8837185,,23.387835,0.22334516,5.5735636,1.0,245.11140871047974,1620669.8,8.883719155754743,4,13.080269,500.0,27.584385,-209.80534,-0.6,100.0,-1184891900000.0,202.15804,1,1.6378663,True,13767062.0,100,100.0
,1.0,500,-880.5654,250000,0.09734755,-880.5654,1.0,7931783.0,1.0,9.715213e+24,0.07035825,,-0.9910445,2604697.5,12.979916,,26.683384,0.2752843,5.2746468,1.0,317.25577330589294,65516.684,12.9799158581816,5,13.97096,500.0,27.674429,-230.70695,-0.6,100.0,-23991979000000.0,223.00964,1,1.6378663,True,316604.12,100,100.0
,1.0,600,-861.5147,300000,0.18897554,-861.5147,1.0,88787060.0,1.0,6.4199083e+25,0.049575433,,2.8714771,37959348.0,15.259373,,26.69947,0.27894962,5.2456427,1.0,375.8915638923645,928722.75,15.259372730598097,6,12.387896,500.0,23.827993,-186.68303,-0.6,100.0,-45721720000000.0,180.9767,1,1.6378663,True,4567222.0,100,100.0
,1.0,700,-877.3078,350000,0.035072364,-877.3078,1.0,57795.36,1.0,135343050000.0,0.03867121,,2.5708709,6619.198,17.649694,,31.033228,0.23470649,4.8809133,1.0,444.884076833725,256.64984,17.64969270388619,7,15.078822,500.0,28.462357,-259.336,-0.6,100.0,-3053107.2,251.19415,1,1.6378663,True,840.3018,100,100.0
,1.0,800,-884.1174,400000,0.13601431,-884.1174,1.0,37795.45,1.0,157112340.0,0.07221985,,4.7626653,47805.805,17.711647,,26.71251,0.3084887,5.064367,1.0,514.1743490695953,569.7371,17.71164657960959,8,12.948982,500.0,21.949844,-198.16617,-0.6,100.0,-98490.1,193.32394,1,1.6378663,True,4761.671,100,100.0
,1.0,900,-873.4142,450000,0.0018751761,-873.4142,1.0,110887.88,1.0,150477360000.0,0.042037174,,7.978157,15541.127,20.796171,,32.02735,0.26553717,4.6366715,1.0,584.4349913597107,501.76385,20.796172664416666,9,12.818016,500.0,24.049194,-191.613,-0.6,100.0,-2365745.2,185.80025,1,1.6378663,True,2016.6079,100,100.0
,1.0,1000,-896.22577,500000,0.028934386,-896.22577,1.0,174575540.0,1.0,5.995384e+23,0.04234375,,8.64138,50924240.0,22.096333,,33.858902,0.27063906,5.419676,1.0,642.9787724018097,603771.44,22.096330923076295,10,13.45495,500.0,25.217522,-216.79984,-0.6,100.0,-4948927000000.0,210.40858,1,1.6378663,True,5081793.0,100,100.0
