VarVanillaIw,VarNormIw,renyi2,IterType,VanillaAvgRet,AvgRet,AvgDiscRet,AvgNormIw,MaxVanillaIw,BatchSize,SamplesThisIter,ESSRenyi,J,AvgEpLen,VarDiscRet,VarJ,EpsThisIter,VarRet,AvgVanillaIw,ESSClassic,MinVanillaIw,Bound,delta,MaxNormIw,MinNormIw
8.3784305e+17,1.44195e-07,nan,1,48.57271445817556,48.57271445817556,48.57271445817556,6.5114335e-07,609721800000.0,100,50000,nan,47174.875,5.860290670417252,3615.0666183933386,25199.05,8532,3615.0666183933386,1569577.8,1.1584389012086158,,569.23486,0.7,0.25294465,
5.4073494e+25,3.1067688e-07,nan,1,46.12551662396273,46.12551662396273,46.12551662396273,6.239393e-07,6582726000000000.0,100,50000,nan,64054.76,5.615453728661276,3291.6276823469793,39468.32,8904,3291.6276823469793,8231520000.0,1.9999960117169608,,632.06116,0.7,0.4989627,
inf,3.2793562e-07,nan,1,49.183251795755005,49.183251795755005,49.183251795755005,6.579293e-07,1.5705437e+19,100,50000,nan,48782.723,5.921364282330649,3437.385361003898,19114.246,8444,3437.385361003898,20698544000000.0,1.9999951477871722,,384.05734,0.7,0.49921712,
inf,3.2024124e-07,nan,1,47.61343209848721,47.61343209848721,47.61343209848721,6.404837e-07,2.1472208e+28,100,50000,nan,48903.094,5.76435323956652,2981.744023834684,17531.197,8674,2981.744023834684,2.75052e+22,2.0000001171854827,,537.02527,0.7,0.49999994,
inf,3.3792864e-07,nan,1,50.795409573084946,50.795409573084946,50.795409573084946,6.7585836e-07,1.2525107e+28,100,50000,nan,60450.426,6.082725060827251,3440.7873536214333,25013.107,8220,3440.7873536214333,1.6930396e+22,2.0000001101679836,,487.2846,0.7,0.5,
inf,1.9748552e-07,nan,1,59.33185270268976,59.33185270268976,59.33185270268976,7.707485e-07,5.8280124e+22,100,50000,nan,109716.96,6.936736958934517,7940.627047866909,32027.46,7208,7940.627047866909,1.551855e+17,1.3079743022238122,,891.9258,0.7,0.28945565,
8.808305e+18,3.2138306e-07,nan,1,65.2617525330056,65.2617525330056,65.2617525330056,8.3668004e-07,2268729400000.0,100,50000,nan,52959.246,7.530120481927711,6067.13320759752,40413.184,6640,6067.13320759752,4380201.0,1.9556493585392034,,635.9462,0.7,0.43335924,
1241891700000.0,2.3346418e-07,nan,1,72.54653546051951,72.54653546051951,72.54653546051951,9.17667e-07,791482240.0,100,50000,nan,90951.4,8.259002312520648,8607.568171257597,74045.516,6054,8607.568171257597,2116.4895,1.8516014708278559,,970.0769,0.7,0.34317064,
inf,3.892088e-07,nan,1,83.89939563251899,83.89939563251899,83.89939563251899,1.0438848e-06,7.334282e+19,100,50000,nan,117549.66,9.394964299135664,9683.718497078467,28432.32,5322,9683.718497078467,180032600000000.0,1.9402032803847784,,908.08453,0.7,0.42526445,
29399536000.0,2.4735823e-07,nan,1,78.19516539251242,78.19516539251242,78.19516539251242,9.805077e-07,118232700.0,100,50000,nan,60063.363,8.824567596187787,9596.18691546709,38944.715,5666,9596.18691546709,338.03238,1.9997325981271328,,617.7468,0.7,0.34294957,
2.6545853e+30,7.3660675e-07,nan,1,122.56116289506495,122.56116289506495,122.56116289506495,1.4736221e-06,9.490533e+17,100,50000,nan,378060.25,13.26259946949602,41735.688233947476,82534.664,3770,41735.688233947476,2797477600000.0,1.9999998390946003,,2699.5837,0.7,0.49993107,
