ESSClassic,VarJ,IterType,AvgVanillaIw,Bound,AvgRet,ESSRenyi,VanillaAvgRet,eRenyi2,EpsThisIter,MaxVanillaIw,AvgEpLen,MaxNormIw,MinVanillaIw,VarRet,VarNormIw,MinNormIw,BatchSize,Delta,AvgNormIw,AvgDiscRet,J,VarVanillaIw,VarDiscRet
18.7577385948,142.462,1,1.47162,-180.317,-317.008742276,15.7277486298,-317.008742276,6.35819,100,11.0995,388.34,0.0754241,2.20835e-12,22510.512621,0.000437488,1.50063e-14,100,0.6,0.01,-317.008742276,-94.4347,9.47449,22510.512621
68.9139674994,49.309,1,1.04636,-117.415,-90.5516467838,67.8997988813,-90.5516467838,1.47276,100,2.77587,125.31,0.0265287,0.0870797,6015.93725904,4.55641e-05,0.000832213,100,0.6,0.01,-90.5516467838,-76.0817,0.498871,6015.93725904
83.6235547277,54.6097,1,1.03058,-120.136,-88.353847252,82.4003522095,-88.353847252,1.21359,100,2.94578,123.01,0.0285837,0.0459114,5943.29633365,1.97814e-05,0.000445492,100,0.6,0.01,-88.353847252,-82.6154,0.210096,5943.29633365
59.5976976913,39.8901,1,1.02164,-117.747,-88.6858468755,60.8013512751,-88.6858468755,1.6447,100,2.38689,123.57,0.0233632,5.35197e-07,6059.77193309,6.84765e-05,5.23858e-09,100,0.6,0.01,-88.6858468755,-74.0674,0.714729,6059.77193309
80.6085520147,80.7119,1,0.947505,-123.043,-93.1163266964,81.3053584858,-93.1163266964,1.22993,100,2.45945,127.36,0.0259571,0.100057,9316.85549908,2.42993e-05,0.001056,100,0.6,0.01,-93.1163266964,-85.2703,0.218151,9316.85549908
97.970396869,54.8518,1,1.01725,-113.206,-79.5499895859,97.7737454794,-79.5499895859,1.02277,100,1.52505,112.6,0.0149918,0.542413,3729.15679558,2.0926e-06,0.00533213,100,0.6,0.01,-79.5499895859,-78.7605,0.0216543,3729.15679558
90.3087601501,49.356,1,0.950693,-111.899,-79.052875762,91.7665709904,-79.052875762,1.08972,100,1.50344,112.11,0.0158141,0.174938,3716.21990674,1.08396e-05,0.00184011,100,0.6,0.01,-79.052875762,-76.3449,0.0979706,3716.21990674
87.9295167733,81.0397,1,1.00561,-124.361,-92.4178387572,86.9021044366,-92.4178387572,1.15072,100,1.70285,126.97,0.0169336,0.243088,8162.78323139,1.38661e-05,0.00241732,100,0.6,0.01,-92.4178387572,-87.8259,0.140221,8162.78323139
71.666291352,63.2182,1,0.930309,-116.658,-88.0729352269,77.1073138726,-88.0729352269,1.29689,100,2.05866,121.29,0.0221288,0.00566747,7103.25622699,3.9935e-05,6.09204e-05,100,0.6,0.01,-88.0729352269,-77.8714,0.345627,7103.25622699
94.3290482922,68.2782,1,0.991143,-118.89,-85.9408761185,94.6301720897,-85.9408761185,1.05675,100,2.03115,119.11,0.020493,0.767306,5973.83911825,6.07259e-06,0.00774163,100,0.6,0.01,-85.9408761185,-83.8781,0.0596549,5973.83911825
92.1734468924,71.6438,1,1.01243,-116.833,-84.7219303639,91.7792617097,-84.7219303639,1.08957,100,1.376,117.94,0.0135911,0.181326,6001.93993888,8.57686e-06,0.00179101,100,0.6,0.01,-84.7219303639,-81.2815,0.0879135,6001.93993888
78.327452851,50.2604,1,1.07221,-113.934,-84.4371726489,78.1618427341,-84.4371726489,1.2794,100,2.01777,117.47,0.0188188,0.0680443,6056.90581614,2.79487e-05,0.000634619,100,0.6,0.01,-84.4371726489,-75.4089,0.321306,6056.90581614
82.8459294118,38.5841,1,1.00844,-107.565,-75.4261090016,82.5786778564,-75.4261090016,1.21097,100,1.64426,106.1,0.016305,0.124159,3763.75010412,2.09152e-05,0.0012312,100,0.6,0.01,-75.4261090016,-70.085,0.212697,3763.75010412
89.8004807309,40.8866,1,0.990311,-107.188,-75.8762008339,89.2509833867,-75.8762008339,1.12044,100,1.65924,107.43,0.0167547,0.0719493,3756.45017244,1.14727e-05,0.000726532,100,0.6,0.01,-75.8762008339,-71.1371,0.112515,3756.45017244
92.5758852727,54.6897,1,1.04143,-107.661,-74.1692157766,95.830542572,-74.1692157766,1.04351,100,2.31141,103.94,0.0221945,0.41511,3792.33524638,8.10049e-06,0.00398594,100,0.6,0.01,-74.1692157766,-72.8683,0.0878567,3792.33524638
75.2242388298,48.5898,1,0.934793,-112.707,-82.9487658292,76.6473018642,-82.9487658292,1.30468,100,1.92235,115.06,0.0205644,0.00781701,6055.36912859,3.32685e-05,8.36229e-05,100,0.6,0.01,-82.9487658292,-73.8046,0.290713,6055.36912859
87.3196931791,62.9051,1,1.04284,-114.472,-83.4110486636,87.2541694703,-83.4110486636,1.14608,100,2.3285,115.31,0.0223284,0.327294,6019.29280151,1.46684e-05,0.00313848,100,0.6,0.01,-83.4110486636,-78.0102,0.159522,6019.29280151
70.6858114545,29.2091,1,1.04432,-112.781,-86.5117969941,69.6823907801,-86.5117969941,1.43508,100,2.22103,119.65,0.0212678,0.00802199,7170.94343984,4.189e-05,7.68157e-05,100,0.6,0.01,-86.5117969941,-71.979,0.456851,7170.94343984
91.0738179338,67.5621,1,1.01057,-114.073,-81.3417285688,90.7032452065,-81.3417285688,1.1025,100,1.63546,112.8,0.0161834,0.386752,6097.59192114,9.90005e-06,0.00382705,100,0.6,0.01,-81.3417285688,-78.3105,0.101105,6097.59192114
93.534087493,60.575,1,1.02653,-109.14,-76.2093046486,94.3906237341,-76.2093046486,1.05943,100,2.44758,106.06,0.0238432,0.616207,5015.98310503,6.98274e-06,0.00600279,100,0.6,0.01,-76.2093046486,-74.083,0.073582,5015.98310503
92.8880287891,57.7148,1,0.97516,-112.632,-80.9806766076,92.5330022036,-80.9806766076,1.0807,100,1.59168,113.05,0.0163222,0.321679,4893.64782745,7.73382e-06,0.00329873,100,0.6,0.01,-80.9806766076,-77.2252,0.0735438,4893.64782745
