ESSClassic,AvgNormIw,MinNormIw,eRenyi2,VarJ,MaxNormIw,MinVanillaIw,AvgDiscRet,VarNormIw,VarVanillaIw,Bound,VarDiscRet,BatchSize,VarRet,J,AvgRet,MaxVanillaIw,AvgEpLen,ESSRenyi,AvgVanillaIw
1.0,0.01,,0.46638495,,1.0,,351.36962250631933,0.0100000035,5.7062824e-21,193.59662,35191.85106687147,100,147242.931113693,865.9668,489.7134844812192,7.553993e-10,49.97,214.41515335975157,7.553993e-12
98.40294203678667,0.009999999,0.0058107437,1.0144197,210.32915,0.012090032,0.5722507,269.52041317993456,1.6393925e-06,0.01589982,82.91336,49230.373154375295,100,214766.1998436727,268.72852,390.3649842244573,1.1906445,40.0,98.57852965291191,0.984815
99.14715374152293,0.009999999,0.008106718,1.0074605,212.44394,0.0129503,0.8071238,275.92771738826923,8.6890884e-07,0.008613196,93.52109,47039.00765885477,100,212912.05630441822,276.69394,397.8574057194963,1.2893621,40.75,99.25947715535005,0.99562335
10.394412092861854,0.010000002,0.0027678793,1.413133,355.93436,0.29945925,0.3863839,296.40641249122865,0.000870763,16.96851,112.77385,47673.40679356632,100,209537.25875522848,366.15094,427.4382078439742,41.803207,43.72,70.76474628990742,1.3959564
93.96679495978562,0.010000002,0.0036175016,1.0690571,283.80188,0.020253515,0.36493513,323.1021312463113,6.4854225e-06,0.066001244,99.808014,70490.65352266408,100,352696.1510734946,355.59613,518.2538487024977,2.0431833,52.75,93.5403724907311,1.0088043
95.87800653624316,0.01,0.003053942,1.043826,177.54562,0.013580564,0.30277565,254.96146221113196,4.3426458e-06,0.04268494,88.61185,39121.95084050739,100,151669.53719047038,250.18333,349.453427002877,1.3464121,35.94,95.80140898263834,0.9914257
96.26887615880997,0.010000003,0.0049567,1.0371021,266.3203,0.014909639,0.49597296,328.1476333727842,3.91485e-06,0.039196372,111.54814,66327.22034257273,100,349285.4925263287,344.8282,523.053456667345,1.4918753,53.22,96.42252164780444,1.0006113
98.33769291211993,0.01,0.0052499804,1.013379,257.78537,0.011485945,0.5161928,325.2633838939764,1.707467e-06,0.016506722,117.73012,60890.884281749364,100,298419.63974008523,336.99603,502.1253449082375,1.1293304,51.18,98.67976560901812,0.9832281
95.52191911964411,0.01,0.0037923073,1.0386356,243.81743,0.01435817,0.3782235,319.95382415964673,4.7353733e-06,0.04710253,116.03557,58788.047457199,100,285817.08946633525,337.58646,488.8341217920929,1.4320036,49.82,96.28015724619226,0.9973441
95.30734669093671,0.01,0.005882639,1.0439442,240.08722,0.02216186,0.5807277,334.871572981652,4.973453e-06,0.048468404,141.25133,53000.302989557385,100,258351.48514549705,348.90872,501.8325158862211,2.1877947,51.14,95.7905568181935,0.9871891
95.23039722640772,0.009999999,0.0033112913,1.0457987,270.4833,0.015080549,0.33556268,387.47609011103276,5.059087e-06,0.051954664,175.31165,63638.81571636758,100,371262.49740196153,414.31665,626.6406196039915,1.5282464,63.55,95.62070013034615,1.0133891
88.13260207619345,0.01,0.0027010536,1.1046115,277.74265,0.02265234,0.26275244,355.48156151128336,1.3601413e-05,0.12870967,153.78731,57512.73202416706,100,286891.6358398087,406.58804,545.8304840471409,2.2035687,55.53,90.52956496617313,0.97277755
95.29154163363432,0.010000002,0.003744019,1.0483992,256.76947,0.01331888,0.3727441,366.88638512355897,4.990996e-06,0.04946896,156.50766,62572.07703747521,100,352091.4747260089,392.94705,585.1218555361592,1.3259907,59.42,95.38351331099389,0.9955722
93.97121534743238,0.010000002,0.0023037165,1.0605143,262.01575,0.013882342,0.22934245,444.79195086629517,6.4803576e-06,0.064225845,236.2186,61502.74960078043,100,371441.4070113291,473.00192,732.5105195499771,1.3820322,74.15,94.2938695779194,0.99553245
92.13244980204237,0.01,0.002024079,1.1016806,288.505,0.01555386,0.20561361,389.66898520274515,8.625641e-06,0.08901031,161.86955,73363.84241872531,100,399412.9491670537,436.9198,645.5248213301971,1.5800201,65.46,90.77040722639353,1.0158379
90.72384710989435,0.010000002,0.0017191096,1.101432,276.27692,0.016735094,0.17310686,447.54858371196167,1.0327865e-05,0.104720585,237.07515,62628.42649953851,100,389429.7269037181,490.5617,743.4989110120385,1.6851512,75.24,90.79090048456185,1.0069566
80.1208702765249,0.01,0.00055013015,1.1661291,303.2625,0.021785548,0.05213383,477.70903307562946,2.5062056e-05,0.2250738,242.95956,77908.73299018193,100,515817.4087874155,541.90326,855.3154271907359,2.064537,86.34,85.75379771421562,0.94766355
83.18510718821656,0.010000002,0.0012112538,1.1739502,282.06387,0.031159623,0.11688168,489.7222158937295,2.0417994e-05,0.19012348,277.57623,63627.74545911288,100,425523.7332722429,544.448,843.1990997647495,3.0067928,85.17,85.18248934179059,0.96496445
81.81183374898652,0.01,0.0017955758,1.1999829,238.69107,0.028432038,0.1864397,574.5396590458414,2.2456254e-05,0.2421066,352.3709,69781.91768977407,100,506432.79241300444,624.50446,1079.970797252506,2.9521785,108.79,83.33452213181835,1.0383282
76.71924587086106,0.010000002,0.0013282729,1.2781767,233.74684,0.022347976,0.13808617,577.296536098669,3.065191e-05,0.33127093,363.01953,64912.47264414206,100,503093.25958692277,655.21906,1080.5894080444843,2.3232775,108.78,78.23644627094839,1.0395919
72.2827403633523,0.01,0.00020152071,1.3042723,187.6069,0.022581182,0.019024212,642.7976568367133,3.873293e-05,0.34518692,464.0276,45182.12844513175,100,396853.893743545,717.90735,1213.1445919890516,2.1317372,122.06,76.67110652937671,0.9440326
87.92197750381969,0.01,0.0023585781,1.1221634,189.7535,0.015619713,0.23377809,692.7526237042398,1.3875957e-05,0.13632327,529.629,37619.286195628374,100,411960.1770889815,719.2686,1378.0877551659569,1.5481982,138.38,89.11358066685654,0.99118227
96.82568664765955,0.01,0.0045778584,1.0408003,184.46059,0.013336908,0.45897964,680.3563584625277,3.3114877e-06,0.033287812,511.97952,40081.257594158815,100,388745.2957409022,697.7881,1327.973042325899,1.3371687,133.47,96.07990776630864,1.0026077
91.91211955026347,0.010000002,0.001909115,1.0959857,172.82394,0.015440761,0.18879199,687.5157323532062,8.8884635e-06,0.08692199,520.3099,39525.704907501124,100,403683.5754290773,720.5657,1358.172777214423,1.5269337,136.43,91.24207046622972,0.9888979
71.38023913029951,0.010000002,0.00055622624,1.2863239,116.96292,0.03410114,0.057718717,734.0773719323096,4.0499788e-05,0.436097,597.5885,26337.295957361126,100,302185.61274735077,787.6317,1477.8543872490152,3.5386212,148.4,77.74091705206087,1.0376842
94.5935069363934,0.01,0.004088017,1.0630354,122.68452,0.01616021,0.40253675,752.2151031004624,5.773232e-06,0.055976357,631.8674,20476.348026405463,100,271867.16268722346,768.9949,1532.2468094119615,1.5912552,153.77,94.07024725965128,0.98467475
95.37960029811029,0.01,0.0046448074,1.0541209,96.62169,0.016384203,0.4580072,796.0962273266585,4.8931533e-06,0.04757709,706.73737,11288.90764833913,100,191140.88795426761,806.7107,1689.3715073464439,1.6155852,169.39,94.8657788364902,0.98606277
69.47574509519548,0.01,2.5550653e-05,1.3902336,57.628365,0.02831786,0.002523099,780.3285551688101,4.43789e-05,0.43275395,670.91046,16926.03369261522,100,244596.2757530477,835.8439,1645.4914602415822,2.7963576,164.97,71.93035574562956,0.9874891
52.325232216501654,0.01,5.106844e-07,1.6701258,19.137953,0.04254702,4.5748766e-05,822.007473511845,9.2032715e-05,0.7385771,745.9946,8168.667806267009,100,136949.5254448014,859.54254,1801.1863800546898,3.8115003,180.45,59.87572761259415,0.8958324
23.40886538206188,0.01,1.7902513e-11,3.812498,0.16552338,0.10135726,1.4700413e-09,858.6603429649882,0.0003304935,2.2284043,832.7284,950.7070720978783,100,22263.130208497863,865.98816,1961.056225513192,8.322818,196.25,26.229521319040426,0.82113683
97.73361591545343,0.009999999,0.005146273,1.0248249,0.0114483135,0.013532051,0.5106848,866.0064580202816,2.3423734e-06,0.023066215,865.9957,0.0001614319103351134,100,0.0010093478180171606,866.00714,1999.9708632850648,1.3428383,200.0,97.57764875383484,0.9923391
95.28767635476052,0.01,0.005029812,1.0467982,0.011126469,0.015177893,0.491047,866.0058732956351,4.995308e-06,0.047610737,865.9953,0.00015758789065607295,100,0.0014263699247887896,866.0067,1999.9678361606598,1.4817768,200.0,95.52939354392007,0.97627306
63.532678189906335,0.01,0.0002795074,1.4965894,0.01063594,0.0432873,0.029665848,866.0064361707808,5.797912e-05,0.65312845,865.9955,0.00016731209396919094,100,0.0011491283968088184,866.009,1999.9717117404937,4.594349,200.0,66.81859333955802,1.0613618
