J,IterType,MaxVanillaIw,VarNormIw,BatchSize,EpsThisIter,eRenyi2,Delta,VarRet,VarVanillaIw,MaxNormIw,AvgRet,VarDiscRet,VarJ,AvgEpLen,AvgVanillaIw,Bound,AvgDiscRet,AvgNormIw,VanillaAvgRet,MinNormIw,ESSRenyi,ESSClassic,MinVanillaIw
-1134.25,1,18.1968,0.00133453,100,100,1.0,0.4,139465.810687,5.88284,0.274073,-1440.71148367,139465.810687,1.65956,500.0,0.663941,-1376.61,-1440.71148367,0.01,-1440.71148367,,99.9998092655,7.03639022177,
-1094.38,1,12.7843,0.000154342,100,100,1.43388,0.4,1007.77841557,1.67941,0.122557,-1129.63492289,1007.77841557,296.74,500.0,1.04313,-1261.27,-1129.63492289,0.01,-1129.63492289,0.00155542,69.7406298848,39.5572327687,0.162249
-1133.58,1,1.16156,2.16524e-07,100,100,1.00281,0.4,934.267737846,0.00220168,0.0115191,-1133.9894103,934.267737846,33.0682,500.0,1.00838,-1289.83,-1133.9894103,0.01,-1133.9894103,0.00864698,99.7199176574,99.7861579161,0.871944
-1139.71,1,1.23921,3.86481e-06,100,100,1.03279,0.4,15099.8811737,0.0370989,0.0126482,-1151.20696953,15099.8811737,48.4181,500.0,0.979752,-1387.34,-1151.20696953,0.01,-1151.20696953,0.00311445,96.8249422734,96.3148432294,0.305139
-1133.78,1,1.06758,3.32925e-08,100,100,1.00039,0.4,103.569081048,0.000333842,0.0106611,-1133.84155272,103.569081048,10.3074,500.0,1.00138,-1282.1,-1133.84155272,0.01,-1133.84155272,0.00915525,99.9612005152,99.9670487408,0.916785
-1137.48,1,1.15382,9.34815e-07,100,100,1.0086,0.4,5666.97031014,0.00932963,0.0115497,-1139.76823669,5666.97031014,51.1403,500.0,0.999009,-1367.37,-1139.76823669,0.01,-1139.76823669,0.00668646,99.1475090521,99.0830306285,0.667984
-1032.22,1,56.7839,0.00166213,100,100,2.16298,0.4,1078.46388798,31.6566,0.411458,-1128.76209296,1078.46388798,581.643,500.0,1.38007,-1236.93,-1128.76209296,0.01,-1128.76209296,0.000901029,46.2324344088,5.72899534395,0.124348
-1136.03,1,1.09001,1.36785e-07,100,100,1.00171,0.4,235.935610051,0.0014009,0.0107708,-1136.30854754,235.935610051,13.4517,500.0,1.01201,-1290.85,-1136.30854754,0.01,-1136.30854754,0.00869142,99.8296069726,99.8647810181,0.879581
-1132.99,1,1.65403,2.74022e-06,100,100,1.02244,0.4,2196.5513152,0.0293975,0.0159691,-1136.38234216,2196.5513152,57.9289,500.0,1.03577,-1294.49,-1136.38234216,0.01,-1136.38234216,0.00651035,97.8051517007,97.3588737393,0.674322
-1121.37,1,2.09502,5.05882e-06,100,100,1.04503,0.4,2692.28285708,0.054561,0.0201731,-1127.97783033,2692.28285708,86.153,500.0,1.03852,-1284.35,-1127.97783033,0.01,-1127.97783033,0.00585002,95.6914477918,95.2306315668,0.607539
-1131.99,1,1.34539,2.60895e-06,100,100,1.02656,0.4,7279.56671776,0.0264199,0.0133695,-1137.7862507,7279.56671776,69.8049,500.0,1.00631,-1352.62,-1137.7862507,0.01,-1137.7862507,0.00517629,97.4122592595,97.4821755475,0.520897
-1132.4,1,1.70415,2.77889e-06,100,100,1.02795,0.4,14627.14032,0.0281988,0.0169171,-1138.34024116,14627.14032,152.192,500.0,1.00735,-1375.92,-1138.34024116,0.01,-1138.34024116,0.00705334,97.2805290341,97.3225445989,0.710517
-1058.01,1,16.6558,0.000238231,100,100,1.75272,0.4,3818.00395297,2.9052,0.150826,-1127.96079564,3818.00395297,637.183,500.0,1.10431,-1263.54,-1127.96079564,0.01,-1127.96079564,0.000267759,57.0541515381,29.7753439317,0.0295688
-1101.48,1,2.48692,1.09026e-05,100,100,1.08644,0.4,24761.5030953,0.116556,0.0240524,-1120.64796491,24761.5030953,162.941,500.0,1.03396,-1351.43,-1120.64796491,0.01,-1120.64796491,0.00392757,92.0438732608,90.2579543255,0.406094
-927.508,1,31.4003,0.000657883,100,100,2.40725,0.4,11443.9827463,18.1488,0.189053,-1096.45019,11443.9827463,688.329,500.0,1.66092,-1169.39,-1096.45019,0.01,-1096.45019,0.000443459,41.5412447723,13.3101871882,0.0736551
