J,IterType,EpsThisIter,MaxNormIw,Delta,MinVanillaIw,ESSRenyi,AvgNormIw,VarVanillaIw,VarDiscRet,AvgVanillaIw,AvgRet,VanillaAvgRet,VarRet,BatchSize,VarJ,Bound,AvgDiscRet,eRenyi2,MaxVanillaIw,ESSClassic,AvgEpLen,VarNormIw,MinNormIw
405.273,1,100,0.745934,0.7,0.00330592,16.9542879396,0.01,1188.47,9329.5350167,4.61227,142.343569244,142.343569244,9329.5350167,100,287.048,318.105,142.343569244,5.89821,344.045,1.7759193704,15.55,0.00558676,7.16767e-06
221.319,,100,0.26338,0.7,0.0029066,11.4989169211,0.01,1277.85,8697.90717032,11.4848,142.343569244,142.343569244,9329.5350167,200,121.573,104.851,199.021849683,17.3929,302.488,9.44195614097,15.55,0.00096879,2.53081e-06
396.534,1,100,0.729251,0.7,0.00100094,21.1712217837,0.005,2287.15,12937.6363376,4.63073,155.976312734,155.976312734,12937.6363376,200,468.854,308.74,155.976312734,9.44679,675.394,1.8669733605,17.01,0.00266646,1.08076e-06
216.196,2,100,0.01,0.7,1.0,200.0,0.01,,11241.8070547,1.0,216.196450121,216.196450121,11241.8070547,200,105.496,180.967,216.196450121,1.0,1.0,100.0,23.49,3.50449e-18,0.01
244.23,,100,0.171274,0.7,0.00148062,5.86581990667,0.005,11161.0,9957.30090272,29.1656,155.976312734,155.976312734,12937.6363376,300,278.041,32.4369,208.202229099,51.1437,999.062,14.2296395695,17.01,0.000328019,2.53829e-07
389.261,1,100,0.68266,0.7,9.99006e-05,27.7608015711,0.00333333,1709.53,13298.015956,3.48999,138.895921352,138.895921352,13298.015956,300,622.1,284.134,138.895921352,10.8066,714.742,2.12936032517,15.19,0.0015595,9.54164e-08
239.093,2,100,0.01,0.7,1.0,300.0,0.01,,8828.50874358,1.0,239.092567078,239.092567078,8828.50874358,300,93.4892,208.177,239.092567078,1.0,1.0,100.0,25.89,3.50449e-18,0.01
239.75,2,100,0.005,0.7,1.0,300.0,0.005,,10539.4726622,1.0,240.408116077,240.408116077,10539.4726622,300,97.9162,208.104,240.408116077,1.0,1.0,200.000000102,26.06,2.1793e-19,0.005
295.943,,100,0.376249,0.7,0.00139911,1.08337630018,0.00333333,365524.0,9859.62263615,88.6819,138.895921352,138.895921352,13298.015956,400,423.815,-200.561,243.321475346,369.216,10010.0,6.33942067571,15.19,0.000516421,5.25889e-08
393.053,1,100,0.687887,0.7,2.22511e-05,29.8262614638,0.0025,2253.65,7071.0399105,3.4433,127.779559469,127.779559469,7071.0399105,400,666.394,291.631,127.779559469,13.411,947.44,2.09857808946,13.99,0.001188,1.61554e-08
262.7,2,100,0.01,0.7,1.0,400.0,0.01,,12292.1965932,1.0,262.699860552,262.699860552,12292.1965932,400,110.314,217.708,262.699860552,1.0,1.0,100.0,28.44,3.50449e-18,0.01
262.839,2,100,0.005,0.7,1.0,400.0,0.005,,13091.6242374,1.0,262.977981896,262.977981896,13091.6242374,400,112.094,231.025,262.977981896,1.0,1.0,200.000000102,28.46,2.1793e-19,0.005
260.743,2,100,0.00333333,0.7,1.0,400.0,0.00333333,,10335.109042,1.0,256.551766626,256.551766626,10335.109042,400,108.61,234.767,256.551766626,1.0,1.0,299.999969474,27.78,5.43914e-20,0.00333333
241.227,,100,0.419803,0.7,0.00105548,0.117594665428,0.0025,5.5001e+06,16010.8200182,267.635,127.779559469,127.779559469,7071.0399105,500,156.354,-1788.44,242.253039462,4251.89,44941.6,5.15500390882,13.99,0.000479916,9.85928e-09
465.799,1,100,0.462231,0.7,1.32419e-13,14.6899248177,0.002,700.642,14030.0326146,2.42174,163.934616496,163.934616496,14030.0326146,500,985.593,321.281,163.934616496,34.0369,559.702,4.15883180088,17.86,0.00047786,1.09359e-16
298.234,2,100,0.01,0.7,1.0,500.0,0.01,,17557.6142148,1.0,298.234280683,298.234280683,17557.6142148,500,131.841,242.706,298.234280683,1.0,1.0,100.0,32.24,3.50449e-18,0.01
299.337,2,100,0.005,0.7,1.0,500.0,0.005,,20152.3655024,1.0,300.439821954,300.439821954,20152.3655024,500,136.63,250.381,300.439821954,1.0,1.0,200.000000102,32.51,2.1793e-19,0.005
295.909,2,100,0.00333333,0.7,1.0,500.0,0.00333333,,9338.46607652,1.0,289.05149493,289.05149493,9338.46607652,500,124.701,255.936,289.05149493,1.0,1.0,299.999969474,31.24,5.43914e-20,0.00333333
