MinVanillaIw,MinNormIw,VarRet,delta,VanillaAvgRet,Bound,AvgEpLen,AvgRet,AvgVanillaIw,VarVanillaIw,J,AvgDiscRet,MaxVanillaIw,ESSClassic,IterType,renyi2,BatchSize,VarNormIw,EpsThisIter,MaxNormIw,VarDiscRet,AvgNormIw,VarJ,ESSRenyi,SamplesThisIter
0.000881876,4.5822e-08,4242.3555894,0.2,-388.642090045,-438.957,480.769230769,-388.642090045,1.02808,0.753084,-64436.8,-388.642090045,8.78571,0.68614970345,1,nan,100,2.03319e-09,104,0.000456503,4242.3555894,5.34188e-05,2323.96,nan,50000
7.33503e-05,3.26597e-09,6172.09788347,0.2,-385.138562075,-425.798,476.19047619,-385.138562075,1.18831,2.95997,-58800.9,-385.138562075,20.6507,0.620405001559,1,nan,100,5.86824e-09,105,0.000919485,6172.09788347,5.29101e-05,3674.01,nan,50000
,,7859.3469293,0.2,-374.727087734,-380.674,462.962962963,-374.727087734,2.1343,38.32,-50843.0,-374.727087734,69.682,0.604390386888,1,nan,100,2.22598e-08,108,0.00167946,7859.3469293,5.14403e-05,2529.23,nan,50000
,,9147.28645613,0.2,-375.282222658,-363.275,462.962962963,-375.282222658,1.97435,67.8673,-46217.4,-375.282222658,284.194,2.47024687906,1,nan,100,4.60699e-08,108,0.00740447,9147.28645613,5.14403e-05,2957.64,nan,50000
0.0782049,4.08282e-06,2955.91032848,0.2,-391.800695292,-455.796,485.436893204,-391.800695292,1.03315,0.376318,-66837.4,-391.800695292,5.63289,0.696275322622,1,nan,100,1.02567e-09,103,0.000294075,2955.91032848,5.39374e-05,1716.8,nan,50000
0.000353251,1.75749e-08,4792.18344306,0.2,-392.110716644,-441.628,480.769230769,-392.110716644,1.0737,1.21618,-62725.5,-392.110716644,10.4137,0.508974332746,1,nan,100,3.01038e-09,104,0.000518103,4792.18344306,5.34188e-05,3372.72,nan,50000
6.75431e-19,2.61868e-23,7184.55931819,0.2,-381.082032805,-386.728,471.698113208,-381.082032805,1.35183,12.6211,-51207.8,-381.082032805,92.0331,1.21260257246,1,nan,100,1.89714e-08,106,0.00356816,7184.55931819,5.24109e-05,2985.6,nan,50000
2.23013e-22,6.02684e-27,7406.94934897,0.2,-380.753696786,-403.604,471.698113208,-380.753696786,1.93937,61.5065,-53343.4,-380.753696786,179.606,1.11747592218,1,nan,100,4.49201e-08,106,0.00485379,7406.94934897,5.24109e-05,3562.69,nan,50000
,,9282.53678779,0.2,-375.922132482,-381.696,462.962962963,-375.922132482,1.83474,24.6594,-50696.7,-375.922132482,62.3959,0.784028147243,1,nan,100,1.93838e-08,108,0.00174938,9282.53678779,5.14403e-05,3535.23,nan,50000
,,17055.9545557,0.2,-346.078705146,-256.67,427.35042735,-346.078705146,3.89474,172.522,-36443.0,-346.078705146,202.541,1.07184833459,1,nan,100,2.56431e-08,117,0.00246931,17055.9545557,4.74834e-05,2498.24,nan,50000
