AvgNormIw,IterType,Delta,VanillaAvgRet,ESSRenyi,VarRet,Bound,ESSClassic,eRenyi2,VarNormIw,VarVanillaIw,VarDiscRet,BatchSize,AvgEpLen,MinVanillaIw,MaxNormIw,AvgDiscRet,AvgVanillaIw,MinNormIw,MaxVanillaIw,J,AvgRet,VarJ,EpsThisIter
0.01,1,0.3,-5.14520982434,65.2483820733,85.479104066,3.85895,23.2276414749,1.53261,0.00033386,185.446,85.479104066,100,500.0,0.0484341,0.0442314,-5.14520982434,7.45293,6.49867e-05,32.9653,7.87051,-5.14520982434,0.962302,100
0.01,,0.3,-5.14520982434,114.820660472,85.479104066,-5.64099,39.2500507678,1.74185,0.00015634,36.9294,86.4527443077,200,500.0,0.0303349,0.0424812,-0.702431036039,4.86017,6.24154e-05,20.6466,-1.42492,-5.14520982434,8.27482,100
0.005,1,0.3,-6.82180592305,120.860244148,148.453307245,13.8121,10.5118715283,1.6548,0.000452916,10929.6,148.453307245,200,500.0,0.0388315,0.0975325,-6.82180592305,24.562,7.90479e-06,479.118,17.4045,-6.82180592305,2.26467,100
0.01,2,0.3,-1.27423836328,200.0,451.543554497,-10.4121,100.0,1.0,3.50449e-18,,451.543554497,200,500.0,1.0,0.01,-1.27423836328,1.0,0.01,1.0,-1.27424,-1.27423836328,21.143,100
0.005,,0.3,-6.82180592305,186.551918816,148.453307245,-20.0023,53.4636171448,1.60813,6.88659e-05,40.3967,212.771655442,300,500.0,0.00208717,0.0336237,-7.32989837394,3.82949,2.72512e-06,25.7523,-11.8085,-6.82180592305,14.976,100
0.00333333,1,0.3,1.09962608198,150.948877422,363.60068486,12.8124,10.4068543399,1.98743,0.000310225,24055.0,363.60068486,300,500.0,0.0205397,0.0980246,1.09962608198,29.3524,2.33254e-06,863.176,17.6439,1.09962608198,1.46655,100
0.01,2,0.3,0.765595470029,300.0,177.279043434,-2.79922,100.0,1.0,3.50449e-18,,177.279043434,300,500.0,1.0,0.01,0.765595470029,1.0,0.01,1.0,0.765595,0.765595470029,13.2479,100
0.005,2,0.3,0.103921442274,300.0,380.432245355,-4.84368,200.000000102,1.0,2.1793e-19,,380.432245355,300,500.0,1.0,0.005,0.103921442274,1.0,0.005,1.0,0.434758,0.103921442274,16.6186,100
0.00333333,,0.3,1.09962608198,202.841497497,363.60068486,-9.68235,59.461462981,1.97198,4.50979e-05,86.9254,87.6273479503,400,500.0,0.00115851,0.035068,-3.22099758395,4.62779,8.3446e-07,48.6863,-3.63018,1.09962608198,23.4487,100
0.0025,1,0.3,-2.56319410037,179.52217349,51.7204381988,13.1041,10.5539226936,2.22814,0.000231207,23260.7,51.7204381988,400,500.0,0.0102654,0.0973389,-2.56319410037,25.0755,1.02345e-06,976.329,17.5344,-2.56319410037,2.35388,100
0.01,2,0.3,2.43457760537,400.0,218.48101269,-3.36934,100.0,1.0,3.50449e-18,,218.48101269,400,500.0,1.0,0.01,2.43457760537,1.0,0.01,1.0,2.43458,2.43457760537,14.707,100
