eRenyi2,ESSRenyi,VarDiscRet,J,AvgVanillaIw,VarJ,VarVanillaIw,AvgDiscRet,Bound,AvgEpLen,IterType,Delta,MaxNormIw,VarNormIw,ESSClassic,MaxVanillaIw,VanillaAvgRet,MinVanillaIw,AvgNormIw,AvgRet,VarRet,EpsThisIter,MinNormIw,BatchSize
9.7738905,10.231340329430159,8093.378435235995,332.05655,0.578237,251.7408,7.4866714,90.64743883446909,178.951,10.07,1,0.4,0.40004846,0.0022391188,4.31643397984926,23.132282,90.64743883446909,,0.01,90.64743883446909,8093.378435235995,100,,100
1.8261256,54.76074526662006,92364.824840776,408.68402,1.1889443,740.92834,1.0160224,256.1793180666498,36.4068,26.63,1,0.4,0.0318952,7.18754e-05,58.426013854686076,3.792162,256.1793180666498,0.0022559806,0.01,256.1793180666498,92364.824840776,100,1.8974653e-05,100
8.384899,11.926201894314554,141994.01771440194,1403.0668,0.8847481,6066.778,11.146965,315.85576668683325,282.46106,32.6,1,0.4,0.32636234,0.0014240245,6.623463054123828,28.874846,315.85576668683325,5.0948138e-08,0.01,315.85576668683325,141994.01771440194,100,5.758491e-10,100
4.9796624,20.08168257173223,367534.6402384909,1946.518,1.4726775,3638.5532,38.861572,698.0818749845662,902.49976,70.83,1,0.4,0.41307676,0.0017918637,5.336335214204885,60.832882,698.0818749845662,3.5021656e-06,0.009999998,698.0818749845662,367534.6402384909,100,2.3780942e-08,100
10.07027,9.930220751227125,1535031.241231674,3914.0596,1.3569032,5954.6807,49.633102,1342.0175810223172,1970.7852,135.17,1,0.4,0.5116794,0.0026957127,3.6117303980802498,69.42995,1342.0175810223172,4.5315076e-08,0.01,1342.0175810223172,1535031.241231674,100,3.3395953e-10,100
3.3190114,30.129453155580048,3807762.2969866237,4545.5205,1.1032529,1160.3842,2.6413226,2890.2420620634134,3429.891,289.66,1,0.4,0.06399842,0.00021700579,31.762595121557553,7.060645,2890.2420620634134,3.86221e-05,0.010000003,2890.2420620634134,3807762.2969866237,100,3.5007474e-07,100
1.4260616,70.12319655675589,1592276.4996139815,4902.1045,0.8139774,303.57846,0.34148094,4412.35587703086,4170.8228,441.5,1,0.4,0.025051918,5.1539686e-05,66.21452031988976,2.0391695,4412.35587703086,0.0043482175,0.01,4412.35587703086,1592276.4996139815,100,5.3419386e-05,100
1.0703664,93.42595360403364,174704.83849687484,4963.872,0.97981995,155.04364,0.08659844,4906.4967016273595,4330.321,490.74,1,0.4,0.01427739,9.020229e-06,91.80203633857265,1.3989272,4906.4967016273595,0.16757824,0.010000002,4906.4967016273595,174704.83849687484,100,0.0017102963,100
1.0540456,94.87255958086287,234138.1706282913,4973.7524,0.98077714,162.84647,0.069626436,4920.665366663274,4345.05,492.12,1,0.4,0.01395527,7.238249e-06,93.31330614049172,1.368701,4920.665366663274,0.15068464,0.01,4920.665366663274,234138.1706282913,100,0.00153638,100
1.042647,95.9097370482362,247619.10788973185,4977.0977,1.0025972,161.46269,0.049833845,4936.047974255378,4351.8037,493.64,1,0.4,0.012969362,4.9575992e-06,95.32160304787858,1.3003045,4936.047974255378,0.23606959,0.01,4936.047974255378,247619.10788973185,100,0.0023545807,100
1.0025753,99.74313367405408,6241.364968900163,4993.656,1.006042,62.035393,0.0027015721,4991.976873234382,4380.495,499.22,1,0.4,0.010745681,2.66922e-07,99.73645062770362,1.0810605,4991.976873234382,0.79225004,0.01,4991.976873234382,6241.364968900163,100,0.007874921,100
1.0,100.0,0.03144213522950292,4999.8765,1.0,0.176441,,4999.876260484985,4387.504,500.0,1,0.4,0.01,3.5044917e-18,100.0,1.0,4999.876260484985,1.0,0.009999998,4999.876260484985,0.03144213522950292,100,0.01,100
1.0531408,94.95406867597461,211594.63414271094,4968.6226,1.009601,196.08113,0.04894545,4921.136316910974,4340.19,492.16,1,0.4,0.015330381,4.801897e-06,95.46186189004445,1.5477568,4921.136316910974,0.18345854,0.01,4921.136316910974,211594.63414271094,100,0.0018171391,100
1.0,100.0,0.03815872350054569,4999.861,1.0000119,0.19444686,2.2972346e-08,4999.860315406441,4387.4883,500.0,1,0.4,0.010008389,2.2971926e-12,99.99999618534825,1.0008508,4999.860315406441,0.9998486,0.010000002,4999.860315406441,0.03815872350054569,100,0.009998367,100
