MaxVanillaIw,VarDiscRet,AvgVanillaIw,AvgNormIw,VarJ,ESSRenyi,Bound,AvgDiscRet,eRenyi2,AvgRet,MinNormIw,VanillaAvgRet,MaxNormIw,EpsThisIter,Delta,ESSClassic,AvgEpLen,VarNormIw,MinVanillaIw,VarVanillaIw,BatchSize,IterType,VarRet,J
1.70661,1735.98398748,0.991313,0.01,24.6663,93.7780409613,-174.207,-119.975974872,1.06635,-119.975974872,0.00246086,-119.975974872,0.0172157,100,0.3,93.029706039,46.09,7.56822e-06,0.243948,0.0743731,100,1,1735.98398748,-115.395
1.68608,2887.68218716,1.0382,0.01,34.6871,94.498987206,-182.51,-119.336896966,1.05821,-119.336896966,0.0044828,-119.336896966,0.0162404,100,0.3,94.3370969894,39.75,6.06349e-06,0.465405,0.0653563,100,1,2887.68218716,-114.993
1.39698,2049.46985944,0.940322,0.01,31.0123,94.7446828288,-193.507,-120.303009985,1.05547,-120.303009985,0.00237346,-120.303009985,0.0148564,100,0.3,93.2983339195,34.44,7.25562e-06,0.223182,0.0641546,100,1,2049.46985944,-115.85
1.30466,1080.36472969,0.995475,0.01,18.1707,97.6884293368,-177.761,-112.831171822,1.02366,-112.831171822,0.0053088,-112.831171822,0.0131059,100,0.3,97.5038319213,23.51,2.58594e-06,0.528478,0.0256259,100,1,1080.36472969,-111.039
1.24757,388.925135448,1.00642,0.01,14.6082,97.9558625686,-154.777,-110.225286219,1.02087,-110.225286219,0.00513057,-110.225286219,0.0123961,100,0.3,97.9937092304,24.29,2.06801e-06,0.51635,0.0209465,100,1,388.925135448,-109.277
1.31162,214.983487911,1.00708,0.01,9.82216,98.313969651,-148.089,-110.485119395,1.01715,-110.485119395,0.00414478,-110.485119395,0.013024,100,0.3,98.3628054421,19.84,1.68126e-06,0.417411,0.0170515,100,1,214.983487911,-109.742
1.36346,2194.60288114,1.03603,0.01,22.4685,96.1501796381,-189.389,-115.695340217,1.04004,-115.695340217,0.0042153,-115.695340217,0.0131605,100,0.3,97.3487066618,29.25,2.75098e-06,0.436716,0.0295276,100,1,2194.60288114,-111.937
1.24108,30.5966449355,0.99703,0.01,5.7671,99.1289503504,-127.264,-107.190762756,1.00879,-107.190762756,0.00668574,-107.190762756,0.0124477,100,0.3,99.312585371,20.04,6.99162e-07,0.666588,0.00695015,100,1,30.5966449355,-107.002
1.28797,19.044387865,0.997003,0.01,4.43165,98.9746576932,-126.265,-108.019446817,1.01036,-108.019446817,0.00787203,-108.019446817,0.0129184,100,0.3,98.9849070893,17.9,1.03585e-06,0.784844,0.0102965,100,1,19.044387865,-107.816
1.23131,20.8838820756,1.00774,0.01,4.19636,98.3996552273,-127.195,-107.912929407,1.01626,-107.912929407,0.00587879,-107.912929407,0.0122185,100,0.3,98.3360514174,18.3,1.70922e-06,0.592432,0.0173579,100,1,20.8838820756,-107.589
1.28182,25.057768426,1.00387,0.01,4.15304,98.4818597775,-129.392,-108.525344413,1.01542,-108.525344413,0.00614442,-108.525344413,0.0127688,100,0.3,98.3466170174,18.03,1.69816e-06,0.616817,0.0171132,100,1,25.057768426,-108.185
1.11146,6.86324858529,0.998465,0.01,2.5616,99.7785595128,-124.734,-107.320094766,1.00222,-107.320094766,0.00845745,-107.320094766,0.0111317,100,0.3,99.7602940931,16.39,2.42719e-07,0.844446,0.00241974,100,1,6.86324858529,-107.282
1.13685,16.9884445558,0.984816,0.01,3.73647,99.0536153189,-127.335,-108.244319108,1.00955,-108.244319108,0.00707511,-108.244319108,0.0115438,100,0.3,99.1003269799,18.31,9.17035e-07,0.696769,0.00889399,100,1,16.9884445558,-108.061
1.28628,23.9008032206,1.00458,0.01,4.1631,98.9090957112,-128.878,-107.845629915,1.01103,-107.845629915,0.00434313,-107.845629915,0.0128041,100,0.3,98.5971008946,17.22,1.43724e-06,0.436304,0.0145045,100,1,23.9008032206,-107.585
1.10147,11.0662860965,0.997339,0.01,3.1383,99.4655359942,-126.727,-108.003620495,1.00537,-108.003620495,0.00558178,-108.003620495,0.0110441,100,0.3,99.4518907963,16.77,5.56696e-07,0.556692,0.00553737,100,1,11.0662860965,-107.896
1.10109,7.65844966336,0.983568,0.01,2.64366,99.4367909137,-125.391,-107.82364602,1.00566,-107.82364602,0.00713095,-107.82364602,0.0111948,100,0.3,99.1573492405,17.12,8.584e-07,0.701378,0.00830422,100,1,7.65844966336,-107.725
1.16782,6.91526734442,1.0028,0.01,2.48487,99.7067137763,-125.648,-107.104945246,1.00294,-107.104945246,0.00703476,-107.104945246,0.0116455,100,0.3,99.5709551229,15.86,4.35237e-07,0.705448,0.0043768,100,1,6.91526734442,-107.049
1.17488,161.699561813,0.991843,0.01,10.1444,98.9626427764,-143.613,-108.5021079,1.01048,-108.5021079,0.00740418,-108.5021079,0.0118454,100,0.3,98.919577368,19.01,1.10328e-06,0.734379,0.0108536,100,1,161.699561813,-108.118
1.13855,11.6570937379,0.97959,0.01,3.22737,99.1163123842,-126.533,-107.911067912,1.00892,-107.911067912,0.00540188,-107.911067912,0.0116228,100,0.3,98.7550791842,17.77,1.27336e-06,0.529163,0.0122191,100,1,11.6570937379,-107.74
1.15297,5.86768527663,1.00239,0.01,2.40357,99.7722460342,-124.659,-107.254262617,1.00228,-107.254262617,0.00913995,-107.254262617,0.0115022,100,0.3,99.8064208489,15.99,1.959e-07,0.916182,0.00196838,100,1,5.86768527663,-107.215
1.17234,30.0146444228,1.00307,0.01,4.79747,99.2691560023,-130.638,-107.681413627,1.00736,-107.681413627,0.00659418,-107.681413627,0.0116875,100,0.3,99.2619654374,17.87,7.51051e-07,0.661445,0.00755676,100,1,30.0146444228,-107.509
1.09116,8.12490901491,0.991593,0.01,2.79503,99.7289751237,-125.006,-107.503456737,1.00272,-107.503456737,0.00771165,-107.503456737,0.0110041,100,0.3,99.5933161241,17.29,4.12467e-07,0.764682,0.00405561,100,1,8.12490901491,-107.456
1.07355,7.3620714628,1.00063,0.01,2.65748,99.8364386349,-124.666,-107.061442104,1.00164,-107.061442104,0.00885316,-107.061442104,0.0107288,100,0.3,99.850371716,16.01,1.51373e-07,0.885874,0.00151564,100,1,7.3620714628,-107.03
