J,AvgDiscRet,Bound,VarNormIw,IterType,MaxNormIw,MinNormIw,VarVanillaIw,AvgNormIw,MinVanillaIw,VanillaAvgRet,AvgVanillaIw,ESSRenyi,EpsThisIter,AvgRet,AvgEpLen,VarRet,eRenyi2,BatchSize,VarDiscRet,VarJ,ESSClassic,MaxVanillaIw
20315.043,48.86819044895265,143.16733,4.3749157e-11,1,0.0015972708,4.5729035e-13,127.084274,6.5444175e-07,7.793868e-07,48.86819044895265,1.1154035,nan,8489,48.86819044895265,5.889975262103899,3607.5455306646604,nan,100,3607.5455306646604,40084.996,3.746392110585709,2722.3228
15677.422,50.020957675518815,95.826004,8.166729e-12,1,0.00068544387,9.691503e-16,20.100628,6.6725414e-07,1.5204489e-09,50.020957675518815,1.0468193,nan,8326,50.020957675518815,6.005284650492434,3558.6666592687434,nan,100,3558.6666592687434,24050.547,10.878082998858343,1075.3567
14755.137,50.07045453527329,80.84128,4.0822085e-12,1,0.00055533514,2.461185e-11,9.732838,6.678155e-07,3.8002872e-05,50.07045453527329,1.0311658,,8319,50.07045453527329,6.010337780983291,3987.9119524119387,inf,100,3987.9119524119387,25917.615,14.918628590334352,857.4865
19266.688,49.379106422042696,125.242905,2.5889202e-11,1,0.0010252309,9.553967e-14,72.924126,6.601183e-07,1.6034672e-07,49.379106422042696,1.1078937,nan,8416,49.379106422042696,5.94106463878327,3636.9729686736355,nan,100,3636.9729686736355,33555.074,6.490679751708278,1720.6716
20260.39,50.28001061284949,154.13962,3.791492e-11,1,0.0020835632,2.2061746e-14,102.95253,6.701518e-07,3.635409e-08,50.28001061284949,1.1042982,,8290,50.28001061284949,6.031363088057901,3773.2377008233493,inf,100,3773.2377008233493,40469.55,5.087246666471564,3433.366
16495.195,49.66211999831063,101.26042,1.1990092e-11,1,0.0006371939,3.300802e-13,30.96657,6.632704e-07,5.3046267e-07,49.66211999831063,1.0659239,nan,8376,49.66211999831063,5.969436485195797,3518.4273341178623,nan,100,3518.4273341178623,24306.047,11.488290098341631,1024.0166
22607.627,50.22324535933312,162.2922,3.7245063e-10,1,0.011217756,2.5722424e-23,1202.2749,6.695053e-07,4.621462e-17,50.22324535933312,1.202878,,8298,50.22324535933312,6.025548324897565,3975.2338523867124,inf,100,3975.2338523867124,42257.266,4.191367686384518,20154.568
15093.559,50.013833081097275,73.99921,3.038134e-12,1,0.0005306645,3.14406e-11,7.08538,6.671738e-07,4.8014117e-05,50.013833081097275,1.018866,,8327,50.013833081097275,6.004563468235859,4468.5150480615885,inf,100,4468.5150480615885,35596.355,13.58947970874806,810.3976
16249.078,49.740821748532404,102.05888,1.0849697e-11,1,0.0010343059,4.593294e-12,27.215675,6.641432e-07,7.2748658e-06,49.740821748532404,1.0518705,nan,8365,49.740821748532404,5.977286312014345,3435.1457657987576,nan,100,3435.1457657987576,29667.111,8.390671904946625,1638.1351
16390.973,50.80940314110315,137.30823,1.0041763e-11,1,0.0012702091,1.9566044e-12,24.440569,6.760228e-07,3.0524852e-06,50.80940314110315,1.0546587,nan,8218,50.80940314110315,6.084205402774398,3806.958750476005,nan,100,3806.958750476005,25680.793,13.648835189240364,1981.6447
17972.203,50.82441191203721,132.49333,1.5476138e-11,1,0.0009121806,2.577578e-13,39.056,6.7618754e-07,4.0947216e-07,50.82441191203721,1.0741863,,8216,50.82441191203721,6.085686465433301,3902.338707350406,inf,100,3902.338707350406,28354.729,10.703332567516336,1449.0835
18186.223,51.53601010007758,108.90634,1.337799e-11,1,0.0011953679,3.7040104e-11,31.840624,6.8409764e-07,5.7143596e-05,51.53601010007758,1.055391,,8121,51.53601010007758,6.1568772318679965,4302.267546820366,inf,100,4302.267546820366,38729.38,7.309604911256846,1844.1531
18442.963,48.847126680071504,129.01347,2.3694218e-11,1,0.0013493025,1.1365687e-11,64.92771,6.542104e-07,1.8814364e-05,48.847126680071504,1.0829573,nan,8492,48.847126680071504,5.887894488930758,3378.167241200677,nan,100,3378.167241200677,39290.367,4.849020349783684,2233.5884
13130.13,50.71256901880605,60.497444,1.4705316e-12,1,0.00022757702,3.235252e-10,3.3201795,6.749548e-07,0.00048612928,50.71256901880605,1.0141883,,8231,50.71256901880605,6.074596039363382,4096.750837942273,inf,100,4096.750837942273,20476.11,24.71868496120654,341.95746
16455.008,51.589354517974215,98.34897,7.578507e-12,1,0.00063006283,2.3639849e-11,17.647608,6.8468773e-07,3.6074125e-05,51.589354517974215,1.0448251,,8114,51.589354517974215,6.162188809465122,4110.619779846819,inf,100,4110.619779846819,28144.031,9.913502288518092,961.4683
