AvgNormIw,MaxNormIw,eRenyi2,AvgEpLen,VarVanillaIw,AvgVanillaIw,BatchSize,VarDiscRet,VanillaAvgRet,J,MinNormIw,VarRet,Bound,MinVanillaIw,ESSClassic,AvgDiscRet,IterType,EpsThisIter,VarNormIw,ESSRenyi,MaxVanillaIw,VarJ,AvgRet
0.010000002,0.9832082,1.5516781,500.0,213099.1,46.959126,100,124716.46648938478,-197.0811088648296,552.76874,1.6219949e-05,124716.46648938478,388.95764,0.07616746,1.0344449903451962,-197.0811088648296,1,100,0.009663659,64.44635809587875,4617.0596,128.06726,-197.0811088648296
0.01,0.07232189,1.498425,500.0,2.5443733,1.8153517,200,96797.12638433129,-197.0811088648296,-187.32516,1.1930914e-06,124716.46648938478,-320.4589,0.00021658806,56.67797109681646,-185.1274623656063,,100,7.7207456e-05,133.47347987621026,13.128967,278.4143,-197.0811088648296
0.005000001,0.99001515,1.8780589,500.0,1683724.8,92.68311,200,91794.12492880166,-257.6811665291227,352.6671,2.909308e-06,91794.12492880166,225.23404,0.053928744,1.020271797672622,-257.6811665291227,1,100,0.004900156,106.49293208838222,18351.537,64.85639,-257.6811665291227
0.009999998,0.01,1.0,500.0,,1.0,200,96244.84541684612,-140.13061079436625,-140.13062,0.01,96244.84541684612,-229.1136,1.0,100.0,-140.13061079436625,2,100,3.5044917e-18,200.0,1.0,308.67847,-140.13061079436625
0.005,0.041601762,1.8343229,500.0,5.615301,2.2286298,300,78905.0263681079,-257.6811665291227,-191.5622,1.2225301e-07,91794.12492880166,-276.7799,5.4491346e-05,94.12135511853513,-223.95763686904448,,100,2.8264232e-05,163.548083706842,18.542986,367.35242,-257.6811665291227
0.0033333334,0.9983102,1.8120784,500.0,89470930.0,547.0377,300,93998.75178092925,-161.08115167946207,930.04254,3.3591627e-07,93998.75178092925,827.83795,0.055127658,1.0033881513672815,-161.08115167946207,1,100,0.0033220395,165.555754740782,163834.0,30.302505,-161.08115167946207
0.009999998,0.01,1.0,500.0,,1.0,300,92398.03705875385,-263.7060280295914,-263.70602,0.01,92398.03705875385,-360.0042,1.0,100.0,-263.7060280295914,2,100,3.5044917e-18,300.0,1.0,302.44678,-263.7060280295914
0.0049999994,0.005,1.0,500.0,,1.0,300,106533.96200175604,-129.8466566693695,-196.77634,0.005,106533.96200175604,-272.63593,1.0,200.00000010221265,-129.8466566693695,2,100,2.179301e-19,300.0,1.0,320.85968,-129.8466566693695
0.003333333,0.029237842,1.7614677,500.0,4.846501,2.0680635,400,133068.28476031058,-161.08115167946207,-233.72937,9.838091e-09,93998.75178092925,-315.93512,6.1037395e-06,140.88432200191235,-194.25495682961352,,100,1.2590936e-05,227.08335842989248,18.139715,547.3341,-161.08115167946207
0.0024999992,0.998082,1.6758981,500.0,88237620.0,470.5792,400,106220.50713064881,-214.42090298156006,929.70154,4.0266863e-07,106220.50713064881,844.5806,0.07579499,1.0038470954897993,-214.42090298156006,1,100,0.0024903952,238.67799954077447,187870.64,41.777195,-214.42090298156006
0.009999998,0.01,1.0,500.0,,1.0,400,107289.42973195467,-208.29303406321807,-208.29303,0.01,107289.42973195467,-310.11255,1.0,100.0,-208.29303406321807,2,100,3.5044917e-18,400.0,1.0,325.90878,-208.29303406321807
