DivergenceHarmonic,StdIW,MinIW,LearnableVariance,EpisodesSoFar,OptimizationReturnMean,InitialReturnMean,MinBehavPdf,MeanEntropy,EpLenMean,MinTargetPdf,ESSRenyiArithmetic,Inner Iteration,InitialReturnMax,InitialReturnMin,Iteration,EpThisIter,StdWReturnMean,OptimizationReturnMax,EpRewMean,MeanD2-0,ReturnMeanIW,EmpiricalD2Harmonic,VarianceInitializer,InitialBound,MeanIW,TimestepsSoFar,TimeElapsed,Weights,WReturnMean,Epsilon,OptimizationReturnMin,ESSRenyiHarmonic,InitialReturnStd,Bound,MaxIW,ReturnStepMaxmin,EmpiricalD2Arithmetic,ReturnStepMax,Penalization
3.1919304e+17,130993.195,0.08380239,,1300,129.61206,407.27173,-39.247017,0.4189424,43.91,-39.247017,100.0,1,766.6716,277.6597,13,100,,489.01187,407.2717469056027,1.0,3607467000.0,1.0,-1.0,-180623.03,15351.473,45803,77.23007726669312,[ 0.103  0.09  -0.021  0.014  0.018  0.054  0.373 -0.421  0.     0.  0.   ],174715.56,2.0,,100.0,94.049385,-3341158000000.0,1313988.0,9.359976,1.0,9.359976,True
1529791900000000.0,26.81635,0.111229956,,1400,158.71281,427.20175,-43.874542,0.4189424,46.06,-43.874542,100.0,1,856.9542,268.48895,14,100,,588.4653,427.2017655992692,1.0,2173156.8,1.0,-1.0,-200107.25,10.101343,50409,84.38148880004883,[ 0.113  0.11  -0.024 -0.025 -0.023  0.087  0.429 -0.509  0.     0.  0.   ],192726.53,2.0,,100.0,101.11968,-288680280000.0,182.32999,9.359842,1.0,9.359842,True
4.2549404e+33,1663.096,0.058247406,,1500,168.24681,435.15332,-49.596027,0.4189424,46.92,-49.596027,100.0,1,936.3173,266.9065,15,100,,669.4108,435.15331736872264,1.0,149883180.0,1.0,-1.0,-212001.67,175.4087,55101,91.2931535243988,[ 0.09   0.112 -0.028  0.013  0.015  0.075  0.418 -0.523  0.     0.  0.   ],203190.6,2.0,,100.0,117.61038,-5.747451e+20,16720.201,9.359964,1.0,9.359964,True
7.223891e+16,4323.6606,0.08041876,,1600,132.7023,408.39383,-35.342506,0.4189424,44.01,-35.342506,100.0,1,811.63367,275.69156,16,100,,535.94214,408.39385382184815,1.0,175287230.0,1.0,-1.0,-183358.73,794.40344,59502,98.61794853210449,[ 0.137  0.114 -0.024  0.035  0.036  0.091  0.441 -0.52   0.     0.  0.   ],176738.05,2.0,,100.0,99.762276,-1779634700000.0,30607.21,9.359839,1.0,9.359839,True
182689800000000.0,380.12817,0.05952984,,1700,143.9683,420.88815,-54.602608,0.4189424,45.37,-54.602608,100.0,1,1055.4816,276.91986,17,100,,778.5617,420.888167884392,1.0,18772636.0,1.0,-1.0,-201642.03,90.95697,64039,103.88000845909119,[ 0.098  0.109 -0.04   0.018  0.02   0.078  0.437 -0.634  0.     0.  0.   ],190445.48,2.0,,100.0,115.319786,-151354300000.0,2615.9956,9.359615,1.0,9.359615,True
2.9807482e+20,1419.8019,0.020387491,,1800,168.74435,446.55508,-49.283012,0.4189424,48.15,-49.283012,100.0,1,818.4663,277.81076,18,100,,540.6555,446.55509935979853,1.0,54486004.0,1.0,-1.0,-216707.36,256.08957,68854,111.1656813621521,[ 0.08   0.116 -0.044  0.002  0.001  0.116  0.399 -0.623  0.     0.  0.   ],209974.73,2.0,,100.0,102.77784,-116237660000000.0,13061.057,9.359778,1.0,9.359778,True
1.7863205e+29,28392370.0,0.08053173,,1900,161.64644,457.26938,-35.53547,0.4189424,49.31,-35.53547,100.0,1,781.7666,295.62296,19,100,,486.14365,457.26938861014366,1.0,663437700000.0,1.0,-1.0,-223768.12,2859333.8,73785,117.63239049911499,[ 0.11   0.121 -0.043  0.007  0.005  0.17   0.396 -0.62   0.     0.  0.   ],217625.73,2.0,,100.0,92.36043,-2.59607e+18,285359740.0,9.359909,1.0,9.359909,True
4143407000000.0,190.50864,0.113440216,,2000,175.98775,405.55383,-41.941895,0.4189424,43.73,-41.941895,100.0,1,706.9998,229.56607,20,100,,477.43375,405.5538246314757,1.0,3668863.0,1.0,-1.0,-179428.69,32.8311,78158,124.15662097930908,[ 0.142  0.127 -0.032  0.065  0.062  0.139  0.479 -0.628  0.     0.  0.   ],174405.02,2.0,,100.0,99.654915,-10229528000.0,1899.9873,9.35993,1.0,9.35993,True
671012300000.0,283.54474,0.077383116,,2100,156.02069,431.65588,-36.176563,0.4189424,46.54,-36.176563,100.0,1,853.49396,275.6352,21,100,,577.85876,431.6558780657687,1.0,8155254.0,1.0,-1.0,-206620.88,50.8829,82812,131.58472657203674,[ 0.14   0.122 -0.033  0.033  0.031  0.104  0.49  -0.65   0.     0.  0.   ],199299.66,2.0,,100.0,113.89848,-6005355000.0,2808.0745,9.359943,1.0,9.359943,True
1110507400000.0,4339.36,0.09040379,,2200,182.27614,476.53168,-45.54834,0.4189424,51.38,-45.54834,100.0,1,917.49207,294.25555,22,100,,623.2365,476.53167350608527,1.0,135086600.0,1.0,-1.0,-253182.0,522.195,87950,139.56450033187866,[ 0.147  0.127 -0.037 -0.004 -0.005  0.133  0.479 -0.663  0.     0.  0.   ],244721.67,2.0,,100.0,132.81284,-9050628000.0,43490.004,9.359806,1.0,9.359806,True
13342331000000.0,2909.6533,0.05860781,,2300,143.6848,440.38562,-37.032406,0.4189424,47.46,-37.032406,100.0,1,820.12823,296.7008,23,100,,523.4274,440.38559247228693,1.0,69003576.0,1.0,-1.0,-211821.94,378.1209,92696,147.97031164169312,[ 0.146  0.133 -0.04   0.031  0.03   0.163  0.465 -0.679  0.     0.  0.   ],205061.94,2.0,,100.0,105.463165,-24761315000.0,29104.508,9.359843,1.0,9.359843,True
1.437969e+23,1510449.9,0.21875183,,2400,152.50082,457.67896,-39.305656,0.4189424,49.33,-39.305656,100.0,1,828.025,305.1781,24,100,,522.8469,457.6789281334406,1.0,47561500000.0,1.0,-1.0,-230919.33,318634.12,97629,156.36622881889343,[ 0.163  0.14  -0.041  0.019  0.019  0.219  0.459 -0.688  0.     0.  0.   ],224028.53,2.0,,100.0,120.65866,-2613075600000000.0,11512759.0,9.359858,1.0,9.359858,True
2544599300000.0,176.69354,0.07731466,,2500,176.96785,425.1585,-43.70312,0.4189424,45.84,-43.70312,100.0,1,754.9699,248.19064,25,100,,506.77927,425.158502942548,1.0,11033538.0,1.0,-1.0,-199765.27,47.384315,102213,164.00079131126404,[ 0.167  0.131 -0.05  -0.054 -0.055  0.245  0.431 -0.745  0.     0.  0.   ],194036.75,2.0,,100.0,115.225876,-9149039000.0,1405.5504,9.3599,1.0,9.3599,True
1.170981e+18,354.61044,0.01013935,,2600,191.5185,495.18066,-51.51182,0.4189424,53.36,-51.51182,100.0,1,996.5831,303.66214,26,100,,692.921,495.1806386338795,1.0,33687410.0,1.0,-1.0,-271141.0,91.80632,107549,172.48903369903564,[ 0.181  0.129 -0.049 -0.022 -0.022  0.271  0.409 -0.725  0.     0.  0.   ],261159.16,2.0,,100.0,126.31423,-10801541000000.0,2407.0095,9.359995,1.0,9.359995,True
6.4613956e+16,102.02914,0.08383468,,2700,243.73933,510.1417,-59.16918,0.4189424,55.0,-59.16918,100.0,1,982.21,266.40234,27,100,,715.8077,510.14169168091286,1.0,12137132.0,1.0,-1.0,-296747.25,31.00475,113049,180.54882049560547,[ 0.13   0.122 -0.071 -0.011 -0.009  0.289  0.32  -0.787  0.     0.  0.   ],287051.28,2.0,,100.0,163.72765,-2464656400000.0,840.2374,9.359768,1.0,9.359768,True
1594324200000000.0,2323.607,0.034332786,,2800,194.70384,454.14038,-42.933247,0.4189424,48.95,-42.933247,100.0,1,779.5108,259.43652,28,100,,520.0743,454.1403659659774,1.0,94296600.0,1.0,-1.0,-225469.11,242.37611,117944,188.3726828098297,[ 0.109  0.124 -0.072 -0.04  -0.04   0.254  0.339 -0.797  0.     0.  0.   ],219362.12,2.0,,100.0,114.53672,-243939920000.0,23361.52,9.359971,1.0,9.359971,True
6.338885e+21,533.5326,0.19986537,,2900,223.82178,501.9256,-48.72232,0.4189424,54.09,-48.72232,100.0,1,993.9205,278.10388,29,100,,715.8166,501.92563858690215,1.0,60440916.0,1.0,-1.0,-285274.25,147.46284,123353,196.26728653907776,[ 0.087  0.124 -0.074 -0.022 -0.021  0.209  0.359 -0.815  0.     0.  0.   ],275345.7,2.0,,100.0,153.02402,-790482200000000.0,3474.447,9.359953,1.0,9.359953,True
5.086486e+29,976953.5,0.022939943,,3000,200.07245,485.33792,-42.099937,0.4189424,52.31,-42.099937,100.0,1,912.8032,285.26547,30,100,,627.5377,485.3379128758308,1.0,90778470000.0,1.0,-1.0,-262123.61,169098.12,128584,203.15878415107727,[ 0.105  0.119 -0.074 -0.019 -0.018  0.239  0.321 -0.78   0.     0.  0.   ],253749.52,2.0,,100.0,134.89487,-5.9723553e+18,8088982.5,9.359706,1.0,9.359706,True
228180160000.0,318.89963,0.105323866,,3100,176.84209,426.9106,-45.92453,0.4189424,46.02,-45.92453,100.0,1,1049.5438,250.06847,31,100,,799.47534,426.9105741747424,1.0,16418633.0,1.0,-1.0,-210816.31,81.073715,133186,212.70020818710327,[ 0.113  0.126 -0.075  0.065  0.069  0.271  0.325 -0.78   0.     0.  0.   ],199745.38,2.0,,100.0,132.2601,-5304796700.0,2818.2368,9.359961,1.0,9.359961,True
2.7436087e+19,43773.98,0.029860036,,3200,163.10486,438.58926,-35.349037,0.4189424,47.31,-35.349037,100.0,1,781.5436,275.4844,32,100,,506.05917,438.5892562474496,1.0,2599938000.0,1.0,-1.0,-209840.0,6563.9155,137917,222.3407382965088,[ 0.111  0.125 -0.079  0.035  0.038  0.293  0.287 -0.769  0.     0.  0.   ],203701.11,2.0,,100.0,106.49215,-32157704000000.0,414391.5,9.359808,1.0,9.359808,True
4.890578e+35,38459.082,0.069532946,,3300,143.00316,391.58633,-41.069878,0.4189424,42.21,-41.069878,100.0,1,724.7191,248.58316,33,100,,476.13596,391.58631338913574,1.0,561565630.0,1.0,-1.0,-167134.34,5240.471,142138,229.58850979804993,[ 0.161  0.11  -0.069  0.101  0.101  0.273  0.347 -0.791  0.     0.  0.   ],161855.7,2.0,,100.0,92.28145,-3.691492e+21,371080.0,9.359963,1.0,9.359963,True
2511228400000.0,168.85747,0.09191401,,3400,177.69928,481.6183,-51.181816,0.4189424,51.91,-51.181816,100.0,1,1125.1082,303.91898,34,100,,821.1892,481.61825949017737,1.0,14424785.0,1.0,-1.0,-267715.66,33.28666,147329,238.49102091789246,[ 0.135  0.109 -0.07   0.038  0.036  0.201  0.381 -0.811  0.     0.  0.   ],254993.19,2.0,,100.0,151.77966,-20175516000.0,1635.0135,9.3598995,1.0,9.3598995,True
70398780000.0,31.249697,0.008288006,,3500,220.98016,489.61707,-43.348167,0.4189424,52.74,-43.348167,100.0,1,969.5951,268.63696,35,100,,700.9581,489.6171033968851,1.0,4485537.5,1.0,-1.0,-266280.38,13.753536,152603,248.0988507270813,[ 0.147  0.11  -0.069  0.001 -0.001  0.227  0.388 -0.826  0.     0.  0.   ],256831.86,2.0,,100.0,130.79361,-2511436300.0,185.40202,9.359827,1.0,9.359827,True
1299759800000.0,72.7248,0.09935885,,3600,167.43765,462.89133,-45.596073,0.4189424,49.9,-45.596073,100.0,1,811.39795,295.4537,36,100,,515.9442,462.8913545598895,1.0,4677408.0,1.0,-1.0,-234215.45,17.571169,157593,256.35473012924194,[ 0.135  0.111 -0.07  -0.038 -0.039  0.199  0.392 -0.828  0.     0.  0.   ],227598.61,2.0,,100.0,115.45654,-7548331000.0,607.20294,9.359995,1.0,9.359995,True
1.4235069e+26,110411.64,0.0058197184,,3700,168.79317,474.8156,-37.88954,0.4189424,51.17,-37.88954,100.0,1,910.22,306.02243,37,100,,604.1975,474.81560424277967,1.0,11201020000.0,1.0,-1.0,-250827.34,22944.572,162710,264.6569170951843,[ 0.13   0.102 -0.071 -0.014 -0.016  0.149  0.402 -0.836  0.     0.  0.   ],242500.6,2.0,,100.0,130.5785,-9.934704e+16,753990.06,9.359864,1.0,9.359864,True
