Inner Iteration,TimeElapsed,LearnableVariance,OptimizationReturnMax,Iteration,ESSRenyiHarmonic,ReturnStepMaxmin,EmpiricalD2Harmonic,StdIW,VarianceInitializer,StdWReturnMean,Weights,EpisodesSoFar,InitialReturnStd,EmpiricalD2Arithmetic,MinTargetPdf,DivergenceHarmonic,ReturnStepMax,InitialReturnMin,ESSRenyiArithmetic,MinBehavPdf,MaxIW,MeanIW,EpRewMean,Bound,WReturnMean,ReturnMeanIW,InitialBound,MeanD2-0,EpLenMean,InitialReturnMax,TimestepsSoFar,Penalization,InitialReturnMean,MeanEntropy,OptimizationReturnMean,Epsilon,EpThisIter,MinIW,OptimizationReturnMin
1,18.370999336242676,,516.0993,13,100.0,9.359964,1.0,114.57137,-1.0,,[-0.042  0.119 -0.034  0.039  0.028 -0.062  0.33  -0.373  0.     0.  0.   ],1300,82.920456,1.0,-32.79431,1.4582392e+16,9.359964,238.93604,100.0,-32.79431,735.4756,41.51918,380.50989296908085,-691886300000.0,151663.58,5350808.5,-157393.1,1.0,41.05,755.03534,41337,True,380.50992,0.4189424,141.57385,2.0,100,0.026548037,
1,20.575775623321533,,384.35965,14,100.0,9.36,1.0,21471.902,-1.0,,[-0.038  0.126 -0.04   0.005 -0.008 -0.036  0.306 -0.383  0.     0.  0.   ],1400,85.14139,1.0,-37.392605,2.4983294e+17,9.36,285.46658,100.0,-37.392605,180779.6,3954.037,403.29961690603756,-2254753500000.0,169899.64,869350140.0,-174408.92,1.0,43.47,669.82623,45684,True,403.29962,0.4189424,117.83303,2.0,100,0.020608623,
1,22.605567693710327,,814.4458,15,100.0,9.359961,1.0,28750.451,-1.0,,[-0.045  0.138 -0.04  -0.043 -0.048 -0.08   0.344 -0.473  0.     0.  0.   ],1500,109.09835,1.0,-54.428978,4.386292e+28,9.359961,267.45215,100.0,-54.428978,251398.69,5525.341,392.4303366287474,-2.4637903e+18,165904.0,1220931300.0,-177668.02,1.0,42.32,1081.898,49916,True,392.4303,0.4189424,124.978195,2.0,100,0.042749852,
1,24.666202545166016,,557.73694,16,100.0,9.359906,1.0,238.7777,-1.0,,[-0.025  0.144 -0.044 -0.057 -0.062 -0.064  0.402 -0.579  0.     0.  0.   ],1600,88.760345,1.0,-34.737373,2431285200000.0,9.359906,250.66301,100.0,-34.737373,2161.18,66.28188,378.70267418517835,-10251257000.0,151294.12,10007899.0,-157862.16,1.0,40.84,808.39996,54000,True,378.7027,0.4189424,128.03966,2.0,100,0.039045535,
1,26.65499234199524,,448.66483,17,100.0,9.359917,1.0,135056.4,-1.0,,[-0.007  0.169 -0.035  0.003 -0.003 -0.057  0.488 -0.579  0.     0.  0.   ],1700,83.378494,1.0,-43.6329,7.2999634e+22,9.359917,296.78635,100.0,-43.6329,928163.3,27090.193,399.3159718874975,-1508980900000000.0,166405.22,9185430000.0,-171990.19,1.0,43.04,745.4512,58304,True,399.31595,0.4189424,102.52963,2.0,100,0.020836603,
1,28.908708572387695,,401.89624,18,100.0,9.359566,1.0,71864.79,-1.0,,[ 0.001  0.174 -0.028  0.088  0.077 -0.069  0.529 -0.567  0.     0.  0.   ],1800,86.03359,1.0,-38.13127,1.006347e+23,9.359566,259.8418,100.0,-38.13127,715261.8,11146.826,374.18603454989386,-1396139700000000.0,147416.97,1344574800.0,-151818.0,1.0,40.36,661.73804,62340,True,374.18607,0.4189424,114.34424,2.0,100,0.11922949,
1,31.132961750030518,,378.69104,19,100.0,9.359956,1.0,311872000.0,-1.0,,[-0.006  0.176 -0.03   0.033  0.02  -0.098  0.582 -0.641  0.     0.  0.   ],1900,68.08994,1.0,-36.54518,3.8064855e+31,9.359956,287.03296,100.0,-36.54518,3133204500.0,32718820.0,382.231600863447,-2.748103e+19,150737.23,7526742000000.0,-155191.45,1.0,41.21,665.724,66461,True,382.23163,0.4189424,95.19864,2.0,100,0.017082997,
1,33.588521003723145,,358.9744,20,100.0,9.359916,1.0,14.055172,-1.0,,[-0.018  0.17  -0.032 -0.024 -0.036 -0.165  0.622 -0.697  0.     0.  0.   ],2000,64.30384,1.0,-33.1734,2705070600.0,9.359916,269.11905,100.0,-33.1734,86.1072,7.1848054,363.1513791561938,-207302450.0,136013.9,1087478.4,-139978.8,1.0,39.17,628.09344,70378,True,363.1514,0.4189424,94.032326,2.0,100,0.053645287,
1,35.123119592666626,,252.20557,21,100.0,9.359734,1.0,18569.93,-1.0,,[-2.951e-02  1.713e-01 -3.175e-02  6.080e-04 -1.282e-02 -2.016e-01  6.475e-01 -7.207e-01  0.000e+00  0.000e+00  0.000e+00],2100,45.90363,1.0,-28.9197,1.0858122e+16,9.359734,259.61902,100.0,-28.9197,182808.03,2927.4153,350.52027490139443,-274793940000.0,124971.6,445792830.0,-127604.44,1.0,37.81,511.8246,74159,True,350.52032,0.4189424,90.90126,2.0,100,0.03253329,
1,37.18046855926514,,474.64685,22,100.0,9.359913,1.0,1984633.6,-1.0,,[-0.042  0.187 -0.028 -0.075 -0.093 -0.189  0.613 -0.678  0.     0.  0.   ],2200,84.70231,1.0,-30.410988,3.8811075e+26,9.359913,249.96211,100.0,-30.410988,17264412.0,376112.4,369.7399198831096,-1.0396035e+17,143882.08,31761398000.0,-149159.11,1.0,39.89,724.60895,78148,True,369.73993,0.4189424,119.77781,2.0,100,0.0111756865,
1,39.07413053512573,,310.84314,23,100.0,9.359016,1.0,6582.2764,-1.0,,[-0.047  0.192 -0.042 -0.016 -0.039 -0.176  0.608 -0.772  0.     0.  0.   ],2300,53.301514,1.0,-32.255623,5.9129228e+22,9.359016,285.56927,100.0,-32.255623,53581.645,1613.2745,359.10557762046113,-869314600000000.0,131797.88,169497390.0,-135372.88,1.0,38.73,596.4124,82021,True,359.1056,0.4189424,73.53631,2.0,100,0.0005493269,
1,41.55129528045654,,457.5816,24,100.0,9.359829,1.0,8661.631,-1.0,,[-0.033  0.207 -0.043  0.004 -0.014 -0.098  0.554 -0.701  0.     0.  0.   ],2400,76.44091,1.0,-35.542526,7.1446618e+16,9.359829,287.58453,100.0,-35.542526,87058.555,951.2043,396.54433827846196,-1492189800000.0,163090.62,496874200.0,-168671.33,1.0,42.77,745.16614,86298,True,396.54434,0.4189424,108.95981,2.0,100,0.003574322,
1,43.78669857978821,,422.90823,25,100.0,9.359753,1.0,145.65382,-1.0,,[-0.03   0.226 -0.047  0.028  0.007 -0.05   0.54  -0.702  0.     0.  0.   ],2500,78.05347,1.0,-34.495728,6034197000000.0,9.359753,278.52536,100.0,-34.495728,1338.9491,30.902739,390.9822014187878,-12151960000.0,158959.44,5064260.5,-163904.31,1.0,42.15,701.4336,90513,True,390.98218,0.4189424,112.45683,2.0,100,0.049215477,
