InitialReturnStd,OptimizationReturnMin,WReturnMean,StdIW,MaxIW,StdWReturnMean,TimestepsSoFar,MinTargetPdf,TimeElapsed,ReturnStepMaxmin,LearnableVariance,EpLenMean,ReturnMeanIW,Epsilon,ESSRenyiArithmetic,EmpiricalD2Harmonic,Weights,OptimizationReturnMax,InitialReturnMin,MeanD2-0,ReturnStepMax,MinBehavPdf,ESSRenyiHarmonic,MeanIW,InitialBound,EpisodesSoFar,EmpiricalD2Arithmetic,Penalization,Bound,EpThisIter,Inner Iteration,InitialReturnMax,MinIW,InitialReturnMean,VarianceInitializer,OptimizationReturnMean,DivergenceHarmonic,MeanEntropy,Iteration,EpRewMean
46.651413,,29925.861,75472.555,572967.9,,1815,-13.969221,0.8134219646453857,9.359563,,18.15,159777760.0,2.0,100.0,1.0,[-0.  0.  0.  0. -0. -0.  0. -0.  0. -0. -0.],225.13412,90.58838,1.0,9.359563,-13.969221,100.0,11869.724,-30927.691,100,1.0,True,-238417740000.0,100,1,315.7225,0.072839126,166.58183,-1.0,75.993454,5.6559797e+16,0.4189424,1,166.58183771195544
61.893448,,52802.95,461.3276,3809.2942,,4218,-21.398407,2.371349573135376,9.359866,,24.03,3939425.2,2.0,100.0,1.0,[ 0.001  0.002 -0.005  0.007  0.007 -0.008  0.027 -0.055  0.     0.  0.   ],326.3612,108.91176,1.0,9.359866,-21.398407,100.0,93.62221,-54707.12,200,1.0,True,-22361796.0,100,1,435.27295,0.036564004,221.29652,-1.0,112.38477,93600800.0,0.4189424,2,221.296528042625
59.497967,,56799.375,214210270.0,2153368600.0,,6723,-27.943417,3.0757639408111572,9.359353,,25.05,513370700000.0,2.0,100.0,1.0,[ 0.001  0.01  -0.011  0.039  0.038  0.002  0.036 -0.095  0.     0.  0.   ],374.02588,135.5484,1.0,9.359353,-27.943417,100.0,22655220.0,-59409.12,300,1.0,True,-2.737831e+17,100,1,509.57428,0.11977058,230.77992,-1.0,95.231514,1.1005678e+28,0.4189424,3,230.77991698287883
80.80202,,98630.22,1325.5039,12351.722,,10002,-33.22947,3.9890122413635254,9.359956,,32.79,13578864.0,2.0,100.0,1.0,[ 0.019  0.028 -0.009 -0.02  -0.021  0.024  0.111 -0.139  0.     0.  0.   ],418.3924,182.73639,1.0,9.359956,-33.22947,100.0,234.8956,-102261.984,400,1.0,True,-99180620.0,100,1,601.1288,0.036922753,303.48187,-1.0,120.74549,555559400.0,0.4189424,4,303.4818866520704
82.517586,,109077.42,3682.6462,34212.348,,13454,-34.718063,4.897436857223511,9.359974,,34.52,64096830.0,2.0,100.0,1.0,[ 0.025  0.038 -0.018 -0.023 -0.024  0.061  0.117 -0.186  0.     0.  0.   ],394.14716,211.31696,1.0,9.359974,-34.718063,100.0,549.18726,-112761.766,500,1.0,True,-73351680000000.0,100,1,605.4641,0.089918494,319.79407,-1.0,108.47715,3.9637018e+20,0.4189424,5,319.7941024178089
107.64301,,145236.31,487.496,3525.4075,,17398,-39.936565,5.861377954483032,9.359912,,39.44,27062182.0,2.0,100.0,1.0,[ 0.032  0.042 -0.026 -0.003 -0.004  0.102  0.099 -0.218  0.     0.  0.   ],555.2252,211.9273,1.0,9.359912,-39.936565,100.0,107.49195,-151151.2,600,1.0,True,-3364982900000000.0,100,1,767.1525,0.04552261,365.58078,-1.0,153.65347,3.236488e+23,0.4189424,6,365.5807742924507
88.48398,,112308.42,232.34065,2008.5826,,20887,-38.400608,6.7576069831848145,9.359835,,34.89,3463981.8,2.0,100.0,1.0,[ 0.026  0.04  -0.022 -0.028 -0.031  0.059  0.114 -0.196  0.     0.  0.   ],545.5146,182.1697,1.0,9.359835,-38.400608,100.0,51.61007,-117630.35,700,1.0,True,-327264830.0,100,1,727.68427,0.18056434,323.23212,-1.0,141.06244,3701854200.0,0.4189424,7,323.2321381433849
111.70977,,148431.45,7176.073,70779.05,,24867,-33.093224,7.712126731872559,9.3599415,,39.8,75202800.0,2.0,100.0,1.0,[ 0.032  0.044 -0.027 -0.001 -0.004  0.088  0.119 -0.234  0.     0.  0.   ],504.05426,230.04387,1.0,9.3599415,-33.093224,100.0,915.324,-153847.61,800,1.0,True,-93477370000.0,100,1,734.09814,0.0007664096,368.71722,-1.0,138.67332,297394300000000.0,0.4189424,8,368.7172043432307
116.13694,,147440.4,218.4304,1653.9521,,28817,-42.502155,8.647738695144653,9.359949,,39.5,6074388.5,2.0,100.0,1.0,[ 0.037  0.044 -0.021  0.013  0.01   0.045  0.155 -0.217  0.     0.  0.   ],643.0387,230.37198,1.0,9.359949,-42.502155,100.0,53.03144,-155107.31,900,1.0,True,-233074560.0,100,1,873.41064,0.013377943,365.9954,-1.0,135.62343,876624800.0,0.4189424,9,365.9953999438468
111.97839,,150432.77,3350.839,33400.066,,32824,-43.610287,9.586074590682983,9.359758,,40.07,173959410.0,2.0,100.0,1.0,[ 0.018  0.054 -0.03  -0.    -0.004  0.07   0.15  -0.266  0.     0.  0.   ],520.15356,222.42258,1.0,9.359758,-43.610287,100.0,510.33917,-155974.75,1000,1.0,True,-23829814000000.0,100,1,742.5762,0.04239986,371.34027,-1.0,148.91771,1.848869e+19,0.4189424,10,371.3402777114423
97.87368,,146576.05,27.245817,274.92883,,36815,-36.93001,10.714742183685303,9.35993,,39.91,1157877.6,2.0,100.0,1.0,[ 0.038  0.107 -0.039  0.05   0.044  0.082  0.233 -0.286  0.     0.  0.   ],430.29404,239.55685,1.0,9.35993,-36.93001,100.0,5.3565392,-151085.66,1100,1.0,True,-38796690.0,100,1,669.8509,0.013105685,370.13083,-1.0,130.57394,69661760.0,0.4189424,11,370.130791600296
83.70917,,149078.08,686.16455,6848.881,,40879,-39.94769,11.636187076568604,9.3596,,40.64,23629280.0,2.0,100.0,1.0,[ 0.037  0.1   -0.037  0.016  0.009  0.049  0.235 -0.265  0.     0.  0.   ],426.8919,240.6375,1.0,9.3596,-39.94769,100.0,84.5879,-153556.48,1200,1.0,True,-83848440000.0,100,1,667.5294,0.022626461,376.92285,-1.0,136.28535,350347260000000.0,0.4189424,12,376.9228572423219
105.51364,,164935.2,546.35846,4834.6055,,45108,-49.672115,12.549868822097778,9.359964,,42.29,22789066.0,2.0,100.0,1.0,[ 2.185e-02  9.413e-02 -3.882e-02  1.178e-02  5.727e-03 -3.453e-05  2.420e-01 -2.979e-01  0.000e+00  0.000e+00  0.000e+00],732.60474,239.77975,1.0,9.359964,-49.672115,100.0,92.82154,-174438.17,1300,1.0,True,-515781100000.0,100,1,972.38446,0.08281658,392.1761,-1.0,152.39632,2945612600000000.0,0.4189424,13,392.17607341224436
88.664734,,140686.17,10.293189,71.30401,,49039,-36.309822,13.46491527557373,9.359924,,39.31,1071116.5,2.0,100.0,1.0,[ 0.022  0.102 -0.041  0.047  0.042  0.031  0.247 -0.315  0.     0.  0.   ],536.9718,249.35202,1.0,9.359924,-36.309822,100.0,4.4780183,-146900.39,1400,1.0,True,-1089892000.0,100,1,786.3238,0.122853614,364.4513,-1.0,115.09929,30700280000.0,0.4189424,14,364.45130890346053
