MinBehavPdf,Penalization,EmpiricalD2Harmonic,TimeElapsed,MeanIW,Epsilon,InitialBound,EpThisIter,Weights,EpRewMean,DivergenceHarmonic,OptimizationReturnMean,WReturnMean,MinIW,ReturnStepMaxmin,MaxIW,EpisodesSoFar,VarianceInitializer,TimestepsSoFar,Bound,Inner Iteration,ReturnMeanIW,MeanD2-0,ESSRenyiArithmetic,StdWReturnMean,InitialReturnStd,MeanEntropy,InitialReturnMean,EpLenMean,MinTargetPdf,StdIW,EmpiricalD2Arithmetic,OptimizationReturnMax,LearnableVariance,InitialReturnMax,ReturnStepMax,OptimizationReturnMin,Iteration,ESSRenyiHarmonic,InitialReturnMin
-13.654654,True,1.0,1.5616474151611328,52185.695,2.0,-30990.867,100,[-0. -0. -0.  0.  0.  0. -0.  0. -0. -0.  0.],166.67614090190443,4318190500000000.0,85.1267,29993.057,0.10643985,9.359739,4949772.5,100,-1.0,1816,-66945974000.0,1,1376997400.0,1.0,100.0,,47.033203,0.4189424,166.67613,18.16,-13.654654,492444.1,1.0,233.53906,,315.0885,9.359739,,1,100.0,81.54944
-24.1535,True,1.0,3.8937928676605225,5659.364,2.0,-53168.945,100,[-0.001  0.004 -0.005 -0.003 -0.003 -0.012  0.033 -0.051  0.     0.  0.   ],215.61333360103328,916233200000.0,97.546104,50245.832,0.05461327,9.359864,300839.5,200,-1.0,4159,-2955932400.0,1,157929740.0,1.0,100.0,,61.292114,0.4189424,215.61333,23.43,-24.1535,38136.6,1.0,421.23392,,539.30115,9.359864,,2,100.0,118.06722
-27.636179,True,1.0,5.282978773117065,3635670.5,2.0,-77474.2,100,[-0.004  0.012 -0.008 -0.018 -0.017 -0.022  0.069 -0.095  0.     0.  0.   ],263.7984218742734,5.230753e+26,136.65715,74838.59,0.10555615,9.35999,287918900.0,300,-1.0,7016,-6.0278964e+16,1,410849480000.0,1.0,100.0,,72.4499,0.4189424,263.79843,28.57,-27.636179,29542674.0,1.0,384.95212,,512.0934,9.35999,,3,100.0,127.141266
-27.23209,True,1.0,7.638646602630615,6452076.0,2.0,-100883.086,100,[-0.005  0.015  0.    -0.018 -0.019 -0.097  0.16  -0.136  0.     0.  0.   ],302.07788239617656,3.068366e+28,100.29366,97845.61,0.06484843,9.359753,401001200.0,400,-1.0,10286,-5.3206742e+17,1,525396000000.0,1.0,100.0,,81.206955,0.4189424,302.07788,32.7,-27.23209,44764040.0,1.0,347.96564,,549.7499,9.359753,,4,100.0,201.78423
-27.022665,True,1.0,9.66539216041565,223.81403,2.0,-112233.43,100,[-0.019  0.05  -0.012 -0.039 -0.049 -0.12   0.205 -0.237  0.     0.  0.   ],322.6251607005772,833345200.0,110.562225,109156.2,0.053207718,9.359952,13074.466,500,-1.0,13770,-116120100.0,1,27287796.0,1.0,100.0,,71.19833,0.4189424,322.62515,34.84,-27.022665,1464.1807,1.0,341.2719,,553.33484,9.359952,,5,100.0,212.06293
-26.199347,True,1.0,11.632347106933594,192.91913,2.0,-102056.59,100,[-0.02   0.046 -0.003 -0.046 -0.051 -0.171  0.237 -0.226  0.     0.  0.   ],307.6204801212477,1.23362495e+20,97.65444,99100.64,0.01762063,9.359939,17225.572,600,-1.0,17095,-32831317000000.0,1,20161616.0,1.0,100.0,,66.860176,0.4189424,307.62048,33.25,-26.199347,1713.2401,1.0,332.35574,,542.3218,9.359939,,6,100.0,209.96603
-33.802628,True,1.0,14.027464866638184,15.018396,2.0,-112778.13,100,[-0.004  0.055 -0.004 -0.071 -0.076 -0.128  0.249 -0.244  0.     0.  0.   ],316.40521444246343,292709500000.0,115.01838,107683.2,0.09052941,9.359864,499.81653,700,-1.0,20515,-2759290000.0,1,2804135.0,1.0,100.0,,87.01121,0.4189424,316.4052,34.2,-33.802628,69.809296,1.0,510.609,,711.99585,9.359864,,7,100.0,201.38684
-31.752552,True,1.0,16.156453609466553,183.66121,2.0,-115490.77,100,[-0.012  0.054 -0.001 -0.035 -0.039 -0.157  0.268 -0.239  0.     0.  0.   ],323.81742924448776,108669290000.0,85.043564,110785.36,0.06564664,9.359996,16420.838,800,-1.0,24013,-1574434800.0,1,23295226.0,1.0,100.0,,76.99116,0.4189424,323.81744,34.98,-31.752552,1633.9375,1.0,445.46466,,684.2385,9.359996,,8,100.0,238.77386
-28.08196,True,1.0,18.591049671173096,99.11357,2.0,-117675.28,100,[-0.023  0.048  0.003 -0.006 -0.012 -0.201  0.279 -0.234  0.     0.  0.   ],328.8024873609536,398241560000.0,99.70029,114101.46,0.027910868,9.359944,1926.8953,900,-1.0,27567,-2264631300.0,1,9325355.0,1.0,100.0,,77.39762,0.4189424,328.8025,35.54,-28.08196,309.09103,1.0,367.21164,,596.31384,9.359944,,9,100.0,229.1022
-35.795914,True,1.0,20.569692611694336,29.329092,2.0,-124502.74,100,[-0.019  0.057 -0.002 -0.036 -0.045 -0.173  0.279 -0.264  0.     0.  0.   ],340.9588264184248,933092160.0,111.5045,121509.2,0.025020953,9.359994,757.6492,1000,-1.0,31250,-94754920.0,1,3312791.8,1.0,100.0,,72.50026,0.4189424,340.95883,36.83,-35.795914,91.67394,1.0,316.30457,,545.7589,9.359994,,10,100.0,229.45433
