EmpiricalD2Arithmetic,StdWReturnMean,MinBehavPdf,ESSRenyiArithmetic,DivergenceHarmonic,InitialReturnMax,WReturnMean,ReturnMeanIW,StdIW,EpRewMean,MaxIW,MeanEntropy,EpisodesSoFar,Bound,OptimizationReturnMax,Weights,EpLenMean,Penalization,Iteration,VarianceInitializer,EpThisIter,InitialReturnMean,LearnableVariance,Epsilon,OptimizationReturnMin,Inner Iteration,MeanD2-0,ReturnStepMax,EmpiricalD2Harmonic,ReturnStepMaxmin,MinTargetPdf,OptimizationReturnMean,MinIW,InitialReturnStd,TimestepsSoFar,InitialBound,InitialReturnMin,ESSRenyiHarmonic,TimeElapsed,MeanIW
1.0,,-19.89658,100.0,1.4360953e+16,352.8325,28767.887,2596541400.0,1764767.8,162.815550242972,17690082.0,0.4189424,100,-152534350000.0,271.4507,[ 0. -0. -0. -0. -0.  0. -0. -0.  0.  0. -0.],17.75,True,1,-1.0,100,162.81555,,2.0,,1,1.0,9.359884,1.0,9.359884,-19.89658,81.43378,0.046586595,47.528778,1775,-30019.066,81.381775,100.0,2.3275554180145264,201361.23
1.0,,-28.521135,100.0,2.7498355e+34,416.4038,53797.754,1539057500000.0,368984930.0,225.73247520513675,3704301600.0,0.4189424,200,-2.889782e+20,298.38068,[ 0.001  0.004 -0.004 -0.001 -0.001 -0.006  0.028 -0.055  0.     0.  0.   ],24.51,True,2,-1.0,100,225.73248,,2.0,,1,1.0,9.359968,1.0,9.359968,-28.521135,107.70934,0.025674127,53.316063,4226,-55540.414,118.02313,100.0,5.534142971038818,41434420.0
1.0,,-25.186855,100.0,18395488000.0,501.12775,80732.5,14140685.0,2041.3975,274.1793647798324,19780.584,0.4189424,300,-356462800.0,328.6419,[-0.007  0.012  0.001  0.031  0.029 -0.073  0.104 -0.113  0.     0.  0.   ],29.69,True,3,-1.0,100,274.17932,,2.0,,1,1.0,9.359671,1.0,9.359671,-25.186855,101.69353,0.10452855,74.55321,7195,-83256.445,172.48584,100.0,7.7343668937683105,354.7245
1.0,,-28.788204,100.0,1.3186537e+31,622.74615,99426.81,208106080000.0,29076736.0,306.1667653495005,236644640.0,0.4189424,400,-1.4153698e+19,458.51715,[-0.005  0.019 -0.007  0.02   0.016 -0.06   0.116 -0.169  0.     0.  0.   ],33.08,True,4,-1.0,100,306.16675,,2.0,,1,1.0,9.359997,1.0,9.359997,-28.788204,141.93776,0.08918284,75.423615,10503,-103324.484,164.229,100.0,10.827993869781494,5106787.0
1.0,,-37.13768,100.0,1.0120615e+20,606.86707,124518.26,27804852.0,571.80963,343.5085201117142,4814.7285,0.4189424,500,-37236880000000.0,377.5015,[-0.043  0.047 -0.029 -0.028 -0.025 -0.049  0.133 -0.263  0.     0.  0.   ],37.07,True,5,-1.0,100,343.5085,,2.0,,1,1.0,9.3598795,1.0,9.3598795,-37.13768,114.14295,0.09213499,80.747505,14210,-128219.695,229.36557,100.0,14.302065134048462,113.072136
1.0,,-33.605465,100.0,1.2108049e+16,621.2541,129788.06,311770000.0,7570.5195,347.06920806935915,56984.73,0.4189424,600,-427144800000.0,420.28784,[-0.029  0.064 -0.03  -0.04  -0.041  0.005  0.145 -0.26   0.     0.  0.   ],37.46,True,6,-1.0,100,347.0692,,2.0,,1,1.0,9.359821,1.0,9.359821,-33.605465,146.10294,0.03460008,96.59732,17956,-133667.08,200.96626,100.0,18.830617904663086,1494.9442
1.0,,-40.437683,100.0,2.0801189e+18,691.92175,125783.125,99633010.0,2059.4817,343.99047794846194,20673.486,0.4189424,700,-6939795000000.0,470.68277,[-0.028  0.049 -0.04   0.025  0.021 -0.009  0.065 -0.287  0.     0.  0.   ],37.12,True,7,-1.0,100,343.9905,,2.0,,1,1.0,9.359675,1.0,9.359675,-40.437683,122.751495,0.0841689,86.33469,21668,-130594.81,221.23898,100.0,22.751572847366333,240.87898
1.0,,-30.69972,100.0,416362300000.0,632.82263,128565.18,22262784.0,1207.3219,348.7351802021994,11799.411,0.4189424,800,-2619323400.0,410.88568,[-0.058  0.045 -0.04   0.025  0.021 -0.063  0.067 -0.294  0.     0.  0.   ],37.61,True,8,-1.0,100,348.73523,,2.0,,1,1.0,9.359761,1.0,9.359761,-30.69972,126.79823,0.10422217,83.36037,25429,-132590.0,221.93695,100.0,27.437092065811157,195.98645
1.0,,-41.803883,100.0,104462150000000.0,926.19604,151237.42,28250688.0,1132.2856,373.2033507851688,11272.679,0.4189424,900,-88146890000.0,714.9687,[-0.06   0.047 -0.051  0.025  0.022 -0.027  0.03  -0.328  0.     0.  0.   ],40.26,True,9,-1.0,100,373.20337,,2.0,,1,1.0,9.359944,1.0,9.359944,-41.803883,161.97598,0.11344583,109.34666,29455,-159859.05,211.22736,100.0,32.4146614074707,159.47731
1.0,,-44.153214,100.0,5.2632833e+34,826.8898,158560.75,566043000.0,17506.549,382.90168116101586,173826.19,0.4189424,1000,-1.5765437e+21,594.97156,[-0.05   0.051 -0.058  0.002 -0.001  0.005  0.026 -0.368  0.     0.  0.   ],41.28,True,10,-1.0,100,382.90167,,2.0,,1,1.0,9.359965,1.0,9.359965,-44.153214,150.98347,0.06597955,109.30262,33583,-165432.67,231.91821,100.0,37.54586982727051,2174.2224
