Iteration,Penalization,TimestepsSoFar,InitialBound,StdWReturnMean,Epsilon,ESSRenyiHarmonic,MeanEntropy,InitialReturnStd,InitialReturnMin,LearnableVariance,MeanIW,ReturnStepMax,OptimizationReturnMax,EpisodesSoFar,Bound,Inner Iteration,OptimizationReturnMin,MaxIW,MeanD2-0,MinTargetPdf,EpThisIter,VarianceInitializer,ReturnStepMaxmin,EmpiricalD2Arithmetic,DivergenceHarmonic,ESSRenyiArithmetic,Weights,OptimizationReturnMean,TimeElapsed,InitialReturnMean,WReturnMean,ReturnMeanIW,InitialReturnMax,EpRewMean,MinIW,EmpiricalD2Harmonic,MinBehavPdf,StdIW,EpLenMean
1,True,1859,-32487.436,,2.0,100.0,0.4189424,45.74766,81.730896,,353.8398,9.359732,270.03925,100,-1174153300.0,1,,13235.271,1.0,-20.837423,100,-1.0,9.359732,1.0,873941040000.0,100.0,[-0. -0.  0.  0.  0.  0.  0.  0. -0. -0. -0.],89.00554,1.3482697010040283,170.73645,31243.777,11523599.0,351.77014,170.73643294044447,0.03877931,1.0,-20.837423,1621.6846,18.59
2,True,4029,-44127.344,,2.0,100.0,0.4189424,53.041817,108.95896,,3853.9968,9.35957,280.55222,200,-12372647000.0,1,,274516.88,1.0,-18.595032,100,-1.0,9.35957,1.0,64599070000000.0,100.0,[-0.002  0.003 -0.001 -0.033 -0.03  -0.015  0.021 -0.036  0.     0.  0.   ],90.51303,3.498831033706665,199.47198,42602.508,117025144.0,389.51117,199.47199327509136,0.028129185,1.0,-18.595032,27478.72,21.7
3,True,6627,-63208.062,,2.0,100.0,0.4189424,60.324585,145.69753,,437.49646,9.359646,317.14386,300,-720216960.0,1,,16843.176,1.0,-34.864563,100,-1.0,9.359646,1.0,105721810000.0,100.0,[-0.002  0.012 -0.004 -0.034 -0.033 -0.023  0.06  -0.083  0.     0.  0.   ],93.91883,4.890111923217773,239.61633,61055.047,20166996.0,462.84137,239.61634529398364,0.03090347,1.0,-34.864563,1885.9952,25.98
4,True,9681,-89329.76,,2.0,100.0,0.4189424,80.33321,145.16364,,58724.176,9.359647,412.6878,400,-193570200000000.0,1,,5461308.0,1.0,-29.202127,100,-1.0,9.359647,1.0,3.8302935e+21,100.0,[ 0.003  0.021 -0.012 -0.031 -0.028  0.002  0.071 -0.137  0.     0.  0.   ],137.23444,6.177181720733643,282.39807,86202.09,1332041200.0,557.85144,282.3980625260459,0.05336749,1.0,-29.202127,543730.7,30.54
5,True,13113,-110300.26,,2.0,100.0,0.4189424,77.00607,211.41815,,156.21541,9.359752,366.4331,500,-4657151500.0,1,,10090.858,1.0,-37.264305,100,-1.0,9.359752,1.0,1917766500000.0,100.0,[ 0.009  0.033 -0.008 -0.016 -0.013 -0.036  0.169 -0.2    0.     0.  0.   ],106.409454,8.156231164932251,317.8276,106944.31,9727104.0,577.85126,317.8275954174244,0.07207715,1.0,-37.264305,1057.93,34.32
6,True,16939,-140209.25,,2.0,100.0,0.4189424,85.86002,239.7951,,4.772594,9.359885,598.8621,600,-223389900.0,1,,41.099335,1.0,-39.686935,100,-1.0,9.359885,1.0,993513500.0,100.0,[ 0.013  0.043 -0.013  0.007  0.01  -0.007  0.182 -0.241  0.     0.  0.   ],114.84332,9.88485598564148,354.63843,133140.34,578084.9,838.6572,354.63842396053656,0.15372925,1.0,-39.686935,7.8942447,38.26
7,True,20902,-156934.31,,2.0,100.0,0.4189424,108.07906,220.48468,,9041956.0,9.359944,786.6277,700,-4.779628e+20,1,,896798460.0,1.0,-32.103706,100,-1.0,9.359944,1.0,2.1984254e+33,100.0,[-0.002  0.042 -0.016  0.007  0.01  -0.043  0.201 -0.286  0.     0.  0.   ],147.01958,12.190452337265015,367.5042,146740.44,885730000000.0,1007.11237,367.50424099661177,0.023483949,1.0,-32.103706,89224110.0,39.63
8,True,25193,-175861.36,,2.0,100.0,0.4189424,99.70279,277.68604,,5.6014614,9.359969,587.61285,800,-55290820.0,1,,245.86339,1.0,-43.178722,100,-1.0,9.359969,1.0,51343044.0,100.0,[ 0.012  0.045 -0.031  0.013  0.013 -0.021  0.222 -0.405  0.     0.  0.   ],120.30337,14.57958436012268,397.98938,168336.2,1370122.2,865.2989,397.9894051526166,0.04502728,1.0,-43.178722,24.680052,42.91
9,True,29622,-189858.38,,2.0,100.0,0.4189424,118.14373,268.02545,,3.272642,9.359941,570.0898,900,-68186776.0,1,,161.82591,1.0,-43.30853,100,-1.0,9.359941,1.0,90668550.0,100.0,[ 0.022  0.047 -0.033  0.011  0.011  0.005  0.212 -0.414  0.     0.  0.   ],142.87682,17.214528799057007,410.90225,182798.61,963724.94,838.11523,410.9022633600071,0.28613454,1.0,-43.30853,16.02199,44.29
10,True,34194,-210223.06,,2.0,100.0,0.4189424,129.63556,267.63293,,11565.216,9.359922,879.8003,1000,-1.1486789e+19,1,,1125775.8,1.0,-41.85504,100,-1.0,9.359922,1.0,7.535687e+29,100.0,[ 0.038  0.051 -0.033  0.001  0.001  0.024  0.218 -0.423  0.     0.  0.   ],156.84947,19.682876586914062,424.48242,196990.67,4464578600.0,1147.4332,424.48240538718886,0.117044315,1.0,-41.85504,111998.586,45.72
