EpLenMean,ReturnStepMax,DivergenceHarmonic,WReturnMean,ReturnStepMaxmin,ReturnMeanIW,EmpiricalD2Arithmetic,OptimizationReturnMean,InitialBound,ESSRenyiHarmonic,InitialReturnMax,MeanIW,Inner Iteration,EmpiricalD2Harmonic,TimestepsSoFar,StdWReturnMean,StdIW,ESSRenyiArithmetic,MeanD2-0,InitialReturnStd,OptimizationReturnMin,MinTargetPdf,InitialReturnMin,EpThisIter,OptimizationReturnMax,MaxIW,VarianceInitializer,MinIW,MeanEntropy,InitialReturnMean,EpisodesSoFar,LearnableVariance,Weights,Iteration,Penalization,Epsilon,MinBehavPdf,Bound,TimeElapsed,EpRewMean
37.12,9.359936,8112992400000.0,122563.03,9.359936,146862380.0,1.0,113.418846,-126595.74,100.0,633.44183,1485.195,1,1.0,39542,,13305.243,100.0,1.0,65.85365,,-30.043415,230.4217,100,403.02014,133734.23,-1.0,0.00045550356,0.4189424,343.84055,1300,,[-0.004  0.036 -0.017  0.003  0.005 -0.074  0.191 -0.266  0.     0.  0.   ],13,True,2.0,-30.043415,-11633328000.0,132.89599919319153,343.84055428037567
39.04,9.359867,7385586000000000.0,140384.4,9.359867,12968068.0,1.0,111.5165,-148927.66,100.0,921.97675,94.41247,1,1.0,43446,,514.46094,100.0,1.0,96.272575,,-43.829018,250.58295,100,671.3938,4124.6465,-1.0,0.063049935,0.4189424,362.09943,1400,,[ 0.003  0.04  -0.026 -0.003 -0.001 -0.033  0.171 -0.305  0.     0.  0.   ],14,True,2.0,-43.829018,-734213700000.0,151.71509885787964,362.09944052445456
40.72,9.3596115,1.8584712e+27,152358.72,9.3596115,93035740.0,1.0,155.01248,-157591.58,100.0,721.56946,503.68015,1,1.0,47518,,3552.094,100.0,1.0,99.547935,,-39.258118,222.41158,100,499.1579,35440.168,-1.0,0.23115906,0.4189424,377.42407,1500,,[ 0.013  0.043 -0.033  0.023  0.024  0.006  0.155 -0.332  0.     0.  0.   ],15,True,2.0,-39.258118,-2.2558831e+17,169.3011200428009,377.42405713865514
41.64,9.359904,2.3883666e+25,159801.7,9.359904,581540500.0,1.0,135.89928,-166653.8,100.0,825.69543,1071.9767,1,1.0,51682,,6854.0107,100.0,1.0,103.11003,,-43.38318,250.32607,100,575.3694,67369.945,-1.0,0.06441389,0.4189424,386.22534,1600,,[ 0.031  0.044 -0.041  0.028  0.029  0.054  0.129 -0.353  0.     0.  0.   ],16,True,2.0,-43.38318,-3.3486722e+16,187.34681105613708,386.22535239374554
30.96,9.359814,4.6478995e+20,85722.09,9.359814,7670149000.0,1.0,85.231316,-88254.49,100.0,501.96637,152328.95,1,1.0,54778,,944489.9,100.0,1.0,59.37141,,-27.28111,201.46912,100,300.49725,8966710.0,-1.0,0.20993307,0.4189424,286.70044,1700,,[ 0.078  0.018 -0.028  0.089  0.095  0.017  0.097 -0.305  0.     0.  0.   ],17,True,2.0,-27.28111,-54603570000000.0,203.04576921463013,286.70043761145854
41.71,9.359766,1.3297506e+17,160681.22,9.359766,2508234200.0,1.0,165.48962,-169023.95,100.0,911.0925,9827.379,1,1.0,58949,,83633.4,100.0,1.0,105.623795,,-51.9526,221.1948,100,689.8977,829398.56,-1.0,0.100898504,0.4189424,386.6844,1800,,[ 0.087  0.014 -0.038  0.01   0.017  0.052  0.095 -0.348  0.     0.  0.   ],18,True,2.0,-51.9526,-3044741200000.0,222.85189867019653,386.6844243026662
47.51,9.359857,3.0373378e+25,209668.72,9.359857,1428503200.0,1.0,192.31108,-215896.56,100.0,787.1852,5215.046,1,1.0,63700,,21725.445,100.0,1.0,124.06187,,-50.74275,248.45801,100,538.7272,139984.77,-1.0,0.043290254,0.4189424,440.76907,1900,,[ 0.092  0.024 -0.041  0.014  0.022  0.108  0.088 -0.373  0.     0.  0.   ],19,True,2.0,-50.74275,-3.4322806e+16,244.42866969108582,440.76907174335446
38.62,9.359975,314391100000.0,137160.58,9.359975,4081546.8,1.0,127.16564,-142348.16,100.0,718.4398,30.468454,1,1.0,67562,,76.78721,100.0,1.0,94.916855,,-35.198524,230.81673,100,487.6231,571.60583,-1.0,0.04652239,0.4189424,357.98233,2000,,[ 0.058  0.026 -0.052 -0.066 -0.055  0.089  0.061 -0.401  0.     0.  0.   ],20,True,2.0,-35.198524,-2912777500.0,256.0518660545349,357.9823621296372
45.38,9.359892,1.6200817e+23,191989.05,9.359892,1946309200.0,1.0,181.71375,-197806.52,100.0,760.8089,9684.025,1,1.0,72100,,93021.96,100.0,1.0,122.26245,,-41.091225,239.04858,100,521.7603,934854.3,-1.0,0.0628674,0.4189424,420.7623,2100,,[ 0.063  0.024 -0.055 -0.027 -0.016  0.106  0.039 -0.397  0.     0.  0.   ],21,True,2.0,-41.091225,-2341544200000000.0,269.5112030506134,420.7623425761422
47.9,9.359875,7725436000000.0,213728.27,9.359875,1970855.2,1.0,193.68442,-220614.52,100.0,827.75104,8.426427,1,1.0,76890,,33.16838,100.0,1.0,129.29147,,-40.15589,250.17592,100,577.57513,299.6519,-1.0,0.08442003,0.4189424,443.86032,2200,,[ 0.068  0.025 -0.059  0.004  0.017  0.141  0.016 -0.404  0.     0.  0.   ],22,True,2.0,-40.15589,-19142033000.0,284.19070386886597,443.86032351698384
50.36,9.359844,4.4228032e+23,236288.75,9.359844,2122563800.0,1.0,207.35786,-243515.17,100.0,847.94904,4842.254,1,1.0,81926,,30067.793,100.0,1.0,134.99112,,-45.555016,259.61768,100,588.33136,299220.6,-1.0,0.06393054,0.4189424,466.9755,2300,,[ 0.043  0.027 -0.074  0.011  0.02   0.122 -0.003 -0.451  0.     0.  0.   ],23,True,2.0,-45.555016,-4805857400000000.0,299.4491021633148,466.9755366895065
41.23,9.359886,48158468.0,155845.53,9.359886,371483.84,1.0,131.95422,-161953.17,100.0,779.5519,2.7287161,1,1.0,86049,,2.0147583,100.0,1.0,99.36071,,-42.23414,250.1099,100,529.442,10.621384,-1.0,0.015335899,0.4189424,382.06415,2400,,[ 0.046  0.032 -0.077 -0.067 -0.058  0.133  0.025 -0.5    0.     0.  0.   ],24,True,2.0,-42.23414,-42756148.0,312.8654646873474,382.06412822563436
