Iteration,MinTargetPdf,LearnableVariance,Bound,OptimizationReturnMean,Penalization,TimestepsSoFar,ESSRenyiHarmonic,MeanEntropy,InitialReturnMean,ReturnStepMaxmin,MinBehavPdf,VarianceInitializer,ReturnMeanIW,ReturnStepMax,EpRewMean,EpLenMean,DivergenceHarmonic,OptimizationReturnMax,InitialReturnMin,InitialReturnStd,TimeElapsed,InitialBound,EmpiricalD2Arithmetic,ESSRenyiArithmetic,EpThisIter,EpisodesSoFar,StdWReturnMean,MeanIW,EmpiricalD2Harmonic,Inner Iteration,StdIW,WReturnMean,MinIW,OptimizationReturnMin,MaxIW,Weights,InitialReturnMax,Epsilon,MeanD2-0
1,-23.92328,,-219316200000.0,88.661736,True,1855,100.0,0.4189424,170.2776,9.359906,-23.92328,-1.0,47444852.0,9.359906,170.27759758027864,18.55,3.502078e+16,259.8252,81.61585,51.327484,3.6606156826019287,-32800.664,1.0,100.0,100,100,,2393.3606,1.0,1,9659.624,31628.969,0.0423609,,65949.17,[-0. -0.  0.  0.  0.  0. -0.  0.  0.  0.  0.],341.44104,2.0,1.0
2,-18.555157,,-262236180000.0,95.36018,True,4177,100.0,0.4189424,213.76045,9.359647,-18.555157,-1.0,7471587.0,9.359647,213.76045164149505,23.22,3.246121e+16,262.14624,118.40027,55.119865,7.452168703079224,-50187.184,1.0,100.0,100,200,,109.52371,1.0,1,383.67572,48731.73,0.09441062,,2509.3135,[ 0.     0.004 -0.001 -0.    -0.    -0.017  0.038 -0.046  0.     0.  0.   ],380.5465,2.0,1.0
3,-17.474895,,-908521800.0,94.31819,True,6489,100.0,0.4189424,212.7251,9.359795,-17.474895,-1.0,62275264.0,9.359795,212.7250741253733,23.12,377601230000.0,251.76114,118.40688,49.359257,10.41262149810791,-49065.44,1.0,100.0,100,300,,1703.0375,1.0,1,7961.361,47688.293,0.03946588,,61067.863,[-0.002  0.009  0.024  0.041  0.04  -0.08   0.113 -0.001  0.     0.  0.   ],370.16803,2.0,1.0
4,-24.446825,,-70006825000.0,115.95759,True,9126,100.0,0.4189424,242.97812,9.359871,-24.446825,-1.0,235740860.0,9.359871,242.9781017664056,26.37,1125383700000000.0,327.8852,127.020515,60.79818,13.868924856185913,-64814.594,1.0,100.0,100,400,,11010.082,1.0,1,74937.805,62734.773,0.06564765,,735741.8,[-0.002  0.013  0.017  0.027  0.025 -0.079  0.132 -0.057  0.     0.  0.   ],454.9057,2.0,1.0
5,-28.648943,,-660381700.0,94.965515,True,12228,100.0,0.4189424,286.67044,9.359974,-28.648943,-1.0,38002090.0,9.359974,286.67043160360333,31.02,52187922000.0,328.9428,191.70491,62.98179,18.44006848335266,-88871.05,1.0,100.0,100,500,,454.00165,1.0,1,2208.057,86146.65,0.060248565,,15975.385,[ 0.01   0.032  0.026  0.043  0.028 -0.099  0.247 -0.091  0.     0.  0.   ],520.6477,2.0,1.0
6,-34.809303,,-4757319000000.0,106.90646,True,15657,100.0,0.4189424,317.07516,9.359376,-34.809303,-1.0,53563476.0,9.359376,317.07517134325525,34.29,1.3417826e+18,429.07574,210.1687,80.533585,22.701882362365723,-111129.26,1.0,100.0,100,600,,533.0602,1.0,1,1609.6493,107022.33,0.07507858,,14025.944,[ 0.012  0.034  0.019  0.056  0.04  -0.085  0.255 -0.148  0.     0.  0.   ],639.24445,2.0,1.0
7,-23.901768,,-220097010.0,101.854004,True,18534,100.0,0.4189424,265.59332,9.35991,-23.901768,-1.0,12470618.0,9.35991,265.593322135355,28.77,7791864300.0,320.03156,163.73932,60.775707,26.53883457183838,-76585.625,1.0,100.0,100,700,,160.217,1.0,1,697.71063,74233.49,0.016428683,,5971.946,[ 0.021  0.043  0.043  0.061  0.066 -0.029  0.236 -0.045  0.     0.  0.   ],483.77087,2.0,1.0
8,-27.555351,,-5.4570793e+17,99.28212,True,21792,100.0,0.4189424,301.35574,9.359848,-27.555351,-1.0,366758950000.0,9.359848,301.3557522458546,32.58,2.1971348e+28,403.16217,202.07362,72.6341,30.569900274276733,-99772.56,1.0,100.0,100,800,,6509064.5,1.0,1,56429948.0,96091.0,0.066662244,,566631700.0,[ 0.019  0.049  0.037  0.038  0.043 -0.025  0.253 -0.094  0.     0.  0.   ],605.2358,2.0,1.0
9,-35.087643,,-296095450000000.0,97.64939,True,25222,100.0,0.4189424,317.51602,9.359971,-35.087643,-1.0,119104130.0,9.359971,317.51600737142456,34.3,8.94779e+21,338.2123,219.86661,68.038666,35.17363977432251,-108575.88,1.0,100.0,100,900,,470.35376,1.0,1,3500.1394,105445.664,0.024107803,,34920.28,[ 0.013  0.064  0.033 -0.037 -0.036 -0.003  0.269 -0.148  0.     0.  0.   ],558.0789,2.0,1.0
10,-28.711212,,-2.838737e+21,120.7121,True,28394,100.0,0.4189424,293.1402,9.359788,-28.711212,-1.0,46780754000000.0,9.359788,293.14020315188446,31.72,1.0077978e+36,358.00183,172.4281,66.99617,40.02572464942932,-93247.41,1.0,100.0,100,1000,,657665200.0,1.0,1,5354277400.0,90419.67,0.041662175,,52975340000.0,[ 0.007  0.072  0.037  0.038  0.04  -0.007  0.262 -0.085  0.     0.  0.   ],530.42993,2.0,1.0
