EmpiricalD2Harmonic,TimeElapsed,ReturnStepMax,InitialReturnMin,InitialReturnMax,ReturnMeanIW,StdIW,OptimizationReturnMin,ESSRenyiArithmetic,Iteration,Penalization,MinTargetPdf,OptimizationReturnMax,InitialReturnMean,ESSRenyiHarmonic,EpThisIter,MeanEntropy,Weights,MaxIW,EpLenMean,StdWReturnMean,EpisodesSoFar,WReturnMean,EmpiricalD2Arithmetic,Inner Iteration,MeanIW,MinBehavPdf,ReturnStepMaxmin,TimestepsSoFar,OptimizationReturnMean,LearnableVariance,DivergenceHarmonic,VarianceInitializer,EpRewMean,MeanD2-0,InitialReturnStd,InitialBound,Epsilon,MinIW,Bound
1.0,8.315696477890015,9.358977,90.76854,342.70963,380201400.0,52762.938,,100.0,1,True,-20.624317,251.94109,172.70645,100.0,100,0.4189424,[ 0.  0. -0. -0.  0.  0. -0.  0. -0.  0. -0.],505495.8,18.81,,100,32339.14,1.0,1,8595.61,-20.624317,9.358977,1881,81.93789,,3425095200000000.0,-1.0,172.70642786202802,1.0,50.116173,-33519.56,2.0,0.047500268,-69463220000.0
1.0,16.66492009162903,9.359931,127.36128,492.68396,1988932200.0,271998.38,,100.0,2,True,-24.549076,365.3227,219.62628,100.0,100,0.4189424,[-0.001  0.007 -0.004  0.002  0.002 -0.007  0.032 -0.053  0.     0.  0.   ],2734254.0,23.86,,200,51824.867,1.0,1,28153.074,-24.549076,9.359931,4267,92.26502,,514751860000.0,-1.0,219.62630674514324,1.0,59.90953,-54264.473,2.0,0.040676277,-3739255300.0
1.0,27.39996600151062,9.359968,163.2833,465.29166,964115400000.0,133749700.0,,100.0,3,True,-22.441591,302.00836,266.17062,100.0,100,0.4189424,[ 0.     0.016 -0.008 -0.009 -0.007 -0.005  0.069 -0.1    0.     0.  0.   ],1344257800.0,28.81,,300,74978.78,1.0,1,13465825.0,-22.441591,9.359968,7148,102.88732,,6.3108193e+25,-1.0,266.1706167592185,1.0,64.28052,-77154.66,2.0,0.03528641,-1.7286219e+16
1.0,38.782362937927246,9.359509,210.6168,521.44824,79105990.0,8018.86,,100.0,4,True,-33.279495,310.83142,316.83206,100.0,100,0.4189424,[-0.012  0.015 -0.008 -0.005  0.001 -0.08   0.135 -0.173  0.     0.  0.   ],78586.67,34.22,,400,104645.24,1.0,1,1118.3569,-33.279495,9.359509,10570,106.215256,,465231940000.0,-1.0,316.8320629667623,1.0,65.28933,-107378.03,2.0,0.06992182,-1943079000.0
1.0,51.03435158729553,9.359981,209.78552,775.6874,186691360.0,7653.547,,100.0,5,True,-37.219883,565.90186,337.85245,100.0,100,0.4189424,[-0.009  0.03  -0.015 -0.006 -0.001 -0.051  0.149 -0.224  0.     0.  0.   ],76200.34,36.49,,500,121530.72,1.0,1,1037.0372,-37.219883,9.359981,14219,128.06694,,1.8329668e+17,-1.0,337.8524574093328,1.0,85.94446,-127577.95,2.0,0.038186032,-2589193100000.0
1.0,64.16101551055908,9.35991,222.47069,582.5059,743370560.0,45595.625,,100.0,6,True,-39.295326,360.03522,334.87738,100.0,100,0.4189424,[-0.011  0.044 -0.021 -0.032 -0.029 -0.014  0.134 -0.25   0.     0.  0.   ],355977.7,36.15,,600,116893.766,1.0,1,7539.409,-39.295326,9.35991,17834,112.40671,,5.8641814e+23,-1.0,334.8774000616792,1.0,68.92674,-120304.0,2.0,0.02616388,-2611481300000000.0
1.0,74.67189455032349,9.359885,248.71506,651.93085,116488790.0,2106.818,,100.0,7,True,-34.786125,403.2158,373.91812,100.0,100,0.4189424,[-0.03   0.05  -0.022  0.022  0.026 -0.07   0.19  -0.305  0.     0.  0.   ],18287.49,40.35,,700,147665.53,1.0,1,406.97763,-34.786125,9.359885,21869,125.20306,,3.1156144e+24,-1.0,373.91810805059583,1.0,88.60468,-151937.1,2.0,0.09023531,-7539756600000000.0
1.0,84.08048486709595,9.3598995,249.43556,679.73596,3416783.2,68.463066,,100.0,8,True,-29.379662,430.3004,379.6169,100.0,100,0.4189424,[-0.019  0.061 -0.029  0.014  0.016 -0.034  0.193 -0.352  0.     0.  0.   ],458.96365,40.93,,800,150964.19,1.0,1,24.63133,-29.379662,9.3598995,25962,130.18132,,490517100.0,-1.0,379.6168843864642,1.0,82.79624,-155607.89,2.0,0.0330552,-106263390.0
1.0,93.77922797203064,9.359934,211.46033,870.4782,5873706.5,74.827095,,100.0,9,True,-36.85531,659.0179,370.62268,100.0,100,0.4189424,[-9.337e-03  6.740e-02 -3.215e-02  4.713e-02  5.075e-02  5.380e-05  1.778e-01 -3.473e-01  0.000e+00  0.000e+00  0.000e+00],429.646,40.0,,900,149023.39,1.0,1,37.719315,-36.85531,9.359934,29962,159.1624,,73313990000000.0,-1.0,370.6227166184825,1.0,107.99162,-156638.9,2.0,0.049746633,-65212486000.0
1.0,106.57214975357056,9.359931,230.36865,741.328,847166.7,17.25333,,100.0,10,True,-33.35186,510.95935,363.59125,100.0,100,0.4189424,[ 0.034  0.063 -0.032  0.008  0.009  0.023  0.125 -0.263  0.     0.  0.   ],171.03734,39.21,,1000,140355.7,1.0,1,5.2782164,-33.35186,9.359931,33883,133.2226,,4070113300000.0,-1.0,363.5912385543689,1.0,90.31679,-145879.08,2.0,0.087686226,-11143958000.0
1.0,124.32082676887512,9.359692,211.55183,811.3722,6240332.0,267.50583,,100.0,11,True,-42.66921,599.8204,375.36465,100.0,100,0.4189424,[ 0.014  0.065 -0.036 -0.018 -0.018  0.004  0.138 -0.301  0.     0.  0.   ],2556.059,40.49,,1100,151542.97,1.0,1,42.291935,-42.66921,9.359692,37932,163.81279,,1.6898008e+17,-1.0,375.36462788487114,1.0,103.17152,-158159.39,2.0,0.08883769,-2719827600000.0
1.0,145.57339763641357,9.359866,248.3865,866.27136,524786.25,5.4354596,,100.0,12,True,-42.791668,617.8849,405.65405,100.0,100,0.4189424,[ 0.021  0.076 -0.041 -0.008 -0.007  0.032  0.156 -0.351  0.     0.  0.   ],38.934193,43.73,,1200,178377.0,1.0,1,2.9225497,-42.791668,9.359866,42305,157.26756,,209831140.0,-1.0,405.6540598467678,1.0,117.56611,-185919.08,2.0,0.20903724,-109775750.0
1.0,166.79991817474365,9.36,240.45299,810.0949,29430978.0,570.3733,,100.0,13,True,-35.561066,569.6419,399.88434,100.0,100,0.4189424,[ 0.019  0.083 -0.043 -0.003 -0.001  0.059  0.146 -0.351  0.     0.  0.   ],3883.959,43.13,,1300,171650.89,1.0,1,125.21857,-35.561066,9.36,46618,159.43132,,2.1396859e+22,-1.0,399.884298408966,1.0,108.3671,-178246.5,2.0,0.15090717,-964782060000000.0
1.0,190.13226795196533,9.3599615,293.67126,795.4187,3896887000.0,108502.53,,100.0,14,True,-36.903038,501.74744,417.25952,100.0,100,0.4189424,[-0.002  0.098 -0.044  0.019  0.02   0.031  0.182 -0.365  0.     0.  0.   ],1074157.1,44.99,,1400,185639.2,1.0,1,13825.197,-36.903038,9.3599615,51117,123.58828,,1.6377672e+32,-1.0,417.25954072826045,1.0,107.394966,-191998.0,2.0,0.053715937,-8.13767e+19
1.0,207.2533528804779,9.359745,268.2532,713.97235,1433462500.0,27836.166,,100.0,15,True,-37.057777,445.71915,386.14667,100.0,100,0.4189424,[-0.023  0.101 -0.043  0.018  0.024 -0.028  0.186 -0.365  0.     0.  0.   ],279791.94,41.62,,1500,156558.05,1.0,1,2829.921,-37.057777,9.359745,55279,117.89348,,1.2364112e+23,-1.0,386.146674579034,1.0,86.306335,-161681.3,2.0,0.052138995,-1801470000000000.0
1.0,226.70752620697021,9.35999,267.08698,680.6105,112717490.0,6147.1997,,100.0,16,True,-35.88543,413.5235,374.673,100.0,100,0.4189424,[-3.781e-02  9.760e-02 -4.019e-02 -2.987e-05  3.376e-03 -7.878e-02  1.994e-01 -3.541e-01  0.000e+00  0.000e+00  0.000e+00],61808.22,40.41,,1600,146823.22,1.0,1,657.03784,-35.88543,9.35999,59320,107.58601,,23892865000000.0,-1.0,374.6729855668198,1.0,80.27058,-151478.88,2.0,0.0052349824,-22869654000.0
1.0,244.90132212638855,9.359866,277.59982,702.8342,15762232.0,367.98843,,100.0,17,True,-41.049797,425.2344,408.018,100.0,100,0.4189424,[-0.03   0.102 -0.048 -0.018 -0.016 -0.034  0.167 -0.362  0.     0.  0.   ],2167.0493,44.0,,1700,174531.69,1.0,1,107.14668,-41.049797,9.359866,63720,130.41821,,1077227160000.0,-1.0,408.0180418860608,1.0,89.738365,-179496.34,2.0,0.005598156,-5168545300.0
1.0,266.2986755371094,9.359911,240.49275,820.70825,564956.3,5.71341,,100.0,18,True,-44.763912,580.2155,395.01196,100.0,100,0.4189424,[-0.02   0.119 -0.056  0.003  0.007 -0.004  0.127 -0.365  0.     0.  0.   ],42.82451,42.6,,1800,171013.56,1.0,1,3.125985,-44.763912,9.359911,67980,154.51923,,3.0622863e+17,-1.0,395.0119784340343,1.0,122.38913,-177783.12,2.0,0.03910054,-3746131000000.0
1.0,288.9986472129822,9.359995,240.48029,1132.1733,810707.75,6.6571336,,100.0,19,True,-49.20898,891.69305,436.78827,100.0,100,0.4189424,[-0.01   0.125 -0.056  0.002  0.004  0.024  0.13  -0.367  0.     0.  0.   ],48.673355,47.08,,1900,213317.64,1.0,1,2.9665549,-49.20898,9.359995,72688,196.30798,,1375782400000.0,-1.0,436.7883014677416,1.0,150.11205,-226200.4,2.0,0.14690787,-15111460000.0
