VarJ,eRenyi2,VanillaAvgRet,ESSClassic,VarVanillaIw,VarNormIw,AvgNormIw,Bound,MaxNormIw,VarRet,AvgDiscRet,AvgRet,AvgVanillaIw,MinVanillaIw,AvgEpLen,J,ESSRenyi,VarDiscRet,BatchSize,MinNormIw,MaxVanillaIw
421.79578,24.058321,113.83404306160955,3.1807037775378104,36.781548,0.003074705,0.01,191.22174,0.5119724,9368.955886941008,113.83404306160955,113.83404306160955,1.0937378,3.702611e-26,12.39,381.0747,4.156566038151696,9368.955886941008,100,3.385282e-28,55.99636
3767.661,31.050964,301.0671709052626,1.2027314009095624,59.265133,0.008297386,0.009999999,2175.1633,0.9112881,253687.11231504817,301.0671709052626,301.0671709052626,0.8451407,2.2327133e-25,31.12,4440.2173,3.2205118931318415,253687.11231504817,100,2.6418243e-27,77.01666
4768.2646,32.546375,515.0192678675876,1.3338458253637107,81.45243,0.0074718376,0.010000002,2072.438,0.8645758,312269.3929323764,515.0192678675876,515.0192678675876,1.044091,,52.51,4473.1274,3.072538774474946,312269.3929323764,100,,90.26958
2988.229,22.04009,1459.9287136579924,3.8479236565849306,95.06183,0.0025240446,0.01,2521.3096,0.4252387,1281078.2133369257,1459.9287136579924,1459.9287136579924,1.9406829,,146.98,4496.8823,4.537186438668479,1281078.2133369257,100,,82.525345
4189.583,12.025562,1967.94655736942,2.2958810018182554,157.75127,0.0042986125,0.01,2963.65,0.6485386,1820917.5646589021,1967.94655736942,1967.94655736942,1.9156768,,197.78,4422.932,8.315619479455366,1820917.5646589021,100,,124.23904
3462.9424,4.4030843,2453.855444105804,7.703695713862629,28.831457,0.0012101803,0.009999998,2355.354,0.34220946,1605144.5381031444,2453.855444105804,2453.855444105804,1.5435057,0.006308346,246.41,3238.3606,22.71135269820446,1605144.5381031444,100,4.0870247e-05,52.820225
4175.185,8.979763,2733.626767939241,5.000490525714083,22.529741,0.0019189938,0.01,2639.0078,0.41414392,1512201.3582418438,2733.626767939241,2733.626767939241,1.0835309,5.2618266e-12,274.32,3900.0183,11.136151327681372,1512201.3582418438,100,4.8561852e-14,44.87377
3037.0757,9.566773,2741.360362654111,6.312974748528388,15.681069,0.0014990297,0.01,2904.6418,0.28749713,1034200.6163664758,2741.360362654111,2741.360362654111,1.0227811,4.4246604e-31,275.11,4206.2173,10.452845036265304,1034200.6163664758,100,4.326107e-33,29.404665
2835.3547,2.543396,2935.1271643772116,7.988077013263083,26.882414,0.0011635007,0.01,2741.79,0.33921096,940279.7730549473,2935.1271643772116,2935.1271643772116,1.5200251,0.001028494,294.49,3412.9,39.3175109788582,940279.7730549473,100,6.766296e-06,51.56092
1999.1929,7.9593434,2907.2667886479744,8.991533201432853,5.313335,0.0010223812,0.01,3033.7898,0.2434334,971250.9047123129,2907.2667886479744,2907.2667886479744,0.7209036,,291.72,4220.993,12.563850377484288,971250.9047123129,100,,17.5492
3085.9292,7.3839946,2877.0847496605675,9.019645792357206,11.780689,0.0010188799,0.01,2892.839,0.25509405,919178.8198917682,2877.0847496605675,2877.0847496605675,1.0752857,1.6188498e-38,288.7,4036.3286,13.542805174875184,919178.8198917682,100,1.50551e-40,27.429897
1769.8522,11.535405,2993.3025880546343,5.425870650596277,11.645154,0.0017606282,0.01,3158.482,0.28690293,1235137.717596286,2993.3025880546343,2993.3025880546343,0.8132776,4.9446376e-32,300.29,4587.714,8.668962955497836,1235137.717596286,100,6.079889e-34,23.333174
2397.3271,10.0821495,2895.476903220585,6.030086794858854,19.493826,0.0015740917,0.010000002,3006.6892,0.31014395,951825.428159406,2895.476903220585,2895.476903220585,1.1128421,1.3414764e-28,290.51,4342.864,9.918519849790483,951825.428159406,100,1.2054508e-30,34.514126
1645.4445,10.172733,2929.27753323553,3.8173648547790595,8.153534,0.0025450585,0.01,3189.0657,0.4350041,994495.8557532212,2929.27753323553,2929.27753323553,0.5660099,1.1514623e-31,293.93,4531.229,9.830199709680915,994495.8557532212,100,2.0343502e-33,24.621662
2810.1978,9.929038,3082.6087849501964,6.778083614478622,20.281775,0.0013892357,0.01,2959.336,0.30197456,945785.7048417191,3082.6087849501964,3082.6087849501964,1.2082728,1.9460458e-20,309.25,4285.3257,10.071469110973206,945785.7048417191,100,1.6106014e-22,36.486763
2055.104,11.392484,3033.09781862687,6.435960441334522,14.326131,0.001468455,0.01,3057.284,0.23762208,1157849.4208657308,3033.09781862687,3033.09781862687,0.9877208,,304.27,4477.635,8.777717180434937,1157849.4208657308,100,,23.470427
