Bound,AvgDiscRet,J,VanillaAvgRet,VarRet,Delta,VarJ,EpsThisIter,MaxNormIw,MinVanillaIw,VarVanillaIw,AvgNormIw,MinNormIw,ESSRenyi,AvgVanillaIw,AvgRet,VarNormIw,BatchSize,MaxVanillaIw,eRenyi2,VarDiscRet,ESSClassic,AvgEpLen,IterType
-165.632,-82.8639060619,-81.4677,-82.8639060619,6091.6977151,0.2,72.4295,100,0.0114476,0.604423,0.0179663,0.01,0.00602364,98.2590503227,1.00342,-82.8639060619,1.78441e-06,100,1.14867,1.01772,6091.6977151,98.2641082513,114.73,1
-167.09,-85.823687966,-82.282,-85.823687966,7206.23158056,0.2,78.8838,100,0.0162443,0.270838,0.0488292,0.01,0.00275729,96.7702891985,0.982263,-85.823687966,5.06086e-06,100,1.59562,1.03338,7206.23158056,95.2287970493,118.15,1
-161.834,-79.0247006106,-77.9312,-79.0247006106,3786.04012156,0.2,56.8511,100,0.0116344,0.630414,0.010268,0.01,0.00632931,98.8575870409,0.996022,-79.0247006106,1.03502e-06,100,1.15882,1.01156,3786.04012156,98.9857637304,110.97,1
-165.875,-83.1955537023,-81.7617,-83.1955537023,4894.92671736,0.2,63.4459,100,0.0131175,0.514754,0.0206399,0.01,0.00512087,98.3414004639,1.00521,-83.1955537023,2.04266e-06,100,1.31858,1.01687,4894.92671736,98.0178475029,115.94,1
-173.564,-94.8419781287,-87.226,-94.8419781287,9258.59515566,0.2,82.7647,100,0.0156643,0.155369,0.0801638,0.01,0.00158561,93.3731153227,0.979871,-94.8419781287,8.34911e-06,100,1.5349,1.07097,9258.59515566,92.3654124195,129.06,1
-172.448,-89.7931597073,-88.2279,-89.7931597073,8264.28558639,0.2,86.8407,100,0.0129984,0.68795,0.016658,0.01,0.00688642,98.1274778668,0.998995,-89.7931597073,1.66915e-06,100,1.29853,1.01908,8264.28558639,98.3744205895,122.85,1
-158.696,-75.5560382,-75.0134,-75.5560382,3758.58324917,0.2,58.0438,100,0.0128723,0.925865,0.00375667,0.01,0.00934998,99.392032152,0.990232,-75.5560382,3.83115e-07,100,1.27466,1.00612,3758.58324917,99.6221553325,106.62,1
-180.604,-97.8372756052,-96.4964,-97.8372756052,10280.3617458,0.2,97.6587,100,0.0127919,0.760752,0.0125469,0.01,0.0076917,98.3914030819,0.989057,-97.8372756052,1.28261e-06,100,1.2652,1.01635,10280.3617458,98.746148805,132.62,1
-165.148,-82.7273367441,-80.8228,-82.7273367441,6058.55781408,0.2,71.7541,100,0.0130351,0.347457,0.0274051,0.01,0.00349878,97.8818310744,0.993082,-82.7273367441,2.77883e-06,100,1.2945,1.02164,6058.55781408,97.3226401626,114.38,1
-165.809,-82.9438168252,-81.8013,-82.9438168252,6056.63346534,0.2,72.9833,100,0.0219846,0.773683,0.0278647,0.01,0.00769231,98.6263965916,1.00579,-82.9438168252,2.75449e-06,100,2.21118,1.01393,6056.63346534,97.3454178669,115.73,1
-158.211,-75.2571509439,-74.2981,-75.2571509439,3753.1109946,0.2,56.1449,100,0.0160073,0.726724,0.013328,0.01,0.00721959,98.8461828967,1.0066,-75.2571509439,1.31538e-06,100,1.61129,1.01167,3753.1109946,98.7145181924,105.73,1
-161.629,-78.7303239854,-77.7374,-78.7303239854,4954.09055762,0.2,65.733,100,0.0134797,0.812438,0.00862161,0.01,0.00814613,98.899207107,0.99733,-78.7303239854,8.66783e-07,100,1.34437,1.01113,4954.09055762,99.1491969094,110.18,1
-170.484,-88.5635430181,-85.7335,-88.5635430181,7099.99644196,0.2,76.2661,100,0.014862,0.348386,0.0427033,0.01,0.00350138,96.9024312453,0.994997,-88.5635430181,4.31338e-06,100,1.47877,1.03197,7099.99644196,95.9046479434,121.83,1
-162.196,-80.6065158549,-76.9507,-80.6065158549,4902.93581747,0.2,55.6306,100,0.0124884,0.339832,0.0411532,0.01,0.00337917,95.7822880694,1.00567,-80.6065158549,4.06909e-06,100,1.25591,1.04403,4902.93581747,96.1275795553,112.72,1
-171.459,-89.7160461861,-85.7161,-89.7160461861,8293.99139164,0.2,78.8856,100,0.0145254,0.334592,0.0545101,0.01,0.00349686,94.6744301296,0.956836,-89.7160461861,5.95391e-06,100,1.38984,1.05625,8293.99139164,94.4337432351,122.68,1
-165.25,-83.1823218632,-80.7646,-83.1823218632,6049.20923602,0.2,69.3062,100,0.0153827,0.863058,0.0212271,0.01,0.00862965,97.5109427409,1.00011,-83.1823218632,2.12226e-06,100,1.53844,1.02553,6049.20923602,97.9421733093,115.5,1
-153.365,-70.6371116599,-69.1885,-70.6371116599,2628.11457668,0.2,43.6236,100,0.0125224,0.594744,0.017992,0.01,0.00599832,98.2266503498,0.991517,-70.6371116599,1.83011e-06,100,1.24162,1.01805,2628.11457668,98.2203996907,99.56,1
-182.189,-99.3022501545,-98.2335,-99.3022501545,11456.5478832,0.2,104.12,100,0.0144051,0.838786,0.0148632,0.01,0.00834295,98.7486737642,1.00538,-99.3022501545,1.47044e-06,100,1.44826,1.01267,11456.5478832,98.5651423682,133.55,1
-159.098,-78.8132534108,-73.0396,-78.8132534108,4968.14691928,0.2,48.5962,100,0.014322,0.0856951,0.0864943,0.01,0.000909903,93.980128475,0.941804,-78.8132534108,9.75139e-06,100,1.34885,1.06405,4968.14691928,91.196045124,110.29,1
-178.511,-96.1362834491,-93.8962,-96.1362834491,10404.5857285,0.2,95.6898,100,0.0149498,0.397809,0.0244509,0.01,0.00393079,97.2150396573,1.01203,-96.1362834491,2.38729e-06,100,1.51297,1.02865,10404.5857285,97.691109568,129.49,1
-169.991,-88.7287914041,-85.001,-88.7287914041,8299.87273955,0.2,77.9169,100,0.0225454,0.837334,0.0816426,0.01,0.00802415,96.3574957781,1.04352,-88.7287914041,7.49752e-06,100,2.35265,1.0378,8299.87273955,93.0903461982,121.61,1
-162.376,-79.9104519257,-78.1728,-79.9104519257,4895.40891523,0.2,63.0605,100,0.0161752,0.868496,0.0202405,0.01,0.00868416,98.1680372684,1.00009,-79.9104519257,2.02367e-06,100,1.61767,1.01866,4895.40891523,98.0359119571,111.18,1
-165.281,-82.3418477619,-81.43,-82.3418477619,6094.17988564,0.2,73.9368,100,0.0165704,0.929408,0.0122183,0.01,0.00927113,98.9928549285,1.00248,-82.3418477619,1.2158e-06,100,1.66114,1.01017,6094.17988564,98.8106974391,113.77,1
-162.997,-81.150575711,-77.1734,-81.150575711,6112.86776622,0.2,63.1245,100,0.012035,0.405121,0.0422869,0.01,0.00384165,94.4956765842,1.05455,-81.150575711,3.80253e-06,100,1.26915,1.05825,6112.86776622,96.3720728937,112.43,1
-159.763,-76.5004896301,-76.1989,-76.5004896301,3728.7026035,0.2,59.4205,100,0.0118359,0.947102,0.00218706,0.01,0.00951345,99.6505119726,0.995539,-76.5004896301,2.2067e-07,100,1.17831,1.00351,3728.7026035,99.7820063734,107.84,1
-171.84,-90.3556662273,-86.7815,-90.3556662273,8259.54157072,0.2,80.389,100,0.0167384,0.669568,0.0390417,0.01,0.00671871,96.2047190798,0.996572,-90.3556662273,3.93108e-06,100,1.66811,1.03945,8259.54157072,96.2540077569,123.7,1
-166.601,-84.342933307,-82.0979,-84.342933307,7252.39788498,0.2,76.9294,100,0.0151772,0.736351,0.0295096,0.01,0.00729649,97.4745713574,1.00918,-84.342933307,2.89749e-06,100,1.53166,1.02591,7252.39788498,97.2114340446,115.75,1
