MaxNormIw,VarRet,ESSClassic,AvgVanillaIw,VarNormIw,VarDiscRet,eRenyi2,MaxVanillaIw,MinVanillaIw,ESSRenyi,AvgRet,J,MinNormIw,VarVanillaIw,Bound,AvgNormIw,AvgEpLen,AvgDiscRet,BatchSize,VarJ
0.11074214,4392402.075036766,12.256741116049847,0.8668692,0.00072310865,4392402.075036766,6.591873,9.599895,1.7753386e-35,15.17019478941216,-4066.23450637783,3974.2957,2.047989e-37,5.4338884,3095.6675,0.01,200.0,9.094947017729283e-14,100,404.6406
0.012531259,59998.81172608794,94.12288466759931,0.9982542,6.307153e-06,59998.81172608794,1.0707555,1.2509382,0.3171851,93.39200378350479,-35.107894671852435,17.891489,0.0031773984,0.06285149,-193.02948,0.01,200.0,1.3002932064409834e-14,100,78.55034
0.013230628,198341.34684987998,89.33581490178301,0.9899098,1.2057768e-05,198341.34684987998,1.0998775,1.3097129,0.039170843,90.91921793029404,-87.5200214121305,73.15558,0.00039570112,0.11815663,-167.72072,0.01,200.0,-2.1316282072803005e-15,100,34.342804
0.0137449615,56.7897806822859,87.78705399469382,0.954711,1.4052546e-05,56.78978068228591,1.1010722,1.3122466,0.0647708,90.82056627087664,-7.872780904615759,0.38548738,0.00067843363,0.1280852,-1.711169,0.01,200.0,1.021405182655144e-15,100,7.393239
0.047767576,53.12330574220402,75.96086777331898,0.9882191,3.1966392e-05,53.12330574220402,1.3658377,4.720483,0.724644,73.2151415185036,-8.054085672621962,0.4578642,0.0073328274,0.31217644,-1.1761051,0.01,200.0,-7.815970093361102e-16,100,8.251718
0.017911414,60.819802228729124,74.89195058024694,1.0254037,3.3864322e-05,60.819802228729124,1.407089,1.836643,0.0020145483,71.06871019301195,-7.159110366652487,0.64798605,1.9646392e-05,0.35606742,-1.3170351,0.01,200.0,6.039613253960852e-16,100,8.045806
0.01222859,46.89683496453054,93.50768460665658,1.0412406,7.013214e-06,46.89683496453054,1.0826337,1.2732904,0.087140754,92.36734168043965,-7.1785831391437815,0.10722123,0.00083689357,0.076036,-1.3415803,0.01,200.0,6.927791673660977e-16,100,6.879753
0.03266112,51.46727433559895,43.259724255342356,1.0499195,0.00013248678,51.46727433559895,2.478973,3.4291549,1.7796306e-20,40.33928709853826,-7.113913926445281,1.8286419,1.6950162e-22,1.4604424,-0.4961462,0.01,200.0,-4.618527782440651e-16,100,8.292984
0.013153887,47.550117225634175,93.13813045498178,0.96916366,7.4418326e-06,47.55011722563419,1.0738299,1.274827,0.11620404,93.12461964103217,-8.114684234424645,0.107660085,0.0011990136,0.069899514,-1.3068804,0.01,200.0,1.1990408665951691e-15,100,7.013584
0.06450093,55.12871611326306,62.63200580980184,1.0623375,6.026542e-05,55.12871611326307,1.5840567,6.8521757,0.63294137,63.12905200176008,-8.33963013942191,0.6639644,0.0059580063,0.6801323,-0.99413836,0.010000002,200.0,-5.506706202140776e-16,100,8.934266
0.022268401,45.06298717092757,65.58426783684344,0.9978092,5.3005657e-05,45.06298717092758,1.5274438,2.2219615,0.004112815,65.4688586166359,-7.776620016039441,0.67664415,4.1218453e-05,0.5277366,-0.9519747,0.01,200.0,9.681144774731366e-16,100,7.6880198
0.016740654,58.843914064413426,75.19593238385791,0.96594536,3.331914e-05,58.843914064413426,1.2713909,1.6170557,0.010812547,78.65401492705247,-8.259320091906345,0.5686196,0.00011193746,0.31088433,-0.91580343,0.009999999,200.0,7.105427357601002e-17,100,8.872797
0.026066106,58.45516794544033,52.64006256446074,1.1391146,9.087816e-05,58.455167945440316,2.1663306,2.9692283,2.254427e-13,46.16100659358994,-9.273390706153886,0.8497908,1.9791046e-15,1.1792185,-0.96844935,0.01,200.0,-1.3322676295501878e-15,100,9.825202
0.029420778,57.57196994772701,48.862040439689565,0.94753593,0.00010571497,57.57196994772701,2.0376797,2.7877245,3.5579754e-15,49.07542699781248,-8.853212317040654,0.93042415,3.7549768e-17,0.9491348,-0.8461496,0.010000002,200.0,-5.151434834260726e-16,100,10.147645
0.016462611,44.3480148845201,77.52016414146841,1.0259665,2.9291623e-05,44.3480148845201,1.2601377,1.6890087,0.03467151,79.35640827975098,-7.186002385954463,0.37109223,0.00033794,0.30832577,-1.0377759,0.010000002,200.0,1.0302869668521452e-15,100,7.3857465
0.39642996,61.86216566209429,3.327063074653983,0.9480438,0.0029350037,61.86216566209429,25.781008,37.583298,,3.878824323115607,-8.888691942995331,7.3550196,,26.379435,1.1246505,0.01,200.0,-5.329070518200751e-16,100,11.15138
0.06737451,58.58919406593286,20.39087610424253,1.1449456,0.0003943591,58.58919406593286,5.6347003,7.7140155,,17.74717282301681,-8.699148114713983,3.536895,,5.169655,0.4788475,0.01,200.0,2.3625545964023332e-15,100,11.759453
0.019525208,55.99629590545768,94.67458885656215,0.9830662,5.6817603e-06,55.99629590545768,1.1041608,1.9194571,0.8154301,90.56652010953566,-9.055985801505129,0.14402698,0.008294763,0.054909594,-1.1244699,0.010000002,200.0,-9.414691248821328e-16,100,7.4712505
0.031038275,57.104237994869614,42.23994156416886,1.0683337,0.000138124,57.104237994869614,2.4002013,3.3159237,2.006823e-10,41.663171809685615,-7.89586782311199,1.4833062,1.8784607e-12,1.5764602,-0.60589576,0.01,200.0,3.1974423109204507e-16,100,11.3891
0.79073435,54.000886078316455,1.5527880894534425,0.47466943,0.0064040716,54.000886078316455,27.807981,37.53374,,3.596089850392242,-7.684749571691964,6.782651,,14.42908,-0.27761364,0.010000002,200.0,-7.371880883511039e-16,100,6.942553
