ESSRenyi,VarJ,AvgDiscRet,MaxVanillaIw,VanillaAvgRet,IterType,AvgRet,MaxNormIw,J,VarNormIw,eRenyi2,AvgVanillaIw,MinNormIw,AvgEpLen,VarDiscRet,EpsThisIter,Bound,VarVanillaIw,AvgNormIw,ESSClassic,MinVanillaIw,BatchSize,VarRet
91.86062988521758,0.6542154,1.7827784596613467,263273.2,1.7827784596613467,1,1.7827784596613467,0.9996585,195.91956,0.009993102,1.0886056,2633.6313,1.4837806e-06,52.86,1857.7340780589377,100,178.70982,693122940.0,0.01,1.0006833423696226,0.3907731,100,1857.7340780589377
184.2940678989176,44.666775,-3.280608382289843,2.5590298,1.7827784596613467,,1.7827784596613467,0.021566892,-2.7567172,1.045766e-05,1.0852221,1.1865548,3.2011467e-08,52.86,1631.0549436791312,100,-21.046753,0.14723468,0.01,90.61822320554786,3.798336e-06,200,1857.7340780589377
180.52372403263092,0.92993534,-3.5988538328443433,545501.7,-3.5988538328443433,1,-3.5988538328443433,0.9996531,195.91905,0.004996514,1.1078876,2728.455,2.4164197e-07,47.97,1313.7588909566218,100,183.64264,1487855200.0,0.005,1.0006942062843083,0.13186185,200,1313.7588909566218
200.0,25.764978,-0.17675922474716516,1.0,-0.17675922474716516,2,-0.17675922474716516,0.01,-0.17675912,3.5044917e-18,1.0,1.0,0.01,39.06,670.5395003979385,100,-8.348456,,0.009999998,100.0,1.0,200,670.5395003979385
271.670259131368,40.546276,0.7159121266023089,7.5836945,-3.5988538328443433,,-3.5988538328443433,0.030371092,2.0812967,8.117003e-06,1.1042799,1.2485054,7.341477e-09,47.97,1880.3239884947172,100,-14.877985,0.50610024,0.005,151.16509685347725,1.8331748e-06,300,1313.7588909566218
262.71367819155347,0.3976692,2.1902977455168737,2397665.8,2.1902977455168737,1,2.1902977455168737,0.99987644,195.96173,0.0033325064,1.1419276,7993.2065,3.7299777e-08,52.35,1368.295596740418,100,185.78526,19162655000.0,0.0033333334,1.0002471306119132,0.089443445,300,1368.295596740418
300.0,38.760788,-5.974706102099727,1.0,-5.974706102099727,2,-5.974706102099727,0.01,-5.9747066,3.5044917e-18,1.0,1.0,0.01,47.86,1517.5745112556135,100,-28.90811,,0.009999998,100.0,1.0,300,1517.5745112556135
300.0,40.51666,0.5388272275367231,1.0,0.5388272275367231,2,0.5388272275367231,0.005,-2.7179394,2.179301e-19,1.0,1.0,0.005,53.33,1777.3613914988327,100,-18.934303,,0.0049999994,200.00000010221265,1.0,300,1777.3613914988327
351.8346882684554,45.253494,-2.207582355689839,11.18025,2.1902977455168737,,2.1902977455168737,0.029180093,-1.2276506,5.120313e-06,1.1368976,1.2771549,1.0885453e-09,52.35,1684.672988736404,100,-15.3455,0.7516683,0.0033333334,205.57914581267588,4.170723e-07,400,1368.295596740418
346.70055445130026,0.3373723,3.7443253710632347,4373060.5,3.7443253710632347,1,3.7443253710632347,0.99990845,195.9678,0.0024995415,1.1537334,10933.652,2.7872677e-08,52.65,1455.754125321112,100,187.10928,47809130000.0,0.0024999997,1.0001831753023254,0.12190007,400,1455.754125321112
400.0,36.67047,2.563757522840632,1.0,2.563757522840632,2,2.563757522840632,0.01,2.5637574,3.5044917e-18,1.0,1.0,0.01,49.49,1358.3066221976812,100,-14.416304,,0.009999998,100.0,1.0,400,1358.3066221976812
400.0,34.699196,5.201111983329412,1.0,5.201111983329412,2,5.201111983329412,0.005,3.8824348,2.179301e-19,1.0,1.0,0.005,50.9,1070.5730095219417,100,-8.124281,,0.0049999994,200.00000010221265,1.0,400,1070.5730095219417
400.0,35.639812,0.6562669902428686,1.0,0.6562669902428686,2,0.6562669902428686,0.0033333334,2.8070457,5.4391416e-20,1.0,1.0,0.0033333334,45.64,1409.6781075803694,100,-6.996396,,0.0033333336,299.999969473632,1.0,400,1409.6781075803694
435.5007703776278,42.77358,2.2320888596496506,8.203441,3.7443253710632347,,3.7443253710632347,0.016665598,4.43001,1.8895367e-06,1.1481036,1.230595,4.645574e-10,52.65,622.7985970022017,100,-4.6670227,0.45783147,0.0025,307.32109183900053,2.286728e-07,500,1455.754125321112
428.408470637455,0.7465968,1.4510382270518807,2813581.8,1.4510382270518807,1,1.4510382270518807,0.99981594,195.9513,0.0019992623,1.1671104,5628.1997,2.4267829e-08,47.56,830.2319444139786,100,187.9822,15832467000.0,0.0020000006,1.0003682478276696,0.06829209,500,830.2319444139786
500.0,29.842484,-1.5502929158193341,1.0,-1.5502929158193341,2,-1.5502929158193341,0.01,-1.5502932,3.5044917e-18,1.0,1.0,0.01,40.88,899.5695501845399,100,-10.697779,,0.009999998,100.0,1.0,500,899.5695501845399
500.0,43.83826,7.750585035778021,1.0,7.750585035778021,2,7.750585035778021,0.005,3.1001458,2.179301e-19,1.0,1.0,0.005,58.64,2939.150420369486,100,-15.711378,,0.0049999994,200.00000010221265,1.0,500,2939.150420369486
500.0,41.175373,1.759426933445282,1.0,1.759426933445282,2,1.759426933445282,0.0033333334,2.6532404,5.4391416e-20,1.0,1.0,0.0033333334,47.03,1253.9892272133386,100,-12.706305,,0.0033333336,299.999969473632,1.0,500,1253.9892272133386
500.0,39.922874,4.661691718031696,1.0,4.661691718031696,2,4.661691718031696,0.0025,3.1553524,5.434597e-20,1.0,1.0,0.0025,51.88,1299.0757396302783,100,-10.146403,,0.0024999997,400.0,1.0,500,1299.0757396302783
440.49912053593744,0.6967691,-0.6988203288449799,4754265.5,-0.6988203288449799,1,-0.6988203288449799,0.9998979,316.06726,0.0019995908,1.135076,9509.502,3.3139656e-08,43.53,751.4592324197013,100,303.39172,45206053000.0,0.0020000006,1.0002042480754785,0.15757081,500,751.4592324197013
500.0,39.88595,-4.990939821837473,1.0,-4.990939821837473,2,-4.990939821837473,0.01,-4.99094,3.5044917e-18,1.0,1.0,0.01,52.26,1606.9582055546985,100,-17.61597,,0.009999998,100.0,1.0,500,1606.9582055546985
500.0,35.20387,4.116687358038447,1.0,4.116687358038447,2,4.116687358038447,0.005,-0.4371264,2.179301e-19,1.0,1.0,0.005,44.8,854.8098027578908,100,-9.364371,,0.0049999994,200.00000010221265,1.0,500,854.8098027578908
500.0,34.058918,-2.266206320135903,1.0,-2.266206320135903,2,-2.266206320135903,0.0033333334,-1.0468196,5.4391416e-20,1.0,1.0,0.0033333334,40.74,1009.2669489678453,100,-8.335884,,0.0033333336,299.999969473632,1.0,500,1009.2669489678453
