BatchSize,SamplesThisIter,MinNormIw,ESSRenyi,AvgVanillaIw,VarRet,VarDiscRet,ESSClassic,AvgRet,MaxVanillaIw,AvgDiscRet,IterType,VarVanillaIw,MinVanillaIw,MaxNormIw,VanillaAvgRet,renyi2,AvgEpLen,Bound,J,AvgNormIw,VarNormIw,VarJ,delta,EpsThisIter
100,50000,,nan,2005.41,72.4077300872,72.4077300872,1.71185197532,-3.81629594252,2.3434e+06,-3.81629594252,1,1.59283e+09,,0.0645604,-3.81629594252,nan,500.0,9.37202,4599.92,5.52486e-05,1.20895e-06,130.025,0.4,100
100,50000,5.28565e-32,nan,3.77313,45.0578830071,45.0578830071,0.752705675929,-4.16773226878,105.953,-4.16773226878,1,120.963,3.60977e-27,0.00155143,-4.16773226878,nan,500.0,0.954491,915.225,5.52486e-05,2.59354e-08,57.9622,0.4,100
100,50000,1.25444e-15,nan,1.57546,83.2486113902,83.2486113902,0.635369036187,-2.57633935767,31.1419,-2.57633935767,1,9.19769,3.57714e-11,0.00109209,-2.57633935767,nan,500.0,-1.79398,1477.15,5.52486e-05,1.13111e-08,244.047,0.4,100
100,50000,8.90485e-19,nan,2.01965,59.8275218216,59.8275218216,0.775035738502,-4.24032241687,47.9985,-4.24032241687,1,23.2794,3.25523e-14,0.00131302,-4.24032241687,nan,500.0,-1.95927,1025.33,5.52486e-05,1.74205e-08,122.828,0.4,100
100,50000,1.16271e-16,nan,1.54839,67.6945292242,67.6945292242,0.526522892172,-4.11616636597,32.0702,-4.11616636597,1,11.796,3.25859e-12,0.0011443,-4.11616636597,nan,500.0,-1.78763,1075.95,5.52486e-05,1.50181e-08,185.418,0.4,100
100,50000,2.61451e-20,nan,3.02151,42.2158717108,42.2158717108,1.00724860131,-4.33776532049,152.32,-4.33776532049,1,92.3552,1.42986e-15,0.0027852,-4.33776532049,nan,500.0,0.335446,1028.91,5.52486e-05,3.08785e-08,125.716,0.4,100
100,50000,3.23983e-16,nan,1.53363,62.3511367283,62.3511367283,0.669752826884,-5.09446868452,20.2202,-5.09446868452,1,7.85886,8.99337e-12,0.000728426,-5.09446868452,nan,500.0,-4.35953,486.509,5.52486e-05,1.0199e-08,94.7968,0.4,100
100,50000,5.15932e-13,nan,1.25121,36.7283587497,36.7283587497,1.02931910471,-4.21973548969,17.5304,-4.21973548969,1,3.40187,1.16843e-08,0.000774074,-4.21973548969,nan,500.0,-4.61262,154.982,5.52486e-05,6.63283e-09,108.506,0.4,100
100,50000,2.73479e-35,nan,2.44332,42.1839733484,42.1839733484,0.615230231547,-5.87926692129,173.672,-5.87926692129,1,44.5113,1.20944e-30,0.00392709,-5.87926692129,nan,500.0,-1.99343,525.395,5.52486e-05,2.27589e-08,104.611,0.4,100
100,50000,3.51081e-16,nan,1.30559,62.4067444549,62.4067444549,0.933862606216,-6.19692246158,27.3174,-6.19692246158,1,6.28603,8.29649e-12,0.00115599,-6.19692246158,nan,500.0,-4.46872,225.279,5.52486e-05,1.12565e-08,112.197,0.4,100
100,50000,,nan,21.2969,34.5073881495,34.5073881495,0.581152476493,-3.6437037749,7558.44,-3.6437037749,1,53549.1,,0.0196082,-3.6437037749,nan,500.0,1.64797,1908.15,5.52486e-05,3.60381e-07,129.355,0.4,100
100,50000,,nan,1.33112e+07,34.8705982003,34.8705982003,3.00000103006,-3.14203195657,8.03101e+10,-3.14203195657,1,1.06889e+18,,0.33333,-3.14203195657,nan,500.0,3.62537,2323.67,5.52486e-05,1.84138e-05,108.08,0.4,100
100,50000,,nan,6.20253e+06,60.2813537815,60.2813537815,2.99999617899,-4.34446823369,3.73618e+10,-4.34446823369,1,2.3134e+17,,0.332798,-4.34446823369,nan,500.0,7.3084,2996.31,5.52486e-05,1.8355e-05,68.9387,0.4,100
100,50000,5.05913e-16,nan,1.46731,52.4873452119,52.4873452119,0.369534324343,-3.50522517486,39.0044,-3.50522517486,1,13.4929,1.34362e-11,0.00146863,-3.50522517486,nan,500.0,-2.12676,1292.39,5.52486e-05,1.91296e-08,260.756,0.4,100
100,50000,3.31982e-20,nan,2.16502,39.9775293892,39.9775293892,0.807198329194,-4.00783654714,75.5941,-4.00783654714,1,32.0443,1.30093e-15,0.00192907,-4.00783654714,nan,500.0,-0.695288,725.627,5.52486e-05,2.08676e-08,119.24,0.4,100
100,50000,,nan,58.1123,47.8221130743,47.8221130743,1.04165723658,-3.09263228062,37929.6,-3.09263228062,1,696654.0,,0.0360605,-3.09263228062,nan,500.0,6.60709,2286.82,5.52486e-05,6.29685e-07,78.1327,0.4,100
100,50000,4.32598e-29,nan,16.8808,37.047903965,37.047903965,1.44678763102,-4.36395866473,12671.0,-4.36395866473,1,56158.4,1.32178e-23,0.0414702,-4.36395866473,nan,500.0,1.18424,1455.18,5.52486e-05,6.01547e-07,137.504,0.4,100
100,50000,1.01722e-24,nan,2.74264,36.5588922127,36.5588922127,0.637921317363,-3.61827422237,114.116,-3.61827422237,1,78.3428,5.04966e-20,0.00229879,-3.61827422237,nan,500.0,0.858836,931.62,5.52486e-05,3.17911e-08,95.0729,0.4,100
100,50000,,nan,1621.05,80.9417197163,80.9417197163,1.39216256472,-3.73251519,1.74533e+06,-3.73251519,1,1.09192e+09,,0.0594841,-3.73251519,nan,500.0,10.764,4051.32,5.52486e-05,1.26835e-06,69.2477,0.4,100
100,50000,4.69248e-27,nan,2.99513,63.5018651229,63.5018651229,0.425678326541,-3.71169540187,694.26,-3.71169540187,1,398.749,2.54388e-22,0.0128064,-3.71169540187,nan,500.0,2.50521,2740.98,5.52486e-05,1.35679e-07,522.312,0.4,100
100,50000,1.64894e-32,nan,14.184,66.1280827767,66.1280827767,1.74585456813,0.140578606836,24671.5,0.140578606836,1,77864.0,4.23332e-27,0.0960989,0.140578606836,nan,500.0,8.31553,3997.24,5.52486e-05,1.18136e-06,367.315,0.4,100
100,50000,1.14314e-21,nan,3.92602,55.1367340451,55.1367340451,1.41572036778,-4.37766096401,541.508,-4.37766096401,1,366.438,8.12324e-17,0.00762033,-4.37766096401,nan,500.0,1.45062,1547.91,5.52486e-05,7.25668e-08,135.414,0.4,100
100,50000,1.72616e-30,nan,2.09784,62.3376086377,62.3376086377,0.947043052425,-1.98170379514,304.929,-1.98170379514,1,70.7769,6.5544e-26,0.00803059,-1.98170379514,nan,500.0,1.19414,2494.69,5.52486e-05,4.90897e-08,776.768,0.4,100
100,50000,,nan,54.0453,118.875769788,118.875769788,1.33996440056,-1.49034705998,34493.8,-1.49034705998,1,468214.0,,0.0352618,-1.49034705998,nan,500.0,10.7807,4111.74,5.52486e-05,4.89296e-07,177.189,0.4,100
100,50000,5.53024e-28,nan,6.536,45.579644183,45.579644183,2.12960434131,-1.57860449218,1116.32,-1.57860449218,1,1110.01,6.54237e-23,0.00943621,-1.57860449218,nan,500.0,4.27191,2186.46,5.52486e-05,7.9313e-08,122.085,0.4,100
100,50000,6.54069e-21,nan,1.61245,48.0745290667,48.0745290667,0.656497664208,-4.23899662283,70.8469,-4.23899662283,1,22.3553,1.90893e-16,0.00242748,-4.23899662283,nan,500.0,-0.305124,1038.54,5.52486e-05,2.62451e-08,184.406,0.4,100
100,50000,,nan,478088.0,67.9447791064,67.9447791064,3.00000013801,-1.99332251085,2.88435e+09,-1.99332251085,1,1.37877e+15,,0.33332,-1.99332251085,nan,500.0,7.42406,3227.72,5.52486e-05,1.84127e-05,165.698,0.4,100
100,50000,,nan,466.008,67.4727321411,67.4727321411,2.91175743857,-0.251562997304,1.48156e+06,-0.251562997304,1,3.74689e+08,,0.175649,-0.251562997304,nan,500.0,9.41176,3735.97,5.52486e-05,5.26655e-06,102.087,0.4,100
100,50000,1.39019e-20,nan,5.22303,92.7358590245,92.7358590245,0.627830372524,-1.90201122364,955.961,-1.90201122364,1,1004.54,1.31424e-15,0.010112,-1.90201122364,nan,500.0,7.63639,3452.04,5.52486e-05,1.124e-07,337.518,0.4,100
100,50000,1.76014e-14,nan,1.16132,46.0391292952,46.0391292952,0.864657191643,-2.86008127687,20.3676,-2.86008127687,1,5.10232,3.69982e-10,0.000968965,-2.86008127687,nan,500.0,-0.803952,596.961,5.52486e-05,1.15479e-08,73.8911,0.4,100
100,50000,,nan,1.70436e+11,54.6287688819,54.6287688819,2.00000001092,-3.13950534897,1.54235e+15,-3.13950534897,1,2.62841e+26,,0.499968,-3.13950534897,nan,500.0,4.1418,3873.65,5.52486e-05,2.76193e-05,195.132,0.4,100
