VarJ,EpsThisIter,MaxVanillaIw,AvgDiscRet,VarNormIw,eRenyi2,AvgVanillaIw,MaxNormIw,AvgNormIw,AvgRet,AvgEpLen,MinNormIw,BatchSize,VanillaAvgRet,VarVanillaIw,ESSClassic,MinVanillaIw,VarDiscRet,Bound,ESSRenyi,J,Delta,IterType,VarRet
154.455,100,9.71753,-317.008742276,0.000366065,5.35981,1.39673,0.0695736,0.01,-317.008742276,388.34,1.66414e-12,100,-317.008742276,7.14134,21.6261159632,2.32435e-10,22510.512621,-198.78,18.6573765537,-102.206,0.5,1,22510.512621
116.065,100,2.2901,-124.05313075,3.42606e-05,1.30822,0.9677,0.0236654,0.01,-124.05313075,165.28,0.000260744,100,-124.05313075,0.320831,74.6725833647,0.0252322,13156.8595159,-153.935,76.4395597626,-106.223,0.5,1,13156.8595159
41.336,100,2.24046,-98.2745174676,4.82216e-05,1.42838,0.893986,0.0250615,0.01,-98.2745174676,135.32,3.57555e-05,100,-98.2745174676,0.385393,67.6867427449,0.00319649,8076.89297999,-126.923,70.009374801,-77.0684,0.5,1,8076.89297999
28.6976,100,1.29593,-73.0364123067,7.60518e-06,1.07809,0.992309,0.0130597,0.01,-73.0364123067,104.62,0.00225619,100,-73.0364123067,0.0748864,92.99806986,0.223883,2578.88351358,-112.863,92.7567923558,-69.5517,0.5,1,2578.88351358
69.3935,100,5.82124,-93.7256694508,5.60495e-05,1.3419,1.09073,0.0533702,0.01,-93.7256694508,128.32,2.07055e-05,100,-93.7256694508,0.666816,64.3132301778,0.00225841,8184.80326197,-129.985,74.5211355779,-81.6636,0.5,1,8184.80326197
70.2295,100,1.50999,-86.9105301929,1.19858e-05,1.10915,1.0015,0.0150772,0.01,-86.9105301929,119.87,0.00198023,100,-86.9105301929,0.120219,89.3927471667,0.198321,7164.03202412,-126.578,90.159242915,-82.6464,0.5,1,7164.03202412
61.6777,100,2.03068,-82.4996402352,6.05988e-06,1.05528,1.03489,0.0196221,0.01,-82.4996402352,116.01,0.00558275,100,-82.4996402352,0.0649014,94.3402526065,0.577755,4866.76244078,-122.916,94.7614112688,-80.0649,0.5,1,4866.76244078
83.2498,100,3.03698,-91.9532709083,1.05207e-05,1.06544,1.04148,0.0291603,0.01,-91.9532709083,126.18,0.00605764,100,-91.9532709083,0.114116,90.5669807961,0.63089,8222.89790772,-132.291,93.8575534022,-89.2332,0.5,1,8222.89790772
56.9008,100,2.43007,-80.282974107,9.93009e-06,1.09323,1.0724,0.02266,0.01,-80.282974107,112.73,0.00539721,100,-80.282974107,0.114201,91.0491662455,0.578799,4895.07447824,-120.022,91.4722685627,-76.4071,0.5,1,4895.07447824
47.2803,100,1.26957,-75.111752215,7.43254e-07,1.00952,0.993779,0.0127752,0.01,-75.111752215,107.75,0.00896908,100,-75.111752215,0.00734035,99.2695490827,0.891328,2495.39201739,-116.549,99.0565161014,-74.6958,0.5,1,2495.39201739
72.9264,100,1.71578,-86.2126252313,6.72661e-06,1.08267,1.01365,0.0169267,0.01,-86.2126252313,119.45,0.00414067,100,-86.2126252313,0.0691152,93.7564556441,0.41972,7170.22265793,-126.086,92.3644024678,-82.6816,0.5,1,7170.22265793
56.7917,100,1.35854,-80.365152842,9.2736e-06,1.08102,0.989642,0.0137276,0.01,-80.365152842,113.28,0.00158586,100,-80.365152842,0.0908248,91.5911308265,0.156944,4890.9344743,-121.126,92.5050227315,-77.7551,0.5,1,4890.9344743
57.5773,100,2.39946,-87.8215798037,2.71611e-05,1.18314,0.973381,0.0246508,0.01,-87.8215798037,122.03,0.00149505,100,-87.8215798037,0.257343,78.808787291,0.145525,7150.4164082,-124.809,84.5205078359,-79.4368,0.5,1,7150.4164082
40.3376,100,1.9266,-80.5464895619,2.29444e-05,1.16924,0.971849,0.0198241,0.01,-80.5464895619,113.8,0.000343685,100,-80.5464895619,0.216708,81.4895925574,0.033401,4882.53129093,-117.597,85.5255448264,-72.4907,0.5,1,4882.53129093
43.3189,100,1.93061,-73.8682155626,4.04927e-06,1.03416,1.03104,0.0187249,0.01,-73.8682155626,105.73,0.00814464,100,-73.8682155626,0.0430451,96.1457006971,0.839741,2564.4316674,-114.663,96.6972245251,-72.242,0.5,1,2564.4316674
57.4625,100,6.52934,-96.3626835977,6.66347e-05,1.37857,1.08445,0.060209,0.01,-96.3626835977,131.11,0.000721572,100,-96.3626835977,0.783639,60.2524528339,0.0782505,10381.1290539,-128.782,72.53875544,-79.8043,0.5,1,10381.1290539
73.0248,100,1.19486,-84.4958819072,3.07938e-06,1.04352,1.01472,0.0117752,0.01,-84.4958819072,118.26,0.00415161,100,-84.4958819072,0.0317073,97.0416073014,0.421274,5992.65061911,-125.585,95.8298966693,-82.9731,0.5,1,5992.65061911
71.0338,100,1.69789,-84.6988903019,2.97694e-06,1.03494,1.01996,0.0166466,0.01,-84.6988903019,118.84,0.00827984,100,-84.6988903019,0.0309696,97.1371956456,0.844511,5974.60526205,-125.492,96.6241588041,-83.0557,0.5,1,5974.60526205
34.6405,100,1.49841,-68.900745955,1.00823e-06,1.0092,1.01503,0.0147622,0.01,-68.900745955,99.72,0.00866717,100,-68.900745955,0.0103877,99.01167584,0.879745,1356.2565134,-110.359,99.0884827438,-68.5152,0.5,1,1356.2565134
65.1147,100,1.79128,-89.968213481,2.37622e-05,1.24475,0.896405,0.0199829,0.01,-89.968213481,125.71,0.00116657,100,-89.968213481,0.190939,80.955564085,0.104572,7030.80861246,-129.419,80.3376464921,-82.8794,0.5,1,7030.80861246
84.0167,100,1.28335,-87.8262676267,1.25901e-06,1.0129,0.994475,0.0129048,0.01,-87.8262676267,121.31,0.00747351,100,-87.8262676267,0.0124513,98.768893889,0.743221,7135.0934636,-129.234,98.7262785174,-87.2521,0.5,1,7135.0934636
73.0295,100,1.26935,-82.8915154083,4.16075e-06,1.04228,1.02381,0.0123983,0.01,-82.8915154083,115.75,0.00373046,100,-82.8915154083,0.0436127,96.0438118485,0.38193,6033.94059918,-124.074,95.943380581,-81.4904,0.5,1,6033.94059918
46.6849,100,1.64106,-76.2735392512,4.51634e-06,1.07008,1.02967,0.0159378,0.01,-76.2735392512,108.14,0.00408958,100,-76.2735392512,0.0478829,95.7201812145,0.421091,3746.74393864,-116.636,93.4509116374,-73.4855,0.5,1,3746.74393864
35.449,100,1.55028,-72.2567810634,1.1572e-05,1.09662,0.970602,0.0159724,0.01,-72.2567810634,103.22,0.000780617,100,-72.2567810634,0.109016,89.721262181,0.0757669,2619.26785449,-112.208,91.1896407032,-68.5261,0.5,1,2619.26785449
72.3434,100,1.65175,-86.7534391823,8.78406e-06,1.11421,0.989503,0.0166928,0.01,-86.7534391823,120.76,0.0022855,100,-86.7534391823,0.086006,91.9994843508,0.226151,7154.80538504,-125.839,89.7493896778,-81.8077,0.5,1,7154.80538504
56.9253,100,1.45389,-75.3722969291,1.10315e-06,1.01365,1.00597,0.0144526,0.01,-75.3722969291,107.29,0.00895456,100,-75.3722969291,0.0111636,98.9196862036,0.900803,3749.75208605,-116.733,98.6529230572,-74.7349,0.5,1,3749.75208605
52.0559,100,2.04767,-87.0748515593,2.94014e-05,1.25732,0.99177,0.0206466,0.01,-87.0748515593,121.27,0.000562862,100,-87.0748515593,0.289195,77.4548844953,0.055823,7136.74266026,-122.212,79.5344481128,-75.439,0.5,1,7136.74266026
59.9635,100,1.89767,-77.0075699463,6.51566e-06,1.06339,1.01665,0.018666,0.01,-77.0075699463,108.41,0.00208855,100,-77.0075699463,0.0673438,93.9404013507,0.212331,4944.04168331,-117.52,94.0389901698,-74.505,0.5,1,4944.04168331
45.6404,100,1.67452,-72.2175132924,2.39768e-06,1.02045,1.01431,0.016509,0.01,-72.2175132924,103.61,0.00851035,100,-72.2175132924,0.0246677,97.6813537078,0.863209,2574.09185902,-113.481,97.9957764872,-71.3459,0.5,1,2574.09185902
