AvgEpLen,MinNormIw,Delta,VarRet,Bound,eRenyi2,VarNormIw,MaxVanillaIw,AvgVanillaIw,AvgRet,MaxNormIw,J,IterType,VanillaAvgRet,AvgDiscRet,ESSRenyi,MinVanillaIw,EpsThisIter,VarJ,VarDiscRet,VarVanillaIw,ESSClassic,AvgNormIw,BatchSize
500.0,1.54604e-05,0.2,139465.810687,-1696.08,1.49107,5.40881e-05,2.4955,1.06817,-1440.71148367,0.0233624,-1212.81,1,-1440.71148367,-1440.71148367,67.0660865673,0.00165143,100,171.299,139465.810687,0.617133,65.1265499156,0.01,100
500.0,0.000575858,0.2,78823.2301167,-1582.66,1.16123,1.60836e-05,1.72413,1.0344,-1238.84955149,0.0166679,-1160.04,1,-1238.84955149,-1238.84955149,86.1154098968,0.059567,100,145.026,78823.2301167,0.172093,86.2643699846,0.01,100
500.0,0.00303879,0.2,43533.0103344,-1557.32,1.05131,4.78486e-06,1.43022,0.998929,-1177.49284027,0.0143175,-1155.08,1,-1177.49284027,-1177.49284027,95.1195893599,0.303553,100,139.416,43533.0103344,0.0477462,95.4772311607,0.01,100
500.0,0.000802522,0.2,35823.8905586,-1551.84,1.05729,7.52431e-06,1.36627,0.967492,-1182.47781896,0.0141218,-1148.67,1,-1182.47781896,-1182.47781896,94.5818282104,0.0776434,100,86.2332,35823.8905586,0.0704306,93.0673503266,0.01,100
500.0,0.00324187,0.2,15130.9592049,-1524.6,1.02433,3.09474e-06,1.62393,1.01282,-1139.88882188,0.0160337,-1128.59,1,-1139.88882188,-1139.88882188,97.6244915905,0.328345,100,101.165,15130.9592049,0.0317463,97.027282584,0.01,100
500.0,0.00540509,0.2,10514.1952265,-1527.91,1.01134,1.42947e-06,1.26059,0.99154,-1139.02628195,0.0127134,-1133.89,1,-1139.02628195,-1139.02628195,98.8785733474,0.535936,100,71.8436,10514.1952265,0.0140538,98.6045420205,0.01,100
500.0,0.00614292,0.2,19843.0064514,-1528.93,1.01027,1.17034e-06,1.40723,0.995016,-1139.8057073,0.0141428,-1134.92,1,-1139.8057073,-1139.8057073,98.9831130859,0.611231,100,115.083,19843.0064514,0.0115871,98.8546359628,0.01,100
500.0,0.00705239,0.2,3704.73886229,-1482.03,1.00487,5.10924e-07,1.14842,1.01129,-1139.82610451,0.011356,-1137.98,1,-1139.82610451,-1139.82610451,99.5155552371,0.713203,100,44.7126,3704.73886229,0.00522528,99.496732603,0.01,100
500.0,0.00736632,0.2,14850.1034239,-1528.89,1.00562,5.74687e-07,1.13742,0.990258,-1137.99034944,0.0114861,-1135.55,1,-1137.99034944,-1137.99034944,99.4408693926,0.729456,100,101.491,14850.1034239,0.00563545,99.4342549693,0.01,100
500.0,0.00590233,0.2,1761.09803429,-1407.76,1.00467,5.98428e-07,1.16052,1.01108,-1135.24965454,0.011478,-1133.83,1,-1135.24965454,-1135.24965454,99.5352392452,0.596774,100,40.4414,1761.09803429,0.00611765,99.4110894961,0.01,100
500.0,0.00772602,0.2,12131.7899146,-1531.83,1.01048,1.05052e-06,1.3236,0.985339,-1142.05943448,0.0134329,-1137.67,1,-1142.05943448,-1142.05943448,98.9629112995,0.761275,100,96.185,12131.7899146,0.0101994,98.9706738418,0.01,100
500.0,0.00867914,0.2,3219.32107699,-1434.99,1.00287,2.84314e-07,1.18733,0.998451,-1132.75231874,0.0118917,-1131.93,1,-1132.75231874,-1132.75231874,99.7141331211,0.86657,100,56.743,3219.32107699,0.00283434,99.7193146135,0.01,100
500.0,0.00250448,0.2,3453.62462977,-1363.1,1.16328,2.84279e-05,5.37666,1.0018,-1128.19304956,0.05367,-1102.99,1,-1128.19304956,-1128.19304956,85.9640458995,0.250899,100,289.992,3453.62462977,0.285302,78.0374360001,0.01,100
500.0,0.00492564,0.2,18343.0405975,-1527.48,1.02216,3.22657e-06,1.73831,1.0167,-1141.23386373,0.0170975,-1131.25,1,-1141.23386373,-1141.23386373,97.8316375174,0.50079,100,113.183,18343.0405975,0.0333524,96.9045836622,0.01,100
500.0,0.00769245,0.2,2987.92709822,-1381.32,1.01088,1.07029e-06,1.48846,0.982488,-1129.74149601,0.0151499,-1127.29,1,-1129.74149601,-1129.74149601,98.92392066,0.755774,100,73.8216,2987.92709822,0.0103313,98.951549316,0.01,100
500.0,0.00509554,0.2,2184.06700393,-1365.4,1.12391,5.04091e-05,7.0737,1.06535,-1126.4254314,0.0663976,-1103.11,1,-1126.4254314,-1126.4254314,88.9750714968,0.542856,100,159.773,2184.06700393,0.572134,66.7089197836,0.01,100
500.0,0.00641786,0.2,19344.8292042,-1506.43,1.01617,1.49595e-06,1.39286,0.993456,-1117.21730588,0.0140204,-1111.43,1,-1117.21730588,-1117.21730588,98.4090170288,0.637586,100,167.115,19344.8292042,0.0147644,98.5406108396,0.01,100
500.0,0.00452506,0.2,27743.6149986,-1506.89,1.05633,1.01312e-05,2.94062,1.01965,-1120.63721909,0.0288396,-1103.71,1,-1120.63721909,-1120.63721909,94.6670794039,0.461397,100,221.44,27743.6149986,0.105332,90.8844497714,0.01,100
500.0,0.00066278,0.2,25749.3408211,-1342.82,2.02597,0.00148502,57.1001,1.46913,-1083.12736139,0.388666,-858.78,1,-1083.12736139,-1083.12736139,49.3591890522,0.0973709,100,1044.11,25749.3408211,32.0519,6.36872760314,0.01,100
500.0,0.00235332,0.2,43779.9863279,-1427.83,1.13247,1.58805e-05,2.11236,1.05188,-1059.0772169,0.0200817,-1011.0,1,-1059.0772169,-1059.0772169,88.3024381412,0.247541,100,233.131,43779.9863279,0.175711,86.4142293543,0.01,100
500.0,0.00440179,0.2,27106.1395998,-1467.5,1.06355,6.98577e-06,1.5828,0.951254,-1083.76864412,0.0166391,-1063.62,1,-1083.76864412,-1083.76864412,94.0243916655,0.418722,100,201.013,27106.1395998,0.0632132,93.5314428046,0.01,100
500.0,0.000186948,0.2,88069.6393211,-1440.84,1.37268,5.1529e-05,2.4118,0.924722,-1097.31526376,0.0260814,-981.213,1,-1097.31526376,-1097.31526376,72.8502568506,0.0172875,100,339.376,88069.6393211,0.44063,66.2191578561,0.01,100
500.0,0.000383043,0.2,68230.3999773,-1331.59,1.34751,4.30595e-05,3.36694,1.0161,-983.025032603,0.0331358,-876.718,1,-983.025032603,-983.025032603,74.2112223157,0.0389212,100,275.257,68230.3999773,0.444576,70.1120051262,0.01,100
500.0,0.000879329,0.2,43054.473301,-1136.87,1.22625,2.07981e-05,2.89693,1.10811,-853.188779908,0.026143,-788.947,1,-853.188779908,-853.188779908,81.5491108214,0.0974395,100,178.526,43054.473301,0.255382,82.9255750171,0.01,100
