MinNormIw,AvgVanillaIw,VarNormIw,eRenyi2,VarJ,AvgNormIw,J,EpsThisIter,Bound,BatchSize,ESSRenyi,MinVanillaIw,Delta,VarVanillaIw,VanillaAvgRet,VarRet,ESSClassic,AvgRet,IterType,MaxVanillaIw,MaxNormIw,VarDiscRet,AvgEpLen,AvgDiscRet
,1.5878422,0.0027755855,22.58193,620.2124,0.01,470.09366,100,282.4187,100,4.428319425715839,,0.8,69.97927,125.02885165204749,19627.149800525836,3.5114459343075497,125.02885165204749,1,66.812294,0.42077413,19627.149800525836,13.51,125.02885165204749
,2.2088387,0.0061764508,39.777256,7348.3696,0.010000002,4124.6743,100,2547.994,100,2.513999456622279,,0.8,301.34705,415.3581256765327,306449.01670038514,1.6090920864880007,415.3581256765327,1,173.08559,0.78360444,306449.01670038514,42.54,415.3581256765327
nan,inf,nan,nan,nan,nan,nan,100,nan,200,nan,0.0057774885,0.8,nan,415.3581256765327,306449.01670038514,nan,415.3581256765327,,inf,nan,2829738.1685801665,42.54,1621.1222236443605
,2.158448,0.0011199065,50.11203,2321.815,0.005,4704.396,100,3452.9985,200,3.991057633926913,,0.8,208.70125,513.553612144948,903661.0166295156,4.3886320974559885,513.553612144948,1,131.8181,0.30535388,903661.0166295156,52.33,513.553612144948
0.01,1.0,3.5044917e-18,1.0,1931.5681,0.009999998,2539.4866,100,2289.4866,200,200.0,1.0,0.8,,2539.486745215603,3768641.7731484133,100.0,2539.486745215603,2,1.0,0.01,3768641.7731484133,254.67,2539.486745215603
nan,inf,nan,nan,nan,nan,nan,100,nan,300,nan,0.007586211,0.8,nan,513.553612144948,903661.0166295156,nan,513.553612144948,,inf,nan,4077886.0867402917,52.33,2561.187784965176
,2.12905,0.00092348905,102.78064,3269.447,0.0033333332,4684.833,100,3221.53,300,2.9188376432191303,,0.8,376.74374,457.9619675332636,426076.78026664583,3.5783732819542053,457.9619675332636,1,222.39778,0.34819564,426076.78026664583,46.81,457.9619675332636
0.01,1.0,3.5044917e-18,1.0,1811.4185,0.009999998,2309.831,100,2059.831,300,300.0,1.0,0.8,,2309.831134795929,3314380.9263636083,100.0,2309.831134795929,2,1.0,0.01,3314380.9263636083,231.77,2309.831134795929
0.005,1.0,2.179301e-19,1.0,1878.7302,0.0049999994,2425.287,100,2248.5105,300,300.0,1.0,0.8,,2540.74364634754,3789249.3678094028,200.00000010221265,2540.74364634754,2,1.0,0.005,3789249.3678094028,254.78,2540.74364634754
nan,inf,nan,nan,nan,nan,nan,100,nan,400,nan,0.0044964477,0.8,nan,457.9619675332636,426076.78026664583,nan,457.9619675332636,,inf,nan,3819749.444456427,46.81,2634.09393648718
,1.658967,0.00040455352,88.11253,6031.494,0.0025,4368.378,100,3195.0266,400,4.5396492848005465,,0.8,178.1441,442.5338440700175,325058.4583586189,6.10065283371398,442.5338440700175,1,159.22476,0.23994565,325058.4583586189,45.26,442.5338440700175
0.01,1.0,3.5044917e-18,1.0,1973.2379,0.009999998,2762.2803,100,2512.2803,400,400.0,1.0,0.8,,2762.280443004196,3932998.160393055,100.0,2762.280443004196,2,1.0,0.01,3932998.160393055,276.87,2762.280443004196
