Bound,AvgNormIw,AvgVanillaIw,MaxVanillaIw,AvgRet,EpsThisIter,MinVanillaIw,VarNormIw,J,Delta,MinNormIw,VarVanillaIw,VarRet,MaxNormIw,BatchSize,eRenyi2,VanillaAvgRet,VarJ,AvgDiscRet,VarDiscRet,ESSRenyi,AvgEpLen,ESSClassic,IterType
144.76959,0.010000002,1.1485133,18.133463,108.8423725164873,100,3.0477338e-05,0.00060940685,411.0904,0.4,2.6536338e-07,8.038582,27085.56038992746,0.1578864,100,6.3957396,108.8423725164873,931.3416,108.8423725164873,27085.56038992746,15.635408404992292,11.89,14.21842443666512,1
851.9359,0.01,1.5471735,36.186184,533.6665183730263,100,6.0337044e-08,0.00081420876,2377.8997,0.4,3.899824e-10,19.490091,751350.8300415545,0.23388577,100,6.2096257,533.6665183730263,5781.36,533.6665183730263,751350.8300415545,16.104030177241302,54.36,11.036714018595582,1
2359.8667,0.009999999,0.8768953,20.109035,1221.436192265239,100,1.1929214e-18,0.001387929,4356.1133,0.4,1.360392e-20,10.672415,1865372.4925184085,0.22932082,100,10.626693,1221.436192265239,2940.4438,1221.436192265239,1865372.4925184085,9.41026546512374,123.1,6.784032582661069,1
3738.89,0.01,0.98638886,6.7051115,3314.226427440559,100,0.00024628456,0.00025061288,4773.852,0.4,2.4968303e-06,2.438371,3505815.7457590783,0.06797635,100,2.8563912,3314.226427440559,637.06946,3314.226427440559,3505815.7457590783,35.00921032741923,331.99,28.72682039294981,1
4190.7456,0.010000002,0.9423746,2.3496592,4539.695064595681,100,0.027885439,5.4160617e-05,4914.366,0.4,0.0002959061,0.4809841,1147665.9120441116,0.024933388,100,1.3963389,4539.695064595681,260.12247,4539.695064595681,1147665.9120441116,71.61584996252137,454.23,65.09609800867797,1
4341.296,0.009999999,0.9369259,1.3450392,4911.392102594723,100,0.1514028,8.671813e-06,4971.1665,0.4,0.0016159528,0.07612378,276165.4552677662,0.0143558765,100,1.0579658,4911.392102594723,161.07422,4911.392102594723,276165.4552677662,94.52101779633706,491.21,92.09368617701718,1
4346.017,0.01,0.9909112,1.318224,4942.182832744275,100,0.4467896,4.4273816e-06,4969.956,0.4,0.0045088762,0.04347267,133377.67138338607,0.0133031495,100,1.0381327,4942.182832744275,186.94327,4942.182832744275,133377.67138338607,96.32680208091233,494.27,95.80092830708215,1
4383.079,0.010000002,1.0018091,1.0429219,4995.2065294974755,100,0.89277667,7.2712126e-08,4995.694,0.4,0.008911644,0.0007297544,2023.9456956747943,0.010410385,100,1.000792,4995.2065294974755,39.934982,4995.2065294974755,2023.9456956747943,99.92086002897828,499.56,99.92805983768349,1
4387.443,0.009999998,1.0,1.0,4999.815035272288,100,1.0,3.5044917e-18,4999.8154,0.4,0.01,,0.03899174415326903,0.01,100,1.0,4999.815035272288,0.19647531,4999.815035272288,0.03899174415326903,100.0,500.0,100.0,1
4387.387,0.01,1.0000631,1.0016097,4999.759129949339,100,0.9970343,7.087521e-11,4999.76,0.4,0.009969714,7.0883266e-07,0.08654866962863997,0.010015465,100,1.0000005,4999.759129949339,0.29239267,4999.759129949339,0.08654866962863997,99.99995231630692,500.0,99.99993515426947,1
