AvgDiscRet,MaxNormIw,MaxVanillaIw,ESSRenyi,MinVanillaIw,J,VarRet,MinNormIw,EpsThisIter,renyi2,Bound,IterType,AvgVanillaIw,AvgNormIw,AvgEpLen,VarNormIw,ESSClassic,delta,VanillaAvgRet,VarDiscRet,VarVanillaIw,AvgRet,SamplesThisIter,VarJ,BatchSize
-112.488580795,0.084913,1.28932e+20,nan,,nan,14578.4619712,,100,nan,nan,1,8.20758e+16,5.40541e-05,500.0,4.29862e-06,10.9637946025,0.6,-112.488580795,14578.4619712,inf,-112.488580795,50000,nan,100
nan,nan,nan,nan,nan,nan,nan,nan,100,nan,nan,1,nan,nan,500.0,nan,nan,0.6,nan,nan,nan,nan,50000,nan,100
nan,nan,nan,nan,nan,nan,nan,nan,100,nan,nan,1,nan,nan,500.0,nan,nan,0.6,nan,nan,nan,nan,50000,nan,100
nan,nan,nan,nan,nan,nan,nan,nan,100,nan,nan,1,nan,nan,500.0,nan,nan,0.6,nan,nan,nan,nan,50000,nan,100
nan,nan,nan,nan,nan,nan,nan,nan,100,nan,nan,1,nan,nan,500.0,nan,nan,0.6,nan,nan,nan,nan,50000,nan,100
nan,nan,nan,nan,nan,nan,nan,nan,100,nan,nan,1,nan,nan,500.0,nan,nan,0.6,nan,nan,nan,nan,50000,nan,100
nan,nan,nan,nan,nan,nan,nan,nan,100,nan,nan,1,nan,nan,500.0,nan,nan,0.6,nan,nan,nan,nan,50000,nan,100
nan,nan,nan,nan,nan,nan,nan,nan,100,nan,nan,1,nan,nan,500.0,nan,nan,0.6,nan,nan,nan,nan,50000,nan,100
nan,nan,nan,nan,nan,nan,nan,nan,100,nan,nan,1,nan,nan,500.0,nan,nan,0.6,nan,nan,nan,nan,50000,nan,100
nan,nan,nan,nan,nan,nan,nan,nan,100,nan,nan,1,nan,nan,500.0,nan,nan,0.6,nan,nan,nan,nan,50000,nan,100
nan,nan,nan,nan,nan,nan,nan,nan,100,nan,nan,1,nan,nan,500.0,nan,nan,0.6,nan,nan,nan,nan,50000,nan,100
nan,nan,nan,nan,nan,nan,nan,nan,100,nan,nan,1,nan,nan,500.0,nan,nan,0.6,nan,nan,nan,nan,50000,nan,100
nan,nan,nan,nan,nan,nan,nan,nan,100,nan,nan,1,nan,nan,500.0,nan,nan,0.6,nan,nan,nan,nan,50000,nan,100
nan,nan,nan,nan,nan,nan,nan,nan,100,nan,nan,1,nan,nan,500.0,nan,nan,0.6,nan,nan,nan,nan,50000,nan,100
nan,nan,nan,nan,nan,nan,nan,nan,100,nan,nan,1,nan,nan,500.0,nan,nan,0.6,nan,nan,nan,nan,50000,nan,100
