VarVanillaIw,MinNormIw,AvgNormIw,AvgRet,VanillaAvgRet,MaxVanillaIw,AvgEpLen,VarJ,Bound,BatchSize,VarDiscRet,VarNormIw,EpsThisIter,VarRet,ESSClassic,AvgDiscRet,IterType,Delta,MinVanillaIw,J,eRenyi2,AvgVanillaIw,ESSRenyi,MaxNormIw
,0.005,0.005,-517.365415955,-517.365415955,1.0,500.0,39.6275,-518.702,500,1599.91146801,2.1793e-19,100,1599.91146801,200.000000102,-517.365415955,2,1.0,1.0,-518.702,1.0,1.0,500.0,0.005
,0.00333333,0.00333333,-521.13838532,-521.13838532,1.0,500.0,38.0511,-519.514,500,1211.13158427,5.43914e-20,100,1211.13158427,299.999969474,-521.13838532,2,1.0,1.0,-519.514,1.0,1.0,500.0,0.00333333
,0.0025,0.0025,-525.025575133,-525.025575133,1.0,500.0,37.1153,-520.892,500,1155.30569553,5.4346e-20,100,1155.30569553,400.0,-525.025575133,2,1.0,1.0,-520.892,1.0,1.0,500.0,0.0025
,,0.002,-532.154411403,-532.154411403,2.41751e-30,500.0,,-493.105,500,22149.3488938,0.002,100,22149.3488938,inf,-532.154411403,1,1.0,,-493.105,6.32105e+07,4.83501e-33,7.91007973234e-06,1.0
,0.01,0.01,-520.736089587,-520.736089587,1.0,500.0,34.9583,-520.736,500,1234.4243815,3.50449e-18,100,1234.4243815,100.0,-520.736089587,2,1.0,1.0,-520.736,1.0,1.0,500.0,0.01
,0.005,0.005,-551.453062523,-551.453062523,1.0,500.0,147.307,-536.095,500,42126.0868388,2.1793e-19,100,42126.0868388,200.000000102,-551.453062523,2,1.0,1.0,-536.095,1.0,1.0,500.0,0.005
,0.00333333,0.00333333,-515.171327599,-515.171327599,1.0,500.0,122.181,-529.12,500,1104.97684961,5.43914e-20,100,1104.97684961,299.999969474,-515.171327599,2,1.0,1.0,-529.12,1.0,1.0,500.0,0.00333333
,0.0025,0.0025,-536.422518158,-536.422518158,1.0,500.0,128.856,-530.946,500,21809.508654,5.4346e-20,100,21809.508654,400.0,-536.422518158,2,1.0,1.0,-530.946,1.0,1.0,500.0,0.0025
13.8771,7.00641e-05,0.002,-523.363599162,-523.363599162,69.3534,500.0,95.046,-516.806,500,1414.13566853,3.89862e-05,100,1414.13566853,46.6111119878,-523.363599162,1,1.0,0.0418012,-516.806,inf,1.19323,,0.116245
,0.01,0.01,-519.357916091,-519.357916091,1.0,500.0,37.7551,-519.358,500,1439.84706579,3.50449e-18,100,1439.84706579,100.0,-519.357916091,2,1.0,1.0,-519.358,1.0,1.0,500.0,0.01
,0.005,0.005,-522.996466063,-522.996466063,1.0,500.0,35.7145,-521.177,500,1130.28761369,2.1793e-19,100,1130.28761369,200.000000102,-522.996466063,2,1.0,1.0,-521.177,1.0,1.0,500.0,0.005
,0.00333333,0.00333333,-522.312452124,-522.312452124,1.0,500.0,35.9013,-521.556,500,1328.07424495,5.43914e-20,100,1328.07424495,299.999969474,-522.312452124,2,1.0,1.0,-521.556,1.0,1.0,500.0,0.00333333
,0.0025,0.0025,-526.09956795,-526.09956795,1.0,500.0,35.6876,-522.692,500,1224.48411494,5.4346e-20,100,1224.48411494,400.0,-526.09956795,2,1.0,1.0,-522.692,1.0,1.0,500.0,0.0025
,,0.002,-532.971359223,-532.971359223,3.32453e-38,500.0,,-438.575,500,22398.6181508,0.002,100,22398.6181508,inf,-532.971359223,1,1.0,,-438.575,3.45842e+25,6.64902e-41,1.44574718222e-23,1.0
,0.01,0.01,-522.667615371,-522.667615371,1.0,500.0,40.0726,-522.668,500,1622.03405339,3.50449e-18,100,1622.03405339,100.0,-522.667615371,2,1.0,1.0,-522.668,1.0,1.0,500.0,0.01
,0.005,0.005,-521.896591843,-521.896591843,1.0,500.0,37.431,-522.282,500,1208.13222697,2.1793e-19,100,1208.13222697,200.000000102,-521.896591843,2,1.0,1.0,-522.282,1.0,1.0,500.0,0.005
,0.00333333,0.00333333,-525.851917459,-525.851917459,1.0,500.0,37.7086,-523.472,500,1469.8503768,5.43914e-20,100,1469.8503768,299.999969474,-525.851917459,2,1.0,1.0,-523.472,1.0,1.0,500.0,0.00333333
,0.0025,0.0025,-524.688571894,-524.688571894,1.0,500.0,36.742,-523.776,500,1144.42512226,5.4346e-20,100,1144.42512226,400.0,-524.688571894,2,1.0,1.0,-523.776,1.0,1.0,500.0,0.0025
8.99745,2.5949e-06,0.002,-524.702593259,-524.702593259,48.5845,500.0,50.5685,-517.229,500,1421.08742788,2.85569e-05,100,1421.08742788,61.5388723492,-524.702593259,1,1.0,0.00145655,-517.229,1.0,1.12262,499.998927119,0.0865552
,0.01,0.01,-521.726093202,-521.726093202,1.0,500.0,35.6802,-521.726,500,1285.93387051,3.50449e-18,100,1285.93387051,100.0,-521.726093202,2,1.0,1.0,-521.726,1.0,1.0,500.0,0.01
,0.005,0.005,-533.053384788,-533.053384788,1.0,500.0,107.984,-527.39,500,22205.9562021,2.1793e-19,100,22205.9562021,200.000000102,-533.053384788,2,1.0,1.0,-527.39,1.0,1.0,500.0,0.005
,0.00333333,0.00333333,-510.966734262,-510.966734262,1.0,500.0,90.6068,-521.915,500,1139.24141474,5.43914e-20,100,1139.24141474,299.999969474,-510.966734262,2,1.0,1.0,-521.915,1.0,1.0,500.0,0.00333333
,0.0025,0.0025,-520.613080934,-520.613080934,1.0,500.0,80.9019,-521.59,500,1566.09273344,5.4346e-20,100,1566.09273344,400.0,-520.613080934,2,1.0,1.0,-521.59,1.0,1.0,500.0,0.0025
57.6711,7.97391e-14,0.002,-533.025223565,-533.025223565,162.805,500.0,168.647,-503.369,500,22096.8925891,0.00015253,100,22096.8925891,12.8020548466,-533.025223565,1,1.0,4.90312e-11,-503.369,inf,1.22979,,0.264768
,0.01,0.01,-529.515997602,-529.515997602,1.0,500.0,148.937,-529.516,500,22406.3819238,3.50449e-18,100,22406.3819238,100.0,-529.515997602,2,1.0,1.0,-529.516,1.0,1.0,500.0,0.01
,0.005,0.005,-516.239635984,-516.239635984,1.0,500.0,109.074,-522.878,500,1539.24126774,2.1793e-19,100,1539.24126774,200.000000102,-516.239635984,2,1.0,1.0,-522.878,1.0,1.0,500.0,0.005
,0.00333333,0.00333333,-515.482626429,-515.482626429,1.0,500.0,91.2068,-520.413,500,1136.67361794,5.43914e-20,100,1136.67361794,299.999969474,-515.482626429,2,1.0,1.0,-520.413,1.0,1.0,500.0,0.00333333
,0.0025,0.0025,-515.744889747,-515.744889747,1.0,500.0,80.898,-519.246,500,1217.72656054,5.4346e-20,100,1217.72656054,400.0,-515.744889747,2,1.0,1.0,-519.246,1.0,1.0,500.0,0.0025
2.65464,0.000149774,0.002,-520.444032954,-520.444032954,18.8355,500.0,67.9076,-510.478,500,1014.37228628,8.93598e-06,100,1014.37228628,154.821460285,-520.444032954,1,1.0,0.0816336,-510.478,inf,1.09009,,0.0345578
,0.01,0.01,-530.550981826,-530.550981826,1.0,500.0,147.691,-530.551,500,22032.9275655,3.50449e-18,100,22032.9275655,100.0,-530.550981826,2,1.0,1.0,-530.551,1.0,1.0,500.0,0.01
,0.005,0.005,-560.983506071,-560.983506071,1.0,500.0,204.686,-545.767,500,62138.5185514,2.1793e-19,100,62138.5185514,200.000000102,-560.983506071,2,1.0,1.0,-545.767,1.0,1.0,500.0,0.005
,0.00333333,0.00333333,-520.087850283,-520.087850283,1.0,500.0,168.753,-537.207,500,1212.58324957,5.43914e-20,100,1212.58324957,299.999969474,-520.087850283,2,1.0,1.0,-537.207,1.0,1.0,500.0,0.00333333
,0.0025,0.0025,-521.95468584,-521.95468584,1.0,500.0,147.27,-533.394,500,1157.79280778,5.4346e-20,100,1157.79280778,400.0,-521.95468584,2,1.0,1.0,-533.394,1.0,1.0,500.0,0.0025
10.9679,1.21904e-30,0.002,-519.554023871,-519.554023871,30.7678,500.0,120.535,-515.417,500,1214.48980278,4.86329e-05,100,1214.48980278,38.0693808773,-519.554023871,1,1.0,5.78915e-28,-515.417,inf,0.949787,,0.0647888
,0.01,0.01,-521.873369262,-521.873369262,1.0,500.0,35.8894,-521.873,500,1301.06318699,3.50449e-18,100,1301.06318699,100.0,-521.873369262,2,1.0,1.0,-521.873,1.0,1.0,500.0,0.01
,0.005,0.005,-516.111375884,-516.111375884,1.0,500.0,36.479,-518.992,500,1370.48345428,2.1793e-19,100,1370.48345428,200.000000102,-516.111375884,2,1.0,1.0,-518.992,1.0,1.0,500.0,0.005
,0.00333333,0.00333333,-518.773308827,-518.773308827,1.0,500.0,37.0879,-518.919,500,1479.8767029,5.43914e-20,100,1479.8767029,299.999969474,-518.773308827,2,1.0,1.0,-518.919,1.0,1.0,500.0,0.00333333
,0.0025,0.0025,-515.100783442,-515.100783442,1.0,500.0,36.2997,-517.965,500,1144.64828591,5.4346e-20,100,1144.64828591,400.0,-515.100783442,2,1.0,1.0,-517.965,1.0,1.0,500.0,0.0025
562.681,6.41319e-11,0.002,-524.641895718,-524.641895718,528.623,500.0,59.0882,-499.058,500,1249.5648011,0.00102739,100,1249.5648011,1.94299904012,-524.641895718,1,1.0,4.7461e-08,-499.058,1.001,1.48011,499.500059783,0.714305
,0.01,0.01,-534.885834495,-534.885834495,1.0,500.0,147.418,-534.886,500,21951.6872395,3.50449e-18,100,21951.6872395,100.0,-534.885834495,2,1.0,1.0,-534.886,1.0,1.0,500.0,0.01
,0.005,0.005,-514.821571476,-514.821571476,1.0,500.0,108.48,-524.854,500,1618.65247713,2.1793e-19,100,1618.65247713,200.000000102,-514.821571476,2,1.0,1.0,-524.854,1.0,1.0,500.0,0.005
,0.00333333,0.00333333,-530.079198003,-530.079198003,1.0,500.0,123.099,-526.596,500,22127.3665185,5.43914e-20,100,22127.3665185,299.999969474,-530.079198003,2,1.0,1.0,-526.596,1.0,1.0,500.0,0.00333333
,0.0025,0.0025,-519.009574894,-519.009574894,1.0,500.0,108.488,-524.699,500,1590.76321934,5.4346e-20,100,1590.76321934,400.0,-519.009574894,2,1.0,1.0,-524.699,1.0,1.0,500.0,0.0025
10.5048,,0.002,-533.778877881,-533.778877881,72.4736,500.0,0.161449,-378.71,500,22298.5370053,0.00199978,100,22298.5370053,1.00010843251,-533.778877881,1,1.0,,-378.71,18140.1,0.144955,0.0275632622628,0.999946
,0.01,0.01,-519.880072144,-519.880072144,1.0,500.0,37.8793,-519.88,500,1449.33240103,3.50449e-18,100,1449.33240103,100.0,-519.880072144,2,1.0,1.0,-519.88,1.0,1.0,500.0,0.01
,0.005,0.005,-518.494066721,-518.494066721,1.0,500.0,37.1773,-519.187,500,1341.92380631,2.1793e-19,100,1341.92380631,200.000000102,-518.494066721,2,1.0,1.0,-519.187,1.0,1.0,500.0,0.005
,0.00333333,0.00333333,-550.305918045,-550.305918045,1.0,500.0,123.417,-529.56,500,42712.3162405,5.43914e-20,100,42712.3162405,299.999969474,-550.305918045,2,1.0,1.0,-529.56,1.0,1.0,500.0,0.00333333
,0.0025,0.0025,-527.509769674,-527.509769674,1.0,500.0,130.312,-529.047,500,22451.0223072,5.4346e-20,100,22451.0223072,400.0,-527.509769674,2,1.0,1.0,-529.047,1.0,1.0,500.0,0.0025
5.85784e-08,0.00199851,0.002,-518.315067409,-518.315067409,1.00161,500.0,117.893,-526.899,500,1527.83077318,2.34311e-13,100,1527.83077318,500.000144969,-518.315067409,1,1.0,0.999256,-526.899,1.0,1.0,500.0,0.00200322
,0.01,0.01,-533.56805986,-533.56805986,1.0,500.0,147.843,-533.568,500,22078.3145113,3.50449e-18,100,22078.3145113,100.0,-533.56805986,2,1.0,1.0,-533.568,1.0,1.0,500.0,0.01
,0.005,0.005,-515.321554791,-515.321554791,1.0,500.0,107.978,-524.445,500,1307.55404403,2.1793e-19,100,1307.55404403,200.000000102,-515.321554791,2,1.0,1.0,-524.445,1.0,1.0,500.0,0.005
,0.00333333,0.00333333,-513.580458948,-513.580458948,1.0,500.0,90.7495,-520.823,500,1322.45853932,5.43914e-20,100,1322.45853932,299.999969474,-513.580458948,2,1.0,1.0,-520.823,1.0,1.0,500.0,0.00333333
,0.0025,0.0025,-528.658819813,-528.658819813,1.0,500.0,80.4958,-522.782,500,1177.65326114,5.4346e-20,100,1177.65326114,400.0,-528.658819813,2,1.0,1.0,-522.782,1.0,1.0,500.0,0.0025
1.06602e-06,0.0019886,0.002,-519.478749506,-519.478749506,1.00173,500.0,73.3885,-522.111,500,1150.84348935,4.264e-12,100,1150.84348935,499.999365019,-519.478749506,1,1.0,0.994308,-522.111,1.0,1.00001,499.999642372,0.00200343
,0.01,0.01,-529.999294814,-529.999294814,1.0,500.0,147.421,-529.999,500,21952.4253407,3.50449e-18,100,21952.4253407,100.0,-529.999294814,2,1.0,1.0,-529.999,1.0,1.0,500.0,0.01
,0.005,0.005,-529.327512535,-529.327512535,1.0,500.0,147.785,-529.663,500,22169.3659973,2.1793e-19,100,22169.3659973,200.000000102,-529.327512535,2,1.0,1.0,-529.663,1.0,1.0,500.0,0.005
,0.00333333,0.00333333,-516.388426981,-516.388426981,1.0,500.0,123.495,-525.238,500,1974.40580535,5.43914e-20,100,1974.40580535,299.999969474,-516.388426981,2,1.0,1.0,-525.238,1.0,1.0,500.0,0.00333333
,0.0025,0.0025,-534.812238846,-534.812238846,1.0,500.0,129.831,-527.632,500,21821.4110181,5.4346e-20,100,21821.4110181,400.0,-534.812238846,2,1.0,1.0,-527.632,1.0,1.0,500.0,0.0025
8.05378e-11,0.0019999,0.002,-516.859257283,-516.859257283,1.00003,500.0,117.162,-525.477,500,1129.48070232,3.22089e-16,100,1129.48070232,499.999944857,-516.859257283,1,1.0,0.99995,-525.477,1.0,1.0,500.0,0.00200006
,0.01,0.01,-518.937979315,-518.937979315,1.0,500.0,35.3258,-518.938,500,1260.51804769,3.50449e-18,100,1260.51804769,100.0,-518.937979315,2,1.0,1.0,-518.938,1.0,1.0,500.0,0.01
,0.005,0.005,-547.294250942,-547.294250942,1.0,500.0,147.645,-533.116,500,42372.0793502,2.1793e-19,100,42372.0793502,200.000000102,-547.294250942,2,1.0,1.0,-533.116,1.0,1.0,500.0,0.005
,0.00333333,0.00333333,-522.310915648,-522.310915648,1.0,500.0,122.307,-529.514,500,1212.93015464,5.43914e-20,100,1212.93015464,299.999969474,-522.310915648,2,1.0,1.0,-529.514,1.0,1.0,500.0,0.00333333
,0.0025,0.0025,-536.759682213,-536.759682213,1.0,500.0,129.103,-531.326,500,21973.5693853,5.4346e-20,100,21973.5693853,400.0,-536.759682213,2,1.0,1.0,-531.326,1.0,1.0,500.0,0.0025
2.41362e-07,0.00199226,0.002,-515.571187436,-515.571187436,1.00152,500.0,116.547,-528.17,500,1125.92991364,9.65487e-13,100,1125.92991364,499.999911107,-515.571187436,1,1.0,0.996108,-528.17,1.00001,0.99998,499.996125728,0.00200309
,0.01,0.01,-529.726849064,-529.726849064,1.0,500.0,148.588,-529.727,500,22301.3882078,3.50449e-18,100,22301.3882078,100.0,-529.726849064,2,1.0,1.0,-529.727,1.0,1.0,500.0,0.01
,0.005,0.005,-524.890455022,-524.890455022,1.0,500.0,108.009,-527.309,500,1254.32918929,2.1793e-19,100,1254.32918929,200.000000102,-524.890455022,2,1.0,1.0,-527.309,1.0,1.0,500.0,0.005
,0.00333333,0.00333333,-521.133505152,-521.133505152,1.0,500.0,90.8359,-525.25,500,1410.31172034,5.43914e-20,100,1410.31172034,299.999969474,-521.133505152,2,1.0,1.0,-525.25,1.0,1.0,500.0,0.00333333
,0.0025,0.0025,-552.287598797,-552.287598797,1.0,500.0,129.598,-532.01,500,42303.9901326,5.4346e-20,100,42303.9901326,400.0,-552.287598797,2,1.0,1.0,-532.01,1.0,1.0,500.0,0.0025
,0.002,0.002,-517.918830213,-517.918830213,1.0,500.0,117.064,-529.191,500,1190.52362948,5.43187e-20,100,1190.52362948,500.000006643,-517.918830213,1,1.0,1.0,-529.191,1.0,1.0,500.0,0.002
,0.01,0.01,-531.69951832,-531.69951832,1.0,500.0,148.695,-531.699,500,22333.5214628,3.50449e-18,100,22333.5214628,100.0,-531.69951832,2,1.0,1.0,-531.699,1.0,1.0,500.0,0.01
,0.005,0.005,-520.579896338,-520.579896338,1.0,500.0,108.063,-526.14,500,1195.29781232,2.1793e-19,100,1195.29781232,200.000000102,-520.579896338,2,1.0,1.0,-526.14,1.0,1.0,500.0,0.005
,0.00333333,0.00333333,-514.353332594,-514.353332594,1.0,500.0,90.6848,-522.211,500,1235.56332847,5.43914e-20,100,1235.56332847,299.999969474,-514.353332594,2,1.0,1.0,-522.211,1.0,1.0,500.0,0.00333333
,0.0025,0.0025,-517.902118381,-517.902118381,1.0,500.0,80.631,-521.134,500,1333.69661836,5.4346e-20,100,1333.69661836,400.0,-517.902118381,2,1.0,1.0,-521.134,1.0,1.0,500.0,0.0025
,0.002,0.002,-517.259237977,-517.259237977,1.0,500.0,73.5946,-520.359,500,1074.1210484,5.43187e-20,100,1074.1210484,500.000006643,-517.259237977,1,1.0,1.0,-520.359,1.0,1.0,500.0,0.002
,0.01,0.01,-522.697266114,-522.697266114,1.0,500.0,31.7671,-522.697,500,1019.33921257,3.50449e-18,100,1019.33921257,100.0,-522.697266114,2,1.0,1.0,-522.697,1.0,1.0,500.0,0.01
,0.005,0.005,-537.999309078,-537.999309078,1.0,500.0,106.931,-530.348,500,21961.8899104,2.1793e-19,100,21961.8899104,200.000000102,-537.999309078,2,1.0,1.0,-530.348,1.0,1.0,500.0,0.005
,0.00333333,0.00333333,-519.416926755,-519.416926755,1.0,500.0,90.1252,-526.705,500,1433.83064617,5.43914e-20,100,1433.83064617,299.999969474,-519.416926755,2,1.0,1.0,-526.705,1.0,1.0,500.0,0.00333333
,0.0025,0.0025,-549.977324429,-549.977324429,1.0,500.0,129.203,-532.523,500,42424.5032797,5.4346e-20,100,42424.5032797,400.0,-549.977324429,2,1.0,1.0,-532.523,1.0,1.0,500.0,0.0025
,0.002,0.002,-530.883813493,-530.883813493,1.0,500.0,133.169,-532.195,500,22115.3024355,5.43187e-20,100,22115.3024355,500.000006643,-530.883813493,1,1.0,1.0,-532.195,1.0,1.0,500.0,0.002
,0.01,0.01,-547.499528264,-547.499528264,1.0,500.0,205.377,-547.5,500,42605.9380949,3.50449e-18,100,42605.9380949,100.0,-547.499528264,2,1.0,1.0,-547.5,1.0,1.0,500.0,0.01
,0.005,0.005,-533.863493832,-533.863493832,1.0,500.0,178.952,-540.682,500,21994.8541979,2.1793e-19,100,21994.8541979,200.000000102,-533.863493832,2,1.0,1.0,-540.682,1.0,1.0,500.0,0.005
,0.00333333,0.00333333,-518.155380275,-518.155380275,1.0,500.0,147.514,-533.173,500,904.16848689,5.43914e-20,100,904.16848689,299.999969474,-518.155380275,2,1.0,1.0,-533.173,1.0,1.0,500.0,0.00333333
,0.0025,0.0025,-529.889041052,-529.889041052,1.0,500.0,147.649,-532.352,500,22133.4413458,5.4346e-20,100,22133.4413458,400.0,-529.889041052,2,1.0,1.0,-532.352,1.0,1.0,500.0,0.0025
5.22381e-12,0.00199998,0.002,-529.529053075,-529.529053075,1.00001,500.0,147.924,-531.787,500,22424.0421357,2.08357e-17,100,22424.0421357,499.999945607,-529.529053075,1,1.0,0.999991,-531.787,1.0,1.0,500.0,0.00200002
,0.01,0.01,-536.23063262,-536.23063262,1.0,500.0,146.896,-536.231,500,21796.3885909,3.50449e-18,100,21796.3885909,100.0,-536.23063262,2,1.0,1.0,-536.231,1.0,1.0,500.0,0.01
,0.005,0.005,-521.793624374,-521.793624374,1.0,500.0,107.058,-529.012,500,1252.62710485,2.1793e-19,100,1252.62710485,200.000000102,-521.793624374,2,1.0,1.0,-529.012,1.0,1.0,500.0,0.005
,0.00333333,0.00333333,-513.688317666,-513.688317666,1.0,500.0,89.9615,-523.904,500,1212.02978338,5.43914e-20,100,1212.02978338,299.999969474,-513.688317666,2,1.0,1.0,-523.904,1.0,1.0,500.0,0.00333333
,0.0025,0.0025,-519.378375873,-519.378375873,1.0,500.0,79.8931,-522.773,500,1249.54744807,5.4346e-20,100,1249.54744807,400.0,-519.378375873,2,1.0,1.0,-522.773,1.0,1.0,500.0,0.0025
1.89907e-12,0.00199999,0.002,-533.847315206,-533.847315206,1.00001,500.0,97.2665,-524.988,500,21893.2792424,7.75107e-18,100,21893.2792424,500.000043414,-533.847315206,1,1.0,0.999994,-524.988,1.0,1.0,500.0,0.00200001
,0.01,0.01,-517.355754071,-517.355754071,1.0,500.0,36.8371,-517.356,500,1370.67516909,3.50449e-18,100,1370.67516909,100.0,-517.355754071,2,1.0,1.0,-517.356,1.0,1.0,500.0,0.01
,0.005,0.005,-529.124355406,-529.124355406,1.0,500.0,108.59,-523.24,500,22381.0915724,2.1793e-19,100,22381.0915724,200.000000102,-529.124355406,2,1.0,1.0,-523.24,1.0,1.0,500.0,0.005
,0.00333333,0.00333333,-509.52218252,-509.52218252,1.0,500.0,90.9878,-518.667,500,1138.77138998,5.43914e-20,100,1138.77138998,299.999969474,-509.52218252,2,1.0,1.0,-518.667,1.0,1.0,500.0,0.00333333
,0.0025,0.0025,-520.139894068,-520.139894068,1.0,500.0,80.6096,-519.036,500,1165.34414359,5.4346e-20,100,1165.34414359,400.0,-520.139894068,2,1.0,1.0,-519.036,1.0,1.0,500.0,0.0025
,0.002,0.002,-517.987117129,-517.987117129,1.0,500.0,73.8777,-518.826,500,1310.15456328,5.43187e-20,100,1310.15456328,500.000006643,-517.987117129,1,1.0,1.0,-518.826,1.0,1.0,500.0,0.002
,0.01,0.01,-520.065157588,-520.065157588,1.0,500.0,36.285,-520.065,500,1329.89748945,3.50449e-18,100,1329.89748945,100.0,-520.065157588,2,1.0,1.0,-520.065,1.0,1.0,500.0,0.01
,0.005,0.005,-517.713890584,-517.713890584,1.0,500.0,40.022,-518.89,500,1903.1958359,2.1793e-19,100,1903.1958359,200.000000102,-517.713890584,2,1.0,1.0,-518.89,1.0,1.0,500.0,0.005
,0.00333333,0.00333333,-546.260578432,-546.260578432,1.0,500.0,122.93,-528.013,500,42052.9766893,5.43914e-20,100,42052.9766893,299.999969474,-546.260578432,2,1.0,1.0,-528.013,1.0,1.0,500.0,0.00333333
,0.0025,0.0025,-522.554027704,-522.554027704,1.0,500.0,107.784,-526.648,500,1122.80141074,5.4346e-20,100,1122.80141074,400.0,-522.554027704,2,1.0,1.0,-526.648,1.0,1.0,500.0,0.0025
,0.002,0.002,-546.640252028,-546.640252028,1.0,500.0,133.157,-530.647,500,42287.8154927,5.43187e-20,100,42287.8154927,500.000006643,-546.640252028,1,1.0,1.0,-530.647,1.0,1.0,500.0,0.002
,0.01,0.01,-518.731855744,-518.731855744,1.0,500.0,36.1269,-518.732,500,1318.33938505,3.50449e-18,100,1318.33938505,100.0,-518.731855744,2,1.0,1.0,-518.732,1.0,1.0,500.0,0.01
,0.005,0.005,-520.563891953,-520.563891953,1.0,500.0,33.3796,-519.648,500,930.868889108,2.1793e-19,100,930.868889108,200.000000102,-520.563891953,2,1.0,1.0,-519.648,1.0,1.0,500.0,0.005
,0.00333333,0.00333333,-519.060036613,-519.060036613,1.0,500.0,35.2411,-519.452,500,1512.30887633,5.43914e-20,100,1512.30887633,299.999969474,-519.060036613,2,1.0,1.0,-519.452,1.0,1.0,500.0,0.00333333
,0.0025,0.0025,-513.23432914,-513.23432914,1.0,500.0,34.4299,-517.897,500,996.831329563,5.4346e-20,100,996.831329563,400.0,-513.23432914,2,1.0,1.0,-517.897,1.0,1.0,500.0,0.0025
,0.002,0.002,-530.238674668,-530.238674668,1.0,500.0,73.3614,-520.366,500,22268.6480919,5.43187e-20,100,22268.6480919,500.000006643,-530.238674668,1,1.0,1.0,-520.366,1.0,1.0,500.0,0.002
,0.01,0.01,-523.696683319,-523.696683319,1.0,500.0,38.816,-523.697,500,1521.90378745,3.50449e-18,100,1521.90378745,100.0,-523.696683319,2,1.0,1.0,-523.697,1.0,1.0,500.0,0.01
,0.005,0.005,-522.982036915,-522.982036915,1.0,500.0,37.4753,-523.339,500,1315.001271,2.1793e-19,100,1315.001271,200.000000102,-522.982036915,2,1.0,1.0,-523.339,1.0,1.0,500.0,0.005
,0.00333333,0.00333333,-513.721374894,-513.721374894,1.0,500.0,39.2978,-520.133,500,1780.30356258,5.43914e-20,100,1780.30356258,299.999969474,-513.721374894,2,1.0,1.0,-520.133,1.0,1.0,500.0,0.00333333
,0.0025,0.0025,-518.525892371,-518.525892371,1.0,500.0,38.8425,-519.731,500,1414.21441356,5.4346e-20,100,1414.21441356,400.0,-518.525892371,2,1.0,1.0,-519.731,1.0,1.0,500.0,0.0025
,0.002,0.002,-533.20783015,-533.20783015,1.0,500.0,74.7075,-522.427,500,21945.2484309,5.43187e-20,100,21945.2484309,500.000006643,-533.20783015,1,1.0,1.0,-522.427,1.0,1.0,500.0,0.002
,0.01,0.01,-520.432518444,-520.432518444,1.0,500.0,40.1484,-520.433,500,1628.17587876,3.50449e-18,100,1628.17587876,100.0,-520.432518444,2,1.0,1.0,-520.433,1.0,1.0,500.0,0.01
,0.005,0.005,-534.319160492,-534.319160492,1.0,500.0,107.997,-527.376,500,21836.6565319,2.1793e-19,100,21836.6565319,200.000000102,-534.319160492,2,1.0,1.0,-527.376,1.0,1.0,500.0,0.005
,0.00333333,0.00333333,-520.526462528,-520.526462528,1.0,500.0,90.62,-525.093,500,1291.01067597,5.43914e-20,100,1291.01067597,299.999969474,-520.526462528,2,1.0,1.0,-525.093,1.0,1.0,500.0,0.00333333
,0.0025,0.0025,-531.987105283,-531.987105283,1.0,500.0,107.587,-526.816,500,21847.0557613,5.4346e-20,100,21847.0557613,400.0,-531.987105283,2,1.0,1.0,-526.816,1.0,1.0,500.0,0.0025
,0.002,0.002,-520.544217672,-520.544217672,1.0,500.0,97.5986,-525.562,500,1308.83180622,5.43187e-20,100,1308.83180622,500.000006643,-520.544217672,1,1.0,1.0,-525.562,1.0,1.0,500.0,0.002
,0.01,0.01,-517.492872019,-517.492872019,1.0,500.0,37.1423,-517.493,500,1393.4872433,3.50449e-18,100,1393.4872433,100.0,-517.492872019,2,1.0,1.0,-517.493,1.0,1.0,500.0,0.01
,0.005,0.005,-538.155860898,-538.155860898,1.0,500.0,148.699,-527.824,500,43060.4157351,2.1793e-19,100,43060.4157351,200.000000102,-538.155860898,2,1.0,1.0,-527.824,1.0,1.0,500.0,0.005
,0.00333333,0.00333333,-516.646838696,-516.646838696,1.0,500.0,122.989,-524.099,500,1083.47256376,5.43914e-20,100,1083.47256376,299.999969474,-516.646838696,2,1.0,1.0,-524.099,1.0,1.0,500.0,0.00333333
,0.0025,0.0025,-531.388101344,-531.388101344,1.0,500.0,129.502,-525.921,500,21883.3216117,5.4346e-20,100,21883.3216117,400.0,-531.388101344,2,1.0,1.0,-525.921,1.0,1.0,500.0,0.0025
,0.002,0.002,-517.593853184,-517.593853184,1.0,500.0,117.161,-524.255,500,1510.37557578,5.43187e-20,100,1510.37557578,500.000006643,-517.593853184,1,1.0,1.0,-524.255,1.0,1.0,500.0,0.002
,0.01,0.01,-521.629695004,-521.629695004,1.0,500.0,30.2606,-521.63,500,924.953754528,3.50449e-18,100,924.953754528,100.0,-521.629695004,2,1.0,1.0,-521.63,1.0,1.0,500.0,0.01
,0.005,0.005,-520.226728368,-520.226728368,1.0,500.0,34.4772,-520.928,500,1475.42671847,2.1793e-19,100,1475.42671847,200.000000102,-520.226728368,2,1.0,1.0,-520.928,1.0,1.0,500.0,0.005
,0.00333333,0.00333333,-513.934655095,-513.934655095,1.0,500.0,36.6569,-518.597,500,1637.59998195,5.43914e-20,100,1637.59998195,299.999969474,-513.934655095,2,1.0,1.0,-518.597,1.0,1.0,500.0,0.00333333
