VarVanillaIw,MinNormIw,AvgNormIw,AvgRet,VanillaAvgRet,MaxVanillaIw,AvgEpLen,VarJ,Bound,BatchSize,VarDiscRet,VarNormIw,EpsThisIter,VarRet,ESSClassic,AvgDiscRet,IterType,Delta,MinVanillaIw,J,eRenyi2,AvgVanillaIw,ESSRenyi,MaxNormIw
,0.01,0.01,-596.950169617,-596.950169617,1.0,500.0,54.6912,-596.95,500,3021.33581364,3.50449e-18,100,3021.33581364,100.0,-596.950169617,2,1.0,1.0,-596.95,1.0,1.0,500.0,0.01
,0.005,0.005,-601.530073518,-601.530073518,1.0,500.0,49.8927,-599.24,500,1996.92517009,2.1793e-19,100,1996.92517009,200.000000102,-601.530073518,2,1.0,1.0,-599.24,1.0,1.0,500.0,0.005
,0.00333333,0.00333333,-597.827391258,-597.827391258,1.0,500.0,51.2935,-598.769,500,2942.6084964,5.43914e-20,100,2942.6084964,299.999969474,-597.827391258,2,1.0,1.0,-598.769,1.0,1.0,500.0,0.00333333
,0.0025,0.0025,-600.809758471,-600.809758471,1.0,500.0,58.545,-599.279,500,5872.61446184,5.4346e-20,100,5872.61446184,400.0,-600.809758471,2,1.0,1.0,-599.279,1.0,1.0,500.0,0.0025
1.79989,2.97298e-05,0.002,-595.025573315,-595.025573315,16.2783,500.0,76.7233,-591.483,500,3722.41540118,7.21004e-06,100,3722.41540118,178.641483852,-595.025573315,1,1.0,0.0148541,-591.483,inf,0.999274,,0.0325803
,0.01,0.01,-596.106986793,-596.106986793,1.0,500.0,41.7652,-596.107,500,1761.95521524,3.50449e-18,100,1761.95521524,100.0,-596.106986793,2,1.0,1.0,-596.107,1.0,1.0,500.0,0.01
,0.005,0.005,-596.948778934,-596.948778934,1.0,500.0,56.8836,-596.528,500,4774.54121996,2.1793e-19,100,4774.54121996,200.000000102,-596.948778934,2,1.0,1.0,-596.528,1.0,1.0,500.0,0.005
,0.00333333,0.00333333,-603.984659813,-603.984659813,1.0,500.0,62.0975,-599.013,500,5110.85894552,5.43914e-20,100,5110.85894552,299.999969474,-603.984659813,2,1.0,1.0,-599.013,1.0,1.0,500.0,0.00333333
,0.0025,0.0025,-603.001544768,-603.001544768,1.0,500.0,64.5146,-600.01,500,5119.48296395,5.4346e-20,100,5119.48296395,400.0,-603.001544768,2,1.0,1.0,-600.01,1.0,1.0,500.0,0.0025
3.40275,4.4449e-05,0.002,-603.847509828,-603.847509828,23.1689,500.0,117.094,-589.025,500,7258.87600961,1.34274e-05,100,7258.87600961,114.938590222,-603.847509828,1,1.0,0.0223759,-589.025,inf,1.00681,,0.0460243
,0.01,0.01,-614.387658534,-614.387658534,1.0,500.0,96.9992,-614.388,500,9503.88483073,3.50449e-18,100,9503.88483073,100.0,-614.387658534,2,1.0,1.0,-614.388,1.0,1.0,500.0,0.01
,0.005,0.005,-591.238306747,-591.238306747,1.0,500.0,78.0728,-602.813,500,2539.32238371,2.1793e-19,100,2539.32238371,200.000000102,-591.238306747,2,1.0,1.0,-602.813,1.0,1.0,500.0,0.005
,0.00333333,0.00333333,-599.599029251,-599.599029251,1.0,500.0,73.5398,-601.742,500,4067.37790839,5.43914e-20,100,4067.37790839,299.999969474,-599.599029251,2,1.0,1.0,-601.742,1.0,1.0,500.0,0.00333333
,0.0025,0.0025,-592.224802216,-592.224802216,1.0,500.0,74.6958,-599.362,500,6086.46939856,5.4346e-20,100,6086.46939856,400.0,-592.224802216,2,1.0,1.0,-599.362,1.0,1.0,500.0,0.0025
81116.1,1.71188e-11,0.002,-582.23358754,-582.23358754,6363.05,500.0,102.607,-530.341,500,1621.4630105,0.00161363,100,1621.4630105,1.23885074338,-582.23358754,1,1.0,1.21374e-07,-530.341,inf,14.1802,,0.897456
,0.01,0.01,-570.758563313,-570.758563313,1.0,500.0,51.2703,-570.759,500,2655.19805364,3.50449e-18,100,2655.19805364,100.0,-570.758563313,2,1.0,1.0,-570.759,1.0,1.0,500.0,0.01
,0.005,0.005,-573.102310797,-573.102310797,1.0,500.0,44.9115,-571.93,500,1416.85362322,2.1793e-19,100,1416.85362322,200.000000102,-573.102310797,2,1.0,1.0,-571.93,1.0,1.0,500.0,0.005
,0.00333333,0.00333333,-573.624450847,-573.624450847,1.0,500.0,41.9034,-572.495,500,1244.1355201,5.43914e-20,100,1244.1355201,299.999969474,-573.624450847,2,1.0,1.0,-572.495,1.0,1.0,500.0,0.00333333
,0.0025,0.0025,-564.775562585,-564.775562585,1.0,500.0,40.173,-570.565,500,1154.6584052,5.4346e-20,100,1154.6584052,400.0,-564.775562585,2,1.0,1.0,-570.565,1.0,1.0,500.0,0.0025
22.0066,3.8956e-15,0.002,-567.749080078,-567.749080078,59.9906,500.0,158.232,-533.911,500,1277.37498942,0.00028661,100,1277.37498942,6.89568534386,-567.749080078,1,1.0,1.07946e-12,-533.911,inf,0.554193,,0.216497
,0.01,0.01,-547.542374888,-547.542374888,1.0,500.0,35.6054,-547.542,500,1280.5505959,3.50449e-18,100,1280.5505959,100.0,-547.542374888,2,1.0,1.0,-547.542,1.0,1.0,500.0,0.01
,0.005,0.005,-553.443378932,-553.443378932,1.0,500.0,33.9416,-550.493,500,1029.20039581,2.1793e-19,100,1029.20039581,200.000000102,-553.443378932,2,1.0,1.0,-550.493,1.0,1.0,500.0,0.005
,0.00333333,0.00333333,-552.63819047,-552.63819047,1.0,500.0,36.3257,-551.208,500,1668.20998291,5.43914e-20,100,1668.20998291,299.999969474,-552.63819047,2,1.0,1.0,-551.208,1.0,1.0,500.0,0.00333333
,0.0025,0.0025,-567.016598679,-567.016598679,1.0,500.0,78.6595,-555.16,500,20811.2607541,5.4346e-20,100,20811.2607541,400.0,-567.016598679,2,1.0,1.0,-555.16,1.0,1.0,500.0,0.0025
1.60414,8.1243e-07,0.002,-552.266343764,-552.266343764,15.4592,500.0,62.4685,-551.899,500,1281.42783332,6.72592e-06,100,1281.42783332,186.698257349,-552.266343764,1,1.0,0.000396763,-551.899,inf,0.976731,,0.031655
,0.01,0.01,-552.770756091,-552.770756091,1.0,500.0,37.9265,-552.771,500,1452.94786236,3.50449e-18,100,1452.94786236,100.0,-552.770756091,2,1.0,1.0,-552.771,1.0,1.0,500.0,0.01
,0.005,0.005,-547.276729791,-547.276729791,1.0,500.0,34.8172,-550.024,500,980.777157382,2.1793e-19,100,980.777157382,200.000000102,-547.276729791,2,1.0,1.0,-550.024,1.0,1.0,500.0,0.005
,0.00333333,0.00333333,-551.591650372,-551.591650372,1.0,500.0,35.6598,-550.546,500,1402.77998663,5.43914e-20,100,1402.77998663,299.999969474,-551.591650372,2,1.0,1.0,-550.546,1.0,1.0,500.0,0.00333333
,0.0025,0.0025,-550.82797209,-550.82797209,1.0,500.0,34.813,-550.617,500,1043.27507209,5.4346e-20,100,1043.27507209,400.0,-550.82797209,2,1.0,1.0,-550.617,1.0,1.0,500.0,0.0025
3.46638,6.14128e-39,0.002,-555.936083512,-555.936083512,38.2955,500.0,532.939,-489.38,500,1651.58530208,0.000911599,100,1651.58530208,2.1887201495,-555.936083512,1,1.0,3.787e-37,-489.38,inf,0.123329,,0.621029
,0.01,0.01,-545.387795528,-545.387795528,1.0,500.0,32.1659,-545.388,500,1045.09788146,3.50449e-18,100,1045.09788146,100.0,-545.387795528,2,1.0,1.0,-545.388,1.0,1.0,500.0,0.01
,0.005,0.005,-543.704749189,-543.704749189,1.0,500.0,34.1565,-544.546,500,1310.36782392,2.1793e-19,100,1310.36782392,200.000000102,-543.704749189,2,1.0,1.0,-544.546,1.0,1.0,500.0,0.005
,0.00333333,0.00333333,-540.45996228,-540.45996228,1.0,500.0,34.3999,-543.184,500,1217.78797958,5.43914e-20,100,1217.78797958,299.999969474,-540.45996228,2,1.0,1.0,-543.184,1.0,1.0,500.0,0.00333333
,0.0025,0.0025,-533.826701562,-533.826701562,1.0,500.0,33.4801,-540.845,500,876.696093524,5.4346e-20,100,876.696093524,400.0,-533.826701562,2,1.0,1.0,-540.845,1.0,1.0,500.0,0.0025
30.2121,,0.002,-545.609214481,-545.609214481,112.778,500.0,234.148,-513.697,500,1465.78540707,0.000268302,100,1465.78540707,7.35928771512,-545.609214481,1,1.0,,-513.697,1.00001,0.671133,499.993622384,0.336082
,0.01,0.01,-545.767184941,-545.767184941,1.0,500.0,146.556,-545.767,500,21695.7182395,3.50449e-18,100,21695.7182395,100.0,-545.767184941,2,1.0,1.0,-545.767,1.0,1.0,500.0,0.01
,0.005,0.005,-538.055871505,-538.055871505,1.0,500.0,106.34,-541.911,500,1118.9115381,2.1793e-19,100,1118.9115381,200.000000102,-538.055871505,2,1.0,1.0,-541.911,1.0,1.0,500.0,0.005
,0.00333333,0.00333333,-550.617097406,-550.617097406,1.0,500.0,120.962,-544.813,500,21443.4189702,5.43914e-20,100,21443.4189702,299.999969474,-550.617097406,2,1.0,1.0,-544.813,1.0,1.0,500.0,0.00333333
,0.0025,0.0025,-538.252620592,-538.252620592,1.0,500.0,127.95,-543.173,500,21774.7250469,5.4346e-20,100,21774.7250469,400.0,-538.252620592,2,1.0,1.0,-543.173,1.0,1.0,500.0,0.0025
17.2419,1.03479e-08,0.002,-530.800603957,-530.800603957,73.8107,500.0,121.097,-519.528,500,1020.82677227,6.36705e-05,100,1020.82677227,29.610697486,-530.800603957,1,1.0,5.3849e-06,-519.528,inf,1.04077,,0.141839
,0.01,0.01,-549.454928349,-549.454928349,1.0,500.0,145.957,-549.455,500,21518.6853097,3.50449e-18,100,21518.6853097,100.0,-549.454928349,2,1.0,1.0,-549.455,1.0,1.0,500.0,0.01
,0.005,0.005,-528.887505338,-528.887505338,1.0,500.0,106.39,-539.171,500,1133.98796955,2.1793e-19,100,1133.98796955,200.000000102,-528.887505338,2,1.0,1.0,-539.171,1.0,1.0,500.0,0.005
,0.00333333,0.00333333,-524.951419457,-524.951419457,1.0,500.0,89.3581,-534.431,500,1194.09016423,5.43914e-20,100,1194.09016423,299.999969474,-524.951419457,2,1.0,1.0,-534.431,1.0,1.0,500.0,0.00333333
,0.0025,0.0025,-523.360849473,-523.360849473,1.0,500.0,79.1415,-531.664,500,1017.18480326,5.4346e-20,100,1017.18480326,400.0,-523.360849473,2,1.0,1.0,-531.664,1.0,1.0,500.0,0.0025
