J,AvgEpLen,VanillaAvgRet,VarNormIw,ESSClassic,AvgVanillaIw,MaxNormIw,EpsThisIter,VarVanillaIw,MinNormIw,AvgRet,MaxVanillaIw,eRenyi2,VarRet,ESSRenyi,VarJ,AvgNormIw,BatchSize,MinVanillaIw,VarDiscRet,Delta,AvgDiscRet,IterType,Bound
305.3389,11.8,107.9389303763378,0.0010152913,9.048640292771976,1.0541203,0.20983818,100,11.281609,5.2398916e-13,107.9389303763378,22.119469,7.353468,10041.270214612372,13.599025765594948,344.96976,0.01,100,5.523476e-11,10041.270214612372,0.4,107.9389303763378,1,136.00098
395.64993,33.73,327.2672735844108,1.1137859e-05,90.06860540822767,0.9727733,0.019381579,100,0.1053962,0.0024258483,327.2672735844108,1.8853883,1.1369641,272138.09973225545,87.9535259908576,929.13086,0.01,100,0.23598003,272138.09973225545,0.4,327.2672735844108,1,-257.28647
565.029,35.3,342.8503542431213,0.00028246877,26.340456989734868,0.93191934,0.14249668,100,2.4531672,2.6049677e-06,342.8503542431213,13.279541,2.9902976,64408.444810774316,33.441488055899526,815.2817,0.01,100,0.00024276198,64408.444810774316,0.4,342.8503542431213,1,222.0004
4138.959,73.57,725.6994844148898,0.0028402705,3.4342219601970543,1.20579,0.388508,100,41.295536,1.948964e-21,725.6994844148898,46.84591,15.469512,822474.3324317456,6.46432803387272,4936.2153,0.009999999,100,2.3500413e-19,822474.3324317456,0.4,725.6994844148898,1,1730.4194
4584.8525,257.71,2568.826207586731,0.0003312676,23.366946989155558,1.0318034,0.07069701,100,3.5267353,5.0122717e-22,2568.826207586731,7.294541,4.094458,2794388.741440724,24.423256382165864,1253.0043,0.010000002,100,5.171679e-20,2794388.741440724,0.4,2568.826207586731,1,3345.7322
4782.064,433.57,4332.998861089726,3.915142e-05,72.06693727921972,1.1526296,0.025237802,100,0.52014816,0.000115208124,4332.998861089726,2.908984,1.5224181,1837861.249614709,65.68497660592551,558.23395,0.009999999,100,0.013279229,1837861.249614709,0.4,4332.998861089726,1,4026.4802
4913.0063,465.34,4651.580105930171,3.064411e-05,76.72378788570347,0.99426454,0.019487249,100,0.30293605,0.00030640292,4651.580105930171,1.9375479,1.2605553,954417.70171993,79.330119504792,281.75812,0.01,100,0.030464556,954417.70171993,0.4,4651.580105930171,1,4225.4688
4931.0317,480.81,4807.017841196246,1.6391561e-05,86.03804159459492,0.95878977,0.017854875,100,0.15068398,0.0016450149,4807.017841196246,1.7119071,1.1439,627711.1302613589,87.4202262277311,302.4896,0.010000003,100,0.15772234,627711.1302613589,0.4,4807.017841196246,1,4276.0796
4982.131,495.98,4959.298942818299,3.0852582e-06,97.0361087203903,0.9879063,0.012076752,100,0.030110847,0.0030661346,4959.298942818299,1.1930699,1.0264674,96120.43329719495,97.42150199642698,124.37744,0.01,100,0.30290535,96120.43329719495,0.4,4959.298942818299,1,4361.7075
4981.05,496.21,4961.692410971471,3.160878e-06,96.96566399516512,0.99632525,0.012309834,100,0.0313769,0.0038421224,4961.692410971471,1.2264599,1.0240394,107914.52412527667,97.65249384041121,145.55615,0.010000002,100,0.38280034,107914.52412527667,0.4,4961.692410971471,1,4361.361
