AvgEpLen,BatchSize,AvgNormIw,AvgDiscRet,J,ESSRenyi,EpsThisIter,VanillaAvgRet,VarNormIw,MinNormIw,VarJ,VarVanillaIw,eRenyi2,MaxVanillaIw,ESSClassic,VarRet,AvgRet,VarDiscRet,Bound,MinVanillaIw,Delta,AvgVanillaIw,MaxNormIw,IterType
500.0,100,0.01,-1486.51658804,-1241.16,63.0434918212,100,-1486.51658804,7.41443e-05,7.28916e-05,234.198,0.725455,1.58621,4.16716,57.6691737783,156831.227873,-1486.51658804,156831.227873,-1738.53,0.00721014,0.2,0.989159,0.0421283,1
500.0,100,0.01,-1262.06725565,-1178.63,84.9212530909,100,-1262.06725565,2.05752e-05,0.00110188,109.513,0.21292,1.17756,1.86618,83.0775278941,71052.4497744,-1262.06725565,71052.4497744,-1604.71,0.112091,0.2,1.01727,0.018345,1
500.0,100,0.01,-1200.72804246,-1149.29,90.7139561979,100,-1200.72804246,1.43649e-05,0.000484259,133.587,0.121694,1.10237,1.6785,87.5493608276,53267.2141896,-1200.72804246,53267.2141896,-1563.17,0.0445719,0.2,0.920414,0.0182364,1
500.0,100,0.01,-1187.15285161,-1148.13,93.0701905626,100,-1187.15285161,1.0212e-05,0.00120009,102.79,0.0921593,1.07446,1.33893,90.8184082292,40763.5879602,-1187.15285161,40763.5879602,-1557.83,0.114007,0.2,0.949981,0.0140942,1
500.0,100,0.01,-1128.03743184,-1107.69,90.1748467606,100,-1128.03743184,1.77804e-05,0.00461233,196.826,0.172709,1.10896,3.68119,85.0321568876,3703.03436682,-1128.03743184,3703.03436682,-1370.94,0.454576,0.2,0.985568,0.0373509,1
500.0,100,0.01,-1125.89915352,-1123.9,99.435612225,100,-1125.89915352,7.04355e-07,0.00726429,117.777,0.00699617,1.00568,1.3438,99.3075279633,11963.3750161,-1125.89915352,11963.3750161,-1516.57,0.723982,0.2,0.996632,0.0134834,1
500.0,100,0.01,-1138.5254345,-1135.91,99.3712158042,100,-1138.5254345,9.44687e-07,0.00769255,82.637,0.00974317,1.00633,1.31748,99.0734115552,8983.29052655,-1138.5254345,8983.29052655,-1529.3,0.781225,0.2,1.01556,0.0129729,1
500.0,100,0.01,-1134.03567809,-1128.73,98.7509870851,100,-1134.03567809,1.59126e-06,0.00562949,95.3176,0.0153982,1.01265,1.16752,98.4490913474,13934.0075964,-1134.03567809,13934.0075964,-1511.46,0.553774,0.2,0.983702,0.0118687,1
500.0,100,0.01,-1139.96401273,-1135.59,98.9995842272,100,-1139.96401273,1.18421e-06,0.00690739,80.2579,0.0122735,1.01011,1.38279,98.8412039874,9978.19069206,-1139.96401273,9978.19069206,-1529.31,0.703208,0.2,1.01805,0.0135827,1
500.0,100,0.01,-1126.74575033,-1116.76,97.0249795768,100,-1126.74575033,4.97419e-06,0.00773734,164.34,0.049333,1.03066,2.54141,95.3066640118,14495.8243877,-1126.74575033,14495.8243877,-1514.77,0.770547,0.2,0.995881,0.0255192,1
