MaxVanillaIw,ESSClassic,AvgEpLen,VarVanillaIw,MaxNormIw,J,VarDiscRet,VarJ,VarNormIw,EpsThisIter,AvgVanillaIw,Bound,VarRet,IterType,delta,AvgRet,AvgNormIw,ESSRenyi,MinVanillaIw,MinNormIw,VanillaAvgRet,BatchSize,AvgDiscRet,SamplesThisIter,renyi2
5.29387e+21,4.80357518221,500.0,inf,0.1639,1837.75,32.9913574637,14.7312,7.72162e-06,100,1.78449e+18,6.4066,32.9913574637,1,0.7,-4.06584937193,5.52486e-05,nan,,,-4.06584937193,100,-4.06584937193,50000,nan
6.03243e+09,5.00059013864,500.0,1.00503e+16,0.199596,566.253,33.2126794437,38.1392,1.10027e-05,100,1.66979e+06,-0.305799,33.2126794437,1,0.7,-5.76291305125,5.52486e-05,nan,,,-5.76291305125,100,-5.76291305125,50000,nan
1.89044e+24,4.99999974397,500.0,inf,0.2,969.264,15.7310683235,23.1788,1.10473e-05,100,5.2222e+20,3.38029,15.7310683235,1,0.7,-0.801837341047,5.52486e-05,nan,,,-0.801837341047,100,-0.801837341047,50000,nan
9.38369e+17,4.9936170232,500.0,2.43492e+32,0.190074,nan,50.3074294876,nan,9.99039e-06,100,2.72755e+14,nan,50.3074294876,1,0.7,-3.02967031826,5.52486e-05,nan,,,-3.02967031826,100,-3.02967031826,50000,nan
336.447,0.961928104733,500.0,282.883,0.00334347,186.406,14.0932107916,14.7312,2.79362e-08,100,5.55957,-0.455111,14.0932107916,1,0.7,-3.42195292139,5.52486e-05,nan,1.21155e-18,1.20399e-23,-3.42195292139,100,-3.42195292139,50000,nan
1548.07,1.6989773897,500.0,4209.81,0.00566398,508.813,26.7523541598,44.1661,5.63542e-08,100,15.1004,-0.349904,26.7523541598,1,0.7,-5.92275877887,5.52486e-05,nan,,,-5.92275877887,100,-5.92275877887,50000,nan
7.98547e+20,4.99843695755,500.0,inf,0.196518,5467.32,113.822974459,23.2059,1.06692e-05,100,2.24502e+17,22.044,113.822974459,1,0.7,-2.81026223327,5.52486e-05,nan,,,-2.81026223327,100,-2.81026223327,50000,nan
1.88445e+21,4.96175984445,500.0,inf,0.183277,841.089,30.1718010637,27.8231,9.3481e-06,100,5.68065e+17,-0.272756,30.1718010637,1,0.7,-6.07492007046,5.52486e-05,nan,,,-6.07492007046,100,-6.07492007046,50000,nan
1.98989e+12,2.94379557361,500.0,1.85693e+21,0.108773,4493.16,50.8126302981,30.749,5.5486e-06,100,1.01071e+09,18.0669,50.8126302981,1,0.7,-0.858613586537,5.52486e-05,nan,,,-0.858613586537,100,-0.858613586537,50000,nan
4.1956e+21,3.31706421986,500.0,inf,0.094195,1637.3,48.6174606881,8.32176,3.69172e-06,100,2.46086e+18,4.32671,48.6174606881,1,0.7,-5.57053703875,5.52486e-05,nan,,,-5.57053703875,100,-5.57053703875,50000,nan
1.48319e+23,4.93162637811,500.0,inf,0.17782,1232.48,25.2197287262,5.02183,8.8533e-06,100,4.60828e+19,3.26778,25.2197287262,1,0.7,-4.14935013054,5.52486e-05,nan,,,-4.14935013054,100,-4.14935013054,50000,nan
