MinVanillaIw,IterType,VarRet,VarJ,VarNormIw,AvgVanillaIw,AvgRet,J,VarDiscRet,ESSRenyi,AvgEpLen,renyi2,AvgNormIw,SamplesThisIter,VanillaAvgRet,Bound,MinNormIw,EpsThisIter,MaxVanillaIw,MaxNormIw,delta,AvgDiscRet,ESSClassic,VarVanillaIw,BatchSize
4.60576e-33,1,33.8438840162,67.7199,2.82888e-08,4.05468,-5.5568023567,597.975,33.8438840162,nan,500.0,nan,5.52486e-05,50000,-5.5568023567,-1.10333,6.27576e-38,100,143.225,0.00195157,0.5,-5.5568023567,0.593568087885,152.365,100
4.70242e-15,1,72.2744519383,79.4362,1.10158e-08,1.68936,-4.71499792812,627.328,72.2744519383,nan,500.0,nan,5.52486e-05,50000,-4.71499792812,-2.66515,1.53787e-19,100,34.0807,0.00111457,0.5,-4.71499792812,1.78139963898,10.2996,100
3.63976e-17,1,36.7733921566,116.719,2.22227e-08,2.29151,-4.00514484107,716.639,36.7733921566,nan,500.0,nan,5.52486e-05,50000,-4.00514484107,-0.936493,8.77554e-22,100,87.028,0.00209826,0.5,-4.00514484107,0.586460323547,38.2292,100
1.78407e-15,1,69.218384507,92.8312,1.43722e-08,2.05517,-6.8440370381,450.747,69.218384507,nan,500.0,nan,5.52486e-05,50000,-6.8440370381,-3.68806,4.79608e-20,100,45.9896,0.00123633,0.5,-6.8440370381,1.14540245304,19.8873,100
1.33416e-12,1,129.131004666,125.247,2.14924e-08,2.70249,-6.34347012717,1422.49,129.131004666,nan,500.0,nan,5.52486e-05,50000,-6.34347012717,-0.878783,2.72751e-17,100,54.3944,0.00111202,0.5,-6.34347012717,0.418820754248,51.4245,100
,1,91.8721365317,336.036,3.99434e-08,2.31105,-6.16064668876,1594.56,91.8721365317,nan,500.0,nan,5.52486e-05,50000,-6.16064668876,-1.11067,,100,185.259,0.00442887,0.5,-6.16064668876,0.545968436053,69.8906,100
9.69598e-27,1,41.4925384868,74.4526,1.60422e-07,4.40581,-4.55733792181,931.051,41.4925384868,nan,500.0,nan,5.52486e-05,50000,-4.55733792181,1.23947,1.21587e-31,100,1773.16,0.0222353,0.5,-4.55733792181,5.53874750816,1020.17,100
,1,87.1183805087,108.877,4.34767e-07,336.84,-3.26538654671,3880.25,87.1183805087,nan,500.0,nan,5.52486e-05,50000,-3.26538654671,11.8541,,100,153504.0,0.0251778,0.5,-3.26538654671,0.790564512282,1.61608e+07,100
3.12411e-13,1,87.1047810807,280.386,1.49178e-08,1.25289,-6.19740269906,677.831,87.1047810807,nan,500.0,nan,5.52486e-05,50000,-6.19740269906,-3.50834,1.37763e-17,100,45.8106,0.0020201,0.5,-6.19740269906,0.677721111116,7.6717,100
3.66797e-20,1,36.891556392,103.178,4.71932e-08,3.87031,-3.50278421187,1187.79,36.891556392,nan,500.0,nan,5.52486e-05,50000,-3.50278421187,1.62528,5.23602e-25,100,250.632,0.00357777,0.5,-3.50278421187,0.513787052486,231.594,100
9.36647e-17,1,55.5499714302,143.868,4.23227e-08,3.93316,-4.22170577622,1185.67,55.5499714302,nan,500.0,nan,5.52486e-05,50000,-4.22170577622,1.08022,1.3157e-21,100,372.915,0.0052383,0.5,-4.22170577622,0.566363818713,214.493,100
,1,34.5103940272,96.9742,1.78169e-06,236.779,-3.28604014502,1991.6,34.5103940272,nan,500.0,nan,5.52486e-05,50000,-3.28604014502,3.34098,,100,321126.0,0.0749296,0.5,-3.28604014502,1.59863972936,3.27247e+07,100
,1,64.9729602057,71.6339,9.47213e-06,2.55313e+06,-4.19137780068,3425.61,64.9729602057,nan,500.0,nan,5.52486e-05,50000,-4.19137780068,10.4546,,100,9.03154e+09,0.195439,0.5,-4.19137780068,2.00457152765,2.02279e+16,100
5.01649e-25,1,41.6769617682,59.509,2.15628e-08,2.87756,-4.903641945,593.261,41.6769617682,nan,500.0,nan,5.52486e-05,50000,-4.903641945,-0.514479,9.63156e-30,100,104.145,0.00199957,0.5,-4.903641945,0.661705152002,58.494,100
2.09575e-25,1,35.7981857265,88.5584,1.07752e-06,6.11439,-5.07095582048,983.915,35.7981857265,nan,500.0,nan,5.52486e-05,50000,-5.07095582048,1.22912,1.89369e-30,100,8760.14,0.0791551,0.5,-5.07095582048,2.9321124473,13197.4,100
8.657e-13,1,34.1757088253,195.107,2.02958e-08,1.26634,-4.46612817622,506.911,34.1757088253,nan,500.0,nan,5.52486e-05,50000,-4.46612817622,-2.4866,3.77692e-17,100,46.0633,0.00200967,0.5,-4.46612817622,0.531179499577,10.6627,100
,1,100.874807742,2.47669,7.23342e-06,1.04054e+11,-3.88419281397,6586.23,100.874807742,nan,500.0,nan,5.52486e-05,50000,-3.88419281397,15.4861,,100,3.20566e+14,0.170208,0.5,-3.88419281397,1.99076945415,2.56577e+25,100
7.6564e-38,1,51.710311145,93.6685,3.89836e-08,3.62926,-4.60950354413,1160.51,51.710311145,nan,500.0,nan,5.52486e-05,50000,-4.60950354413,1.09947,1.16588e-42,100,225.995,0.00344034,0.5,-4.60950354413,0.471090036266,168.219,100
,1,65.3906869226,138.979,2.76228e-05,6.14552e+17,-4.38404093541,3270.1,65.3906869226,nan,500.0,nan,5.52486e-05,50000,-4.38404093541,6.93429,,100,5.5617e+21,0.5,0.5,-4.38404093541,1.99999992622,inf,100
8.8896e-17,1,44.4181180891,56.6674,1.55573e-08,2.18452,-5.68892170084,326.747,44.4181180891,nan,500.0,nan,5.52486e-05,50000,-5.68892170084,-2.25636,2.24826e-21,100,46.8494,0.00118487,0.5,-5.68892170084,0.98467294803,24.3222,100
1.00718e-20,1,40.6703740956,166.736,5.79648e-08,3.98007,-4.49850694537,1158.1,40.6703740956,nan,500.0,nan,5.52486e-05,50000,-4.49850694537,1.54633,1.3981e-25,100,355.943,0.00494096,0.5,-4.49850694537,0.675547945247,300.817,100
,1,57.798774348,129.642,1.32153e-05,6236.28,-3.60711391978,3111.4,57.798774348,nan,500.0,nan,5.52486e-05,50000,-3.60711391978,8.21803,,100,3.28385e+07,0.290924,0.5,-3.60711391978,1.41511636063,1.68378e+11,100
9.79495e-25,1,79.2219455615,247.804,1.4756e-07,9.24889,-4.43000207669,2324.33,79.2219455615,nan,500.0,nan,5.52486e-05,50000,-4.43000207669,2.93211,5.85105e-30,100,1781.02,0.010639,0.5,-4.43000207669,0.516497977982,4135.28,100
,1,57.131231293,140.171,1.08966e-05,667.7,-2.86437790989,2391.29,57.131231293,nan,500.0,nan,5.52486e-05,50000,-2.86437790989,5.8526,,100,3.01115e+06,0.249156,0.5,-2.86437790989,4.84886378991,1.59152e+09,100
,1,50.481363436,135.196,1.90742e-08,1.35703,-5.65531573874,465.87,50.481363436,nan,500.0,nan,5.52486e-05,50000,-5.65531573874,-2.6577,,100,43.9455,0.00178915,0.5,-5.65531573874,0.86258602389,11.5076,100
3.52583e-22,1,67.6293537275,177.242,3.68304e-08,2.75115,-3.94818555909,1482.0,67.6293537275,nan,500.0,nan,5.52486e-05,50000,-3.94818555909,1.28743,7.08058e-27,100,234.989,0.00471905,0.5,-3.94818555909,0.634595180051,91.3257,100
,1,84.4296527523,121.281,2.17029e-06,33.828,-4.4209475334,2499.62,84.4296527523,nan,500.0,nan,5.52486e-05,50000,-4.4209475334,4.3677,,100,67552.8,0.110329,0.5,-4.4209475334,2.93661488783,813629.0,100
,1,105.094208833,198.218,1.82185e-05,2.70839e+11,-4.4986539101,4659.66,105.094208833,nan,500.0,nan,5.52486e-05,50000,-4.4986539101,2.43415,,100,1.62534e+15,0.331553,0.5,-4.4986539101,2.99991575662,4.37816e+26,100
1.31919e-36,1,53.412621886,165.376,8.9958e-06,65.3875,-1.64809556167,2286.32,53.412621886,nan,500.0,nan,5.52486e-05,50000,-1.64809556167,6.23988,1.11403e-42,100,272833.0,0.230528,0.5,-1.64809556167,3.57586445394,1.26005e+07,100
,1,47.979120303,152.004,3.14917e-06,13.9373,-1.49131796756,2512.72,47.979120303,nan,500.0,nan,5.52486e-05,50000,-1.49131796756,7.24061,,100,41072.7,0.162815,0.5,-1.49131796756,1.86427426826,200407.0,100
4.33512e-25,1,72.2299895414,935.843,3.17e-07,5.43351,-1.41673671807,4152.91,72.2299895414,nan,500.0,nan,5.52486e-05,50000,-1.41673671807,5.37657,4.40801e-30,100,5454.12,0.0554582,0.5,-1.41673671807,0.605427024041,3066.04,100
,1,73.3324006136,178.235,3.52948e-06,81.2144,-1.70048408467,3436.6,73.3324006136,nan,500.0,nan,5.52486e-05,50000,-1.70048408467,10.444,,100,247110.0,0.168104,0.5,-1.70048408467,1.77684040581,7.62666e+06,100
2.08819e-35,1,102.478868019,217.125,5.06948e-07,12.2525,-0.219450586444,3669.85,102.478868019,nan,500.0,nan,5.52486e-05,50000,-0.219450586444,11.5062,9.41603e-41,100,6514.2,0.0293737,0.5,-0.219450586444,0.379686986555,24932.7,100
,1,90.0742103627,198.132,8.67105e-07,33.9383,-0.393795685472,4113.08,90.0742103627,nan,500.0,nan,5.52486e-05,50000,-0.393795685472,12.3622,,100,25537.9,0.0415735,0.5,-0.393795685472,0.471695334022,327196.0,100
7.19821e-21,1,129.185553617,426.471,6.58204e-08,2.68661,2.05111847251,3873.62,129.185553617,nan,500.0,nan,5.52486e-05,50000,2.05111847251,12.0906,1.48027e-25,100,427.669,0.00879478,0.5,2.05111847251,0.730946420565,155.642,100
,1,120.852308848,277.98,3.82002e-06,229.287,3.3607114078,5880.43,120.852308848,nan,500.0,nan,5.52486e-05,50000,3.3607114078,17.8323,,100,513622.0,0.123762,0.5,3.3607114078,0.886461856622,6.57932e+07,100
4.3109e-23,1,154.593861458,529.806,5.35418e-08,2.89763,4.35760595489,5105.11,154.593861458,nan,500.0,nan,5.52486e-05,50000,4.35760595489,16.1934,8.21953e-28,100,352.076,0.00671297,0.5,4.35760595489,0.711242833293,147.277,100
