InitialBound,StdIWNorm,InitialReturnMax,InitialReturnStd,EpRewMean,ReturnMeanIW,InitialReturnMean,EpisodesSoFar,TimeElapsed,MeanIW,MaxIWNorm,ESSRenyi,Weights,ReturnStepMax,EpLenMean,EmpiricalD2,OptimizationReturnMax,ESSClassic,Iteration,MinIW,OptimizationReturnMean,InitialReturnMin,LearnableVariance,TimestepsSoFar,MinIWNorm,MaxIW,OptimizationReturnMin,J_sample_variance,ReturnStepMaxmin,MeanEntropy,VarianceInit,MeanIWNorm,StdIW,EpThisIter,Bound
-430.02573,0.007130121,-415.17178,0.313637,-416.1387383913994,-387.93985,-416.13876,100,11.304886817932129,0.931912,0.04493143,47.455227,[ 0. -0.],0.84220344,500.0,2.1072495,1.4391174,63.07605,1,0.012553375,0.472164,-416.6109,,50000,0.00012553376,4.493143,,152256.53,0.84220344,0.4189424,-1.0,0.009319119,0.71301216,100,-408.0988
-430.1438,0.0078384625,-415.5587,0.18650089,-416.2555872564018,-373.1232,-416.25558,200,23.641759395599365,0.8961868,0.038875904,41.254364,[ 0.18  -0.072],0.84198385,500.0,2.423986,1.0886841,56.657036,2,0.016904565,0.39178252,-416.64737,,100000,0.00016904564,3.8875904,,140831.36,0.84198385,0.4189424,-1.0,0.0089618685,0.7838462,100,-394.74603
-430.26016,0.013111799,-416.03912,0.11383821,-416.37311689034107,-199.71939,-416.37314,300,37.007768869400024,0.4797772,0.12716375,2.8290794,[-0.098 -0.143],0.8419967,500.0,35.347187,0.5725403,11.808177,3,0.015568396,0.23854828,-416.61166,,150000,0.00015568396,12.716375,,40356.312,0.8419967,0.4189424,-1.0,0.004797771,1.3111799,100,-282.2828
-429.81952,0.007620706,-414.19205,0.41118023,-415.937883720845,-301.89102,-415.93787,400,51.71475338935852,0.72535795,0.03705701,9.479667,[-0.033  0.067],0.84199,500.0,10.548894,2.25708,47.533302,4,0.0001951585,0.5112439,-416.44913,,200000,1.9515849e-06,3.7057009,,92170.86,0.84199,0.4189424,-1.0,0.0072535793,0.76207066,100,-346.97726
-430.08624,0.008381555,-415.17572,0.2459339,-416.20106913343074,-314.65945,-416.20108,500,69.38897466659546,0.75577855,0.03871364,12.64831,[ 0.035 -0.044],0.84207225,500.0,7.9061947,1.3800659,44.845615,5,0.0032484788,0.35471833,-416.5558,,250000,3.2484786e-05,3.871364,,100115.29,0.84207225,0.4189424,-1.0,0.007557785,0.83815557,100,-353.70178
-430.25552,0.007057923,-416.07523,0.118410274,-416.36901958093046,-179.54407,-416.36902,600,90.04481148719788,0.4312213,0.053190015,3.1139512,[-0.098 -0.168],0.8418839,500.0,32.11354,0.520813,27.18218,6,0.005919746,0.22701935,-416.59604,,300000,5.919746e-05,5.3190017,,32598.385,0.8418839,0.4189424,-1.0,0.004312213,0.7057923,100,-258.23743
-430.04688,0.0036710317,-414.2082,0.35244176,-416.1604211509228,-409.63367,-416.16043,700,113.09039640426636,0.9840877,0.019488743,84.926414,[-0.678  0.02 ],0.84209496,500.0,1.17749,2.386444,87.78411,7,0.060077295,0.43421966,-416.59464,,350000,0.0006007729,1.9488742,,169769.58,0.84209496,0.4189424,-1.0,0.009840877,0.3671032,100,-424.7022
-430.1948,0.0056321695,-415.34253,0.19025199,-416.308057153672,-186.54166,-416.308,800,136.864812374115,0.44820255,0.034750804,4.5624795,[-0.691 -0.017],0.8420021,500.0,21.917908,1.2589722,38.77359,8,0.018341014,0.29344207,-416.6015,,400000,0.00018341014,3.4750805,,35217.355,0.8420021,0.4189424,-1.0,0.0044820253,0.563217,100,-251.5545
-429.37253,0.008723208,-413.09836,0.8137019,-415.4898195961118,-288.26727,-415.4898,900,165.8573226928711,0.69352853,0.05199491,6.7628226,[-0.597  0.139],0.8421279,500.0,14.786725,3.382721,38.728718,9,0.011657221,0.991261,-416.48108,,450000,0.00011657221,5.199491,,84273.45,0.8421279,0.4189424,-1.0,0.0069352854,0.87232083,100,-341.65112
-429.70627,0.0030491236,-414.27487,0.539733,-415.8224923188984,-129.48312,-415.82245,1000,200.89944100379944,0.31155574,0.01963125,4.054502,[-1.005  0.141],0.84224385,500.0,24.663942,2.2391968,51.077534,10,0.03113545,0.69157624,-416.51407,,500000,0.0003113545,1.9631251,,17009.914,0.84224385,0.4189424,-1.0,0.0031155574,0.30491233,100,-198.43399
-426.4513,0.006115202,-405.98776,2.7709172,-412.5684927161038,-401.01505,-412.5685,1100,243.81019186973572,0.9730296,0.036499854,76.38085,[-1.02  0.25],0.8435216,500.0,1.3092287,10.497772,71.685875,11,0.288974,3.9170444,-416.48553,,550000,0.0028897398,3.6499853,,165912.81,0.8435216,0.4189424,-1.0,0.009730296,0.6115202,100,-416.90002
-425.58865,0.007637401,-404.1896,3.0006528,-411.7081431518495,-356.8399,-411.70816,1200,295.0169036388397,0.8630875,0.048682965,29.400486,[-1.097  0.262],0.8435649,500.0,3.4013042,12.22644,56.08413,12,0.02104952,4.7079015,-416.41605,,600000,0.0002104952,4.8682966,,130481.61,0.8435649,0.4189424,-1.0,0.008630875,0.7637401,100,-382.43927
-428.06512,0.0048809806,-407.93506,2.050104,-414.180886862129,-179.78563,-414.18085,1300,345.2569377422333,0.43541652,0.03256525,3.723045,[-1.016  0.229],0.8425159,500.0,26.859734,8.592651,44.31404,13,0.039910737,2.3468184,-416.5277,,650000,0.00039910738,3.256525,,33238.246,0.8425159,0.4189424,-1.0,0.0043541654,0.48809806,100,-251.7427
-424.02878,0.013355492,-401.50256,3.9367054,-410.15126253843306,-244.17009,-410.15125,1400,414.67401099205017,0.5999196,0.101992354,3.1357496,[-1.053  0.295],0.84387404,500.0,31.890303,14.823517,16.789717,14,0.02554742,6.174818,-416.32608,,700000,0.0002554742,10.199236,,63347.555,0.84387404,0.4189424,-1.0,0.0059991954,1.3355491,100,-322.5386
-419.76874,0.0011612357,-390.88882,4.8854218,-405.89764215439556,-403.93484,-405.89764,1500,491.2660300731659,0.9951262,0.013236206,98.303185,[-1.087  0.346],0.8475314,500.0,1.017261,25.243713,98.656586,15,0.73500925,10.2348995,-416.13254,,750000,0.0073500923,1.3236207,,173241.1,0.8475314,0.4189424,-1.0,0.009951261,0.11612359,100,-417.92514
-419.1023,0.013594019,-395.1856,4.786799,-405.220914427191,-273.32672,-405.22095,1600,565.661260843277,0.6764065,0.098215885,6.67893,[-1.071  0.345],0.8506541,500.0,14.972459,21.255676,19.844975,16,0.018358825,11.22037,-416.44128,,800000,0.00018358824,9.8215885,,80408.92,0.8506541,0.4189424,-1.0,0.006764065,1.3594018,100,-327.03967
