Weights,EpisodesSoFar,ReturnStepMaxmin,EpRewMean,TimeElapsed,ESSRenyi,Bound,InitialReturnStd,EpLenMean,OptimizationReturnMean,LearnableVariance,TimestepsSoFar,J_sample_variance,StdIWNorm,InitialReturnMin,MeanEntropy,InitialBound,VarianceInit,MeanIWNorm,MeanIW,MaxIWNorm,InitialReturnMax,EmpiricalD2,Iteration,OptimizationReturnMin,EpThisIter,ReturnMeanIW,StdIW,ReturnStepMax,InitialReturnMean,OptimizationReturnMax,ESSClassic,MinIW,MaxIW,MinIWNorm
[-0.305  0.282],1600,0.84354156,-410.68854120373726,1178.018098115921,3.1404696,-279.4984,3.1739028,500.0,5.6773667,,800000,42401.645,0.007953394,-416.3659,0.4189424,-424.5674,-1.0,0.004917142,0.4917142,0.0551478,-404.02676,31.842373,16,,100,-201.18132,0.7953394,0.84354156,-410.6885,12.339142,27.65294,0.023614008,5.51478,0.00023614007
[-0.305  0.336],1700,0.85052997,-406.15566561743617,1255.1584167480469,13.990969,-397.68082,5.4776525,500.0,10.179543,,850000,135787.75,0.008928768,-416.3352,0.4189424,-420.0335,-1.0,0.0088047385,0.88047385,0.03948541,-394.67993,7.147468,17,,100,-360.57877,0.89287686,0.85052997,-406.15564,21.655273,49.30062,0.0032258895,3.9485412,3.2258893e-05
[-0.276  0.302],1800,0.84361863,-409.7187227255106,1318.6559839248657,3.3619232,-276.51636,4.125373,500.0,6.7132215,,900000,42547.746,0.00693885,-416.43195,0.4189424,-423.5998,-1.0,0.0049236747,0.4923675,0.045979243,-401.48773,29.744879,18,,100,-200.81061,0.693885,0.84361863,-409.71875,14.944214,33.488743,0.004779221,4.597924,4.7792208e-05
[-0.299  0.353],1900,0.84531844,-404.6520423665643,1387.0191552639008,12.858729,-269.96326,5.722671,500.0,11.799619,,950000,57915.01,0.007818738,-416.45166,0.4189424,-418.53372,-1.0,0.005739432,0.5739432,0.050919235,-394.22318,7.7768183,19,,100,-231.25137,0.7818738,0.84531844,-404.65198,22.228485,35.016235,0.020543018,5.0919237,0.00020543017
[-0.411  0.378],2000,0.84977406,-400.2748694589734,1462.674367904663,20.117743,-358.9309,6.1290326,500.0,15.9675045,,1000000,116674.44,0.012617586,-416.24237,0.4189424,-414.1496,-1.0,0.008149637,0.81496376,0.0917369,-388.87296,4.9707365,20,,100,-327.99695,1.2617588,0.84977406,-400.27484,27.369415,29.437359,0.017312873,9.17369,0.00017312873
[-0.295  0.368],2100,0.8495472,-400.3783770425618,1534.8225269317627,8.737923,-379.6991,4.9399557,500.0,15.262163,,1050000,118527.72,0.011971501,-415.64053,0.4189424,-414.23303,-1.0,0.008235849,0.82358503,0.067969985,-389.10443,11.444367,21,,100,-332.82935,1.1971501,0.8495472,-400.37836,26.536102,32.124325,0.0033160704,6.7969985,3.3160704e-05
[-0.281  0.335],2200,0.8495767,-406.1897943545878,1591.1158175468445,4.13032,-322.77048,4.9729524,500.0,10.319877,,1100000,70486.89,0.01660474,-416.50967,0.4189424,-420.07346,-1.0,0.0063040857,0.63040864,0.15642881,-396.74924,24.211199,22,,100,-254.45612,1.6604737,0.8495767,-406.18976,19.760437,12.598002,0.014906188,15.642881,0.00014906187
[-0.409  0.371],2300,0.84955996,-400.9272677870095,1657.0052123069763,5.447846,-313.53256,5.809085,500.0,15.17109,,1150000,70010.375,0.009610991,-416.09836,0.4189424,-414.79718,-1.0,0.0063166763,0.6316676,0.066024855,-387.8336,18.355879,23,,100,-254.10849,0.96109915,0.84955996,-400.92728,28.26477,30.165518,0.0037589583,6.6024857,3.7589583e-05
[-0.566  0.368],2400,0.85068613,-401.59121029287576,1727.7654893398285,8.661465,-360.29358,5.4377933,500.0,14.380503,,1200000,107490.68,0.015452338,-415.9717,0.4189424,-415.45694,-1.0,0.0078103887,0.781039,0.10159054,-391.4475,11.545392,24,,100,-313.1799,1.545234,0.85068613,-401.59122,24.5242,20.349192,0.0038337607,10.159054,3.8337606e-05
[-0.438  0.382],2500,0.8503508,-399.7752734334767,1816.9875373840332,90.016266,-401.30826,6.4658823,500.0,16.384577,,1250000,163519.84,0.0030162795,-416.15985,0.4189424,-413.64728,-1.0,0.009666242,0.96662414,0.020585204,-386.03986,1.1109103,25,,100,-386.68723,0.30162796,0.8503508,-399.77527,30.119995,91.126915,0.38212934,2.0585203,0.0038212934
