MeanIWNorm,EpLenMean,StdIW,InitialReturnMin,OptimizationReturnMax,StdIWNorm,EpThisIter,InitialBound,Weights,InitialReturnMax,ReturnStepMax,EpisodesSoFar,J_sample_variance,EpRewMean,MinIWNorm,MeanEntropy,ESSClassic,ReturnStepMaxmin,MeanIW,VarianceInit,MinIW,LearnableVariance,TimestepsSoFar,Iteration,ReturnMeanIW,MaxIWNorm,ESSRenyi,MaxIW,InitialReturnMean,OptimizationReturnMin,EmpiricalD2,Bound,InitialReturnStd,TimeElapsed,OptimizationReturnMean
0.0035744067,500.0,0.33739826,-416.64145,1.3550415,0.0033739822,100,-430.1255,[-0. -0.],-415.2864,0.8420697,100,22402.63,-416.23742107138037,0.0001988932,0.4189424,52.882076,0.8420697,0.35744068,-1.0,0.019889321,,50000,1,-148.74509,0.017442562,3.8844674,1.7442563,-416.23746,,25.743555,-219.21042,0.21837978,14.426173686981201,0.40402344
0.009220372,500.0,0.80144536,-416.59866,4.214081,0.008014454,100,-429.13968,[0.086 0.158],-412.38458,0.84196836,200,149038.44,-415.25303164049984,5.0217743e-05,0.4189424,56.96291,0.84196836,0.9220373,-1.0,0.005021774,,100000,2,-383.34723,0.040492285,25.366934,4.0492287,-415.25302,,3.9421399,-410.91888,0.9455614,29.427422523498535,1.3456327
0.0050198804,500.0,1.0090146,-416.517,2.5951843,0.010090144,100,-429.83136,[0.014 0.095],-413.9218,0.8418485,300,44163.62,-415.94747240275143,0.00035464545,0.4189424,19.84029,0.8418485,0.50198805,-1.0,0.035464548,,150000,3,-208.50261,0.07050902,4.2877355,7.050902,-415.9475,,23.322334,-275.55243,0.44696644,47.3070113658905,0.56952757
0.0053744926,500.0,0.69483924,-416.52475,8.352417,0.006948393,100,-427.9414,[-0.013  0.218],-408.17233,0.8430276,400,50635.883,-414.05727709144355,0.00049760885,0.4189424,37.432835,0.8430276,0.53744924,-1.0,0.04976089,,200000,4,-221.93993,0.042212687,3.7895386,4.2212687,-414.0573,,26.388437,-293.2624,2.043583,70.3529109954834,2.4674752
0.008936332,500.0,0.82737124,-416.31558,18.904114,0.008273711,100,-424.11566,[0.036 0.286],-397.41147,0.84337485,500,139819.89,-410.23847733840347,1.3796668e-05,0.4189424,53.844494,0.84337485,0.89363325,-1.0,0.0013796668,,250000,5,-368.53754,0.041967202,21.196062,4.19672,-410.23846,,4.7178574,-398.67966,3.660374,94.2383143901825,6.0771046
0.008160241,500.0,2.2522933,-416.36844,10.382599,0.022522934,100,-426.7124,[0.036 0.249],-405.98584,0.843295,600,116940.32,-412.833480091244,0.00036303498,0.4189424,11.603552,0.843295,0.8160242,-1.0,0.036303498,,300000,6,-334.71265,0.18285614,4.6409087,18.285614,-412.83344,,21.547504,-399.13773,2.534176,116.3617992401123,3.5349581
0.009826841,500.0,0.43779308,-416.4597,17.810028,0.0043779304,100,-422.57275,[0.035 0.309],-398.64966,0.8442212,700,169219.62,-408.69076711922884,0.002728451,0.4189424,83.43924,0.8442212,0.9826842,-1.0,0.27284512,,350000,7,-401.8183,0.03364138,84.33421,3.364138,-408.6908,,1.1857584,-416.93475,4.513225,147.48629760742188,7.768917
0.0072656744,500.0,1.951271,-416.42343,17.814423,0.019512711,100,-422.37903,[-0.016  0.306],-398.609,0.8439297,800,93125.41,-408.4982818262279,0.00018374412,0.4189424,12.176621,0.8439297,0.72656745,-1.0,0.018374413,,400000,8,-294.7492,0.17768675,5.967376,17.768675,-408.49823,,16.757784,-351.57196,4.404857,181.25500965118408,7.925147
0.008154135,500.0,1.0104657,-416.3157,21.413422,0.010104657,100,-419.17517,[0.111 0.337],-394.90228,0.85077024,900,116469.445,-405.29800375699995,6.0453976e-06,0.4189424,39.4379,0.85077024,0.81541365,-1.0,0.00060453976,,450000,9,-333.32144,0.05372807,11.51477,5.372807,-405.298,,8.684499,-374.2168,5.270946,223.12629461288452,11.0177
0.0074367435,500.0,0.7314051,-416.08493,17.95462,0.0073140515,100,-422.13898,[0.046 0.306],-398.1303,0.84450686,1000,96728.625,-408.2694477120042,0.00013790606,0.4189424,50.8317,0.84450686,0.7436742,-1.0,0.013790606,,500000,10,-306.04086,0.030420905,16.14099,3.0420907,-408.26944,,6.195407,-340.56284,4.5639544,273.84886050224304,7.815486
