MaxIW,Bound,OptimizationReturnMean,EpRewMean,EpisodesSoFar,InitialReturnMean,MeanEntropy,TimeElapsed,EpLenMean,OptimizationReturnMax,InitialReturnMax,EpThisIter,ReturnMeanIW,VarianceInit,TimestepsSoFar,MinIW,InitialReturnMin,InitialBound,MeanIW,J_sample_variance,StdIWNorm,EmpiricalD2,MeanIWNorm,ReturnStepMaxmin,ESSClassic,ReturnStepMax,StdIW,Iteration,LearnableVariance,MaxIWNorm,InitialReturnStd,MinIWNorm,ESSRenyi,Weights,OptimizationReturnMin
6.37206,-335.31912,0.40162048,-416.22822964921596,100,-416.22824,0.4189424,68.72504329681396,500.0,1.4987183,-415.13113,100,-262.14972,-1.0,50000,0.028962143,-416.62985,-430.11588,0.6302097,69637.31,0.010746227,27.758812,0.0063020964,0.8419534,25.59084,0.8419534,1.0746226,1,,0.0637206,0.25235882,0.0002896214,3.6024597,[ 0. -0.],
2.9601855,-413.84363,1.29285,-415.21508491769436,200,-415.2151,0.4189424,133.36058712005615,500.0,5.4484253,-411.0595,100,-398.6931,-1.0,100000,0.15791748,-416.50793,-429.09866,0.95981073,161430.66,0.004451251,1.1908339,0.009598107,0.84196573,82.29934,0.84196573,0.44512516,2,,0.029601855,1.0910608,0.0015791748,83.97476,[0.005 0.157],
6.085299,-314.93307,1.0843167,-415.37836392998696,300,-415.37836,0.4189424,205.23939275741577,500.0,4.313385,-412.1493,100,-242.48582,-1.0,150000,0.08201872,-416.46268,-429.2604,0.5846802,59896.684,0.009284998,27.235424,0.005846802,0.8422131,28.39381,0.8422131,0.9284999,3,,0.06085299,0.9173547,0.00082018715,3.6716888,[0.111 0.145],
2.8424344,-408.8505,3.4143114,-413.06215756222605,400,-413.06213,0.4189424,274.7453017234802,500.0,11.437958,-405.0385,100,-391.0779,-1.0,200000,0.018786151,-416.47647,-426.94473,0.94431615,156238.05,0.005625086,1.6389409,0.009443161,0.84326637,73.809845,0.84326637,0.5625086,4,,0.028424343,2.5496397,0.0001878615,61.01501,[-0.062  0.236],
6.8880997,-284.0171,2.393569,-414.19920436069367,500,-414.1992,0.4189424,343.0452983379364,500.0,8.108826,-408.48395,100,-212.42882,-1.0,250000,0.06859044,-416.59277,-428.0856,0.5143513,46400.07,0.008025782,26.576805,0.0051435125,0.8431355,29.11417,0.8431355,0.8025783,5,,0.068881,1.9374002,0.0006859044,3.7626796,[0.011 0.211],
2.2080905,-422.27094,5.5430555,-410.84375587686895,600,-410.84375,0.4189424,414.25287318229675,500.0,16.046875,-400.33994,100,-408.10565,-1.0,300000,0.6209159,-416.3868,-424.7233,0.9946052,173275.4,0.0022645858,1.041594,0.009946052,0.8435008,95.07136,0.8435008,0.22645856,6,,0.022080906,3.7376173,0.006209159,96.0067,[0.061 0.28 ],
3.1216953,-400.3476,6.093976,-410.2552074739337,700,-410.2552,0.4189424,483.71290278434753,500.0,13.755493,-402.5937,100,-377.88614,-1.0,350000,0.04409834,-416.34918,-424.13348,0.915977,146918.22,0.0070426213,2.619408,0.00915977,0.8437419,62.847515,0.8437419,0.70426214,7,,0.031216953,4.077957,0.0004409834,38.176567,[0.075 0.286],
2.8720121,-393.445,4.515972,-412.0202199475467,800,-412.0202,0.4189424,549.8416886329651,500.0,11.208862,-405.32733,100,-375.63968,-1.0,400000,0.049224738,-416.5362,-425.9048,0.90926063,144900.5,0.0056452802,1.6445142,0.009092607,0.84370613,72.177505,0.84370613,0.56452805,8,,0.02872012,3.03499,0.00049224735,60.80823,[0.062 0.256],
3.31746,-399.18158,3.330367,-413.0813162177801,900,-413.08133,0.4189424,611.7663464546204,500.0,10.276764,-406.13492,100,-382.60425,-1.0,450000,0.11357344,-416.41168,-426.9617,0.925142,149915.33,0.0055907653,1.4263507,0.009251419,0.8433198,73.249565,0.8433198,0.55907655,9,,0.0331746,2.4990213,0.0011357344,70.108986,[0.145 0.236],
5.891011,-304.21136,2.85049,-413.62253132030366,1000,-413.6225,0.4189424,678.9706237316132,500.0,8.670044,-407.80298,100,-226.70575,-1.0,500000,0.043199863,-416.47302,-427.50497,0.5499231,53012.305,0.008354379,31.16987,0.005499231,0.8435297,30.230297,0.8435297,0.83543795,10,,0.058910113,2.3827481,0.00043199863,3.2082264,[0.252 0.229],
