InitialBound,EpThisIter,InitialReturnMin,OptimizationReturnMean,OptimizationReturnMax,MinIW,Bound,MeanEntropy,Weights,MaxIW,LearnableVariance,MeanIWNorm,InitialReturnMean,StdIW,MinIWNorm,StdIWNorm,ESSRenyi,TimeElapsed,OptimizationReturnMin,Iteration,InitialReturnStd,InitialReturnMax,EpisodesSoFar,VarianceInit,EpLenMean,ReturnStepMax,MeanIW,EpRewMean,ESSClassic,TimestepsSoFar,EmpiricalD2,ReturnStepMaxmin,MaxIWNorm,ReturnMeanIW,J_sample_variance
-430.0825,100,-416.53256,0.3344751,1.3150635,0.028082592,-265.8299,0.4189424,[0. 0.],5.873433,,0.0047113965,-416.1981,0.7202407,0.00028082592,0.0072024073,3.954587,34.20534420013428,,1,0.22697446,-415.2175,100,-1.0,500.0,0.8419703,0.47113973,-416.1980854316056,29.967169,50000,25.28709,0.8419703,0.05873433,-196.01035,38901.438
-429.1617,100,-416.5719,1.2959106,7.101532,0.005370192,-394.4771,0.4189424,[0.103 0.149],4.741291,,0.008648113,-415.276,0.850038,5.3701922e-05,0.0085003795,15.609422,70.08520531654358,,2,1.1880574,-409.47037,200,-1.0,500.0,0.8421067,0.8648113,-415.27599057152867,50.861435,100000,6.4063873,0.8421067,0.04741291,-359.33118,131097.3
-429.4465,100,-416.54935,0.98781097,4.4675903,0.012300104,-305.128,0.4189424,[-0.193  0.137],2.7964895,,0.00592258,-415.56155,0.5887098,0.00012300104,0.0058870977,5.509815,120.39749717712402,,3,0.98977983,-412.08176,300,-1.0,500.0,0.84209275,0.592258,-415.56153932258485,50.300446,150000,18.14943,0.84209275,0.027964894,-245.975,61479.984
-428.68567,100,-416.50543,1.7032309,6.815796,0.061429124,-227.72235,0.4189424,[0.104 0.188],1.8377455,,0.0039079306,-414.80222,0.31111684,0.00061429123,0.0031111685,4.4545803,179.72702956199646,,4,1.312834,-409.68964,400,-1.0,500.0,0.84296364,0.39079309,-414.8022015248239,61.206932,200000,22.448803,0.84296364,0.018377455,-161.94202,26763.07
-425.39825,100,-416.41428,4.89646,13.433014,0.032211907,-297.3161,0.4189424,[0.095 0.268],9.665384,,0.005567653,-411.51776,1.2148445,0.00032211907,0.012148445,3.9610708,245.76029443740845,,5,3.199398,-402.98126,500,-1.0,500.0,0.84384805,0.5567653,-411.517816349417,17.358139,250000,25.245699,0.84384805,0.09665384,-227.57352,54485.445
-420.5703,100,-416.2682,9.573498,20.64685,0.013265496,-396.6875,0.4189424,[0.079 0.324],5.8905606,,0.008975324,-406.6947,0.9518404,0.00013265495,0.009518404,22.762236,303.2830572128296,,6,5.1203103,-395.62134,600,-1.0,500.0,0.84909225,0.8975325,-406.6946894066036,47.06597,300000,4.3932414,0.84909225,0.058905605,-367.60416,141061.9
-422.6506,100,-416.20038,7.423092,19.652435,0.023711773,-394.61258,0.4189424,[0.04  0.295],3.5136435,,0.009050816,-408.77725,0.7671061,0.00023711773,0.0076710614,38.696644,369.2600085735321,,7,4.1845617,-396.54794,700,-1.0,500.0,0.8438908,0.9050816,-408.7772858059406,58.195396,350000,2.5842035,0.8438908,0.035136435,-372.31055,143343.0
-425.70505,100,-416.4722,4.6495757,16.488861,0.29362884,-421.99252,0.4189424,[0.049 0.267],1.9590101,,0.009883653,-411.82263,0.27801618,0.0029362882,0.002780162,92.95085,441.15833806991577,,8,3.6928914,-399.98334,800,-1.0,500.0,0.8435372,0.9883654,-411.8226245601475,92.66781,400000,1.0758374,0.8435372,0.0195901,-407.59332,171157.11
-426.42096,100,-416.4929,3.955033,14.603302,0.038902104,-286.70868,0.4189424,[0.086 0.26 ],4.909159,,0.005358142,-412.53784,0.83680147,0.00038902104,0.008368014,4.3380737,516.4655454158783,,9,3.0078762,-401.8896,900,-1.0,500.0,0.84314555,0.5358141,-412.53785623297097,29.077993,450000,23.051706,0.84314555,0.049091592,-220.05289,50382.47
-422.3088,100,-416.40775,7.9791746,18.273132,0.004248409,-291.853,0.4189424,[0.075 0.318],7.453791,,0.00547751,-408.4286,0.92191863,4.248409e-05,0.009219186,4.0554743,584.6342115402222,,10,4.6519766,-398.1346,1000,-1.0,500.0,0.8484128,0.54775095,-408.428568315804,26.090456,500000,24.65803,0.8484128,0.07453791,-222.92801,52681.656
-417.27914,100,-415.52994,12.1018095,23.738098,0.015085947,-283.49335,0.4189424,[-0.02   0.362],6.027465,,0.005125254,-403.42813,1.017068,0.00015085946,0.01017068,3.0821245,658.196811914444,,11,5.9990053,-391.79184,1100,-1.0,500.0,0.8496523,0.5125254,-403.4281275454164,20.251352,550000,32.445152,0.8496523,0.060274646,-204.59718,46233.703
-411.2797,100,-415.37015,17.936148,31.933624,0.0018899869,-288.5141,0.4189424,[-0.074  0.403],3.7446043,,0.004904839,-397.434,0.7560373,1.889987e-05,0.007560373,2.1395466,723.8658406734467,,12,6.494766,-383.43652,1200,-1.0,500.0,0.8521162,0.49048397,-397.4340068483353,29.621323,600000,46.738873,0.8521162,0.037446044,-193.85701,42218.395
-402.43237,100,-414.88425,26.281286,61.415802,0.002259682,-251.67307,0.4189424,[-0.093  0.441],4.211329,,0.004623546,-388.60297,0.7298567,2.259682e-05,0.0072985673,3.5694616,796.2514810562134,,13,9.327571,-353.46844,1300,-1.0,499.93,0.851805,0.46235454,-388.6029608723521,28.637968,649993,28.01543,0.851805,0.04211329,-178.4742,37776.33
-387.9224,100,-411.93066,37.73928,160.40881,0.016918935,-328.43762,0.4189424,[-0.087  0.472],15.967189,,0.0081862025,-374.19138,1.7145586,0.00016918934,0.017145587,12.762185,862.6004059314728,,14,25.246084,-251.52185,1400,-1.0,494.14,0.8626393,0.8186202,-374.19138278052213,18.564177,699407,7.835649,0.8626393,0.15967189,-290.00143,179982.7
-381.78818,100,-410.26147,42.14868,226.42763,0.030721936,-362.76773,0.4189424,[-0.171  0.483],8.92068,,0.009084618,-368.11282,1.0738113,0.00030721936,0.010738113,44.848236,932.6885619163513,,15,31.641092,-183.83385,1500,-1.0,491.29,0.8582485,0.90846175,-368.11278742179275,41.716225,748536,2.229742,0.8582485,0.0892068,-342.3472,141326.56
-391.55215,100,-410.2108,32.33233,150.19205,0.009392656,-338.15817,0.4189424,[-0.16   0.469],7.207779,,0.007656116,-377.87845,1.1706321,9.392656e-05,0.011706321,11.278954,997.2050476074219,,16,18.681559,-260.01874,1600,-1.0,497.84,0.8575851,0.7656116,-377.8784582930803,29.959057,798320,8.866071,0.8575851,0.07207779,-297.44345,100241.18
-399.98163,100,-413.77768,27.588667,123.878815,0.005829308,-297.74347,0.4189424,[-0.187  0.448],6.9573812,,0.0064501977,-386.18903,0.9568486,5.829308e-05,0.009568485,8.990255,1069.860553264618,,17,14.068052,-289.89886,1700,-1.0,498.83,0.8572273,0.64501977,-386.1890125049651,31.244171,848203,11.123155,0.8572273,0.06957381,-251.74327,72478.88
