Iteration,MeanEntropy,OptimizationReturnMean,ReturnMeanIW,TimestepsSoFar,ReturnStepMaxmin,InitialReturnMean,EpLenMean,Bound,MeanIW,StdIW,MeanIWNorm,EpThisIter,LearnableVariance,InitialBound,StdIWNorm,EmpiricalD2,MaxIW,TimeElapsed,MinIW,ESSRenyi,InitialReturnMax,ReturnStepMax,OptimizationReturnMin,MaxIWNorm,J_sample_variance,ESSClassic,EpRewMean,VarianceInit,MinIWNorm,Weights,EpisodesSoFar,OptimizationReturnMax,InitialReturnMin,InitialReturnStd
16,0.4189424,24.471445,-272.18512,800000,0.8571383,-388.4215,500.0,-345.39813,0.71605486,1.5747,0.007160548,100,,-402.18466,0.015747001,28.297234,12.545149,745.5773017406464,0.00887404,3.5339143,-364.2485,0.8571383,,0.12545149,93039.61,17.13447,-388.42156235560776,-1.0,8.87404e-05,[-0.302  0.446],1600,48.6445,-412.893,8.7995405
17,0.4189424,32.026726,-182.7637,849745,0.8578075,-379.1604,497.45,-254.70988,0.49175584,0.9387326,0.0049175583,100,,-392.86667,0.0093873255,27.553638,7.3402214,804.471962928772,0.004459391,3.6292849,-301.86847,0.8578075,,0.07340221,44135.793,21.532911,-379.16043141692876,-1.0,4.4593908e-05,[-0.313  0.477],1700,109.318695,-411.18716,17.273407
18,0.4189424,53.325523,-130.49237,897006,0.85968125,-348.36597,472.61,-192.57414,0.387461,0.48990765,0.0038746104,100,,-361.7557,0.004899076,21.497377,2.8317852,871.5334420204163,0.004092329,4.65173,-225.69731,0.85968125,,0.028317852,27368.477,38.48048,-348.3659759916365,-1.0,4.0923293e-05,[-0.239  0.497],1800,175.99419,-401.6915,43.710278
19,0.4189424,51.41629,-204.94296,944406,0.86324286,-348.1752,474.0,-266.6722,0.620308,1.1761636,0.006203079,100,,-361.49487,0.011761636,21.477913,6.263968,947.3460981845856,0.00485599,4.655946,-201.51869,0.86324286,,0.062639676,77180.766,21.761932,-348.1752010716498,-1.0,4.8559898e-05,[-0.34   0.504],1900,198.0728,-399.5915,42.69109
20,0.4189424,97.09574,-316.72995,988188,0.86140877,-319.22156,437.82,-331.05392,0.9958913,0.27697936,0.009958912,100,,-333.09882,0.0027697936,1.0654178,1.8874066,1014.9167830944061,0.4066574,93.85989,-166.82214,0.86140877,,0.018874066,178956.19,92.82019,-319.22155750617384,-1.0,0.004066574,[-0.404  0.526],2000,249.49515,-416.3173,63.189342
21,0.4189424,73.03283,-208.1557,1031672,0.8626044,-314.11835,434.84,-264.98825,0.74226904,1.1225328,0.00742269,100,,-327.02338,0.011225327,19.394365,6.2823777,1083.5978496074677,0.004719725,5.156137,-178.95245,0.8626044,,0.06282377,112130.766,30.42243,-314.1183507348597,-1.0,4.719725e-05,[-0.419  0.527],2100,208.19873,-387.15118,54.03711
22,0.4189424,110.715645,-264.92682,1069886,0.8630576,-275.5564,382.14,-280.8323,1.0211406,0.70273787,0.010211405,100,,-288.43213,0.0070273783,1.5259812,4.023144,1144.1094207763672,0.1331134,65.53161,-166.86417,0.8630576,,0.040231436,172942.12,67.86082,-275.556397960037,-1.0,0.001331134,[-0.418  0.552],2200,219.40787,-386.27203,57.665382
23,0.4189424,140.42587,-174.92941,1105193,0.8644771,-253.77667,353.07,-219.28096,0.62429404,1.1323739,0.00624294,100,,-266.91675,0.011323739,11.392559,8.564649,1196.3154602050781,0.00417287,8.777659,-137.18901,0.8644771,,0.08564649,75718.3,23.3098,-253.7766698691249,-1.0,4.1728697e-05,[-0.411  0.562],2300,257.01355,-394.20255,59.487133
24,0.4189424,113.60574,-211.42502,1147212,0.86333126,-302.57443,420.19,-262.3176,0.8079008,1.1749272,0.008079008,100,,-316.44708,0.011749272,13.458256,6.59975,1257.2543587684631,0.0029025006,7.430383,-181.53308,0.86333126,,0.065997496,170493.92,32.102955,-302.5744328008592,-1.0,2.9025005e-05,[-0.401  0.537],2400,234.6471,-416.18018,56.38628
25,0.4189424,148.55551,-188.69785,1182446,0.8648226,-252.83858,352.34,-228.74867,0.8255075,1.2850444,0.008255076,100,,-266.21835,0.012850445,8.96032,7.700337,1309.4259388446808,0.0068780724,11.1603155,-114.61515,0.8648226,,0.07700337,165076.47,29.21219,-252.83856695502996,-1.0,6.8780726e-05,[-0.413  0.561],2500,286.77893,-401.39407,60.191982
26,0.4189424,143.36488,-116.36105,1213943,0.8606043,-226.1448,314.97,-159.54831,0.49813566,0.84599364,0.0049813567,100,,-238.4618,0.008459936,12.294253,7.0561748,1359.3467123508453,0.004826644,8.133882,-115.04657,0.8606043,,0.070561744,49598.453,25.74473,-226.14481627181172,-1.0,4.826644e-05,[-0.411  0.585],2600,254.46313,-369.5097,55.60366
27,0.4189424,133.89948,-175.57391,1248360,0.85979307,-246.4756,344.17,-215.24522,0.81555367,1.3026272,0.008155537,100,,-259.1548,0.013026272,9.789743,7.5726967,1408.3371868133545,0.0052280147,10.214772,-137.09335,0.85979307,,0.07572696,170845.4,28.159925,-246.47561171919108,-1.0,5.2280146e-05,[-0.333  0.565],2700,243.28174,-380.3751,57.17632
28,0.4189424,166.2676,-135.2254,1279540,0.86206585,-224.75774,311.8,-181.60596,0.6749282,0.8800327,0.0067492817,100,,-237.79189,0.008800327,12.662073,5.5382805,1450.6812238693237,0.0021106568,7.8976007,-123.70615,0.86206585,,0.055382803,105265.07,37.03524,-224.75771413236856,-1.0,2.1106567e-05,[-0.316  0.589],2800,267.31915,-391.0253,55.359467
29,0.4189424,196.76073,-112.44543,1306658,0.86125326,-195.62872,271.18,-159.38844,0.54286283,0.84968364,0.005428629,100,,-208.70839,0.008496837,12.881007,5.19451,1485.7871096134186,0.008298336,7.763368,-102.44176,0.86125326,,0.051945098,71413.27,28.987015,-195.62874049395322,-1.0,8.298335e-05,[-0.314  0.616],2900,289.9477,-392.38947,51.72445
30,0.4189424,181.4925,-166.63641,1337324,0.86034685,-222.31187,306.66,-213.71245,0.72155,1.099689,0.0072155003,100,,-235.77203,0.01099689,12.232079,6.664001,1532.0259556770325,0.0071030143,8.175225,-135.78085,0.86034685,,0.06664001,129719.89,30.095333,-222.31189164832233,-1.0,7.103014e-05,[-0.318  0.587],3000,268.02353,-403.80438,57.33847
31,0.4189424,133.4482,-137.41197,1370561,0.8642663,-238.28348,332.37,-186.46458,0.56251794,0.8893693,0.005625179,100,,-250.67453,0.008893693,15.671388,5.7166204,1572.2947118282318,0.006404536,6.381056,-135.53146,0.8642663,,0.057166204,62226.19,28.573708,-238.28349471479655,-1.0,6.404536e-05,[-0.245  0.563],3100,236.20023,-371.7317,53.624954
32,0.4189424,122.47307,-165.11711,1408282,0.85899186,-271.54776,377.21,-213.32932,0.5632138,0.87146336,0.005632138,100,,-284.68182,0.008714633,13.474667,5.322381,1623.4554514884949,0.0011233302,7.421334,-137.26236,0.85899186,,0.053223807,56678.72,29.462446,-271.54777288600803,-1.0,1.1233302e-05,[-0.333  0.551],3200,256.75848,-394.02084,60.482647
33,0.4189424,122.47938,-181.61969,1448727,0.8594993,-292.06058,404.45,-234.78171,0.5777456,0.9508172,0.0057774563,100,,-305.87854,0.009508172,14.801732,5.4119387,1679.8469710350037,0.0015612153,6.755966,-179.62076,0.8594993,,0.054119386,64930.117,26.965448,-292.06054790854455,-1.0,1.5612151e-05,[-0.41   0.538],3300,234.91916,-414.53992,57.894512
34,0.4189424,77.366,-224.26013,1493881,0.86164916,-328.3871,451.54,-269.78464,0.7236927,1.0780467,0.007236926,100,,-341.91214,0.010780467,11.32946,6.575644,1754.495067358017,0.003585956,8.826546,-159.59789,0.86164916,,0.06575644,104527.38,31.065086,-328.38704698741435,-1.0,3.585956e-05,[-0.337  0.52 ],3400,246.15517,-405.75305,54.508312
35,0.4189424,87.20172,-221.8746,1536101,0.86044705,-306.40305,422.2,-262.76736,0.84663546,1.479989,0.008466353,100,,-319.5232,0.01479989,9.714373,10.012076,1828.0413517951965,0.00118525,10.294025,-152.23419,0.86044705,,0.10012076,186945.7,24.65608,-306.4030410525203,-1.0,1.18524995e-05,[-0.257  0.528],3500,241.37057,-393.60477,61.39644
36,0.4189424,138.51115,-184.23587,1573108,0.85715544,-267.77597,370.07,-231.18825,0.7787975,1.0602441,0.007787975,100,,-281.3189,0.010602442,12.019644,6.0305114,1882.1720848083496,0.00083025347,8.319715,-158.38153,0.85715544,,0.06030511,140304.88,35.04625,-267.7759919077158,-1.0,8.302534e-06,[-0.257  0.551],3600,247.90561,-406.28714,64.43754
37,0.4189424,165.68185,-150.1307,1604725,0.86324394,-227.90692,316.17,-190.69962,0.69835305,1.0939254,0.006983531,100,,-241.02657,0.0109392535,9.561886,7.36984,1922.9221951961517,0.003606969,10.458188,-126.99475,0.86324394,,0.0736984,123476.7,28.954268,-227.9069201387465,-1.0,3.606969e-05,[-0.244  0.575],3700,266.59402,-393.58878,56.66526
38,0.4189424,149.55743,-115.93977,1638589,0.86582273,-244.43866,338.64,-168.84372,0.4707932,0.5661416,0.004707932,100,,-257.57184,0.005661416,16.226873,3.5601041,1961.2920429706573,0.0031884073,6.1626167,-140.682,0.86582273,,0.035601042,44586.582,40.88187,-244.4386505754292,-1.0,3.1884072e-05,[-0.148  0.565],3800,253.31409,-393.9961,56.63151
39,0.4189424,149.57735,-181.56711,1674854,0.8663265,-261.4427,362.65,-229.57602,0.80482435,1.164918,0.008048243,100,,-275.14337,0.011649178,12.278922,6.9244695,2012.1383876800537,0.0028993674,8.144037,-136.5376,0.8663265,,0.06924469,175621.02,32.30996,-261.4426718299091,-1.0,2.8993672e-05,[-0.244  0.556],3900,274.48242,-411.02002,60.163204
40,0.4189424,164.67303,-179.96477,1706903,0.86117154,-230.28775,320.49,-213.77925,0.8464871,1.027353,0.008464872,100,,-243.45311,0.01027353,6.5969024,5.0854926,2055.0417544841766,0.0058893524,15.158629,-115.66785,0.86117154,,0.050854925,154450.45,40.436935,-230.28775121480226,-1.0,5.889352e-05,[-0.273  0.581],4000,279.29294,-394.9608,57.462265
41,0.4189424,167.0777,-125.72717,1735809,0.86345196,-208.44022,289.06,-161.9046,0.6595849,0.84463453,0.0065958486,100,,-220.95746,0.008446345,8.353274,4.198842,2090.274655818939,0.0107160965,11.971354,-136.7673,0.86345196,,0.04198842,90796.96,37.881363,-208.44022076174616,-1.0,0.000107160966,[-0.321  0.602],4100,238.75061,-375.5179,43.748505
