EpLenMean,MeanEntropy,OptimizationReturnMean,ReturnMeanIW,MeanIW,InitialReturnMax,EpRewMean,MeanIWNorm,MinIWNorm,ESSClassic,MinIW,OptimizationReturnMax,J_sample_variance,TimeElapsed,InitialReturnMin,MaxIWNorm,EpThisIter,Bound,EpisodesSoFar,OptimizationReturnMin,StdIWNorm,LearnableVariance,InitialBound,Weights,ReturnStepMaxmin,ESSRenyi,TimestepsSoFar,ReturnStepMax,MaxIW,InitialReturnMean,VarianceInit,Iteration,InitialReturnStd,StdIW,EmpiricalD2
500.0,0.4189424,0.4616806,-358.73206,0.86159927,-415.4308,-416.17201374024154,0.008615992,0.0001055113,45.39603,0.01055113,1.2029114,130162.04,6.135725736618042,-416.6337,0.06348578,100,-387.37164,100,,0.009449492,,-430.0598,[0. 0.],0.8420746,23.51431,50000,0.8420746,6.348578,-416.17203,-1.0,1,0.27245548,0.94494927,4.2527294
500.0,0.4189424,0.3084076,-364.26154,0.87487674,-415.88,-416.32098557278516,0.008748767,0.000119392935,53.240032,0.011939294,0.74938965,134201.84,13.485677003860474,-416.6294,0.038419064,100,-389.3494,200,,0.008199074,,-430.20862,[-0.088 -0.105],0.8420181,30.642904,100000,0.8420181,3.8419065,-416.32098,-1.0,2,0.14014515,0.81990737,3.2633982
500.0,0.4189424,0.19457641,-238.33388,0.5725521,-415.95767,-416.3697553165257,0.0057255207,0.00016188624,31.6699,0.016188625,0.60665894,57459.28,19.74738645553589,-416.56433,0.046984244,100,-318.25406,300,,0.008410032,,-430.25522,[-0.61  -0.126],0.8419282,3.0186229,150000,0.8419282,4.6984243,-416.36975,-1.0,3,0.12505294,0.8410031,33.12769
500.0,0.4189424,0.5006799,-392.83588,0.9437886,-414.12515,-416.0667937360704,0.009437886,9.395465e-05,69.690605,0.009395465,2.4423218,156129.56,25.57270073890686,-416.56747,0.030552303,100,-411.21243,400,,0.0062240935,,-429.95236,[-0.38   0.053],0.8419514,57.095192,200000,0.8419514,3.0552304,-416.06677,-1.0,4,0.3745782,0.62240934,1.7514609
500.0,0.4189424,0.3395349,-308.89865,0.74255633,-415.02432,-416.2279090180993,0.0074255634,0.00019374053,22.39551,0.019374054,1.5431213,96650.13,31.746310710906982,-416.56744,0.07737646,100,-373.61398,500,,0.013822683,,-430.1135,[-0.294 -0.009],0.8419065,4.6037707,250000,0.8419065,7.737646,-416.2279,-1.0,5,0.22303867,1.3822683,21.721325
500.0,0.4189424,0.7978323,-167.4544,0.40328652,-413.91028,-415.63868762761354,0.0040328656,0.00017102894,23.341223,0.017102893,2.526245,28492.605,38.235485792160034,-416.43652,0.061268713,100,-227.79692,600,,0.0073085767,,-429.5199,[-0.114  0.13 ],0.84202915,5.291859,300000,0.84202915,6.1268716,-415.6387,-1.0,6,0.63038045,0.73085773,18.89695
500.0,0.4189424,2.9742484,-333.9341,0.80727166,-404.8128,-413.6007924181223,0.008072717,0.00010935291,43.761772,0.010935292,11.762238,114254.22,44.35463523864746,-416.57504,0.04047576,100,-376.04636,700,,0.009151409,,-427.48666,[-0.344  0.226],0.8432286,10.872441,350000,0.8432286,4.047576,-413.60083,-1.0,7,2.5960348,0.915141,9.197566
500.0,0.4189424,3.1174073,-345.96338,0.835028,-407.5209,-413.4025484956801,0.008350279,1.4388042e-05,45.353935,0.0014388042,8.999054,122196.92,50.21048307418823,-416.51996,0.06355706,100,-381.89136,800,,0.009165854,,-427.28653,[-0.585  0.235],0.84324884,14.9335575,400000,0.84324884,6.355706,-413.4026,-1.0,8,2.3039653,0.9165855,6.696328
500.0,0.4189424,2.3881807,-345.32578,0.8316332,-408.11877,-414.0874666489661,0.0083163325,3.7204198e-05,59.94836,0.0037204197,8.356873,121174.336,56.14176607131958,-416.47565,0.027986683,100,-376.6756,900,,0.0067975638,,-427.96997,[-0.796  0.218],0.8435239,19.609507,450000,0.8435239,2.7986684,-414.08746,-1.0,9,1.9857597,0.6797564,5.0995674
500.0,0.4189424,1.1091956,-302.872,0.73193693,-410.85654,-415.3936105690897,0.007319369,0.000560343,11.433888,0.056034297,5.6462708,94003.83,62.111976623535156,-416.5028,0.20061569,100,-365.43457,1000,,0.020370914,,-429.277,[-0.897  0.174],0.8428011,4.9245234,500000,0.8428011,20.06157,-415.3936,-1.0,10,1.0910589,2.0370913,20.306534
500.0,0.4189424,4.028225,-275.20575,0.66831964,-404.33868,-412.473448189497,0.0066831964,0.0002467283,32.857246,0.02467283,12.162994,78306.9,69.12464356422424,-416.50168,0.054312572,100,-334.38245,1100,,0.009553624,,-426.35684,[-0.891  0.254],0.8437624,5.50414,550000,0.8437624,5.4312572,-412.47348,-1.0,11,3.121935,0.9553625,18.168142
