StdIW,MeanIW,J_sample_variance,EmpiricalD2,InitialReturnMax,TimeElapsed,MinIW,StdIWNorm,InitialReturnMin,EpisodesSoFar,LearnableVariance,MaxIWNorm,Weights,InitialBound,VarianceInit,ReturnStepMaxmin,ReturnMeanIW,MaxIW,EpThisIter,MeanIWNorm,MeanEntropy,ReturnStepMax,Bound,EpLenMean,Iteration,OptimizationReturnMean,InitialReturnStd,ESSClassic,EpRewMean,ESSRenyi,OptimizationReturnMin,OptimizationReturnMax,TimestepsSoFar,MinIWNorm,InitialReturnMean
0.88941926,0.8127926,115797.86,8.11499,-415.42352,59.26361322402954,0.0025625362,0.008894193,-416.57007,100,,0.04756413,[ 0. -0.],-430.06836,-1.0,0.84211415,-338.39444,4.756413,100,0.008127926,0.4189424,0.84211415,-377.9503,500.0,1,0.38738006,0.24818501,45.507507,-416.1826901784539,12.322874,,1.1465454,50000,2.562536e-05,-416.1827
2.133252,0.75954854,101138.75,20.281923,-415.8749,118.88541555404663,0.02368097,0.021332521,-416.5994,200,,0.19425952,[ 0.019 -0.13 ],-430.23438,-1.0,0.8421146,-316.1575,19.425953,100,0.0075954855,0.4189424,0.8421146,-378.69666,500.0,2,0.25167176,0.137848,11.250979,-416.3477232466638,4.930499,,0.7244873,100000,0.00023680969,-416.34775
1.2039584,0.56721383,56402.082,25.374216,-414.26437,182.28180050849915,0.016788648,0.012039587,-416.58597,300,,0.08993574,[-0.025  0.063],-429.91852,-1.0,0.8420768,-235.70927,8.993574,100,0.005672138,0.4189424,0.8420768,-305.658,500.0,3,0.5536777,0.4006754,18.164116,-416.0322894786298,3.9410086,,2.3215942,150000,0.00016788648,-416.03226
0.6462461,0.9339607,152810.8,2.4227114,-409.3894,236.34281659126282,0.0031993238,0.0064624604,-416.45197,400,,0.029417614,[-0.186  0.19 ],-428.3005,-1.0,0.84274614,-387.85596,2.9417615,100,0.009339606,0.4189424,0.84274614,-409.46295,500.0,4,2.033202,1.6932205,67.623184,-414.41876380592583,41.27607,,7.062561,200000,3.1993237e-05,-414.4188
0.48826638,0.91468394,146609.75,1.2387199,-410.75888,291.6695282459259,0.15549734,0.0048826635,-416.50467,500,,0.027097158,[-0.257  0.15 ],-429.34393,-1.0,0.8421237,-379.7865,2.7097158,100,0.009146838,0.4189424,0.8421237,-395.23853,500.0,5,1.0441928,1.0978044,77.82393,-415.46047296851873,80.7285,,5.7457886,250000,0.0015549734,-415.46048
0.68095976,0.5741966,57759.652,29.71351,-411.21423,346.15639185905457,0.0084557375,0.006809598,-416.4451,600,,0.041344605,[-0.143  0.162],-429.10138,-1.0,0.8420629,-238.22884,4.1344604,100,0.005741965,0.4189424,0.8420629,-313.89706,500.0,6,1.2252209,1.1224556,41.55513,-415.2198768222332,3.3654723,,5.2308655,300000,8.4557374e-05,-415.21985
0.5581672,0.44780362,35140.13,28.867321,-407.83856,410.9964566230774,0.046008486,0.0055816714,-416.44128,700,,0.035982084,[-0.421  0.231],-427.5961,-1.0,0.84327084,-184.8453,3.5982084,100,0.004478036,0.4189424,0.84327084,-259.4276,500.0,7,2.7265725,2.133851,39.15962,-413.71471086710693,3.4641247,,8.602722,350000,0.00046008485,-413.71472
1.4307672,0.78309435,107684.87,7.770375,-397.973,472.60492300987244,0.007869574,0.014307673,-416.6719,800,,0.12800616,[-0.444  0.298],-423.39166,-1.0,0.8441746,-320.9174,12.800616,100,0.007830943,0.4189424,0.8441746,-359.6337,500.0,8,7.1693163,3.8449664,23.05114,-409.502586607635,12.869392,,18.698914,400000,7.869574e-05,-409.50256
0.973954,0.80808645,114051.586,9.016359,-399.57043,532.5620005130768,0.0017272106,0.00973954,-415.7772,900,,0.047863163,[-0.272  0.308],-421.71222,-1.0,0.84777683,-332.00204,4.7863164,100,0.008080864,0.4189424,0.84777683,-373.61752,500.0,9,7.924198,4.0731936,40.77222,-407.852993824929,11.090951,,16.206757,450000,1.7272105e-05,-407.853
0.8901712,0.69850045,85484.42,18.448034,-401.962,599.9854602813721,0.00011085173,0.008901712,-416.37567,1000,,0.060097814,[-0.235  0.269],-425.5671,-1.0,0.84557104,-287.845,6.0097814,100,0.0069850045,0.4189424,0.84557104,-347.45776,500.0,10,4.6877418,3.3001516,38.10825,-411.687929199338,5.420632,,14.413666,500000,1.1085173e-06,-411.68793
