EmpiricalD2,InitialReturnStd,LearnableVariance,MeanIW,StdIWNorm,EpLenMean,MeanIWNorm,MaxIW,InitialBound,ReturnStepMax,Weights,StdIW,InitialReturnMin,Iteration,EpisodesSoFar,MaxIWNorm,TimestepsSoFar,ESSClassic,EpThisIter,InitialReturnMean,ReturnMeanIW,EpRewMean,J_sample_variance,OptimizationReturnMean,InitialReturnMax,MinIWNorm,ReturnStepMaxmin,VarianceInit,OptimizationReturnMin,OptimizationReturnMax,Bound,MeanEntropy,TimeElapsed,MinIW,ESSRenyi
25.56391,0.21068415,,0.4764257,0.008738501,500.0,0.004764257,8.2858515,-430.0984,0.8420187,[ 0. -0.],0.8738501,-416.5064,1,100,0.08285851,50000,22.913635,100,-416.21487,-198.22775,-416.214885443449,39774.453,0.29152068,-415.45267,0.00026100207,0.8420187,-1.0,,1.0537415,-268.424,0.4189424,38.373053550720215,0.026100207,3.9117649
20.50373,1.107554,,0.6671304,0.011692524,500.0,0.006671304,9.14205,-429.14868,0.8421438,[-0.059  0.159],1.1692525,-416.44455,2,200,0.091420494,100000,24.559072,100,-415.26715,-276.39093,-415.2671726441383,77989.016,1.1773791,-410.59085,0.0009773142,0.8421438,-1.0,,5.8536987,-339.24774,0.4189424,73.52507615089417,0.09773142,4.877161
3.6002855,2.714879,,0.8911387,0.00693339,500.0,0.008911385,2.5791373,-426.60077,0.84313864,[-0.048  0.242],0.69333905,-416.43564,3,300,0.025791373,150000,62.292034,100,-412.71954,-369.32208,-412.71956157654523,139109.34,3.7160778,-406.298,0.00017154413,0.84313864,-1.0,,10.137634,-395.66083,0.4189424,112.63342618942261,0.017154414,27.775576
2.222045,2.1003919,,0.9083133,0.0060865944,500.0,0.009083133,2.88335,-428.01178,0.84331805,[-0.046  0.201],0.60865945,-416.35632,4,400,0.0288335,200000,69.01158,100,-414.13324,-377.13397,-414.133241340667,144466.95,2.2230814,-407.58978,0.00012351519,0.84331805,-1.0,,8.766541,-397.82205,0.4189424,161.59835720062256,0.012351519,45.00359
9.594715,1.2284724,,0.7613896,0.008480186,500.0,0.007613896,4.8590727,-429.11258,0.8421643,[-0.074  0.162],0.8480186,-416.49283,5,500,0.048590727,250000,44.63289,100,-415.2295,-316.22638,-415.2294946715236,101579.01,1.2633352,-410.2641,4.6458854e-06,0.8421643,-1.0,,6.2287292,-359.22974,0.4189424,227.6558871269226,0.00046458855,10.422404
24.03004,1.0787146,,0.58651054,0.008063093,500.0,0.0058651054,5.019984,-428.9856,0.84197277,[0.243 0.169],0.8063093,-416.57507,6,600,0.050199836,300000,34.602608,100,-415.09976,-243.13307,-415.099760876298,60302.89,1.4753131,-411.2555,0.00044920514,0.84197277,-1.0,,5.31958,-311.20206,0.4189424,279.737202167511,0.044920515,4.161458
19.118397,2.755381,,0.49775848,0.0065339366,500.0,0.004977585,4.0651445,-426.73782,0.8436184,[0.037 0.249],0.6533936,-416.32556,7,700,0.040651444,350000,36.722744,100,-412.86026,-205.1635,-412.86028774514796,43404.918,3.465274,-404.77502,0.00016076276,0.8436184,-1.0,,11.550537,-265.84238,0.4189424,335.7192521095276,0.016076276,5.230564
11.645831,3.896089,,0.7012766,0.007911331,500.0,0.007012766,3.3794944,-422.54355,0.846107,[-0.157  0.294],0.79113317,-416.25577,8,800,0.033794943,400000,44.000847,100,-408.66837,-288.6963,-408.6683815988898,86083.55,7.58739,-399.53574,4.200145e-05,0.846107,-1.0,,16.720032,-336.04675,0.4189424,400.9612774848938,0.004200145,8.586763
1.2230504,2.9025047,,0.96832585,0.00499592,500.0,0.009683258,3.6909149,-426.6783,0.84375226,[-0.154  0.251],0.499592,-416.40387,9,900,0.036909148,450000,78.97724,100,-412.79822,-400.08078,-412.7981922729313,164234.02,3.605677,-404.57648,0.0013189142,0.84375226,-1.0,,11.827393,-415.43103,0.4189424,456.0168216228485,0.13189143,81.76278
27.722872,2.8712158,,0.5901654,0.009379024,500.0,0.005901654,6.675966,-426.91397,0.8437361,[-0.224  0.245],0.93790233,-416.42813,10,1000,0.06675965,500000,28.363823,100,-413.03308,-242.86765,-413.0330447611213,61058.953,3.3950853,-404.81085,0.00033326907,0.8437361,-1.0,,11.617279,-315.95428,0.4189424,523.3394331932068,0.03332691,3.6071298
