ESSRenyi,AvgEpLen,AvgVanillaIw,MaxNormIw,AvgRet,VarDiscRet,renyi2,VarVanillaIw,SamplesThisIter,VarRet,AvgDiscRet,EpsThisIter,Bound,IterType,ESSClassic,AvgNormIw,delta,MinNormIw,J,MinVanillaIw,MaxVanillaIw,VanillaAvgRet,VarJ,BatchSize,VarNormIw
nan,485.436893204,4.51716,0.00537173,-395.385462856,3452.38104639,nan,1109.16,50000,3452.38104639,-395.385462856,103,-420.271,1,0.0987159711323,5.39374e-05,0.3,,-44174.0,,449.872,-395.385462856,3020.66,100,1.58141e-07
nan,476.19047619,1.35571,0.00459377,-381.212552568,5137.94440917,nan,11.5296,50000,5137.94440917,-381.212552568,105,-384.766,1,3.17422929431,5.29101e-05,0.3,2.92547e-17,-56285.1,7.49592e-13,117.706,-381.212552568,2885.47,100,1.75612e-08
nan,467.289719626,4.8298,0.0119573,-378.703231113,6803.8674461,nan,1024.4,50000,6803.8674461,-378.703231113,107,-344.496,1,1.82094523324,5.19211e-05,0.3,,-45369.4,,1112.29,-378.703231113,2873.15,100,1.18386e-07
nan,458.71559633,21.5949,0.00661838,-366.263993104,9225.03406203,nan,23220.2,50000,9225.03406203,-366.263993104,109,-289.207,1,0.895966445821,5.09684e-05,0.3,,-37310.6,,2804.16,-366.263993104,2618.71,100,1.2935e-07
nan,467.289719626,80.0281,0.0159247,-379.985334463,7935.87061475,nan,884372.0,50000,7935.87061475,-379.985334463,107,-307.426,1,1.18192885204,5.19211e-05,0.3,,-37991.3,,24545.3,-379.985334463,2929.11,100,3.72252e-07
nan,485.436893204,1.07171,0.000693876,-395.701237434,3377.36090351,nan,1.41534,50000,3377.36090351,-395.701237434,103,-431.438,1,0.473506549222,5.39374e-05,0.3,1.00504e-22,-64512.6,1.99696e-18,13.7869,-395.701237434,3491.33,100,3.585e-09
nan,467.289719626,16.0332,0.0152245,-374.790925632,7941.06512368,nan,23002.5,50000,7941.06512368,-374.790925632,107,-323.44,1,1.44696184766,5.19211e-05,0.3,,-41105.2,,4701.31,-374.790925632,2879.24,100,2.41225e-07
nan,495.04950495,1.00621,0.000438766,-398.856830703,1397.21699666,nan,0.265155,50000,1397.21699666,-398.856830703,101,-450.176,1,0.610574977256,5.50055e-05,0.3,2.75746e-06,-69501.7,0.050442,8.02631,-398.856830703,1918.18,100,7.92381e-10
nan,454.545454545,12.4929,0.0140943,-369.844435169,11244.0303168,nan,9175.51,50000,11244.0303168,-369.844435169,110,-259.93,1,2.48862687451,5.0505e-05,0.3,,-37156.5,,3486.37,-369.844435169,2611.93,100,1.49958e-07
nan,438.596491228,4.60149,0.00649418,-348.992388206,13213.124543,nan,498.984,50000,13213.124543,-348.992388206,114,-251.769,1,2.58429745327,4.87329e-05,0.3,,-38248.1,,613.197,-348.992388206,2647.56,100,5.59673e-08
0.0047462974245,495.04950495,0.990982,0.000393794,-401.666748738,1204.18602853,9.95556,0.199224,50000,1204.18602853,-401.666748738,101,-454.753,1,0.59773042916,5.50055e-05,0.3,9.46725e-06,-70382.6,0.170562,7.09461,-401.666748738,1655.05,100,6.13793e-10
nan,471.698113208,3.61909,0.0169292,-378.119103965,6929.29373157,nan,1382.15,50000,6929.29373157,-378.119103965,106,-322.876,1,0.535719972243,5.24109e-05,0.3,,-44096.9,,1169.0,-378.119103965,2889.45,100,2.89867e-07
nan,450.45045045,7.31163,0.0193951,-363.887225329,11616.3714315,nan,5081.72,50000,11616.3714315,-363.887225329,111,-262.434,1,1.2424018403,5.00501e-05,0.3,,-37854.7,,2833.36,-363.887225329,2821.62,100,2.38118e-07
nan,442.477876106,4.44974,0.006222,-349.648633743,12861.8168212,nan,442.603,50000,12861.8168212,-349.648633743,113,-257.95,1,2.89309257938,4.91642e-05,0.3,,-37288.7,,563.139,-349.648633743,2696.98,100,5.4031e-08
nan,458.71559633,4.30859,0.0109621,-369.352555422,10086.8864427,nan,831.503,50000,10086.8864427,-369.352555422,109,-292.238,1,3.50418928461,5.09684e-05,0.3,,-44305.4,,926.676,-369.352555422,2872.2,100,1.16358e-07
nan,471.698113208,2.66288,0.0127105,-383.739517269,6740.28077124,nan,239.018,50000,6740.28077124,-383.739517269,106,-354.417,1,2.00323575729,5.24109e-05,0.3,4.19203e-32,-53004.0,2.12987e-27,645.79,-383.739517269,3261.38,100,9.25917e-08
nan,467.289719626,3.16267,0.0129993,-380.832936039,7837.63519258,nan,369.764,50000,7837.63519258,-380.832936039,107,-321.869,1,4.33130319221,5.19211e-05,0.3,,-49938.0,,791.83,-380.832936039,2590.83,100,9.96558e-08
nan,458.71559633,7.64547,0.0163849,-368.471813701,10106.3071403,nan,5212.49,50000,10106.3071403,-368.471813701,109,-274.127,1,3.34886337957,5.09684e-05,0.3,,-45330.6,,2457.8,-368.471813701,2240.99,100,2.31653e-07
nan,450.45045045,10.8355,0.00891868,-361.029364047,11171.8652676,nan,8348.73,50000,11171.8652676,-361.029364047,111,-274.506,1,1.43513049181,5.00501e-05,0.3,,-39509.9,,1930.83,-361.029364047,2302.79,100,1.78129e-07
nan,438.596491228,3.6835,0.00303654,-350.149386113,12933.6451565,nan,204.035,50000,12933.6451565,-350.149386113,114,-258.962,1,1.45539711445,4.87329e-05,0.3,,-41128.1,,229.518,-350.149386113,2342.37,100,3.57132e-08
nan,454.545454545,4.12251,0.00417733,-364.161550329,11478.9252615,nan,349.618,50000,11478.9252615,-364.161550329,110,-267.313,1,1.24243640038,5.0505e-05,0.3,,-42304.8,,340.978,-364.161550329,2897.08,100,5.24733e-08
nan,420.168067227,3.26642,0.00197172,-337.77426953,17452.3182902,nan,117.777,50000,17452.3182902,-337.77426953,119,-209.341,1,1.68133447027,4.66853e-05,0.3,,-36205.7,,137.955,-337.77426953,2561.82,100,2.40591e-08
nan,434.782608696,2.53223,0.00214927,-342.398496683,14224.8018674,nan,67.8075,50000,14224.8018674,-342.398496683,115,-242.964,1,1.28776918807,4.83092e-05,0.3,,-40187.8,,112.659,-342.398496683,2384.23,100,2.46791e-08
nan,409.836065574,3.03963,0.00110116,-327.209592914,18951.1882408,nan,74.7868,50000,18951.1882408,-327.209592914,122,-200.615,1,1.2695018735,4.55373e-05,0.3,,-34412.9,,73.5024,-327.209592914,2555.21,100,1.67849e-08
nan,403.225806452,2.60234,0.00114008,-319.229331751,19838.4976175,nan,52.0712,50000,19838.4976175,-319.229331751,124,-196.299,1,0.874164289267,4.48029e-05,0.3,,-32008.5,,66.2207,-319.229331751,2614.11,100,1.54341e-08
nan,373.134328358,1.9681,0.000761107,-290.297102032,21665.9502773,nan,18.187,50000,21665.9502773,-290.297102032,134,-189.009,1,1.64276461927,4.14594e-05,0.3,,-31186.0,,36.1301,-290.297102032,2356.76,100,8.07073e-09
nan,359.712230216,1.62582,0.000732828,-281.482706365,22445.0157704,nan,10.1591,50000,22445.0157704,-281.482706365,139,-180.644,1,2.07283374539,3.9968e-05,0.3,,-30236.1,,29.8101,-281.482706365,2235.85,100,6.13948e-09
nan,333.333333333,1.37396,0.000655898,-257.548965964,24917.1879943,nan,5.2669,50000,24917.1879943,-257.548965964,150,-158.671,1,2.1960248779,3.7037e-05,0.3,,-26831.2,,24.3318,-257.548965964,2192.7,100,3.82719e-09
nan,277.777777778,1.13458,0.000372711,-213.591031149,25393.7187247,nan,2.04107,50000,25393.7187247,-213.591031149,180,-138.82,1,2.49910253263,3.08642e-05,0.3,,-22864.9,,13.701,-213.591031149,1869.03,100,1.51042e-09
nan,255.102040816,0.993786,0.000337637,-191.537968512,24189.5410828,nan,1.24891,50000,24189.5410828,-191.537968512,196,-133.595,1,2.3590967164,2.83447e-05,0.3,,-21803.3,,11.8378,-191.537968512,1784.77,100,1.01598e-09
nan,227.272727273,0.950245,0.000280992,-168.494283272,21187.089957,nan,0.837215,50000,21187.089957,-168.494283272,220,-123.607,1,2.90816970748,2.52525e-05,0.3,1.4594e-40,-20008.4,5.49169e-36,10.5737,-168.494283272,1566.05,100,5.91255e-10
nan,176.056338028,0.889815,0.000166102,-129.794819784,16517.7209815,nan,0.526831,50000,16517.7209815,-129.794819784,284,-108.576,1,2.8586366021,1.95618e-05,0.3,,-16389.4,,7.55555,-129.794819784,1248.72,100,2.54619e-10
nan,147.928994083,0.835211,9.36473e-05,-106.044491787,10996.8936052,nan,0.301713,50000,10996.8936052,-106.044491787,338,-102.922,1,3.16223577902,1.64366e-05,0.3,1.28055e-23,-14843.8,6.50701e-19,4.75861,-106.044491787,958.81,100,1.16849e-10
