MinNormIw,AvgNormIw,VarVanillaIw,MaxVanillaIw,BatchSize,AvgRet,VarRet,SamplesThisIter,MinVanillaIw,AvgEpLen,J,AvgVanillaIw,VarJ,ESSClassic,IterType,AvgDiscRet,delta,VarNormIw,MaxNormIw,Bound,renyi2,VarDiscRet,VanillaAvgRet,EpsThisIter,ESSRenyi
,5.005e-05,2.92747e+31,1.88901e+17,100,-366.923811467,9847.22734727,50000,,450.45045045,-30670.4,1.77598e+14,1599.43,7.37427018706,1,-366.923811467,0.8,2.32502e-06,0.0532354,-142.606,nan,9847.22734727,-366.923811467,111,nan
,5.005e-05,1.01841e+33,1.3594e+18,100,-355.226077096,9515.72123183,50000,,450.45045045,nan,7.92192e+14,nan,10.9829556447,1,-355.226077096,0.8,4.06509e-06,0.085886,nan,nan,9515.72123183,-355.226077096,111,nan
,5.55556e-05,41.1636,85.5157,100,-395.776587454,578.025175442,50000,,500.0,-66243.8,2.63177,395.442,4.53322896827,1,-395.776587454,0.8,1.83431e-08,0.0018052,-398.683,nan,578.025175442,-395.776587454,100,nan
,5.00501e-05,inf,4.29685e+22,100,-356.805748474,10583.2868032,50000,,450.45045045,-28316.8,2.47453e+19,1573.36,10.9900615662,1,-356.805748474,0.8,4.15983e-06,0.0869086,-139.175,nan,10583.2868032,-356.805748474,111,nan
3.76779e-31,5.55556e-05,4.20322,15.8589,100,-394.740406751,461.777404784,50000,1.02478e-26,500.0,-67933.8,1.51102,276.668,1.20301778588,1,-394.740406751,0.8,5.68197e-09,0.000583085,-402.37,nan,461.777404784,-394.740406751,100,nan
,4.55373e-05,375111.0,20448.2,100,-320.149629336,15538.6854035,50000,,409.836065574,-27158.4,65.9951,1714.12,8.36859658532,1,-320.149629336,0.8,1.78596e-07,0.0141095,-153.667,nan,15538.6854035,-320.149629336,122,nan
2.21924e-05,5.55556e-05,0.0364926,1.72678,100,-407.958212999,18.9372853735,50000,0.406342,500.0,-73318.2,1.01722,76.8207,0.709097363694,1,-407.958212999,0.8,1.0885e-10,9.43084e-05,-428.052,14.1074,18.9372853735,-407.958212999,100,7.46844047107e-05
5.22609e-05,5.55556e-05,0.000541856,1.16855,100,-410.174642672,0.426590132989,50000,0.938296,500.0,-73829.5,0.997448,8.8709,0.569083563627,1,-410.174642672,0.8,1.68096e-12,6.50854e-05,-430.722,14.2352,0.426590132989,-410.174642672,100,6.57241549003e-05
4.22804e-05,5.55556e-05,0.00223387,1.1553,100,-409.543003341,1.55490211786,50000,0.765756,500.0,-73709.9,1.00619,16.8031,0.584460770363,1,-409.543003341,0.8,6.81014e-12,6.37889e-05,-430.22,14.2239,1.55490211786,-409.543003341,100,6.64733400361e-05
4.28052e-05,5.55556e-05,0.00295061,1.22059,100,-410.342081946,2.06133808305,50000,0.76596,500.0,-73850.7,0.994116,17.6369,0.597369697532,1,-410.342081946,0.8,9.21494e-12,6.82122e-05,-431.007,14.2443,2.06133808305,-410.342081946,100,6.51297722925e-05
5.30234e-05,5.55556e-05,0.000216076,1.11201,100,-410.305051429,0.167277493237,50000,0.953912,500.0,-73854.1,0.999467,5.49715,0.563764114942,1,-410.305051429,0.8,6.67613e-13,6.18114e-05,-430.847,14.2465,0.167277493237,-410.305051429,100,6.49847793462e-05
5.1046e-05,5.55556e-05,0.000676793,1.10564,100,-410.016340738,0.502022660685,50000,0.914245,500.0,-73800.5,0.995011,9.68506,0.573190738365,1,-410.016340738,0.8,2.10986e-12,6.17327e-05,-430.562,14.2461,0.502022660685,-410.016340738,100,6.50129221309e-05
4.8485e-05,5.55556e-05,0.00139251,1.11158,100,-410.096596895,0.946214892319,50000,0.873001,500.0,-73812.3,1.00031,13.1307,0.57347201727,1,-410.096596895,0.8,4.29519e-12,6.17355e-05,-430.638,14.2281,0.946214892319,-410.096596895,100,6.6193219663e-05
5.05863e-05,5.55556e-05,0.000707777,1.10874,100,-410.011299047,0.490590955401,50000,0.91211,500.0,-73799.5,1.00171,9.69149,0.569374712604,1,-410.011299047,0.8,2.17705e-12,6.14916e-05,-430.55,14.2363,0.490590955401,-410.011299047,100,6.56551182596e-05
3.38344e-05,5.55556e-05,0.0117142,2.40439,100,-409.801803403,9.13897651369,50000,0.588973,500.0,-73721.4,0.967084,71.4306,0.637899970929,1,-409.801803403,0.8,3.86581e-11,0.000138124,-430.129,14.2467,9.13897651369,-409.801803403,100,6.49721971786e-05
