MinNormIw,J,VarVanillaIw,AvgNormIw,ESSClassic,EpsThisIter,MaxNormIw,MaxVanillaIw,eRenyi2,MinVanillaIw,IterType,BatchSize,VarDiscRet,AvgEpLen,VarNormIw,AvgRet,VarRet,ESSRenyi,VarJ,AvgDiscRet,AvgVanillaIw,Bound,VanillaAvgRet
0.00018213387,-112.54332,0.3150036,0.01,72.34286281268746,100,0.021713346,1.9610842,1.2636422,0.016449785,1,100,4581.01101112783,61.44,3.861682e-05,-128.28729872522248,4581.01101112783,79.13632564822603,14.933113,-128.28729872522248,0.90317,-159.39174,-128.28729872522248
0.0016788963,-110.141335,0.052678432,0.01,94.94568081915844,100,0.013403783,1.3266867,1.0469882,0.16617468,1,100,962.2830248472993,25.49,5.3771337e-06,-113.05979400904478,962.2830248472993,95.51205575823766,7.854983,-113.05979400904478,0.9897853,-145.67622,-113.05979400904478
0.0035675317,-109.82222,0.07323377,0.01,93.19201318485439,100,0.016396262,1.6334181,1.070596,0.3554024,1,100,253.50203475352316,25.19,7.37915e-06,-111.32396347495784,253.50203475352316,93.40591772902444,9.180767,-111.32396347495784,0.99621373,-130.85754,-111.32396347495784
0.001917031,-110.36418,0.071586706,0.01,93.3887731414221,100,0.0143030565,1.4310951,1.056409,0.19180892,1,100,1503.5971428037847,23.69,7.1507734e-06,-113.2818210326145,1503.5971428037847,94.66030663518623,16.383501,-113.2818210326145,1.0005519,-152.76614,-113.2818210326145
0.005734162,-110.98634,0.03706131,0.010000002,96.5414188685188,100,0.012819385,1.2973404,1.0419309,0.5803055,1,100,1519.1275925159664,22.29,3.6186557e-06,-112.89544195325436,1519.1275925159664,95.97565314890136,22.785082,-112.89544195325436,1.0120145,-153.55203,-112.89544195325436
2.8463472e-05,-98.48587,6.565412,0.010000002,15.742511014056666,100,0.22719616,25.037003,2.6276438,0.0031366728,1,100,25.66063186733372,17.05,0.0005406289,-107.27753913899332,25.66063186733372,38.05690828450821,73.180115,-107.27753913899332,1.1019994,-114.549835,-107.27753913899332
0.0030697468,-107.84931,0.05164827,0.010000002,95.16311492498909,100,0.01423255,1.4275144,1.0439957,0.3078934,1,100,26.863975795700725,17.74,5.1340517e-06,-108.41428998105043,26.863975795700725,95.7858316440524,3.6818128,-108.41428998105043,1.0029927,-119.588936,-108.41428998105043
0.0020017603,-107.711784,0.07807799,0.01,92.51704564735533,100,0.016792674,1.6416327,1.0562334,0.1956898,1,100,19.77758921976024,17.76,8.169893e-06,-108.33993777575421,19.77758921976024,94.67604359567727,3.8672988,-108.33993777575421,0.9775886,-118.84719,-108.33993777575421
0.006874862,-107.08339,0.017534414,0.01,98.32082892207251,100,0.013597962,1.3709174,1.0147182,0.69310886,1,100,8.60282425207946,17.24,1.7251081e-06,-107.22866008065758,8.60282425207946,98.54953076647722,2.7381976,-107.22866008065758,1.0081786,-117.031654,-107.22866008065758
0.0050481544,-107.55308,0.01691721,0.010000002,98.33055926703553,100,0.011586883,1.1508222,1.015697,0.5013883,1,100,14.246590149438559,17.78,1.7149268e-06,-107.72660946795185,14.246590149438559,98.4545585569683,3.4177563,-107.72660946795185,0.99321115,-118.734116,-107.72660946795185
0.0060568294,-107.23672,0.009856801,0.01,99.03741329142112,100,0.0121143805,1.213846,1.0083375,0.60688686,1,100,9.228302182133115,17.37,9.81773e-07,-107.31655770290288,9.228302182133115,99.17314413774089,3.014521,-107.31655770290288,1.0019877,-117.137184,-107.31655770290288
0.007754774,-107.27752,0.014888045,0.01,98.58114596204267,100,0.014857264,1.5035043,1.0081571,0.7847566,1,100,6.490454434348279,18.53,1.4538045e-06,-107.35649890075834,6.490454434348279,99.19088664053064,2.4712386,-107.35649890075834,1.0119658,-116.96169,-107.35649890075834
0.0065788985,-106.960846,0.020622116,0.01,98.03548073366213,100,0.01542665,1.5571055,1.0173777,0.66404825,1,100,15.170764902773444,18.22,2.0241393e-06,-107.12541470685574,15.170764902773444,98.29190932724721,4.129373,-107.12541470685574,1.0093608,-117.03586,-107.12541470685574
0.0052469443,-106.447334,0.07661836,0.009999999,92.57071912206291,100,0.027993893,2.7215095,1.0592698,0.51009727,1,100,17.78206083983972,19.19,8.106619e-06,-106.97655503715872,17.78206083983972,94.40465623856673,5.196635,-106.97655503715872,0.9721797,-116.524635,-106.97655503715872
0.006566396,-106.80435,0.010641269,0.01,98.9337325244155,100,0.012866897,1.2721138,1.0083659,0.64920104,1,100,8.968318552421294,15.85,1.088652e-06,-106.89178040890405,8.968318552421294,99.170353759984,2.7629697,-106.89178040890405,0.9886718,-116.859985,-106.89178040890405
0.003965427,-105.77557,0.06090258,0.01,94.79323758837377,100,0.016273024,1.7049376,1.0467017,0.41546094,1,100,23.54317250914863,19.83,5.5482406e-06,-106.19392630668074,23.54317250914863,95.53820624871162,6.0354548,-106.19392630668074,1.0477079,-115.59607,-106.19392630668074
0.0051243315,-107.02497,0.018273845,0.01,98.25339751998571,100,0.012144706,1.2251697,1.0147291,0.5169475,1,100,23.259163854343758,20.48,1.7956077e-06,-107.21187439684593,23.259163854343758,98.54846563712051,4.108508,-107.21187439684593,1.0088097,-118.42974,-107.21187439684593
0.006693807,-106.399574,0.014090481,0.010000002,98.60496568531192,100,0.012407883,1.2320755,1.013334,0.6646803,1,100,7.253466059558964,17.19,1.4290473e-06,-106.52375582185009,7.253466059558964,98.68414210898185,2.6526263,-106.52375582185009,0.992978,-115.998665,-106.52375582185009
0.003168147,-105.99851,0.04430748,0.01,95.73123939777442,100,0.01778302,1.763751,1.0439765,0.31422237,1,100,18.329403504233838,19.0,4.5041575e-06,-106.44235677851347,18.329403504233838,95.78759259195822,6.4278145,-106.44235677851347,0.9918175,-115.92453,-106.44235677851347
0.0031685599,-105.7939,0.041958384,0.010000002,96.18641445861238,100,0.015903553,1.6278439,1.0329514,0.32432505,1,100,28.473918683710927,21.2,4.004807e-06,-106.09461505203484,28.473918683710927,96.80997998389849,6.1682606,-106.09461505203484,1.0235724,-115.65892,-106.09461505203484
0.0065394356,-105.871475,0.02297422,0.01,97.72079010653741,100,0.014055091,1.3879452,1.0205687,0.64577156,1,100,15.739906915048895,19.11,2.3559357e-06,-106.06916714098668,15.739906915048895,97.98458174607596,4.5591383,-106.06916714098668,0.9875035,-115.68327,-106.06916714098668
0.007947611,-106.73612,0.010681982,0.01,99.01495715046237,100,0.013722133,1.4147618,1.0102874,0.8194044,1,100,10.559237119878897,18.96,1.0049132e-06,-106.83609154999982,10.559237119878897,98.98173489850329,3.1515918,-106.83609154999982,1.0310073,-116.71938,-106.83609154999982
0.0028608143,-107.24186,0.037276078,0.009999999,96.67896442746748,100,0.012375329,1.2826769,1.0362442,0.29651743,1,100,700.0301366458881,23.5,3.4698369e-06,-109.09388005312113,700.0301366458881,96.50235382874213,8.054349,-109.09388005312113,1.0364791,-138.90004,-109.09388005312113
0.00035997978,-91.93784,10.541194,0.010000002,16.090293431974686,100,0.17258441,24.414055,2.7209098,0.05092329,1,100,44.66536067687017,27.44,0.00052676036,-104.59994927954129,44.66536067687017,36.75241228275786,58.416775,-104.59994927954129,1.4146153,-107.89341,-104.59994927954129
0.0029855613,-106.4722,0.05254395,0.01,94.88066225648765,100,0.013266579,1.3026247,1.0497446,0.2931476,1,100,35.49208063848413,24.48,5.4500692e-06,-107.01822800803971,35.49208063848413,95.26126586096406,4.518259,-107.01822800803971,0.98188436,-118.38457,-107.01822800803971
0.0019263133,-103.38833,0.2915829,0.01,75.56442623808447,100,0.028772961,2.7185068,1.2253345,0.18200058,1,100,35.01935796468378,25.11,3.2664073e-05,-105.18646754440391,35.01935796468378,81.61036676181024,11.836593,-105.18646754440391,0.944813,-114.71735,-105.18646754440391
0.0048340056,-103.2903,0.087481,0.01,91.84470185334008,100,0.025289688,2.4976144,1.111994,0.4774073,1,100,47.61538804866013,28.02,8.969122e-06,-104.37786048339173,47.61538804866013,89.92854050811303,9.0600605,-104.37786048339173,0.9876019,-114.371895,-104.37786048339173
0.0007070887,-102.03831,0.1556807,0.009999998,85.68999842514523,100,0.01798572,1.7278564,1.146006,0.06792876,1,100,81.2586244342524,36.39,1.686845e-05,-103.58765666831148,81.2586244342524,87.25957895207677,9.167625,-103.58765666831148,0.9606824,-115.16821,-103.58765666831148
0.004376705,-103.02473,0.09459931,0.010000002,91.5251687693291,100,0.01526452,1.5351467,1.0801486,0.44016346,1,100,58.136493200664276,40.92,9.353076e-06,-103.87709871007017,58.136493200664276,92.57985620260496,8.396936,-103.87709871007017,1.005696,-114.32826,-103.87709871007017
0.0011333795,-99.01308,0.5527349,0.01,63.380208458874804,100,0.048761055,4.7453485,1.5675824,0.1102987,1,100,91.17307386186492,34.74,5.8361555e-05,-103.10031967838404,91.17307386186492,63.792501106858076,22.775309,-103.10031967838404,0.9731841,-112.000725,-103.10031967838404
0.0031687827,-100.99654,0.08214112,0.01,92.51144985873344,100,0.01920097,1.9245089,1.0952914,0.3176064,1,100,141.82991756375986,45.88,8.176493e-06,-102.08888120754246,141.82991756375986,91.29990629050813,11.364489,-102.08888120754246,1.0022979,-114.33902,-102.08888120754246
