ESSClassic,Delta,MaxVanillaIw,MaxNormIw,EpsThisIter,VanillaAvgRet,AvgDiscRet,MinNormIw,AvgNormIw,VarVanillaIw,VarJ,VarDiscRet,AvgVanillaIw,ESSRenyi,MinVanillaIw,Bound,J,VarRet,BatchSize,IterType,AvgRet,VarNormIw,AvgEpLen,eRenyi2
2.5320580972986044,0.8,149.6294,0.5516593,100,132.93902769122084,132.93902769122084,1.5590529e-32,0.009999999,286.05194,2092.3489,42196.53670637394,2.7123518,2.9662825026967594,4.2286997e-30,775.30804,1236.8776,42196.53670637394,100,1,132.93902769122084,0.0038882394,14.3,33.71223
,0.8,2.364793e+29,0.9992431,100,132.93902769122084,508.81653423328794,2.8239765e-32,0.01,inf,2.6659262,553838.1731171974,2.3665843e+27,nan,0.0066831787,-inf,419.6075,42196.53670637394,200,,132.93902769122084,0.009984721,14.3,nan
1.7726233730660585,0.8,293.85947,0.738525,100,94.84800540200735,94.84800540200735,6.051011e-36,0.005,444.84952,2680.2168,13456.25882506092,1.9895025,2.3820427936081465,2.4077002e-33,837.90704,1352.9799,13456.25882506092,200,1,94.84800540200735,0.0028097264,10.49,83.96155
100.0,0.8,1.0,0.01,100,821.262619837848,821.262619837848,0.01,0.009999998,,925.06726,864393.4082671917,1.0,200.0,1.0,571.2627,821.2626,864393.4082671917,200,2,821.262619837848,3.5044917e-18,83.13,1.0
,0.8,4.153341e+32,0.9999998,100,94.84800540200735,804.9566001442198,8.193371e-36,0.005,inf,0.0011200932,823737.5233967479,2.0766709e+30,68014408.20725319,0.003402987,-inf,759.7011,13456.25882506092,300,,94.84800540200735,0.0049999976,10.49,4.41083e-06
1.2154316830907053,0.8,394.96228,0.9062974,100,99.04972759909931,99.04972759909931,,0.0033333334,520.4811,1927.8109,13384.072010734915,1.4526589,2.399393268657712,,962.6529,1475.86,13384.072010734915,300,1,99.04972759909931,0.002740533,10.91,125.03161
100.0,0.8,1.0,0.01,100,661.7751629517238,661.7751629517238,0.01,0.009999998,,791.5831,632933.2526952394,1.0,300.0,1.0,411.7934,661.77515,632933.2526952394,300,2,661.7751629517238,3.5044917e-18,67.19,1.0
200.00000010221265,0.8,1.0,0.005,100,693.6847235710733,693.6847235710733,0.005,0.0049999994,,760.1845,533987.7698402763,1.0,300.0,1.0,500.9583,677.7299,533987.7698402763,300,2,693.6847235710733,2.179301e-19,70.38,1.0
nan,0.8,inf,nan,100,99.04972759909931,649.5870689955028,nan,nan,nan,nan,589458.5851787587,inf,112049835.18119977,0.0025318873,nan,nan,13384.072010734915,400,,99.04972759909931,nan,10.91,3.5698401e-06
1.6225691499254764,0.8,482.1706,0.7705759,100,104.6398245955828,104.6398245955828,,0.0025000004,602.3227,2996.68,18079.42682270712,1.564319,2.821733713304647,,938.50916,1411.7534,18079.42682270712,400,1,104.6398245955828,0.0015383621,11.47,141.75682
100.0,0.8,1.0,0.01,100,981.3419785031396,981.3419785031396,0.01,0.009999998,,960.3612,931609.6779507542,1.0,400.0,1.0,731.3422,981.3419,931609.6779507542,400,2,981.3419785031396,3.5044917e-18,99.14,1.0
200.00000010221265,0.8,1.0,0.005,100,873.3512501669185,873.3512501669185,0.005,0.0049999994,,959.61456,922823.9660349698,1.0,400.0,1.0,750.5701,927.3466,922823.9660349698,400,2,873.3512501669185,2.179301e-19,88.33,1.0
299.999969473632,0.8,1.0,0.0033333334,100,1073.492439526001,1073.492439526001,0.0033333334,0.0033333336,,1040.0641,1403273.0198077466,1.0,400.0,1.0,831.7246,976.06195,1403273.0198077466,400,2,1073.492439526001,5.4391416e-20,108.34,1.0
