MinNormIw,Bound,AvgNormIw,AvgVanillaIw,VarVanillaIw,eRenyi2,Delta,ESSRenyi,J,MinVanillaIw,VanillaAvgRet,BatchSize,AvgEpLen,AvgDiscRet,MaxNormIw,IterType,VarNormIw,ESSClassic,VarRet,VarJ,AvgRet,EpsThisIter,MaxVanillaIw,VarDiscRet
,1413.5956,0.009999999,1.6456733,168.09741,33.87696,0.95,2.951858660668902,1651.2323,,148.23435896617477,100,15.83,148.23435896617477,0.7775599,1,0.0062068873,1.6013277414044598,83958.67826312238,1163.1919,148.23435896617477,100,127.960945,83958.67826312238
nan,nan,nan,inf,nan,nan,0.95,nan,nan,0.007814884,148.23435896617477,200,15.83,637.6935246619546,nan,,nan,nan,83958.67826312238,nan,148.23435896617477,100,inf,871771.9757766728
9.3720685e-36,1369.6854,0.0049999994,3.2014604,1032.9332,88.78075,0.95,2.2527406895615325,1641.7085,6.000861e-33,93.54293996188544,200,10.36,93.54293996188544,0.66000545,1,0.0025195095,1.974791967155894,7975.285818174211,1349.8876,93.54293996188544,100,422.59625,7975.285818174211
0.01,693.4771,0.009999998,1.0,,1.0,0.95,200.0,808.17633,1.0,808.1763543760727,200,81.83,808.1763543760727,0.01,2,3.5044917e-18,100.0,937687.094287274,963.4885,808.1763543760727,100,1.0,937687.094287274
1.4199986e-35,-inf,0.005,8.332138e+29,inf,nan,0.95,nan,419.89825,0.002366325,93.54293996188544,300,10.36,928.99386995683,1.0,,0.005,,7975.285818174211,0.002157075,93.54293996188544,100,1.6664276e+32,1545816.207010826
,1418.9589,0.0033333336,1.9690653,852.8311,136.3548,0.95,2.2001426117830634,1694.2144,,98.64307833554528,300,10.87,98.64307833554528,0.85096514,1,0.002443994,1.3622350789177942,11530.176917513778,1317.8689,98.64307833554528,100,502.6818,11530.176917513778
0.01,715.9079,0.009999998,1.0,,1.0,0.95,300.0,830.6157,1.0,830.6156731699925,300,84.03,830.6156731699925,0.01,2,3.5044917e-18,100.0,1333602.1870333925,1149.0283,830.6156731699925,100,1.0,1333602.1870333925
0.005,865.03656,0.0049999994,1.0,,1.0,0.95,300.0,946.1472,1.0,1061.6788953616676,300,107.1,1061.6788953616676,0.005,2,2.179301e-19,200.00000010221265,1940342.377881617,1278.2605,1061.6788953616676,100,1.0,1940342.377881617
nan,nan,nan,inf,nan,nan,0.95,nan,nan,0.0019893302,98.64307833554528,400,10.87,740.3512618177368,nan,,nan,nan,11530.176917513778,nan,98.64307833554528,100,inf,954222.7904110556
,1423.8873,0.0025,1.9149084,811.98456,146.21405,0.95,2.735715201094019,1670.7333,,110.83920970729692,400,12.09,110.83920970729692,0.70369786,1,0.0013839866,1.8027421604951992,15547.579819795055,1593.6674,110.83920970729692,100,539.0068,15547.579819795055
0.01,637.81116,0.009999998,1.0,,1.0,0.95,400.0,752.5149,1.0,752.5149082024135,400,76.26,752.5149082024135,0.01,2,3.5044917e-18,100.0,833794.1361093192,908.54614,752.5149082024135,100,1.0,833794.1361093192
0.005,700.79456,0.0049999994,1.0,,1.0,0.95,400.0,781.9038,1.0,811.2927005988506,400,82.12,811.2927005988506,0.005,2,2.179301e-19,200.00000010221265,1123208.4276264636,984.67255,811.2927005988506,100,1.0,1123208.4276264636
0.0033333334,743.8367,0.0033333336,1.0,,1.0,0.95,400.0,810.06213,1.0,866.3784891965724,400,87.6,866.3784891965724,0.0033333334,2,5.4391416e-20,299.999969473632,1411956.5964214955,1055.4232,866.3784891965724,100,1.0,1411956.5964214955
nan,nan,nan,inf,nan,nan,0.95,nan,nan,0.0018552642,110.83920970729692,500,12.09,915.7753562725385,nan,,nan,nan,15547.579819795055,nan,110.83920970729692,100,inf,1385214.003546171
,1773.1456,0.0019999999,0.48971552,109.593414,181.3131,0.95,2.757660718020187,2064.6396,,111.3444477124078,500,12.14,111.3444477124078,0.9559068,1,0.0018279185,1.0939347711029643,49164.54414709746,1031.0912,111.3444477124078,100,234.0612,49164.54414709746
0.01,498.43967,0.009999998,1.0,,1.0,0.95,500.0,585.61725,1.0,585.6172699817467,500,59.58,585.6172699817467,0.01,2,3.5044917e-18,100.0,392977.01416567405,623.7365,585.6172699817467,100,1.0,392977.01416567405
0.005,517.2564,0.0049999994,1.0,,1.0,0.95,500.0,598.365,1.0,611.1127818306633,500,62.12,611.1127818306633,0.005,2,2.179301e-19,200.00000010221265,477169.54023815907,656.41833,611.1127818306633,100,1.0,477169.54023815907
0.0033333334,547.11163,0.0033333336,1.0,,1.0,0.95,500.0,613.3365,1.0,643.2792386321502,500,65.34,643.2792386321502,0.0033333334,2,5.4391416e-20,299.999969473632,531787.6162518534,680.5843,643.2792386321502,100,1.0,531787.6162518534
0.0025,563.24426,0.0024999997,1.0,,1.0,0.95,500.0,620.5967,1.0,642.3773803205098,500,65.25,642.3773803205098,0.0025,2,5.434597e-20,400.0,465892.74758113193,680.3402,642.3773803205098,100,1.0,465892.74758113193
,3821.9585,0.002,1.4754405,261.7119,164.0212,0.95,3.0483865310955798,4478.93,,688.8134681850374,500,69.9,688.8134681850374,0.3354126,1,0.00048088355,4.132898436272195,616793.2775475064,6210.318,688.8134681850374,100,247.44067,616793.2775475064
0.01,2229.284,0.009999998,1.0,,1.0,0.95,500.0,2343.9915,1.0,2343.9915129922515,500,235.29,2343.9915129922515,0.01,2,3.5044917e-18,100.0,2235424.077274967,1487.639,2343.9915129922515,100,1.0,2235424.077274967
0.005,2256.8696,0.0049999994,1.0,,1.0,0.95,500.0,2337.9802,1.0,2331.969122583243,500,234.08,2331.969122583243,0.005,2,2.179301e-19,200.00000010221265,1993965.1607950446,1446.9221,2331.969122583243,100,1.0,1993965.1607950446
0.0033333334,2388.5342,0.0033333336,1.0,,1.0,0.95,500.0,2454.7607,1.0,2688.321803046345,500,269.64,2688.321803046345,0.0033333334,2,5.4391416e-20,299.999969473632,2464519.0682285903,1495.4227,2688.321803046345,100,1.0,2464519.0682285903
0.0025,2390.0142,0.0024999997,1.0,,1.0,0.95,500.0,2447.3682,1.0,2425.191136292082,500,243.39,2425.191136292082,0.0025,2,5.434597e-20,400.0,2178435.2938049524,1488.8062,2425.191136292082,100,1.0,2178435.2938049524
,4683.8555,0.002,0.9125073,26.107811,28.608053,0.95,17.477596129145557,4958.2354,,2385.615592127091,500,239.42,2385.615592127091,0.12738426,1,0.00012541737,15.48388681127497,2333989.848122188,392.19772,2385.615592127091,100,58.119537,2333989.848122188
0.01,4616.1196,0.009999998,1.0,,1.0,0.95,500.0,4730.8276,1.0,4730.828046798757,500,473.34,4730.828046798757,0.01,2,3.5044917e-18,100.0,545266.9823938017,734.7206,4730.828046798757,100,1.0,545266.9823938017
0.005,4658.0044,0.0049999994,1.0,,1.0,0.95,500.0,4739.115,1.0,4747.4028848404605,500,475.03,4747.4028848404605,0.005,2,2.179301e-19,200.00000010221265,542056.3203580958,733.685,4747.4028848404605,100,1.0,542056.3203580958
0.0033333334,4704.063,0.0033333336,1.0,,1.0,0.95,500.0,4770.2896,1.0,4832.6369941476405,500,483.46,4832.6369941476405,0.0033333334,2,5.4391416e-20,299.999969473632,319364.1522312248,682.7857,4832.6369941476405,100,1.0,319364.1522312248
0.0025,4716.895,0.0024999997,1.0,,1.0,0.95,500.0,4774.249,1.0,4786.128119277411,500,478.83,4786.128119277411,0.0025,2,5.434597e-20,400.0,459425.0646727803,680.7363,4786.128119277411,100,1.0,459425.0646727803
8.092534e-11,4905.126,0.002,0.98262954,1.3078086,2.2909782,0.95,218.24738509774994,4982.772,3.9759815e-08,4642.392390874314,500,464.53,4642.392390874314,0.010483535,1,5.41782e-06,212.60797987839248,935253.0781787214,119.945244,4642.392390874314,100,5.1507154,935253.0781787214
0.01,4883.48,0.009999998,1.0,,1.0,0.95,500.0,4998.188,1.0,4998.188206834541,500,499.89,4998.188206834541,0.01,2,3.5044917e-18,100.0,144.19618130097675,11.947989,4998.188206834541,100,1.0,144.19618130097675
0.005,4907.0923,0.0049999994,1.0,,1.0,0.95,500.0,4988.203,1.0,4978.219452591232,500,497.92,4978.219452591232,0.005,2,2.179301e-19,200.00000010221265,14419.107944046435,85.48991,4978.219452591232,100,1.0,14419.107944046435
0.0033333334,4919.7017,0.0033333336,1.0,,1.0,0.95,500.0,4985.928,1.0,4981.37576574092,500,498.21,4981.37576574092,0.0033333334,2,5.4391416e-20,299.999969473632,24367.111553947838,113.683136,4981.37576574092,100,1.0,24367.111553947838
0.0025,4927.029,0.0024999997,1.0,,1.0,0.95,500.0,4984.383,1.0,4979.748825756524,500,498.07,4979.748825756524,0.0025,2,5.434597e-20,400.0,14046.060362796163,114.78873,4979.748825756524,100,1.0,14046.060362796163
9.9349556e-05,4940.7964,0.002,0.96454614,0.12673508,1.1294502,0.95,442.693267148767,4995.3145,0.047913615,4988.519548303255,500,498.93,4988.519548303255,0.0033920605,1,5.448925e-07,440.1599237184286,7766.261662091558,28.617002,4988.519548303255,100,1.6358994,7766.261662091558
0.01,4876.36,0.009999998,1.0,,1.0,0.95,500.0,4991.068,1.0,4991.0678816081845,500,499.18,4991.0678816081845,0.01,2,3.5044917e-18,100.0,3856.6400152242595,61.790577,4991.0678816081845,100,1.0,3856.6400152242595
0.005,4914.1626,0.0049999994,1.0,,1.0,0.95,500.0,4995.2734,1.0,4999.478389414228,500,500.0,4999.478389414228,0.005,2,2.179301e-19,200.00000010221265,0.2274183950141884,43.89572,4999.478389414228,100,1.0,0.2274183950141884
