Bound,AvgVanillaIw,IterType,eRenyi2,EpsThisIter,AvgEpLen,AvgNormIw,VarNormIw,ESSRenyi,BatchSize,VanillaAvgRet,VarJ,VarVanillaIw,J,MaxVanillaIw,AvgDiscRet,VarRet,MinNormIw,AvgRet,VarDiscRet,MinVanillaIw,MaxNormIw,ESSClassic
549.0149,1.2278869,1,31.50647,100,12.88,0.01,0.0059320726,3.173951282637417,100,118.74057484569013,2786.0676,89.43822,1347.2561,94.35626,118.74057484569013,34471.146814192376,,118.74057484569013,34471.146814192376,,0.76844424,1.6742702250163373
727.7418,1.3551515,1,9.17241,100,49.76,0.010000002,0.0022722546,10.90226013413019,100,487.43208512102973,2446.2048,41.728485,1283.3936,62.60234,487.43208512102973,223364.129927894,9.603073e-09,487.43208512102973,223364.129927894,1.3013619e-06,0.46195823,4.256166603160025
1649.1063,1.0167968,1,11.541212,100,79.85,0.010000003,0.0018829679,8.664601195289508,100,788.3321595530464,4565.911,19.467548,3078.6924,37.44595,788.3321595530464,817513.403318141,1.7247975e-18,788.3321595530464,817513.403318141,1.7537687e-16,0.36827365,5.0912917990508255
2888.9011,0.71394515,1,10.87823,100,157.71,0.01,0.0017387281,9.192671889409082,100,1566.9383295379498,1874.9982,8.862604,4276.7773,20.85087,1566.9383295379498,1414729.9674098366,,1566.9383295379498,1414729.9674098366,,0.29205143,5.4904608197062155
2568.6108,1.5254161,1,5.8279214,100,223.67,0.009999998,0.0027873581,17.158776397093217,100,2226.4320205313315,3440.6575,64.85888,3584.4922,80.436905,2226.4320205313315,1690584.5028167882,2.0775477e-10,2226.4320205313315,1690584.5028167882,3.1691247e-08,0.5273112,3.4971337384704655
3090.1995,0.61296904,1,8.39574,100,279.63,0.009999998,0.0011962911,11.91080301391333,100,2786.8478897195123,2158.4802,4.494837,4309.5137,14.321054,2786.8478897195123,1644760.0619916432,2.8723868e-13,2786.8478897195123,1644760.0619916432,1.7606843e-11,0.23363422,7.786172548182311
-inf,580421760.0,,nan,100,279.63,0.01,0.009573383,nan,200,2786.8478897195123,149.09758,3.2251704e+19,1501.2129,56796100000.0,2732.1470594077978,1644760.0619916432,1.2030435e-12,2786.8478897195123,2311858.0187472766,0.069827266,0.97853154,1.0440977980946484
2873.684,1.1805001,1,5.581865,100,274.665,0.005,0.00023449364,35.830319427979745,200,2737.281760874323,4251.4585,13.071427,3576.6936,45.18268,2737.281760874323,1749299.6925881184,1.4630729e-09,2737.281760874323,1749299.6925881184,3.4543154e-07,0.19137092,19.35575334922364
2893.8174,1.0,2,1.0,100,332.35,0.009999998,3.5044917e-18,200.0,200,3314.627423265566,1388.9387,,3314.6272,1.0,3314.627423265566,1948637.2059432738,0.01,3314.627423265566,1948637.2059432738,1.0,0.01,100.0
3336.2314,1.0416759,1,2.0198727,100,343.63,0.005,2.6106385e-05,99.0161426635631,200,3427.8660940655946,1617.0237,1.1331097,3759.127,9.200136,3427.8660940655946,1901984.9821735108,2.6495606e-10,3427.8660940655946,1901984.9821735108,5.519967e-08,0.04416026,98.08563951332313
3444.6077,1.0,2,1.0,100,387.22,0.009999998,3.5044917e-18,200.0,200,3865.418303232873,1229.4023,,3865.4182,1.0,3865.418303232873,1526696.9875402327,0.01,3865.418303232873,1526696.9875402327,1.0,0.01,100.0
3665.6235,1.0382164,1,2.8515382,100,372.77,0.005,5.869278e-05,70.13758444871155,200,3720.2682504558843,1419.6155,2.5305822,4168.0947,11.297813,3720.2682504558843,1486228.7932400182,1.5763075e-06,3720.2682504558843,1486228.7932400182,0.00032730965,0.054409724,59.95252624790413
3530.9263,1.0,2,1.0,100,395.89,0.009999998,3.5044917e-18,200.0,200,3951.736829949847,1095.7123,,3951.7368,1.0,3951.736829949847,1212712.5358960084,0.01,3951.736829949847,1212712.5358960084,1.0,0.01,100.0
3882.3167,0.9506789,1,2.342666,100,397.065,0.005,4.925094e-05,85.37282208475946,200,3963.6739218281255,1358.3866,1.780501,4337.752,13.648223,3963.6739218281255,1286805.3579514443,6.4954884e-07,3963.6739218281255,1286805.3579514443,0.00012350247,0.07178146,67.56328475453063
3777.4287,1.0,2,1.0,100,420.44,0.009999998,3.5044917e-18,200.0,200,4198.239249962399,1068.9482,,4198.2393,1.0,4198.239249962399,1154192.1211170866,0.01,4198.239249962399,1154192.1211170866,1.0,0.01,100.0
4055.2617,1.1069636,1,2.3833292,100,426.26,0.005,3.6164365e-05,83.9162311018349,200,4256.531967180381,1110.1101,1.772587,4514.633,5.9954023,4256.531967180381,979920.3491171062,6.967309e-06,4256.531967180381,979920.3491171062,0.0015425116,0.027080394,81.98932397437446
4013.223,1.0,2,1.0,100,443.94,0.009999998,3.5044917e-18,200.0,200,4434.0332701657935,819.3805,,4434.033,1.0,4434.0332701657935,678166.0448790716,0.01,4434.0332701657935,678166.0448790716,1.0,0.01,100.0
4244.4663,1.1041108,1,1.7512956,100,438.245,0.0049999994,2.5845307e-05,114.20116844867296,200,4376.995246107086,703.3372,1.2602801,4638.244,9.176179,4376.995246107086,729124.9252591666,3.895603e-05,4376.995246107086,729124.9252591666,0.008602356,0.041554607,98.58805482921821
4047.4473,1.0,2,1.0,100,447.38,0.009999998,3.5044917e-18,200.0,200,4468.257758383249,776.9596,,4468.258,1.0,4468.257758383249,609763.8708689135,0.01,4468.257758383249,609763.8708689135,1.0,0.01,100.0
