renyi2,AvgDiscRet,IterType,MinVanillaIw,AvgRet,Bound,VarJ,VarDiscRet,VarNormIw,J,VarRet,MaxVanillaIw,AvgEpLen,delta,BatchSize,SamplesThisIter,ESSClassic,EpsThisIter,VarVanillaIw,MinNormIw,AvgNormIw,ESSRenyi,AvgVanillaIw,VanillaAvgRet,MaxNormIw
7.14456,49.4337155533,1,4.05013e-16,49.4337155533,659.908,12455.1,3409.75795221,2.34677e-08,32850.1,3409.75795221,7.32965e+07,5.94671741199,0.6,100,50000,2.97147947002,8408,2.56271e+10,3.87574e-25,6.60746e-07,0.0789146993944,690.477,49.4337155533,0.0701405
6.65123,51.5778283204,1,3.78117e-14,51.5778283204,701.878,6137.28,4353.32577039,7.78306e-08,33053.5,4353.32577039,1.25764e+08,6.16067028093,0.6,100,50000,4.00008651171,8116,5.19677e+10,4.62737e-23,6.84519e-07,0.129242912938,559.341,51.5778283204,0.153909
7.30634,48.4649944967,1,1.98615e-10,48.4649944967,859.978,6487.08,3675.53020919,8.32149e-08,30238.5,3675.53020919,1.31918e+08,5.84932147871,0.6,100,50000,4.00007907967,8548,4.70187e+10,2.64227e-19,6.49925e-07,0.0671269902206,488.537,48.4649944967,0.175497
6.88625,49.2361432163,1,8.22166e-11,49.2361432163,461.284,4721.7,3188.61854979,1.27861e-07,17356.9,3188.61854979,2.04832e+08,5.92697961119,0.6,100,50000,3.99960446966,8436,1.11017e+11,8.82334e-20,6.58553e-07,0.10217430335,613.645,49.2361432163,0.219823
7.49791,48.7955412288,1,,48.7955412288,702.219,3940.78,3410.1046647,1.48343e-07,16082.9,3410.1046647,6.26114e+08,5.88235294118,0.6,100,50000,4.0000057242,8500,1.02612e+12,,6.53595e-07,0.0554243354645,1718.99,48.7955412288,0.238061
23.0367,47.9775059361,1,6.94196e-07,47.9775059361,502.771,7502.94,3494.43555574,1.59796e-07,15789.9,3494.43555574,5.35429e+08,5.80046403712,0.6,100,50000,4.00000956242,8620,7.39067e+11,3.22793e-16,6.44496e-07,9.89230987721e-09,1386.05,47.9775059361,0.248968
6.9999,49.9233182205,1,3.83123e-05,49.9233182205,1248.45,9686.93,4086.68234455,1.66141e-07,11218.1,4086.68234455,4.92633e+08,5.99520383693,0.6,100,50000,4.00000623589,8340,6.46645e+11,1.94198e-14,6.66133e-07,0.0911971992485,1314.18,49.9233182205,0.249706
7.01279,49.3496508526,1,0.000138235,49.3496508526,368.729,3377.59,3409.88398389,1.04913e-07,11091.7,3409.88398389,1.14248e+07,5.93824228029,0.6,100,50000,4.00108403114,8420,3.54625e+08,2.37765e-12,6.59805e-07,0.09002914078,38.3606,49.3496508526,0.196507
7.00584,47.8699245265,1,0.000445519,47.8699245265,551.855,2159.96,3252.38651757,3.22081e-08,10160.3,3252.38651757,479115.0,5.78971746179,0.6,100,50000,4.02839567074,8636,1.12266e+06,7.54615e-11,6.43302e-07,0.0906573164505,3.79801,47.8699245265,0.081152
7.0491,48.6850023987,1,6.21635e-06,48.6850023987,580.728,2741.71,3692.01725082,3.21257e-08,11294.4,3692.01725082,600166.0,5.87130108032,0.6,100,50000,4.05012529564,8516,2.14318e+06,7.61085e-13,6.52367e-07,0.0868194195287,5.32837,48.6850023987,0.07348
7.80572,49.2090138089,1,8.87934e-14,49.2090138089,405.999,3394.1,3150.14745089,6.34603e-08,11425.8,3150.14745089,3.35206e+06,5.92417061611,0.6,100,50000,2.76310862805,8440,4.3474e+07,3.39248e-21,6.58241e-07,0.0407398621548,17.2285,49.2090138089,0.12807
7.3609,48.5199157322,1,2.68907e-07,48.5199157322,344.638,2022.67,3238.20370177,5.76448e-08,10458.5,3238.20370177,783218.0,5.85480093677,0.6,100,50000,4.021413983,8540,1.61546e+06,5.07966e-14,6.50534e-07,0.0635627084294,3.4438,48.5199157322,0.14795
7.50169,50.0096927051,1,4.31027e-05,50.0096927051,460.734,1930.42,4002.64631937,7.12694e-08,10298.7,4002.64631937,795504.0,6.00384245917,0.6,100,50000,4.02159275506,8328,1.69486e+06,8.83872e-12,6.67094e-07,0.055215286708,3.25313,50.0096927051,0.163128
8.17211,50.7640461918,1,3.61323e-10,50.7640461918,577.858,5017.04,3714.35666384,1.04058e-07,14839.9,3714.35666384,1.13693e+08,6.07976653696,0.6,100,50000,3.99985195927,8224,3.84263e+10,5.94592e-19,6.7553e-07,0.028242105449,410.508,50.7640461918,0.187093
7.57157,49.4673710781,1,0.00356683,49.4673710781,45.3329,1010.36,3457.84523017,1.84066e-14,9054.41,3457.84523017,43.4149,5.94954783436,0.6,100,50000,48.993397411,8404,0.0421529,2.35698e-09,6.61061e-07,0.0514882505346,1.00039,49.4673710781,2.86888e-05
8.53805,52.2472858406,1,2.24025e-16,52.2472858406,609.37,2736.38,4108.38622584,1.06752e-07,11686.5,4108.38622584,2.18485e+07,6.22820129547,0.6,100,50000,3.63588579031,8028,1.45388e+09,1.91964e-24,6.92023e-07,0.0195872465984,80.76,52.2472858406,0.187217
7.60465,48.0307552165,1,0.0077125,48.0307552165,43.5334,1010.05,3377.5869286,1.88263e-14,8803.4,3377.5869286,36.9406,5.80585229912,0.6,100,50000,50.3175428163,8612,0.0452706,4.97358e-09,6.45095e-07,0.0498130429907,1.00034,48.0307552165,2.3822e-05
7.62579,51.0357079014,1,0.0103121,51.0357079014,45.0698,928.488,3820.71628708,2.11054e-14,9328.83,3820.71628708,36.6508,6.10649731314,0.6,100,50000,46.9189783999,8188,0.0458938,6.99302e-09,6.78499e-07,0.0487711364413,1.00053,51.0357079014,2.48544e-05
8.93533,51.6083198891,1,1.082e-05,51.6083198891,533.565,1285.63,5234.93165048,1.66977e-07,11622.3,5234.93165048,4.93856e+08,6.16370808679,0.6,100,50000,3.99945265881,8112,6.6822e+11,5.40874e-15,6.84856e-07,0.0131655006284,1370.03,51.6083198891,0.24687
7.65188,49.4110436909,1,0.000305846,49.4110436909,781.388,1794.36,3599.2854555,1.37837e-07,9949.34,3599.2854555,4.40551e+06,5.94388968141,0.6,100,50000,4.06099310937,8412,5.12746e+07,1.58575e-11,6.60432e-07,0.0475151028077,12.7378,49.4110436909,0.228417
7.65775,52.066490183,1,0.0934634,52.066490183,42.0469,1106.11,4600.39349705,1.54336e-14,9493.85,4600.39349705,54.5574,6.20963735718,0.6,100,50000,47.6061571066,8052,0.0324377,6.44688e-08,6.89959e-07,0.0472368299659,1.00027,52.066490183,3.76324e-05
7.64878,53.1016816147,1,0.0320623,53.1016816147,44.574,947.819,4462.28409776,1.39922e-14,9694.91,4462.28409776,22.193,6.31313131313,0.6,100,50000,44.954969005,7920,0.0284519,2.24845e-08,7.01459e-07,0.047662667471,1.00027,53.1016816147,1.55634e-05
8.15353,49.2134387373,1,5.66933e-12,49.2134387373,960.76,1833.73,4311.42764273,1.45553e-07,13635.5,4311.42764273,2.19379e+10,5.92417061611,0.6,100,50000,3.98313767791,8440,1.27253e+15,6.06329e-23,6.5824e-07,0.0287718703268,61547.3,49.2134387373,0.234623
7.65663,53.7128570286,1,0.000581239,53.7128570286,856.869,1429.07,4989.4540649,2.77531e-08,11490.2,4989.4540649,259148.0,6.37429882713,0.6,100,50000,4.05044290471,7844,200577.0,2.16207e-10,7.08255e-07,0.0472896812784,1.90404,53.7128570286,0.0963968
7.6553,51.0652672887,1,0.0568951,51.0652672887,683.255,925.095,4143.86142042,7.41928e-08,10293.2,4143.86142042,718864.0,6.10948191593,0.6,100,50000,4.02279188738,8184,1.40318e+06,1.30828e-08,6.78831e-07,0.0473529953082,2.95214,51.0652672887,0.165299
8.20248,49.8659049126,1,4.97786e-06,49.8659049126,986.029,914.635,3958.3494256,1.56358e-07,10964.7,3958.3494256,3.2582e+07,5.98945855295,0.6,100,50000,4.02117992221,8348,2.82679e+09,3.70217e-14,6.65496e-07,0.0273973445712,89.4812,49.8659049126,0.242321
7.69909,51.1259605598,1,7.30695e-08,51.1259605598,848.12,1155.39,4958.78130907,1.01017e-07,11221.0,4958.78130907,3.19182e+07,6.11545988258,0.6,100,50000,4.0004667068,8176,3.15247e+09,4.13625e-16,6.79496e-07,0.0453237277128,120.037,51.1259605598,0.18068
8.763,52.4022721595,1,0.00271056,52.4022721595,871.184,4407.73,4631.10141018,3.76464e-08,18129.5,4631.10141018,3.49977e+06,6.24375624376,0.6,100,50000,2.60465610103,8008,5.54744e+07,7.06115e-11,6.93751e-07,0.0156415028643,26.631,52.4022721595,0.0911706
7.71804,49.2930768326,1,0.00581175,49.2930768326,472.95,3984.04,3347.48218511,2.04302e-08,10913.7,3347.48218511,268922.0,5.93260560038,0.6,100,50000,4.04975356207,8428,300112.0,1.51636e-09,6.59178e-07,0.0444732487871,2.52644,49.2930768326,0.0701651
8.10327,48.4105897119,1,1.46787e-10,48.4105897119,360.182,5392.62,3084.95445728,1.51631e-07,11728.1,3084.95445728,3.29795e+07,5.84385226741,0.6,100,50000,3.99991122255,8556,2.82531e+09,1.07535e-18,6.49317e-07,0.0302548036518,88.6329,48.4105897119,0.241605
7.66074,53.8427953241,1,3.20861e-06,53.8427953241,891.368,1076.27,4826.22768993,7.99553e-08,11025.7,4826.22768993,719784.0,6.38732754216,0.6,100,50000,4.02224097556,7828,1.47075e+06,7.4812e-13,7.09703e-07,0.0470959472995,3.04384,53.8427953241,0.167825
